close,day,high,low,open,volume
1082000,20181224153000,1082000,1082000,1082000,1192
1082000,20181224151900,1081000,1082000,1082000,27
1082000,20181224151800,1080000,1082000,1081000,42
1080000,20181224151700,1080000,1081000,1080000,90
1080000,20181224151600,1080000,1082000,1080000,131
1080000,20181224151500,1080000,1081000,1080000,43
1080000,20181224151400,1079000,1081000,1080000,167
1079000,20181224151300,1079000,1081000,1081000,441
1080000,20181224151200,1080000,1081000,1080000,46
1080000,20181224151100,1080000,1081000,1081000,30
1081000,20181224151000,1080000,1081000,1081000,80
1082000,20181224150900,1081000,1082000,1082000,45
1082000,20181224150800,1081000,1083000,1082000,70
1082000,20181224150700,1081000,1082000,1082000,83
1081000,20181224150600,1081000,1082000,1081000,60
1081000,20181224150500,1081000,1082000,1082000,16
1082000,20181224150400,1082000,1082000,1082000,41
1082000,20181224150300,1082000,1083000,1082000,13
1082000,20181224150200,1082000,1084000,1084000,88
1083000,20181224150100,1083000,1085000,1085000,205
1084000,20181224150000,1084000,1085000,1084000,23
1084000,20181224145900,1084000,1085000,1085000,61
1085000,20181224145800,1084000,1085000,1084000,46
1085000,20181224145700,1084000,1085000,1085000,28
1084000,20181224145600,1084000,1085000,1085000,12
1085000,20181224145500,1084000,1085000,1084000,24
1085000,20181224145400,1084000,1085000,1084000,24
1084000,20181224145300,1084000,1085000,1085000,30
1084000,20181224145200,1084000,1085000,1085000,23
1084000,20181224145100,1084000,1085000,1084000,18
1085000,20181224145000,1084000,1085000,1084000,24
1084000,20181224144900,1084000,1085000,1084000,14
1085000,20181224144800,1084000,1085000,1084000,37
1085000,20181224144700,1084000,1085000,1085000,34
1085000,20181224144600,1084000,1085000,1084000,9
1084000,20181224144500,1084000,1085000,1084000,47
1085000,20181224144400,1084000,1085000,1084000,26
1084000,20181224144300,1084000,1085000,1084000,22
1085000,20181224144200,1084000,1085000,1084000,16
1084000,20181224144100,1084000,1085000,1084000,20
1084000,20181224144000,1084000,1086000,1086000,47
1086000,20181224143900,1084000,1086000,1085000,124
1086000,20181224143800,1085000,1086000,1085000,27
1085000,20181224143700,1084000,1086000,1085000,65
1084000,20181224143600,1084000,1085000,1084000,15
1084000,20181224143500,1084000,1085000,1084000,25
1084000,20181224143400,1084000,1086000,1086000,34
1085000,20181224143300,1085000,1087000,1087000,85
1086000,20181224143200,1085000,1087000,1086000,59
1086000,20181224143100,1084000,1086000,1084000,76
1085000,20181224143000,1083000,1085000,1083000,42
1083000,20181224142900,1082000,1085000,1083000,62
1082000,20181224142800,1080000,1082000,1080000,176
1080000,20181224142700,1080000,1081000,1080000,34
1080000,20181224142600,1080000,1081000,1081000,18
1080000,20181224142500,1080000,1081000,1080000,34
1081000,20181224142400,1080000,1081000,1081000,29
1080000,20181224142300,1080000,1081000,1081000,21
1081000,20181224142200,1080000,1081000,1080000,54
1080000,20181224142100,1080000,1081000,1081000,24
1081000,20181224142000,1080000,1081000,1081000,29
1081000,20181224141900,1080000,1081000,1080000,8
1080000,20181224141800,1079000,1080000,1080000,76
1080000,20181224141700,1079000,1080000,1079000,42
1080000,20181224141600,1079000,1080000,1079000,13
1080000,20181224141500,1079000,1080000,1080000,36
1080000,20181224141400,1079000,1080000,1080000,62
1080000,20181224141300,1079000,1080000,1079000,28
1079000,20181224141200,1079000,1080000,1079000,41
1079000,20181224141100,1079000,1080000,1079000,12
1079000,20181224141000,1079000,1080000,1080000,61
1079000,20181224140900,1079000,1080000,1079000,63
1079000,20181224140800,1079000,1080000,1079000,15
1080000,20181224140700,1079000,1080000,1080000,81
1080000,20181224140600,1079000,1080000,1079000,43
1080000,20181224140500,1079000,1080000,1080000,25
1080000,20181224140400,1079000,1080000,1080000,24
1080000,20181224140300,1079000,1080000,1080000,39
1080000,20181224140200,1080000,1081000,1080000,24
1080000,20181224140100,1080000,1083000,1082000,637
1083000,20181224140000,1082000,1083000,1083000,28
1082000,20181224135900,1082000,1083000,1082000,13
1082000,20181224135800,1082000,1083000,1083000,142
1082000,20181224135700,1082000,1083000,1083000,19
1082000,20181224135600,1082000,1083000,1082000,16
1082000,20181224135500,1082000,1083000,1082000,19
1082000,20181224135400,1082000,1083000,1083000,22
1083000,20181224135300,1082000,1083000,1082000,6
1082000,20181224135200,1082000,1083000,1083000,50
1082000,20181224135100,1082000,1083000,1082000,10
1082000,20181224135000,1082000,1083000,1083000,10
1082000,20181224134900,1082000,1083000,1083000,29
1082000,20181224134800,1082000,1082000,1082000,10
1082000,20181224134700,1082000,1083000,1082000,25
1083000,20181224134600,1082000,1083000,1083000,33
1082000,20181224134500,1082000,1083000,1082000,6
1082000,20181224134400,1082000,1083000,1083000,25
1082000,20181224134300,1082000,1083000,1083000,15
1083000,20181224134200,1082000,1083000,1083000,149
1083000,20181224134100,1082000,1083000,1083000,19
1083000,20181224134000,1082000,1083000,1083000,53
1083000,20181224133900,1082000,1083000,1083000,341
1082000,20181224133800,1082000,1083000,1082000,20
1082000,20181224133700,1082000,1083000,1083000,15
1083000,20181224133600,1082000,1083000,1082000,15
1082000,20181224133500,1082000,1083000,1082000,30
1082000,20181224133400,1082000,1083000,1083000,9
1082000,20181224133300,1082000,1083000,1083000,14
1083000,20181224133200,1082000,1083000,1082000,21
1083000,20181224133100,1082000,1083000,1083000,20
1083000,20181224133000,1082000,1083000,1082000,8
1082000,20181224132900,1082000,1083000,1082000,16
1083000,20181224132800,1082000,1083000,1083000,23
1083000,20181224132700,1082000,1083000,1082000,22
1082000,20181224132600,1082000,1083000,1083000,17
1082000,20181224132500,1082000,1083000,1083000,20
1082000,20181224132400,1082000,1083000,1083000,29
1083000,20181224132300,1082000,1083000,1082000,22
1082000,20181224132200,1082000,1082000,1082000,9
1082000,20181224132100,1082000,1083000,1083000,15
1082000,20181224132000,1082000,1083000,1082000,63
1082000,20181224131900,1082000,1083000,1083000,10
1082000,20181224131800,1082000,1083000,1083000,20
1082000,20181224131700,1082000,1083000,1082000,18
1082000,20181224131600,1082000,1083000,1083000,19
1083000,20181224131500,1082000,1083000,1082000,31
1082000,20181224131400,1082000,1083000,1082000,10
1082000,20181224131300,1082000,1083000,1082000,8
1082000,20181224131200,1082000,1083000,1082000,45
1083000,20181224131100,1082000,1083000,1082000,8
1083000,20181224131000,1082000,1083000,1083000,7
1082000,20181224130900,1082000,1082000,1082000,14
1083000,20181224130800,1082000,1083000,1082000,14
1082000,20181224130700,1082000,1083000,1083000,15
1082000,20181224130600,1082000,1083000,1083000,23
1082000,20181224130500,1082000,1083000,1082000,15
1082000,20181224130400,1082000,1083000,1082000,12
1082000,20181224130300,1082000,1083000,1082000,13
1083000,20181224130200,1082000,1083000,1082000,41
1082000,20181224130100,1082000,1083000,1082000,24
1082000,20181224130000,1082000,1083000,1083000,5
1082000,20181224125900,1082000,1083000,1083000,7
1083000,20181224125800,1082000,1083000,1083000,16
1082000,20181224125700,1082000,1083000,1082000,21
1083000,20181224125600,1082000,1083000,1082000,13
1082000,20181224125500,1082000,1083000,1083000,14
1082000,20181224125400,1082000,1083000,1083000,34
