close,day,high,low,open,volume
204500,20181224153000,204500,204500,204500,3746
204000,20181224151900,204000,204500,204500,349
204500,20181224151800,204000,204500,204500,210
204000,20181224151700,204000,204500,204000,436
204000,20181224151600,204000,204500,204500,234
204000,20181224151500,203500,204500,203500,720
203500,20181224151400,203500,204000,204000,261
203500,20181224151300,203500,204000,204000,287
203500,20181224151200,203500,204000,204000,190
204000,20181224151100,203500,204000,204000,281
203500,20181224151000,203500,204000,204000,61
203500,20181224150900,203500,204000,204000,114
204000,20181224150800,203500,204000,204000,155
203500,20181224150700,203500,204000,204000,233
204000,20181224150600,203500,204000,204000,76
204000,20181224150500,203500,204000,204000,207
204000,20181224150400,203500,204000,203500,83
203500,20181224150300,203500,204000,204000,76
203500,20181224150200,203500,204000,204000,159
203500,20181224150100,203500,204000,204000,129
204000,20181224150000,203500,204000,204000,165
204000,20181224145900,203500,204000,203500,157
203500,20181224145800,203500,204000,204000,57
203500,20181224145700,203500,204000,204000,292
203500,20181224145600,203500,204000,203500,202
204000,20181224145500,203500,204000,203500,100
203500,20181224145400,203500,204000,203500,138
204000,20181224145300,203500,204000,204000,190
204000,20181224145200,203500,204000,203500,100
203500,20181224145100,203500,204000,203500,127
204000,20181224145000,203500,204000,204000,173
204000,20181224144900,203500,204000,203500,95
203500,20181224144800,203500,204000,203500,167
204000,20181224144700,203500,204000,203500,173
204000,20181224144600,203500,204000,204000,152
204000,20181224144500,203500,204000,203500,484
204000,20181224144400,203500,204000,203500,123
204000,20181224144300,203500,204000,203500,119
203500,20181224144200,203500,204000,203500,127
203500,20181224144100,203500,204000,204000,101
204000,20181224144000,203500,204000,204000,213
203500,20181224143900,203500,204000,204000,90
203500,20181224143800,203500,204000,204000,193
204000,20181224143700,203500,204000,203500,103
203500,20181224143600,203500,204000,204000,49
203500,20181224143500,203500,204000,204000,228
203500,20181224143400,203500,204000,203500,97
203500,20181224143300,203500,204000,204000,81
203500,20181224143200,203500,204000,203500,259
203500,20181224143100,203500,204000,203500,206
203500,20181224143000,203500,204000,203500,120
203500,20181224142900,203500,204000,203500,212
203500,20181224142800,203500,204000,203500,87
203500,20181224142700,203500,204000,203500,157
203500,20181224142600,203500,204000,204000,283
204000,20181224142500,203500,204000,204000,129
203500,20181224142400,203500,204000,204000,92
204000,20181224142300,203500,204000,203500,116
203500,20181224142200,203500,204000,204000,149
204000,20181224142100,203500,204000,204000,170
204000,20181224142000,203500,204000,204000,114
203500,20181224141900,203500,204000,203500,132
203500,20181224141800,203500,204000,203500,123
203500,20181224141700,203500,204000,203500,250
203500,20181224141600,203500,204000,204000,569
203500,20181224141500,203500,204000,203500,117
203500,20181224141400,203000,204000,203000,1498
203000,20181224141300,203000,203500,203000,332
203000,20181224141200,203000,203500,203000,84
203000,20181224141100,203000,203500,203000,173
203000,20181224141000,203000,203500,203000,113
203000,20181224140900,203000,203500,203500,68
203000,20181224140800,203000,203500,203000,93
203000,20181224140700,203000,203500,203000,121
203000,20181224140600,203000,203500,203500,90
203500,20181224140500,203000,203500,203000,107
203000,20181224140400,203000,204000,203500,371
204000,20181224140300,203500,204000,203500,42
203500,20181224140200,203500,204000,204000,130
203500,20181224140100,203500,204000,204000,136
203500,20181224140000,203500,204000,204000,76
203500,20181224135900,203500,204000,204000,278
203500,20181224135800,203500,204000,203500,61
203500,20181224135700,203500,204000,203500,110
203500,20181224135600,203500,204000,204000,188
204000,20181224135500,203500,204000,203500,161
203500,20181224135400,203500,204000,204000,161
203500,20181224135300,203500,204000,204000,228
203500,20181224135200,203500,204000,203500,72
204000,20181224135100,203500,204000,203500,47
204000,20181224135000,203500,205000,205000,609
204500,20181224134900,204500,205000,205000,1654
205000,20181224134800,204500,205000,205000,80
205000,20181224134700,204500,205000,205000,245
204500,20181224134600,204500,205000,205000,248
204500,20181224134500,204500,205000,205000,118
205000,20181224134400,204500,205000,204500,125
205000,20181224134300,204500,205000,204500,124
205000,20181224134200,204500,205000,205000,132
204500,20181224134100,204500,205000,204500,190
204500,20181224134000,204500,205000,204500,92
205000,20181224133900,204500,205000,205000,120
204500,20181224133800,204500,205000,204500,153
204500,20181224133700,204500,205000,205000,37
205000,20181224133600,204500,205000,205000,257
205000,20181224133500,204500,205000,204500,190
205000,20181224133400,204500,205000,205000,149
205000,20181224133300,204500,205000,205000,210
205000,20181224133200,204500,205000,205000,161
205000,20181224133100,204500,205000,205000,106
205000,20181224133000,204500,205000,205000,146
205000,20181224132900,204500,205000,205000,174
205000,20181224132800,204500,205000,205000,151
205000,20181224132700,204500,205000,204500,87
204500,20181224132600,204500,205000,204500,127
205000,20181224132500,204500,205000,205000,152
205000,20181224132400,204500,205000,205000,143
205000,20181224132300,204500,205000,205000,123
204500,20181224132200,204500,205000,204500,425
204500,20181224132100,204000,204500,204500,43
204500,20181224132000,204000,204500,204500,194
204500,20181224131900,204000,204500,204500,107
204000,20181224131800,204000,204500,204000,144
204500,20181224131700,204000,204500,204500,127
204500,20181224131600,204000,204500,204000,152
204500,20181224131500,204000,204500,204500,171
204000,20181224131400,204000,204500,204500,131
204000,20181224131300,204000,204500,204500,60
204500,20181224131200,204000,204500,204000,128
204500,20181224131100,204000,204500,204000,81
204500,20181224131000,204000,204500,204500,106
204500,20181224130900,204000,204500,204000,132
204500,20181224130800,204000,204500,204500,105
204500,20181224130700,204000,204500,204000,86
204000,20181224130600,204000,204500,204500,372
204000,20181224130500,204000,204500,204000,99
204500,20181224130400,204000,204500,204500,88
204500,20181224130300,204000,204500,204500,153
204500,20181224130200,204000,204500,204500,221
204500,20181224130100,204000,204500,204500,109
204500,20181224130000,204000,204500,204500,126
204500,20181224125900,204000,204500,204500,113
204000,20181224125800,204000,204500,204500,154
204500,20181224125700,204000,204500,204000,166
204500,20181224125600,204000,204500,204500,118
204500,20181224125500,204000,204500,204500,175
204500,20181224125400,204000,204500,204500,114
204000,20181224125300,204000,204500,204500,89
204000,20181224125200,203500,204500,204000,227
203500,20181224125100,203500,204000,204000,194
204000,20181224125000,203500,204000,204000,102
204000,20181224124900,203500,204000,204000,150
204000,20181224124800,203500,204000,204000,119
204000,20181224124700,203500,204000,203500,129
204000,20181224124600,203500,204000,203500,69
204000,20181224124500,203500,204000,204000,102
