close,day,high,low,open,volume
218500,20181224153000,218500,218500,218500,7933
218500,20181224151900,218500,219000,218500,97
218500,20181224151800,218500,219000,219000,418
218500,20181224151700,218500,219000,218500,534
218500,20181224151600,218500,219000,218500,411
218500,20181224151500,218500,219000,219000,571
219000,20181224151400,218500,219000,219000,910
218500,20181224151300,218500,219000,219000,809
218500,20181224151200,218500,219500,219500,1879
219000,20181224151100,219000,219500,219500,445
219500,20181224151000,219000,219500,219500,1159
219500,20181224150900,219000,219500,219500,998
219500,20181224150800,219000,219500,219500,405
219500,20181224150700,219000,219500,219000,507
219500,20181224150600,219000,219500,219500,276
219500,20181224150500,219000,219500,219500,395
219500,20181224150400,219000,219500,219000,545
219000,20181224150300,219000,219500,219000,324
219500,20181224150200,219000,219500,219000,456
219500,20181224150100,219000,219500,219500,1163
219500,20181224150000,219000,219500,219500,850
219000,20181224145900,219000,219500,219000,855
219500,20181224145800,219000,219500,219000,401
219500,20181224145700,219000,219500,219000,886
219500,20181224145600,219000,219500,219000,526
219000,20181224145500,218500,219500,218500,1631
219000,20181224145400,218500,219000,219000,869
219000,20181224145300,218500,219000,218500,797
218500,20181224145200,218500,219000,218500,1053
218500,20181224145100,218500,219000,219000,418
219000,20181224145000,218500,219000,219000,1708
219000,20181224144900,218500,219000,218500,874
219000,20181224144800,218500,219000,219000,497
218500,20181224144700,218500,219000,218500,558
219000,20181224144600,218500,219000,219000,322
218500,20181224144500,218500,219000,219000,523
219000,20181224144400,218500,219000,218500,375
218500,20181224144300,218500,219000,219000,821
218500,20181224144200,218500,219000,219000,310
219000,20181224144100,218500,219000,218500,290
219000,20181224144000,218500,219000,219000,599
219000,20181224143900,218500,219000,219000,351
218500,20181224143800,218500,219000,219000,441
219000,20181224143700,218500,219000,219000,325
219000,20181224143600,218500,219000,219000,498
219000,20181224143500,218500,219000,218500,371
219000,20181224143400,218500,219000,219000,338
219000,20181224143300,218500,219000,219000,950
219000,20181224143200,218500,219000,218500,254
219000,20181224143100,218500,219000,218500,735
218500,20181224143000,218500,219000,219000,443
218500,20181224142900,218500,219000,219000,316
218500,20181224142800,218500,219000,218500,428
219000,20181224142700,218500,219000,218500,351
218500,20181224142600,218500,219500,219000,1761
219000,20181224142500,218500,219000,219000,313
219000,20181224142400,218500,219000,219000,492
219000,20181224142300,218500,219000,219000,438
218500,20181224142200,218500,219000,219000,230
218500,20181224142100,218500,219000,219000,567
219000,20181224142000,218500,219000,219000,355
219000,20181224141900,218500,219000,219000,446
219000,20181224141800,218500,219000,219000,273
219000,20181224141700,218500,219000,218500,387
219000,20181224141600,218500,219000,218500,550
219000,20181224141500,218500,219000,218500,307
218500,20181224141400,218500,219000,219000,522
219000,20181224141300,218500,219000,219000,387
219000,20181224141200,218500,219000,219000,428
219000,20181224141100,218500,219000,219000,328
219000,20181224141000,218500,219000,218500,296
219000,20181224140900,218500,219000,218500,526
218500,20181224140800,218500,219000,218500,247
218500,20181224140700,218500,219500,218500,534
219000,20181224140600,218500,219000,219000,609
219000,20181224140500,218500,219000,218500,263
218500,20181224140400,218500,219000,218500,398
219000,20181224140300,218500,219000,218500,401
219000,20181224140200,218500,219000,219000,932
218500,20181224140100,218500,219000,219000,342
219000,20181224140000,218500,219000,219000,673
218500,20181224135900,218500,219000,219000,294
218500,20181224135800,218500,219000,218500,255
219000,20181224135700,218500,219000,218500,383
219000,20181224135600,218500,219000,218500,221
219000,20181224135500,218500,219000,219000,521
218500,20181224135400,218500,219000,219000,296
219000,20181224135300,218500,219000,218500,265
219000,20181224135200,218500,219000,219000,523
219000,20181224135100,218500,219000,219000,197
218500,20181224135000,218500,219000,219000,414
218500,20181224134900,218500,219000,219000,889
218500,20181224134800,218500,219000,219000,417
218500,20181224134700,218500,219000,218500,159
219000,20181224134600,218500,219000,219000,239
218500,20181224134500,218500,219500,219500,947
219500,20181224134400,219000,219500,219500,844
219000,20181224134300,218500,219000,219000,564
219000,20181224134200,218500,219000,219000,296
219000,20181224134100,218500,219000,219000,689
219000,20181224134000,218500,219000,218500,275
218500,20181224133900,218500,219000,219000,499
218500,20181224133800,218500,219000,218500,363
219000,20181224133700,218500,219000,219000,148
218500,20181224133600,218500,219000,219000,537
219000,20181224133500,218500,219000,219000,400
218500,20181224133400,218500,219000,219000,253
219000,20181224133300,218500,219000,218500,432
219000,20181224133200,218000,219000,218000,564
218500,20181224133100,218000,218500,218500,455
218000,20181224133000,218000,219000,218500,2196
218000,20181224132900,218000,218500,218000,274
218000,20181224132800,218000,218500,218500,413
218500,20181224132700,218000,219000,219000,456
219000,20181224132600,218000,219000,218500,319
218500,20181224132500,218000,219000,218500,268
218500,20181224132400,218000,218500,218500,456
218000,20181224132300,218000,219000,218500,190
219000,20181224132200,218500,219000,218500,242
219000,20181224132100,218500,219000,219000,542
219000,20181224132000,218500,219000,218500,335
218500,20181224131900,218000,219000,218000,459
218000,20181224131800,218000,218500,218500,284
218500,20181224131700,218000,218500,218500,374
218500,20181224131600,218000,219000,219000,460
218500,20181224131500,218000,219000,218500,399
218500,20181224131400,218000,218500,218500,538
218000,20181224131300,218000,218500,218500,215
218500,20181224131200,218000,218500,218500,707
218500,20181224131100,218000,218500,218500,322
218000,20181224131000,218000,219000,219000,1219
219000,20181224130900,218500,219000,219000,794
219000,20181224130800,218500,219000,218500,1427
219000,20181224130700,218500,219000,219000,550
219000,20181224130600,218500,219000,219000,269
219000,20181224130500,218500,219000,218500,195
219000,20181224130400,218500,219000,218500,454
218500,20181224130300,218500,219000,218500,351
219000,20181224130200,218500,219000,218500,301
218500,20181224130100,218500,219000,219000,270
219000,20181224130000,218500,219500,219000,421
219000,20181224125900,218500,219000,218500,183
219000,20181224125800,218500,219000,218500,323
219000,20181224125700,218500,219000,218500,598
219000,20181224125600,218500,219000,219000,283
219000,20181224125500,218000,219500,218500,1653
218000,20181224125400,218000,218500,218500,281
218000,20181224125300,218000,218500,218000,230
218500,20181224125200,218000,218500,218000,345
218000,20181224125100,218000,219000,218000,633
218500,20181224125000,218000,218500,218500,1113
218000,20181224124900,218000,219000,218500,191
219000,20181224124800,218000,219000,218500,398
218500,20181224124700,218000,218500,218500,303
218500,20181224124600,218000,219000,219000,506
219000,20181224124500,218500,219000,218500,428
218500,20181224124400,218500,219000,218500,387
219000,20181224124300,218500,219000,219000,282
219000,20181224124200,218500,219000,219000,220
218500,20181224124100,218500,219500,218500,217
219000,20181224124000,218500,219000,218500,551
218500,20181224123900,218000,219000,219000,305
218500,20181224123800,218000,219000,219000,309
218500,20181224123700,218500,219000,218500,305
219000,20181224123600,218500,219000,218500,572
218500,20181224123500,218000,218500,218500,175
218500,20181224123400,218000,219000,218500,264
218500,20181224123300,218000,218500,218500,488
218000,20181224123200,218000,219000,218500,445
219000,20181224123100,218500,219000,219000,353
218500,20181224123000,218500,219000,219000,661
219000,20181224122900,218500,219000,219000,3336
219500,20181224122800,219000,219500,219500,330
219500,20181224122700,219000,219500,219500,501
219500,20181224122600,219000,219500,219500,312
219000,20181224122500,219000,219500,219000,261
219000,20181224122400,219000,219500,219500,471
219000,20181224122300,219000,219500,219500,378
219500,20181224122200,219000,219500,219500,257
219000,20181224122100,219000,219500,219500,473
219000,20181224122000,219000,219500,219000,293
219000,20181224121900,219000,219500,219000,376
219500,20181224121800,219000,219500,219500,274
219000,20181224121700,219000,219500,219500,285
219500,20181224121600,218500,219500,219000,401
219000,20181224121500,218500,219000,219000,214
219000,20181224121400,218500,219000,219000,722
219000,20181224121300,218500,219000,218500,480
218500,20181224121200,218500,219000,219000,370
219000,20181224121100,218500,219000,219000,249
218500,20181224121000,218500,219500,219500,398
219500,20181224120900,219000,219500,219500,461
219000,20181224120800,219000,219500,219000,277
219000,20181224120700,219000,219500,219000,387
219500,20181224120600,219000,219500,219500,344
219500,20181224120500,219000,219500,219500,253
219500,20181224120400,219000,219500,219500,368
219000,20181224120300,219000,219500,219500,662
219500,20181224120200,219000,219500,219500,310
219500,20181224120100,219000,219500,219500,197
219500,20181224120000,219000,219500,219000,513
219500,20181224115900,218500,219500,219000,855
218500,20181224115800,218500,219000,219000,626
219000,20181224115700,218500,219000,219000,586
218500,20181224115600,218500,219000,218500,379
219000,20181224115500,218500,219000,219000,359
219000,20181224115400,218500,219000,218500,367
218500,20181224115300,218500,219000,218500,227
219000,20181224115200,218500,219000,219000,404
218500,20181224115100,218500,219000,218500,255
218500,20181224115000,218500,219000,219000,470
219000,20181224114900,218500,219000,219000,371
219000,20181224114800,218500,219000,218500,397
218500,20181224114700,218500,219000,218500,210
219000,20181224114600,218500,219000,219000,601
219000,20181224114500,218500,219000,219000,828
218500,20181224114400,218500,219000,219000,324
219000,20181224114300,218500,219000,219000,533
218500,20181224114200,218500,219000,219000,383
219000,20181224114100,218500,219000,218500,606
218500,20181224114000,218500,219000,219000,549
219000,20181224113900,218500,219000,218500,355
219000,20181224113800,218500,219000,218500,609
219000,20181224113700,218500,219000,219000,480
218500,20181224113600,218500,219000,219000,572
219000,20181224113500,218500,219000,219000,542
219000,20181224113400,218000,219000,219000,1231
219000,20181224113300,218500,219000,218500,530
219000,20181224113200,218500,219000,219000,346
218500,20181224113100,218000,219000,218000,487
218500,20181224113000,218000,218500,218000,548
218500,20181224112900,218000,219000,218500,836
218500,20181224112800,218000,218500,218500,817
218000,20181224112700,217500,218500,218000,463
218000,20181224112600,217500,218000,218000,944
218000,20181224112500,217500,218000,218000,552
218000,20181224112400,217500,218000,218000,606
218000,20181224112300,217500,218500,218000,533
218000,20181224112200,218000,218500,218500,457
218500,20181224112100,218000,218500,218000,802
218000,20181224112000,218000,218500,218500,636
218000,20181224111900,218000,218500,218000,692
218000,20181224111800,218000,218500,218000,741
218000,20181224111700,218000,218500,218500,584
218000,20181224111600,218000,218500,218500,588
218500,20181224111500,218000,218500,218500,652
218500,20181224111400,218000,218500,218500,650
218500,20181224111300,218000,219000,218500,606
218500,20181224111200,218000,219000,219000,847
219000,20181224111100,218000,219000,218500,1776
218500,20181224111000,217500,218500,218000,1554
218000,20181224110900,217500,218000,218000,429
217500,20181224110800,217500,218000,218000,483
218000,20181224110700,217000,218000,217000,1020
217500,20181224110600,217000,217500,217500,474
217000,20181224110500,217000,217500,217500,678
217500,20181224110400,217000,217500,217500,515
217500,20181224110300,217000,217500,217500,424
217500,20181224110200,217000,217500,217000,796
217000,20181224110100,217000,217500,217500,602
217500,20181224110000,217000,217500,217500,385
217000,20181224105900,217000,217500,217500,384
217000,20181224105800,217000,218000,217000,1536
217000,20181224105700,217000,218000,218000,643
217500,20181224105600,217500,218500,218500,680
218500,20181224105500,217500,218500,218000,1835
218000,20181224105400,217500,218000,218000,1140
217500,20181224105300,217000,218000,217500,1085
217500,20181224105200,216500,217500,217000,1256
216500,20181224105100,216000,216500,216500,1303
216000,20181224105000,216000,216500,216500,415
216500,20181224104900,216000,216500,216000,590
216000,20181224104800,216000,216500,216500,268
216000,20181224104700,216000,216500,216000,627
216500,20181224104600,216000,216500,216500,337
216500,20181224104500,216000,216500,216500,285
216500,20181224104400,216000,216500,216000,397
216000,20181224104300,216000,216500,216000,264
216000,20181224104200,216000,216500,216500,596
216000,20181224104100,216000,216500,216000,275
216500,20181224104000,215500,216500,216000,458
216000,20181224103900,215500,216000,215500,499
215500,20181224103800,215500,216000,216000,217
215500,20181224103700,215500,216500,216000,650
216000,20181224103600,215500,216000,215500,448
216000,20181224103500,215500,216000,215500,375
215500,20181224103400,215000,216000,215500,513
215500,20181224103300,215000,215500,215500,581
215000,20181224103200,215000,215500,215500,266
215500,20181224103100,215000,216000,216000,585
215500,20181224103000,215000,216000,215500,496
215500,20181224102900,215000,216000,215500,907
215500,20181224102800,215500,216000,215500,1045
215500,20181224102700,215500,216000,216000,1086
216000,20181224102600,216000,217000,217000,2009
