close,day,high,low,open,volume
33500,20181224153000,33500,33500,33500,78997
33750,20181224151900,33750,33800,33800,719
33800,20181224151800,33700,33800,33800,2664
33800,20181224151700,33650,33800,33700,3114
33700,20181224151600,33550,33700,33600,15365
33600,20181224151500,33550,33600,33550,2607
33550,20181224151400,33550,33600,33550,1957
33600,20181224151300,33550,33600,33600,2199
33550,20181224151200,33550,33600,33600,1256
33550,20181224151100,33550,33600,33550,1061
33600,20181224151000,33550,33600,33550,2881
33550,20181224150900,33550,33600,33600,662
33600,20181224150800,33550,33600,33600,875
33600,20181224150700,33550,33600,33600,974
33550,20181224150600,33550,33600,33600,1510
33550,20181224150500,33550,33600,33600,849
33600,20181224150400,33550,33600,33600,914
33550,20181224150300,33550,33600,33600,1113
33550,20181224150200,33550,33600,33600,1023
33550,20181224150100,33550,33600,33550,1069
33600,20181224150000,33550,33600,33550,1166
33600,20181224145900,33550,33600,33550,1475
33550,20181224145800,33550,33600,33600,1023
33600,20181224145700,33550,33600,33550,594
33600,20181224145600,33550,33600,33550,1488
33550,20181224145500,33550,33600,33550,563
33550,20181224145400,33550,33600,33600,939
33550,20181224145300,33550,33600,33550,586
33600,20181224145200,33550,33600,33550,2486
33550,20181224145100,33550,33600,33600,681
33550,20181224145000,33550,33600,33600,1612
33550,20181224144900,33550,33600,33550,491
33550,20181224144800,33550,33600,33550,977
33550,20181224144700,33550,33600,33550,583
33550,20181224144600,33550,33600,33550,917
33550,20181224144500,33550,33600,33550,2356
33600,20181224144400,33550,33600,33600,929
33600,20181224144300,33550,33600,33550,1226
33600,20181224144200,33550,33600,33600,1442
33550,20181224144100,33550,33600,33600,706
33550,20181224144000,33550,33600,33600,2771
33650,20181224143900,33600,33650,33650,1063
33650,20181224143800,33600,33650,33600,383
33650,20181224143700,33600,33650,33650,3062
33650,20181224143600,33600,33650,33600,1095
33650,20181224143500,33600,33650,33600,753
33600,20181224143400,33600,33650,33600,344
33600,20181224143300,33600,33650,33650,639
33600,20181224143200,33600,33650,33600,279
33600,20181224143100,33550,33650,33550,4301
33550,20181224143000,33550,33600,33550,894
33600,20181224142900,33550,33650,33650,2904
33600,20181224142800,33450,33650,33450,23760
33500,20181224142700,33450,33500,33500,1014
33450,20181224142600,33450,33500,33450,2412
33450,20181224142500,33450,33500,33500,954
33450,20181224142400,33450,33500,33500,883
33500,20181224142300,33450,33500,33500,1853
33500,20181224142200,33450,33500,33450,798
33450,20181224142100,33450,33500,33450,916
33450,20181224142000,33450,33500,33500,810
33500,20181224141900,33450,33500,33450,2376
33450,20181224141800,33450,33500,33450,700
33500,20181224141700,33450,33500,33450,1280
33450,20181224141600,33450,33550,33550,3646
33500,20181224141500,33500,33550,33500,5367
33500,20181224141400,33500,33550,33500,1091
33500,20181224141300,33500,33650,33650,17356
33650,20181224141200,33600,33650,33600,967
33600,20181224141100,33600,33650,33600,193
33650,20181224141000,33600,33650,33600,2582
33650,20181224140900,33600,33650,33650,669
33650,20181224140800,33600,33650,33600,709
