close,day,high,low,open,volume
71500,20181224153000,71500,71500,71500,9471
71300,20181224151900,71300,71600,71600,191
71600,20181224151800,71200,71600,71400,244
71300,20181224151700,71300,71600,71400,883
71400,20181224151600,71000,71400,71000,675
71100,20181224151500,71100,71300,71100,941
71100,20181224151400,71100,71400,71400,753
71400,20181224151300,71100,71400,71200,883
71200,20181224151200,71100,71400,71300,692
71300,20181224151100,71200,71400,71400,890
71300,20181224151000,71100,71400,71100,424
71100,20181224150900,71100,71400,71400,970
71400,20181224150800,71200,71400,71400,386
71300,20181224150700,71200,71400,71200,766
71300,20181224150600,71200,71400,71300,395
71300,20181224150500,71200,71400,71300,507
71400,20181224150400,71200,71400,71200,540
71200,20181224150300,71200,71300,71300,484
71300,20181224150200,71200,71300,71200,896
71200,20181224150100,71100,71300,71100,222
71100,20181224150000,71100,71400,71100,625
71100,20181224145900,71000,71400,71200,1193
71300,20181224145800,71100,71300,71100,643
71200,20181224145700,71000,71200,71100,385
71100,20181224145600,71000,71200,71200,379
71300,20181224145500,71000,71300,71200,692
71200,20181224145400,71100,71300,71100,616
71100,20181224145300,71000,71100,71000,791
71100,20181224145200,71000,71200,71100,914
71100,20181224145100,71100,71200,71100,342
71100,20181224145000,71100,71300,71100,814
71100,20181224144900,71100,71200,71100,777
71100,20181224144800,71100,71400,71200,1216
71100,20181224144700,71100,71300,71100,503
71200,20181224144600,71100,71400,71200,586
71100,20181224144500,71100,71400,71200,833
71200,20181224144400,71100,71400,71100,951
71100,20181224144300,71100,71400,71300,921
71300,20181224144200,71300,71400,71300,546
71300,20181224144100,71200,71400,71300,809
71400,20181224144000,71200,71400,71300,775
71200,20181224143900,71200,71400,71300,901
71300,20181224143800,71200,71400,71400,749
71300,20181224143700,71300,71500,71400,957
71400,20181224143600,71300,71500,71500,556
71400,20181224143500,71200,71500,71500,1006
71400,20181224143400,71200,71500,71200,354
71200,20181224143300,71200,71400,71300,659
71300,20181224143200,71300,71400,71300,486
71300,20181224143100,71200,71400,71400,790
71400,20181224143000,71200,71400,71300,987
71400,20181224142900,71200,71400,71200,622
71200,20181224142800,71100,71400,71100,452
71100,20181224142700,71100,71400,71300,973
71300,20181224142600,71200,71400,71200,738
71200,20181224142500,71100,71300,71300,734
71300,20181224142400,71200,71300,71200,760
71300,20181224142300,71100,71300,71200,785
71300,20181224142200,71100,71300,71300,504
71300,20181224142100,71100,71300,71100,693
71100,20181224142000,71100,71300,71300,606
71300,20181224141900,71200,71300,71200,799
71200,20181224141800,71100,71300,71100,601
71100,20181224141700,71100,71200,71200,611
71200,20181224141600,71200,71300,71200,656
71300,20181224141500,71200,71300,71300,864
71200,20181224141400,71100,71300,71100,1162
71200,20181224141300,71100,71200,71100,897
71100,20181224141200,71100,71400,71200,1003
71200,20181224141100,71200,71400,71200,485
71200,20181224141000,71100,71300,71100,461
71200,20181224140900,71100,71300,71200,581
71200,20181224140800,71100,71300,71100,1149
71100,20181224140700,71100,71100,71100,257
71100,20181224140600,71100,71200,71100,536
71100,20181224140500,71100,71300,71200,640
71200,20181224140400,71200,71300,71300,358
71200,20181224140300,71100,71300,71100,260
71100,20181224140200,71100,71200,71100,393
71100,20181224140100,71100,71200,71100,503
71100,20181224140000,71100,71200,71100,448
71100,20181224135900,71000,71100,71000,368
