close,day,high,low,open,volume
61800,20181224153000,61800,61800,61800,29970
61900,20181224151900,61700,61900,61800,8841
61800,20181224151800,61700,61800,61800,1087
61700,20181224151700,61700,61800,61700,1220
61700,20181224151600,61700,61800,61700,3398
61700,20181224151500,61700,61800,61700,1357
61700,20181224151400,61700,61800,61700,1804
61700,20181224151300,61700,61800,61800,734
61700,20181224151200,61600,61800,61600,7299
61600,20181224151100,61600,61700,61600,858
61700,20181224151000,61600,61700,61600,981
61600,20181224150900,61600,61700,61700,1143
61700,20181224150800,61600,61700,61700,1356
61700,20181224150700,61600,61800,61700,979
61800,20181224150600,61700,61800,61800,5332
61800,20181224150500,61700,61800,61700,483
61700,20181224150400,61700,61800,61700,464
61700,20181224150300,61700,61900,61900,6807
61800,20181224150200,61800,61900,61900,1312
61900,20181224150100,61800,61900,61800,259
61900,20181224150000,61800,61900,61800,474
61800,20181224145900,61800,61900,61800,718
61900,20181224145800,61800,61900,61800,393
61900,20181224145700,61800,61900,61800,436
61900,20181224145600,61800,61900,61800,338
61800,20181224145500,61800,61900,61800,369
61800,20181224145400,61700,61800,61700,6948
61700,20181224145300,61700,61800,61700,486
61800,20181224145200,61700,61800,61700,497
61700,20181224145100,61700,61800,61700,440
61800,20181224145000,61700,61800,61700,370
61800,20181224144900,61700,61800,61700,1701
61700,20181224144800,61700,61800,61700,400
61700,20181224144700,61700,61800,61700,1843
61800,20181224144600,61600,61800,61700,1289
61700,20181224144500,61700,61800,61700,708
61700,20181224144400,61700,61800,61700,841
61700,20181224144300,61600,61800,61700,3480
61700,20181224144200,61600,61800,61600,2593
61600,20181224144100,61600,61800,61700,962
61700,20181224144000,61600,61800,61800,2398
61800,20181224143900,61700,61800,61700,2046
61700,20181224143800,61700,61800,61700,923
61700,20181224143700,61700,61800,61700,950
61800,20181224143600,61700,61800,61800,1609
61800,20181224143500,61700,61800,61700,336
61700,20181224143400,61700,61800,61700,724
61800,20181224143300,61600,61800,61600,5196
61600,20181224143200,61600,61700,61600,533
61600,20181224143100,61600,61700,61600,778
61600,20181224143000,61600,61700,61600,1944
61600,20181224142900,61600,61700,61600,913
61600,20181224142800,61600,61700,61600,594
61700,20181224142700,61600,61700,61600,902
61700,20181224142600,61600,61700,61600,906
61600,20181224142500,61600,61700,61600,603
61600,20181224142400,61600,61800,61700,15149
61700,20181224142300,61700,61800,61700,553
61700,20181224142200,61700,61800,61700,623
61700,20181224142100,61700,61800,61700,398
61800,20181224142000,61700,61800,61700,671
61700,20181224141900,61700,61800,61700,596
61700,20181224141800,61700,61800,61700,516
61700,20181224141700,61700,61800,61700,334
61700,20181224141600,61700,61800,61800,360
61700,20181224141500,61700,61800,61700,2720
61700,20181224141400,61700,61800,61700,712
61700,20181224141300,61700,61800,61700,685
61700,20181224141200,61700,61800,61700,991
61700,20181224141100,61700,61800,61700,434
61700,20181224141000,61700,61800,61800,206
61700,20181224140900,61700,61800,61700,2591
61700,20181224140800,61700,61800,61700,512
61700,20181224140700,61600,61800,61700,2015
61700,20181224140600,61700,61800,61800,590
61700,20181224140500,61700,61800,61700,1871
61800,20181224140400,61700,61800,61700,442
61700,20181224140300,61700,61800,61700,240
61700,20181224140200,61600,61800,61700,4488
61700,20181224140100,61700,61800,61700,459
61800,20181224140000,61700,61800,61700,333
61700,20181224135900,61700,61800,61800,971
61700,20181224135800,61700,61800,61700,338
61700,20181224135700,61700,61800,61700,234
61800,20181224135600,61700,61800,61700,417
61800,20181224135500,61700,61900,61800,6383
61900,20181224135400,61800,61900,61800,294
61800,20181224135300,61800,61900,61900,139
61900,20181224135200,61800,62000,61900,1549
62000,20181224135100,61800,62000,61800,5124
61800,20181224135000,61800,62000,62000,4939
61900,20181224134900,61900,62000,62000,2144
62000,20181224134800,61900,62000,61900,160
61900,20181224134700,61900,62000,62000,238
61900,20181224134600,61900,62000,62000,312
61900,20181224134500,61900,62000,62000,300
61900,20181224134400,61900,62000,61900,178
61900,20181224134300,61900,62000,61900,697
61900,20181224134200,61900,62000,61900,324
61900,20181224134100,61900,62000,61900,235
62000,20181224134000,61900,62000,61900,183
61900,20181224133900,61900,62000,62000,153
62000,20181224133800,61900,62000,61900,224
61900,20181224133700,61900,62000,61900,249
61900,20181224133600,61900,62000,61900,116
61900,20181224133500,61900,62000,61900,183
61900,20181224133400,61900,62000,62000,630
62000,20181224133300,61900,62000,61900,284
61900,20181224133200,61800,62000,61800,1914
61800,20181224133100,61800,61900,61900,315
61800,20181224133000,61800,61900,61800,383
61800,20181224132900,61800,62000,61900,5292
62000,20181224132800,61900,62000,62000,196
61900,20181224132700,61900,62000,62000,160
61900,20181224132600,61900,62000,61900,1251
62000,20181224132500,61900,62000,61900,769
61900,20181224132400,61900,62000,62000,315
62000,20181224132300,61900,62000,61900,163
