close,day,high,low,open,volume
60400,20181224153000,60400,60400,60400,127331
60400,20181224151900,60300,60400,60400,11449
60300,20181224151800,60300,60500,60500,17598
60500,20181224151700,60400,60500,60500,5558
60500,20181224151600,60300,60500,60300,16119
60300,20181224151500,60300,60400,60300,3086
60400,20181224151400,60300,60500,60400,20614
60500,20181224151300,60400,60500,60400,6184
60400,20181224151200,60400,60500,60500,3761
60400,20181224151100,60400,60500,60500,8420
60400,20181224151000,60400,60500,60500,13228
60500,20181224150900,60400,60500,60400,3776
60400,20181224150800,60400,60500,60500,2135
60500,20181224150700,60400,60500,60500,3282
60400,20181224150600,60400,60500,60500,447
60500,20181224150500,60400,60600,60400,50518
60500,20181224150400,60400,60500,60500,6938
60400,20181224150300,60400,60500,60500,5873
60500,20181224150200,60400,60500,60400,8927
60400,20181224150100,60400,60500,60400,2697
60400,20181224150000,60400,60500,60500,4800
60400,20181224145900,60400,60500,60400,4500
60400,20181224145800,60400,60500,60400,2184
60400,20181224145700,60400,60500,60400,2843
60400,20181224145600,60400,60500,60400,3407
60500,20181224145500,60300,60500,60400,21477
60400,20181224145400,60300,60500,60400,22735
60400,20181224145300,60300,60400,60300,25628
60400,20181224145200,60300,60400,60300,3682
60300,20181224145100,60300,60400,60400,3576
60400,20181224145000,60200,60400,60200,13741
60300,20181224144900,60200,60300,60200,2491
60200,20181224144800,60200,60300,60200,4125
60300,20181224144700,60200,60300,60200,2294
60300,20181224144600,60200,60400,60300,13770
60400,20181224144500,60300,60400,60300,2723
60300,20181224144400,60300,60400,60400,2310
60400,20181224144300,60300,60400,60300,3753
60300,20181224144200,60300,60400,60300,1724
60400,20181224144100,60300,60400,60300,2448
60400,20181224144000,60300,60400,60300,2497
60400,20181224143900,60300,60400,60300,3638
60400,20181224143800,60300,60500,60400,26460
60400,20181224143700,60400,60500,60400,3064
60400,20181224143600,60400,60500,60400,3441
60500,20181224143500,60400,60500,60500,2536
60400,20181224143400,60400,60500,60400,4708
60400,20181224143300,60400,60500,60500,2793
60400,20181224143200,60400,60500,60500,3648
60500,20181224143100,60400,60500,60400,4507
60500,20181224143000,60400,60500,60400,3186
60400,20181224142900,60400,60500,60500,4370
60500,20181224142800,60400,60500,60500,3439
60500,20181224142700,60400,60500,60400,3796
60500,20181224142600,60400,60500,60500,5002
60500,20181224142500,60400,60500,60400,2557
60400,20181224142400,60400,60500,60400,4066
60400,20181224142300,60400,60500,60400,2121
60500,20181224142200,60400,60500,60400,23378
60400,20181224142100,60400,60500,60500,2826
60500,20181224142000,60400,60500,60400,3673
60500,20181224141900,60400,60500,60400,2647
60400,20181224141800,60400,60500,60400,2071
60500,20181224141700,60400,60500,60400,2140
60500,20181224141600,60400,60500,60400,2023
60500,20181224141500,60400,60500,60400,2701
60500,20181224141400,60400,60500,60400,5019
60500,20181224141300,60400,60500,60400,3734
60500,20181224141200,60400,60500,60400,2997
60500,20181224141100,60400,60500,60400,1629
60400,20181224141000,60400,60500,60400,2120
60500,20181224140900,60400,60500,60500,2405
60400,20181224140800,60400,60500,60500,2931
60500,20181224140700,60400,60500,60400,4200
60500,20181224140600,60400,60500,60400,2230
60500,20181224140500,60400,60500,60400,2237
60500,20181224140400,60400,60500,60500,1412
60400,20181224140300,60400,60500,60400,2979
60400,20181224140200,60400,60500,60400,1989
60500,20181224140100,60400,60500,60400,2914
60400,20181224140000,60400,60500,60500,1988
60400,20181224135900,60400,60500,60500,1805
60400,20181224135800,60400,60500,60400,1438
60400,20181224135700,60400,60500,60400,2096
60500,20181224135600,60400,60500,60400,1607
60500,20181224135500,60400,60500,60500,2243
60500,20181224135400,60400,60500,60500,3325
60500,20181224135300,60400,60500,60400,1480
60500,20181224135200,60400,60500,60500,1660
60400,20181224135100,60400,60500,60500,2145
60500,20181224135000,60400,60500,60500,2544
60500,20181224134900,60400,60500,60500,2300
60400,20181224134800,60400,60500,60400,1390
60400,20181224134700,60400,60500,60400,1934
60500,20181224134600,60400,60500,60500,1803
60400,20181224134500,60400,60500,60400,2524
60400,20181224134400,60400,60500,60500,1344
60500,20181224134300,60400,60500,60500,1660
60500,20181224134200,60400,60500,60400,1440
60400,20181224134100,60300,60500,60300,10344
