close,day,high,low,open,volume
15050,20181224153000,15050,15050,15050,30110
15000,20181224151900,15000,15050,15000,1684
15000,20181224151800,15000,15050,15000,1755
15000,20181224151700,15000,15050,15000,2843
15000,20181224151600,15000,15050,15050,10434
15050,20181224151500,15000,15050,15000,4159
15000,20181224151400,15000,15050,15000,3025
15000,20181224151300,15000,15050,15050,3203
15000,20181224151200,15000,15050,15000,2813
15000,20181224151100,15000,15050,15000,2922
15050,20181224151000,15000,15050,15000,4682
15000,20181224150900,15000,15050,15050,2086
15000,20181224150800,14950,15050,15050,4086
15000,20181224150700,15000,15050,15000,3499
15000,20181224150600,15000,15050,15000,1908
15000,20181224150500,15000,15050,15000,2429
15000,20181224150400,15000,15050,15000,2358
15000,20181224150300,15000,15050,15050,1595
15000,20181224150200,14950,15050,14950,3778
14950,20181224150100,14950,15000,14950,2334
15000,20181224150000,14950,15000,15000,3365
15000,20181224145900,14950,15000,14950,7895
14950,20181224145800,14950,15000,15000,3162
15000,20181224145700,14950,15000,14950,3231
14950,20181224145600,14950,15000,14950,3396
14950,20181224145500,14950,15000,14950,2332
14950,20181224145400,14950,15000,15000,2873
14950,20181224145300,14950,15000,14950,2707
14950,20181224145200,14950,15000,14950,3449
14950,20181224145100,14950,15000,14950,3022
14950,20181224145000,14950,15000,15000,5302
15000,20181224144900,14950,15000,15000,2968
15000,20181224144800,14950,15000,15000,3347
14950,20181224144700,14950,15000,14950,3665
15000,20181224144600,14950,15000,15000,2418
14950,20181224144500,14950,15000,14950,6472
14950,20181224144400,14950,15050,15000,4550
15000,20181224144300,14950,15000,14950,4698
15000,20181224144200,14950,15000,14950,2725
14950,20181224144100,14950,15000,15000,3142
15000,20181224144000,14950,15050,15000,3290
15000,20181224143900,14950,15050,15000,2794
15000,20181224143800,14950,15050,14950,2888
14950,20181224143700,14950,15000,15000,2962
15000,20181224143600,14950,15000,15000,2588
14950,20181224143500,14950,15050,14950,4712
14950,20181224143400,14950,15000,14950,3215
15000,20181224143300,14950,15000,15000,2369
15050,20181224143200,14950,15050,14950,3847
14950,20181224143100,14950,15000,14950,3553
14950,20181224143000,14950,15000,14950,3615
14950,20181224142900,14950,15000,15000,3888
14950,20181224142800,14950,15000,15000,14392
15000,20181224142700,15000,15100,15100,3695
15100,20181224142600,15000,15100,15050,3397
15000,20181224142500,15000,15050,15000,2402
15000,20181224142400,15000,15100,15050,31751
15050,20181224142300,15000,15100,15000,3392
15050,20181224142200,15000,15100,15000,2134
15050,20181224142100,15000,15100,15050,3576
15050,20181224142000,15000,15100,15000,3807
15050,20181224141900,15000,15100,15050,4914
15050,20181224141800,15050,15100,15050,2445
15050,20181224141700,15050,15100,15050,2751
15050,20181224141600,15050,15100,15100,2641
15050,20181224141500,15050,15100,15050,1833
15050,20181224141400,15000,15100,15050,3232
15000,20181224141300,15000,15100,15100,2372
15100,20181224141200,15000,15100,15050,2296
15050,20181224141100,15000,15100,15050,2564
15050,20181224141000,15000,15100,15050,2464
15000,20181224140900,15000,15050,15050,2084
15050,20181224140800,15000,15100,15000,2565
15050,20181224140700,15000,15100,15050,2296
15000,20181224140600,15000,15050,15000,2698
15050,20181224140500,15050,15100,15100,3625
15050,20181224140400,15000,15100,15000,3166
15000,20181224140300,15000,15050,15000,2082
15000,20181224140200,15000,15050,15000,7851
15050,20181224140100,15000,15050,15000,3365
15000,20181224140000,15000,15050,15050,1680
15050,20181224135900,15000,15050,15000,805
15000,20181224135800,15000,15050,15000,1022
15050,20181224135700,15000,15050,15050,1190
15050,20181224135600,15000,15050,15000,2733
15000,20181224135500,15000,15050,15050,409
15000,20181224135400,15000,15050,15050,1640
15000,20181224135300,15000,15050,15050,526
