close,day,high,low,open,volume
448500,20181224153000,448500,448500,448500,1414
447500,20181224151900,447500,448500,448500,21
448500,20181224151800,447000,448500,448500,42
448500,20181224151700,447000,449500,449000,131
448500,20181224151600,447500,449000,449000,196
448500,20181224151500,448500,449000,449000,107
449000,20181224151400,447000,449000,447500,114
448500,20181224151300,448000,449000,448500,118
448500,20181224151200,447000,448500,448000,129
448000,20181224151100,447500,448500,448500,70
448500,20181224151000,447500,448500,448000,93
448500,20181224150900,447500,448500,448500,51
448500,20181224150800,447000,448500,447000,112
447000,20181224150700,447000,448500,448000,85
448000,20181224150600,447000,448000,447500,59
447500,20181224150500,446500,448000,448000,97
448000,20181224150400,447000,448000,448000,92
447500,20181224150300,447500,448000,448000,61
448000,20181224150200,446500,448000,447000,79
447000,20181224150100,447000,447500,447000,43
447000,20181224150000,446500,447500,446500,99
446500,20181224145900,446500,447500,447000,165
447000,20181224145800,446500,447500,446500,122
446500,20181224145700,445500,447000,446500,71
446000,20181224145600,446000,447000,446500,131
446500,20181224145500,446000,447000,446500,111
446000,20181224145400,445500,446500,445500,100
446000,20181224145300,445000,448000,447000,665
447500,20181224145200,446500,448000,448000,131
447500,20181224145100,447000,448000,447500,127
448000,20181224145000,447000,448000,447000,104
447000,20181224144900,447000,448000,448000,85
448000,20181224144800,446000,448000,447500,182
447500,20181224144700,447000,448000,447500,96
447500,20181224144600,447000,448000,447000,104
447500,20181224144500,447000,448000,448000,87
448000,20181224144400,446500,448000,446500,109
446500,20181224144300,446500,448000,447500,79
447500,20181224144200,447000,448000,447500,153
447500,20181224144100,446500,447500,446500,53
446500,20181224144000,446000,447000,446500,111
446500,20181224143900,446500,447500,447000,62
447000,20181224143800,446000,447500,447500,106
447500,20181224143700,446000,447500,447000,79
446500,20181224143600,446000,447500,446500,120
446000,20181224143500,446000,447500,447000,61
447000,20181224143400,446500,447500,447000,127
447000,20181224143300,446500,447500,446500,61
446500,20181224143200,446500,448000,447500,122
447500,20181224143100,446500,448000,447500,112
447500,20181224143000,446000,447500,446000,128
446500,20181224142900,446000,447500,447000,71
447500,20181224142800,446000,447500,446000,81
446000,20181224142700,446000,447500,447000,48
447500,20181224142600,445500,447500,447000,136
446500,20181224142500,445500,447000,446000,44
446000,20181224142400,446000,446500,446000,111
446000,20181224142300,446000,447000,447000,73
447000,20181224142200,446000,447000,446500,118
446500,20181224142100,445500,447000,445500,64
445500,20181224142000,445500,446500,446000,160
446000,20181224141900,446000,446500,446000,72
446500,20181224141800,445000,446500,445000,68
445500,20181224141700,445000,446500,446500,98
446000,20181224141600,445000,447000,445500,68
445500,20181224141500,445000,448000,447500,159
448000,20181224141400,446000,448000,447000,100
447000,20181224141300,446500,448000,447500,84
447500,20181224141200,446500,448000,448000,138
448000,20181224141100,446500,448000,448000,44
447500,20181224141000,447000,448000,447500,94
447500,20181224140900,447000,447500,447000,122
447000,20181224140800,446500,447500,446500,138
446500,20181224140700,446500,447000,446500,50
446000,20181224140600,445500,446500,446000,69
446500,20181224140500,446000,447000,446500,109
446500,20181224140400,445500,447000,445500,84
446500,20181224140300,446000,447000,447000,61
446000,20181224140200,446000,447500,447000,67
447000,20181224140100,446000,447500,447000,127
447000,20181224140000,446500,447500,446500,48
446500,20181224135900,446500,447000,446500,53
446500,20181224135800,445500,447000,446500,81
446500,20181224135700,446500,447000,446500,70
446500,20181224135600,446000,447000,446000,100
446000,20181224135500,445500,446500,446500,102
446500,20181224135400,445000,446500,446000,59
446500,20181224135300,446000,448000,447500,85
447500,20181224135200,447000,448000,447500,74
447000,20181224135100,447000,447500,447500,69
447000,20181224135000,447000,448000,447000,104
447000,20181224134900,446500,447500,447000,49
447500,20181224134800,446500,447500,447000,89
447000,20181224134700,447000,447500,447000,61
447500,20181224134600,447000,447500,447000,73
447000,20181224134500,447000,447500,447000,46
447000,20181224134400,447000,447500,447500,122
447500,20181224134300,447000,447500,447000,80
447000,20181224134200,447000,447500,447000,94
