close,day,high,low,open,volume
32650,20181224153000,32650,32650,32650,20361
32650,20181224151900,32600,32650,32650,354
32650,20181224151800,32600,32650,32600,550
32550,20181224151700,32550,32600,32550,1311
32550,20181224151600,32550,32600,32600,902
32600,20181224151500,32500,32600,32500,5054
32500,20181224151400,32500,32550,32500,964
32500,20181224151300,32500,32550,32550,1010
32500,20181224151200,32500,32550,32550,1017
32500,20181224151100,32500,32600,32550,1569
32550,20181224151000,32550,32600,32600,753
32600,20181224150900,32550,32600,32600,595
32600,20181224150800,32550,32600,32600,779
32600,20181224150700,32550,32600,32600,549
32600,20181224150600,32550,32600,32550,496
32550,20181224150500,32550,32600,32550,968
32600,20181224150400,32550,32600,32600,552
32550,20181224150300,32550,32600,32600,715
32550,20181224150200,32500,32600,32500,1551
32500,20181224150100,32500,32550,32500,478
32500,20181224150000,32500,32600,32600,977
32600,20181224145900,32450,32600,32500,11782
32500,20181224145800,32450,32500,32450,796
32500,20181224145700,32450,32500,32450,568
32500,20181224145600,32450,32500,32450,713
32500,20181224145500,32450,32500,32450,906
32450,20181224145400,32450,32500,32450,777
32500,20181224145300,32450,32500,32450,1195
32500,20181224145200,32450,32500,32500,972
32450,20181224145100,32450,32500,32450,456
32500,20181224145000,32450,32550,32500,3021
32500,20181224144900,32500,32550,32500,378
32500,20181224144800,32500,32550,32550,1147
32550,20181224144700,32500,32550,32500,1305
32550,20181224144600,32500,32550,32550,366
32500,20181224144500,32500,32600,32550,1458
32600,20181224144400,32550,32650,32600,2420
32650,20181224144300,32600,32650,32600,640
32650,20181224144200,32600,32650,32600,625
32600,20181224144100,32600,32650,32650,686
32600,20181224144000,32600,32650,32600,749
32650,20181224143900,32600,32650,32650,703
32600,20181224143800,32600,32700,32650,422
32650,20181224143700,32650,32700,32650,1225
32650,20181224143600,32650,32700,32700,802
32700,20181224143500,32650,32700,32650,692
32650,20181224143400,32650,32700,32650,565
32650,20181224143300,32650,32700,32650,1186
32650,20181224143200,32650,32700,32650,613
32650,20181224143100,32650,32700,32700,1030
32700,20181224143000,32650,32700,32650,828
32650,20181224142900,32650,32700,32650,580
32700,20181224142800,32650,32700,32700,934
32650,20181224142700,32650,32700,32700,656
32650,20181224142600,32650,32700,32650,438
32700,20181224142500,32650,32700,32650,886
32650,20181224142400,32650,32700,32650,489
32650,20181224142300,32650,32700,32650,1048
32650,20181224142200,32650,32700,32700,393
32700,20181224142100,32650,32700,32700,499
32650,20181224142000,32650,32700,32650,544
32700,20181224141900,32650,32700,32700,478
32700,20181224141800,32650,32850,32850,2130
32800,20181224141700,32800,32850,32800,945
32800,20181224141600,32800,32850,32850,927
32800,20181224141500,32800,32850,32800,458
32850,20181224141400,32600,32850,32650,8095
32650,20181224141300,32600,32650,32600,433
32650,20181224141200,32600,32650,32600,671
32600,20181224141100,32600,32650,32600,525
32600,20181224141000,32600,32650,32650,454
32650,20181224140900,32600,32650,32600,239
32650,20181224140800,32600,32650,32600,812
32650,20181224140700,32600,32650,32600,476
32600,20181224140600,32600,32650,32650,417
32650,20181224140500,32600,32650,32650,251
32600,20181224140400,32600,32650,32650,780
32650,20181224140300,32600,32650,32600,652
32650,20181224140200,32600,32650,32650,199
32600,20181224140100,32600,32650,32600,595
32650,20181224140000,32600,32650,32650,484
32650,20181224135900,32600,32650,32650,355
32600,20181224135800,32600,32650,32600,306
