close,day,high,low,open,volume
54500,20181224153000,54500,54500,54500,4734
54300,20181224151900,54300,54400,54400,230
54400,20181224151800,54300,54400,54300,265
54300,20181224151700,54300,54400,54400,566
54300,20181224151600,54200,54400,54300,665
54200,20181224151500,54200,54400,54200,884
54200,20181224151400,54200,54300,54300,506
54200,20181224151300,54200,54400,54400,628
54300,20181224151200,54200,54400,54300,973
54300,20181224151100,54300,54400,54300,552
54400,20181224151000,54300,54400,54400,413
54400,20181224150900,54300,54500,54300,307
54300,20181224150800,54300,54500,54400,480
54400,20181224150700,54300,54500,54300,457
54400,20181224150600,54400,54600,54500,301
54500,20181224150500,54500,54700,54500,609
54600,20181224150400,54300,54600,54300,1495
54300,20181224150300,54300,54500,54400,565
54300,20181224150200,54300,54500,54400,438
54400,20181224150100,54300,54500,54300,368
54300,20181224150000,54300,54500,54400,773
54400,20181224145900,54400,54600,54400,494
54400,20181224145800,54400,54600,54500,504
54500,20181224145700,54400,54600,54500,493
54500,20181224145600,54400,54700,54500,305
54500,20181224145500,54500,54600,54600,545
54500,20181224145400,54500,54600,54600,818
54500,20181224145300,54500,54700,54600,803
54600,20181224145200,54600,54800,54800,771
54800,20181224145100,54700,54800,54700,464
54800,20181224145000,54700,54800,54700,93
54800,20181224144900,54700,54800,54700,62
54700,20181224144800,54700,54800,54700,57
54700,20181224144700,54700,54800,54700,65
54700,20181224144600,54700,54800,54700,149
54800,20181224144500,54700,54800,54800,128
54800,20181224144400,54700,54900,54700,150
54800,20181224144300,54700,54900,54700,255
54800,20181224144200,54700,54800,54800,108
54700,20181224144100,54700,54800,54800,59
54800,20181224144000,54800,54900,54900,267
54900,20181224143900,54800,54900,54900,101
54800,20181224143800,54800,54900,54800,50
54800,20181224143700,54700,54900,54700,193
54700,20181224143600,54700,54800,54800,177
54700,20181224143500,54700,54800,54800,64
54800,20181224143400,54700,54800,54800,41
54800,20181224143300,54700,54800,54800,91
54800,20181224143200,54700,54900,54800,508
54800,20181224143100,54800,54900,54800,42
54900,20181224143000,54800,54900,54800,44
54800,20181224142900,54800,54900,54800,245
54900,20181224142800,54800,54900,54800,76
54900,20181224142700,54800,55000,54800,439
54800,20181224142600,54800,54900,54900,48
54900,20181224142500,54800,54900,54900,72
54800,20181224142400,54800,54900,54800,76
54900,20181224142300,54800,54900,54800,219
54800,20181224142200,54800,54900,54900,55
54800,20181224142100,54800,54900,54900,86
54800,20181224142000,54800,54900,54900,596
55000,20181224141900,54900,55000,54900,575
54900,20181224141800,54900,55000,54900,62
54900,20181224141700,54900,55000,54900,62
54900,20181224141600,54900,55000,55000,106
55000,20181224141500,54900,55000,55000,27
55000,20181224141400,54900,55000,55000,104
55000,20181224141300,54900,55000,55000,277
55000,20181224141200,54900,55000,55000,99
54900,20181224141100,54900,55000,54900,51
54900,20181224141000,54900,55000,54900,66
55000,20181224140900,54900,55000,55000,40
55000,20181224140800,54900,55000,54900,395
54900,20181224140700,54900,55000,55000,237
55000,20181224140600,54900,55000,55000,56
54900,20181224140500,54900,55000,55000,89
54900,20181224140400,54900,55000,54900,301
54900,20181224140300,54900,55000,55000,286
54900,20181224140200,54900,55000,55000,55
55000,20181224140100,54900,55000,55000,74
54900,20181224140000,54900,55000,54900,144
54900,20181224135900,54900,55000,54900,65
54900,20181224135800,54900,55000,54900,28
55000,20181224135700,54900,55000,54900,79
55000,20181224135600,54900,55000,55000,142
54900,20181224135500,54900,55000,55000,49
54900,20181224135400,54900,55000,54900,78
55000,20181224135300,54900,55000,55000,115
54900,20181224135200,54900,55000,55000,284
54900,20181224135100,54900,55000,54900,227
54900,20181224135000,54900,54900,54900,16
55000,20181224134900,54900,55000,54900,97
54900,20181224134800,54900,55000,55000,33
55000,20181224134700,54900,55000,55000,62
55000,20181224134600,54900,55000,55000,91
55000,20181224134500,54900,55000,55000,49
55000,20181224134400,54900,55000,54900,28
55000,20181224134300,54900,55000,55000,61
55000,20181224134200,54900,55000,54900,29
54900,20181224134100,54900,55000,54900,1027
54900,20181224134000,54900,55000,55000,39
54900,20181224133900,54900,54900,54900,26
54900,20181224133800,54900,55000,55000,118
55000,20181224133700,54900,55000,55000,246
55000,20181224133600,55000,55000,55000,79
54900,20181224133500,54900,55000,54900,72
55000,20181224133400,54900,55000,54900,86
55000,20181224133300,54900,55000,55000,91
55000,20181224133200,54900,55000,55000,69
55000,20181224133100,54900,55000,54900,93
54900,20181224133000,54900,55000,55000,108
54900,20181224132900,54900,55000,55000,94
55000,20181224132800,55000,55000,55000,8
55000,20181224132700,54900,55000,55000,64
55000,20181224132600,54900,55000,55000,147
54900,20181224132500,54900,55000,55000,77
54900,20181224132400,54900,55000,55000,36
55000,20181224132300,54900,55000,55000,57
54900,20181224132200,54900,55000,55000,108
54900,20181224132100,54900,55000,55000,148
55000,20181224132000,54900,55000,54900,28
55000,20181224131900,55000,55000,55000,178
55000,20181224131800,54900,55000,55000,90
55000,20181224131700,54900,55000,55000,41
54900,20181224131600,54900,54900,54900,56
55000,20181224131500,54900,55000,55000,107
55000,20181224131400,55000,55100,55000,182
55000,20181224131300,54900,55000,55000,69
55000,20181224131200,54900,55000,54900,211
55000,20181224131100,54900,55000,54900,39
55000,20181224131000,54900,55000,54900,80
54900,20181224130900,54900,55000,55000,37
55000,20181224130800,54900,55000,54900,64
54900,20181224130700,54900,55000,54900,46
55000,20181224130600,54800,55000,54800,46
54800,20181224130500,54800,55000,54900,74
54900,20181224130400,54900,55000,55000,36
55000,20181224130300,54900,55000,54900,53
54900,20181224130200,54900,55000,54900,52
54900,20181224130100,54900,55000,55000,85
55000,20181224130000,54900,55000,54900,23
54900,20181224125900,54900,55000,55000,19
54900,20181224125800,54900,55100,55000,3988
55100,20181224125700,55000,55100,55000,1880
55100,20181224125600,55000,55100,55100,44
55100,20181224125500,55000,55100,55100,57
55100,20181224125400,55000,55100,55100,65
55100,20181224125300,55000,55100,55100,84
55000,20181224125200,55000,55100,55100,300
55100,20181224125100,55100,55200,55100,147
55100,20181224125000,55000,55100,55000,97
55100,20181224124900,55000,55100,55100,967
55000,20181224124800,55000,55100,55100,47
55100,20181224124700,55000,55100,55100,50
55100,20181224124600,55000,55100,55100,48
55100,20181224124500,55000,55100,55100,44
55000,20181224124400,55000,55100,55000,69
55000,20181224124300,55000,55100,55100,130
55100,20181224124200,55000,55100,55100,23
55100,20181224124100,55100,55200,55100,117
55200,20181224124000,55100,55200,55100,1172
55100,20181224123900,55000,55100,55000,1110
55000,20181224123800,55000,55100,55100,64
55000,20181224123700,55000,55100,55100,31
55100,20181224123600,55000,55100,55100,174
55100,20181224123500,55000,55100,55100,75
55100,20181224123400,55000,55100,55100,81
55100,20181224123300,55000,55100,55100,82
55100,20181224123200,55000,55100,55100,88
55000,20181224123100,55000,55100,55100,51
55100,20181224123000,55000,55100,55000,145
55100,20181224122900,55100,55100,55100,55
55100,20181224122800,55000,55100,55100,63
55100,20181224122700,55000,55100,55100,22
55100,20181224122600,55000,55100,55100,238
55100,20181224122500,55000,55100,55100,24
55100,20181224122400,55000,55100,55000,92
55000,20181224122300,55000,55100,55100,16
55100,20181224122200,55000,55100,55100,444
55100,20181224122100,55100,55100,55100,40
55100,20181224122000,55000,55100,55100,65
55000,20181224121900,55000,55100,55100,56
55100,20181224121800,55000,55100,55100,61
55100,20181224121700,55000,55100,55100,52
55100,20181224121600,55000,55100,55100,36
55100,20181224121500,55000,55100,55100,108
55100,20181224121400,55000,55100,55100,361
55100,20181224121300,55100,55100,55100,27
55000,20181224121200,55000,55100,55100,150
55100,20181224121100,55000,55100,55100,94
55000,20181224121000,55000,55100,55000,74
55100,20181224120900,55000,55100,55100,85
55100,20181224120800,55000,55100,55000,73
55100,20181224120700,55000,55100,55100,105
55100,20181224120600,55000,55100,55100,135
