close,day,high,low,open,volume
46800,20181224153000,46800,46800,46800,10866
46750,20181224151900,46750,46800,46800,538
46800,20181224151800,46750,46800,46750,617
46750,20181224151700,46750,46800,46750,1000
46800,20181224151600,46750,46800,46750,834
46800,20181224151500,46750,46800,46800,783
46800,20181224151400,46700,46800,46800,797
46750,20181224151300,46700,46800,46800,947
46750,20181224151200,46700,46800,46750,1179
46700,20181224151100,46700,46750,46700,230
46700,20181224151000,46700,46750,46750,615
46700,20181224150900,46650,46700,46650,458
46700,20181224150800,46650,46750,46650,845
46650,20181224150700,46650,46700,46700,299
46700,20181224150600,46550,46700,46600,300
46600,20181224150500,46600,46650,46600,559
46650,20181224150400,46600,46650,46650,185
46600,20181224150300,46600,46650,46600,382
46550,20181224150200,46550,46600,46550,367
46550,20181224150100,46550,46650,46600,574
46600,20181224150000,46600,46750,46700,490
46700,20181224145900,46600,46700,46600,623
46600,20181224145800,46600,46650,46600,443
46650,20181224145700,46550,46650,46550,910
46550,20181224145600,46550,46600,46550,522
46550,20181224145500,46550,46600,46550,253
46550,20181224145400,46550,46650,46600,808
46600,20181224145300,46550,46600,46550,251
46550,20181224145200,46550,46600,46550,1225
46550,20181224145100,46550,46600,46550,259
46600,20181224145000,46600,46650,46600,474
46650,20181224144900,46600,46650,46600,276
46550,20181224144800,46550,46600,46550,318
46600,20181224144700,46550,46600,46550,679
46550,20181224144600,46550,46600,46550,194
46550,20181224144500,46550,46650,46650,601
46700,20181224144400,46650,46700,46650,355
46650,20181224144300,46600,46650,46600,438
46600,20181224144200,46600,46650,46650,145
46600,20181224144100,46600,46650,46600,364
46650,20181224144000,46600,46650,46650,405
46650,20181224143900,46600,46650,46600,296
46600,20181224143800,46600,46650,46600,483
46600,20181224143700,46600,46650,46600,214
46600,20181224143600,46600,46650,46650,333
46600,20181224143500,46600,46650,46600,191
46600,20181224143400,46600,46700,46650,613
46650,20181224143300,46650,46700,46700,440
46700,20181224143200,46650,46700,46650,122
46650,20181224143100,46650,46700,46650,324
46700,20181224143000,46650,46700,46650,280
46700,20181224142900,46650,46750,46700,325
46700,20181224142800,46650,46750,46700,1343
46700,20181224142700,46700,46750,46700,279
46750,20181224142600,46700,46750,46750,217
46750,20181224142500,46700,46750,46700,412
46700,20181224142400,46700,46750,46700,189
46700,20181224142300,46700,46750,46700,204
46700,20181224142200,46700,46750,46700,420
46700,20181224142100,46700,46750,46700,132
46750,20181224142000,46700,46800,46800,927
46800,20181224141900,46750,46800,46750,134
