close,day,high,low,open,volume
76300,20181224153000,76300,76300,76300,6598
76300,20181224151900,76300,76400,76400,164
76400,20181224151800,76100,76400,76100,541
76100,20181224151700,76000,76200,76000,829
76000,20181224151600,76000,76200,76000,407
76100,20181224151500,76000,76100,76000,265
76000,20181224151400,76000,76100,76100,369
76000,20181224151300,75900,76000,75900,843
75900,20181224151200,75900,76000,75900,222
75900,20181224151100,75900,76000,75900,206
75900,20181224151000,75900,76000,75900,117
76000,20181224150900,75900,76000,75900,213
75900,20181224150800,75900,76100,76000,347
75900,20181224150700,75700,76000,75700,2056
75700,20181224150600,75700,75800,75700,81
75700,20181224150500,75600,75800,75700,655
75700,20181224150400,75400,75700,75400,6213
75400,20181224150300,75400,75500,75400,2145
75400,20181224150200,75400,75500,75500,141
75400,20181224150100,75400,75500,75400,310
75400,20181224150000,75400,75500,75400,419
75500,20181224145900,75400,75500,75400,318
75400,20181224145800,75400,75500,75500,377
75500,20181224145700,75400,75500,75400,534
75400,20181224145600,75400,75500,75500,326
75500,20181224145500,75400,75500,75400,488
75400,20181224145400,75400,75500,75500,284
75400,20181224145300,75400,75500,75400,457
75400,20181224145200,75400,75500,75400,2158
75400,20181224145100,75400,75500,75400,442
75400,20181224145000,75400,75500,75400,529
75400,20181224144900,75400,75500,75400,503
75400,20181224144800,75400,75500,75400,1801
75400,20181224144700,75400,75500,75400,356
75400,20181224144600,75400,75500,75400,400
75400,20181224144500,75400,75500,75400,433
75400,20181224144400,75400,75500,75400,416
75500,20181224144300,75400,75600,75500,1064
75500,20181224144200,75500,75600,75600,379
75500,20181224144100,75500,75600,75600,452
75500,20181224144000,75500,75600,75500,422
75500,20181224143900,75500,75600,75600,391
75500,20181224143800,75500,75600,75500,337
75500,20181224143700,75500,75700,75600,483
75600,20181224143600,75600,75700,75700,340
75600,20181224143500,75600,75700,75700,345
75600,20181224143400,75600,75900,75800,1386
75800,20181224143300,75800,75900,75800,441
75800,20181224143200,75800,75900,75800,431
75800,20181224143100,75800,75900,75800,2822
75900,20181224143000,75800,75900,75800,354
75800,20181224142900,75800,75900,75800,360
75800,20181224142800,75800,75900,75800,328
75800,20181224142700,75800,75900,75800,1379
75800,20181224142600,75800,75900,75800,233
75800,20181224142500,75800,75900,75900,429
75800,20181224142400,75800,75900,75800,299
75900,20181224142300,75800,75900,75800,295
75800,20181224142200,75800,75900,75800,361
75800,20181224142100,75800,75900,75800,286
75800,20181224142000,75800,75900,75900,946
75900,20181224141900,75800,75900,75900,313
75900,20181224141800,75800,75900,75800,420
75800,20181224141700,75800,75900,75800,433
75800,20181224141600,75800,75900,75800,425
75800,20181224141500,75800,75900,75800,218
75800,20181224141400,75800,76000,75900,282
75900,20181224141300,75900,76000,75900,354
75900,20181224141200,75900,76000,75900,291
76000,20181224141100,75900,76000,75900,320
75900,20181224141000,75900,76000,75900,189
75900,20181224140900,75900,76000,75900,347
75900,20181224140800,75900,76000,75900,262
75900,20181224140700,75900,76000,75900,265
75900,20181224140600,75900,76000,75900,314
76000,20181224140500,75900,76100,76100,1071
76000,20181224140400,76000,76200,76200,7024
76200,20181224140300,76100,76200,76100,302
76200,20181224140200,76100,76200,76200,1644
76100,20181224140100,76100,76200,76200,153
76200,20181224140000,76100,76200,76200,158
76100,20181224135900,76100,76200,76100,238
76100,20181224135800,76100,76200,76100,133
76200,20181224135700,76100,76200,76200,213
76100,20181224135600,76100,76200,76200,164
76200,20181224135500,76100,76200,76200,178
76100,20181224135400,76100,76200,76100,156
76100,20181224135300,76100,76200,76200,225
76200,20181224135200,76100,76200,76100,275
76100,20181224135100,76100,76200,76100,184
76200,20181224135000,76100,76200,76200,94
76200,20181224134900,76100,76200,76100,227
76200,20181224134800,76100,76200,76100,149
76200,20181224134700,76100,76200,76200,159
76200,20181224134600,76100,76200,76200,101
76100,20181224134500,76100,76200,76200,232
76100,20181224134400,76100,76200,76200,267
76100,20181224134300,76100,76200,76200,80
76200,20181224134200,76100,76200,76100,44
76100,20181224134100,76100,76200,76200,234
76100,20181224134000,76100,76200,76200,652
76200,20181224133900,76100,76200,76200,476
76200,20181224133800,76100,76200,76100,203
76200,20181224133700,76100,76200,76200,133
76200,20181224133600,76100,76200,76100,84
76100,20181224133500,76100,76200,76100,212
76200,20181224133400,76100,76200,76200,300
76200,20181224133300,76100,76200,76200,154
76200,20181224133200,76100,76200,76200,295
76200,20181224133100,76100,76200,76100,64
76200,20181224133000,76100,76200,76200,135
76100,20181224132900,76100,76200,76200,264
76200,20181224132800,76100,76200,76200,114
76100,20181224132700,76100,76200,76200,65
76200,20181224132600,76100,76200,76200,255
76100,20181224132500,76100,76200,76100,596
76100,20181224132400,76100,76200,76100,117
76100,20181224132300,76100,76200,76200,148
76100,20181224132200,76100,76200,76200,91
76200,20181224132100,76100,76200,76100,181
76100,20181224132000,76100,76200,76200,175
76200,20181224131900,76100,76200,76100,128
76100,20181224131800,76100,76200,76100,251
76100,20181224131700,76100,76200,76200,181
76200,20181224131600,76100,76200,76200,113
76100,20181224131500,76100,76200,76200,139
76200,20181224131400,76100,76200,76200,88
76200,20181224131300,76100,76200,76100,171
76200,20181224131200,76100,76200,76200,36
76200,20181224131100,76200,76200,76200,79
76200,20181224131000,76200,76200,76200,669
76100,20181224130900,76100,76200,76200,142
76200,20181224130800,76100,76200,76200,112
76200,20181224130700,76200,76200,76200,58
76100,20181224130600,76100,76200,76100,67
76100,20181224130500,76100,76200,76200,334
76200,20181224130400,76200,76200,76200,74
76200,20181224130300,76200,76200,76200,30
76200,20181224130200,76100,76200,76200,151
76200,20181224130100,76100,76200,76200,180
76200,20181224130000,76200,76200,76200,39
76200,20181224125900,76100,76200,76200,73
76200,20181224125800,76100,76200,76200,69
76200,20181224125700,76100,76200,76100,225
76200,20181224125600,76200,76200,76200,91
76200,20181224125500,76100,76200,76200,189
76200,20181224125400,76200,76200,76200,114
76200,20181224125300,76100,76200,76200,243
76100,20181224125200,76100,76200,76100,99
76200,20181224125100,76200,76200,76200,30
76200,20181224125000,76100,76200,76200,111
76100,20181224124900,76100,76200,76200,148
76200,20181224124800,76100,76200,76200,147
76200,20181224124700,76100,76200,76200,128
76100,20181224124600,76100,76200,76200,57
76200,20181224124500,76100,76200,76200,459
76100,20181224124400,76100,76200,76200,114
76200,20181224124300,76100,76200,76100,182
76200,20181224124200,76100,76200,76200,80
76100,20181224124100,76100,76200,76200,250
76200,20181224124000,76100,76200,76200,185
76200,20181224123900,76100,76200,76100,107
76200,20181224123800,76100,76200,76200,173
76200,20181224123700,76100,76200,76100,160
76200,20181224123600,76100,76200,76200,151
76200,20181224123500,76100,76200,76200,92
76100,20181224123400,76100,76200,76200,108
76100,20181224123300,76100,76200,76200,155
76100,20181224123200,76100,76200,76200,89
76200,20181224123100,76100,76200,76100,102
76100,20181224123000,76100,76300,76200,936
76200,20181224122900,76200,76400,76400,2527
76400,20181224122800,76400,76400,76400,34
76400,20181224122700,76300,76400,76400,36
76400,20181224122600,76400,76400,76400,110
76400,20181224122500,76300,76400,76400,101
76400,20181224122400,76400,76400,76400,210
76300,20181224122300,76300,76400,76400,85
76400,20181224122200,76400,76400,76400,41
76400,20181224122100,76300,76400,76400,141
76400,20181224122000,76300,76400,76400,147
76400,20181224121900,76400,76400,76400,32
76400,20181224121800,76300,76400,76400,135
76400,20181224121700,76300,76400,76400,219
76400,20181224121600,76300,76400,76400,31
76400,20181224121500,76400,76400,76400,74
76400,20181224121400,76400,76400,76400,86
76400,20181224121300,76300,76400,76300,205
76400,20181224121200,76400,76400,76400,28
76400,20181224121100,76400,76400,76400,99
76400,20181224121000,76400,76400,76400,120
76400,20181224120900,76300,76400,76400,123
76400,20181224120800,76400,76400,76400,105
76400,20181224120700,76400,76400,76400,30
76400,20181224120600,76300,76400,76300,34
76300,20181224120500,76300,76400,76400,175
76400,20181224120400,76400,76400,76400,19
76400,20181224120300,76400,76400,76400,39
76400,20181224120200,76300,76400,76400,146
76300,20181224120100,76300,76400,76400,756
76400,20181224120000,76400,76400,76400,18
76400,20181224115900,76300,76400,76400,299
76300,20181224115800,76300,76400,76400,126
76300,20181224115700,76300,76400,76400,358
76500,20181224115600,76300,76500,76300,578
76300,20181224115500,76200,76300,76200,1038
76300,20181224115400,76200,76300,76300,49
76200,20181224115300,76200,76300,76300,2027
76200,20181224115200,76200,76300,76300,107
76200,20181224115100,76200,76300,76300,102
76300,20181224115000,76200,76300,76200,174
76300,20181224114900,76200,76300,76200,181
76300,20181224114800,76200,76300,76300,83
76300,20181224114700,76200,76300,76300,141
76300,20181224114600,76200,76300,76200,164
76200,20181224114500,76200,76300,76300,83
76300,20181224114400,76200,76300,76300,159
76200,20181224114300,76200,76300,76300,197
76300,20181224114200,76200,76300,76200,263
76300,20181224114100,76200,76300,76300,117
76300,20181224114000,76200,76300,76300,167
76300,20181224113900,76200,76300,76300,79
76300,20181224113800,76200,76300,76300,253
76300,20181224113700,76200,76300,76300,139
76300,20181224113600,76200,76300,76300,39
76300,20181224113500,76200,76300,76300,940
