close,day,high,low,open,volume
74000,20181224153000,74000,74000,74000,8765
74000,20181224151900,73600,74000,73700,387
73700,20181224151800,73600,73700,73600,179
73600,20181224151700,73500,73900,73500,690
73500,20181224151600,73400,73800,73500,799
73500,20181224151500,73200,73500,73200,681
73200,20181224151400,73200,73400,73400,659
73400,20181224151300,73200,73500,73400,499
73400,20181224151200,73400,73700,73600,605
73500,20181224151100,73400,73700,73400,500
73400,20181224151000,73400,73700,73700,419
73600,20181224150900,73400,73700,73500,634
73500,20181224150800,73500,73900,73800,330
73800,20181224150700,73700,74000,73700,666
73700,20181224150600,73600,74000,73800,733
73900,20181224150500,73800,74100,74000,422
74100,20181224150400,73800,74100,74000,688
74100,20181224150300,74000,74100,74100,512
74000,20181224150200,73900,74100,74100,477
74000,20181224150100,74000,74100,74000,406
74100,20181224150000,73900,74100,74100,537
74000,20181224145900,74000,74100,74000,570
74000,20181224145800,73800,74100,73900,912
73800,20181224145700,73500,73900,73700,468
73600,20181224145600,73500,73700,73700,450
73700,20181224145500,73400,73800,73700,564
73600,20181224145400,73400,73700,73600,625
73500,20181224145300,73300,73600,73500,678
73500,20181224145200,73300,73500,73500,682
73400,20181224145100,73400,73600,73600,395
73500,20181224145000,73400,73600,73600,754
73600,20181224144900,73500,73700,73600,592
73500,20181224144800,73500,73700,73600,503
73500,20181224144700,73400,73600,73500,569
73400,20181224144600,73400,73600,73600,406
73600,20181224144500,73500,73600,73600,533
73600,20181224144400,73500,73600,73600,1177
73500,20181224144300,73500,73600,73500,468
73500,20181224144200,73500,73600,73600,537
73500,20181224144100,73400,73500,73500,704
73500,20181224144000,73300,73800,73700,650
73700,20181224143900,73400,73700,73500,418
73500,20181224143800,73400,73600,73600,426
73400,20181224143700,73400,73700,73600,490
73600,20181224143600,73600,73800,73800,398
73700,20181224143500,73600,73800,73600,539
73600,20181224143400,73500,73700,73600,788
73600,20181224143300,73500,73800,73800,614
73700,20181224143200,73700,73900,73900,473
73800,20181224143100,73700,74000,73800,777
73600,20181224143000,73500,73800,73600,435
73600,20181224142900,73600,73900,73800,628
73800,20181224142800,73800,73900,73900,610
73800,20181224142700,73700,73900,73900,348
73800,20181224142600,73600,74000,73900,1038
73900,20181224142500,73800,74000,73900,742
73900,20181224142400,73800,74000,74000,333
73900,20181224142300,73600,74000,73800,818
73700,20181224142200,73700,74000,74000,366
73900,20181224142100,73900,74100,74000,500
74000,20181224142000,73900,74100,73900,582
73900,20181224141900,73900,74100,74000,462
74000,20181224141800,73900,74100,74000,302
74000,20181224141700,74000,74100,74000,760
73900,20181224141600,73900,74100,74100,425
74000,20181224141500,74000,74300,74200,768
74100,20181224141400,73900,74200,74100,455
74000,20181224141300,73800,74200,73900,475
73900,20181224141200,73800,74200,73800,611
73700,20181224141100,73700,74400,74400,521
74300,20181224141000,74000,74400,74200,510
74200,20181224140900,74200,74400,74300,676
74200,20181224140800,74100,74400,74300,794
74300,20181224140700,74200,74400,74400,402
74300,20181224140600,74200,74400,74400,569
74300,20181224140500,74300,74600,74300,722
74300,20181224140400,74300,74500,74400,580
74300,20181224140300,74300,74600,74500,444
74600,20181224140200,74500,74600,74600,275
74600,20181224140100,74500,74700,74600,466
74500,20181224140000,74400,74600,74500,914
74400,20181224135900,74400,74500,74400,184
74400,20181224135800,74400,74500,74500,365
74400,20181224135700,74400,74500,74500,232
74400,20181224135600,74400,74500,74400,356
74400,20181224135500,74300,74500,74400,238
74300,20181224135400,74300,74600,74600,425
74500,20181224135300,74500,74600,74600,435
74600,20181224135200,74500,74600,74500,317
74500,20181224135100,74500,74600,74500,325
74500,20181224135000,74500,74600,74600,255
74600,20181224134900,74500,74600,74600,75
74600,20181224134800,74400,74600,74500,262
74500,20181224134700,74400,74600,74500,355
74500,20181224134600,74500,74600,74500,90
74500,20181224134500,74400,74600,74500,131
74400,20181224134400,74400,74600,74600,172
74500,20181224134300,74500,74600,74500,108
74500,20181224134200,74500,74600,74500,122
74500,20181224134100,74400,74500,74400,139
74400,20181224134000,74400,74600,74400,469
74500,20181224133900,74300,74500,74400,252
74400,20181224133800,74300,74700,74500,570
74400,20181224133700,74400,74500,74400,116
74400,20181224133600,74400,74500,74500,187
74500,20181224133500,74300,74500,74300,179
74300,20181224133400,74300,74400,74400,223
74400,20181224133300,74300,74600,74600,336
74500,20181224133200,74500,74600,74600,148
74500,20181224133100,74500,74600,74600,179
