close,day,high,low,open,volume
186500,20181224153000,186500,186500,186500,2049
186500,20181224151900,186000,186500,186500,84
186000,20181224151800,185500,186500,186000,48
185500,20181224151700,185500,186500,185500,264
185500,20181224151600,185500,186000,185500,121
185500,20181224151500,185500,186000,185500,132
185500,20181224151400,185500,186000,186000,149
186000,20181224151300,185500,186000,186000,205
185500,20181224151200,185500,186000,185500,111
185500,20181224151100,185500,186000,185500,87
185500,20181224151000,185000,186000,185500,169
186000,20181224150900,185500,186000,185500,43
185500,20181224150800,185000,185500,185500,260
185000,20181224150700,185000,185500,185500,60
185000,20181224150600,185000,185500,185000,84
185500,20181224150500,185000,185500,185000,28
185000,20181224150400,185000,185500,185500,66
185500,20181224150300,185500,186000,185500,61
186000,20181224150200,185500,186000,186000,46
185500,20181224150100,185500,186000,186000,69
186000,20181224150000,185500,186500,186000,89
186000,20181224145900,185500,186500,186000,231
185500,20181224145800,185500,186500,186000,151
186500,20181224145700,185500,186500,186000,77
186000,20181224145600,185500,186000,185500,50
185500,20181224145500,185000,186000,186000,204
186000,20181224145400,185500,186500,185500,52
185500,20181224145300,185500,186500,186000,204
186000,20181224145200,185500,186500,186000,275
186000,20181224145100,186000,186500,186000,138
186500,20181224145000,186000,186500,186000,78
186000,20181224144900,185500,186500,186000,182
186000,20181224144800,185500,186500,185500,159
185500,20181224144700,185500,186000,185500,60
185500,20181224144600,185500,186000,185500,413
185500,20181224144500,185500,186000,186000,74
185500,20181224144400,185000,186000,185500,186
186000,20181224144300,185000,186000,185500,168
185500,20181224144200,185500,186000,186000,91
185500,20181224144100,185000,186000,185000,108
185000,20181224144000,185000,185500,185000,92
185500,20181224143900,185000,185500,185000,175
185500,20181224143800,185000,185500,185000,90
185500,20181224143700,185000,185500,185500,116
185500,20181224143600,185000,185500,185500,178
185500,20181224143500,185000,186000,185500,249
185500,20181224143400,185000,186000,185000,81
185000,20181224143300,185000,185500,185000,238
185000,20181224143200,185000,186000,185000,138
185000,20181224143100,185000,185500,185000,94
185000,20181224143000,185000,185500,185000,143
185000,20181224142900,185000,185500,185000,87
185000,20181224142800,185000,185500,185000,67
185000,20181224142700,185000,186000,185500,64
186000,20181224142600,185000,186000,185000,177
185500,20181224142500,185000,185500,185500,73
185000,20181224142400,185000,186000,185500,133
185500,20181224142300,185000,185500,185000,165
185000,20181224142200,185000,185500,185500,60
185500,20181224142100,185500,186000,185500,159
185500,20181224142000,185000,186000,185000,109
185000,20181224141900,185000,185500,185000,125
185500,20181224141800,185000,185500,185000,187
185000,20181224141700,185000,185500,185000,37
185000,20181224141600,185000,185500,185000,73
185000,20181224141500,185000,185500,185000,233
185000,20181224141400,185000,185500,185000,81
185500,20181224141300,185000,185500,185000,52
185000,20181224141200,185000,185500,185000,290
185000,20181224141100,185000,185500,185000,62
