close,day,high,low,open,volume
40850,20181224153000,40850,40850,40850,11186
40900,20181224151900,40850,40900,40850,240
40850,20181224151800,40650,40850,40750,1288
40700,20181224151700,40700,40750,40700,635
40750,20181224151600,40700,40750,40700,945
40700,20181224151500,40600,40750,40700,3253
40700,20181224151400,40600,40700,40650,987
40650,20181224151300,40600,40700,40700,1371
40700,20181224151200,40650,40750,40700,993
40700,20181224151100,40700,40800,40750,2059
40750,20181224151000,40700,40800,40800,1037
40800,20181224150900,40750,40800,40750,900
40750,20181224150800,40750,40950,40800,1412
40800,20181224150700,40650,40800,40700,4023
40700,20181224150600,40700,40800,40800,1347
40800,20181224150500,40800,40850,40850,1637
40850,20181224150400,40850,40950,40900,655
40950,20181224150300,40900,40950,40900,475
40900,20181224150200,40900,40950,40900,323
40900,20181224150100,40900,40950,40900,869
40900,20181224150000,40900,40950,40900,466
40900,20181224145900,40800,40950,40800,4294
40800,20181224145800,40800,40850,40850,323
40800,20181224145700,40800,40850,40800,514
40850,20181224145600,40800,40900,40850,731
40850,20181224145500,40850,40850,40850,310
40850,20181224145400,40850,40900,40850,196
40850,20181224145300,40850,40950,40900,2700
40950,20181224145200,40900,40950,40900,456
40950,20181224145100,40900,40950,40900,227
40950,20181224145000,40900,40950,40950,448
40900,20181224144900,40900,40950,40900,238
40950,20181224144800,40900,41000,41000,2056
40950,20181224144700,40950,41000,40950,270
41000,20181224144600,40950,41000,40950,425
40950,20181224144500,40950,41000,40950,301
40950,20181224144400,40950,41050,41000,7138
41000,20181224144300,41000,41050,41050,418
41050,20181224144200,41050,41100,41050,407
41050,20181224144100,41050,41100,41100,1544
41100,20181224144000,41050,41100,41100,70
41100,20181224143900,41050,41100,41100,674
41050,20181224143800,41050,41100,41050,112
41050,20181224143700,41050,41100,41050,482
41050,20181224143600,41050,41100,41100,198
41100,20181224143500,41050,41150,41100,1669
41100,20181224143400,41100,41150,41150,224
41100,20181224143300,41100,41150,41100,510
41150,20181224143200,41100,41150,41100,1102
41100,20181224143100,41100,41150,41100,376
41150,20181224143000,41100,41150,41150,364
41150,20181224142900,41100,41150,41100,225
41100,20181224142800,41100,41150,41100,418
41150,20181224142700,41100,41150,41100,204
41100,20181224142600,41100,41200,41200,1304
41200,20181224142500,41150,41200,41150,195
41200,20181224142400,41150,41200,41150,110
41200,20181224142300,41150,41200,41150,502
41150,20181224142200,41100,41250,41250,260
41250,20181224142100,41200,41250,41200,928
41200,20181224142000,41200,41250,41200,121
41200,20181224141900,41200,41300,41300,705
41300,20181224141800,41250,41300,41300,634
41250,20181224141700,41250,41300,41250,197
41300,20181224141600,41250,41300,41300,180
41250,20181224141500,41250,41300,41250,1202
41200,20181224141400,41200,41300,41250,2293
41250,20181224141300,41250,41300,41250,99
41250,20181224141200,41250,41300,41300,188
41250,20181224141100,41250,41300,41250,149
41250,20181224141000,41150,41250,41150,2179
41150,20181224140900,41150,41200,41150,145
41150,20181224140800,41150,41200,41150,619
