close,day,high,low,open,volume
452000,20181224153000,452000,452000,452000,1675
452500,20181224151900,452000,453500,453500,148
453500,20181224151800,452500,453500,453000,45
452500,20181224151700,452500,454000,454000,82
453000,20181224151600,453000,454000,454000,227
453500,20181224151500,453000,454000,453500,117
454000,20181224151400,453000,454000,454000,170
454000,20181224151300,453500,454000,454000,115
453500,20181224151200,453000,454000,453500,100
453500,20181224151100,453500,454000,454000,103
454000,20181224151000,453000,454000,453500,114
453500,20181224150900,453000,454000,453500,130
453500,20181224150800,453000,454000,453500,109
453500,20181224150700,453000,454000,454000,142
453500,20181224150600,453500,454000,453500,120
454000,20181224150500,453000,454000,453500,90
454000,20181224150400,453500,454000,453500,100
454000,20181224150300,453500,454000,454000,111
454000,20181224150200,453000,454000,453000,96
453500,20181224150100,453000,453500,453000,81
453500,20181224150000,453000,454000,454000,137
454000,20181224145900,453500,454000,453500,130
453500,20181224145800,453500,454000,454000,83
454000,20181224145700,453000,454000,453500,90
453000,20181224145600,453000,454000,453500,115
454000,20181224145500,453500,454000,454000,135
454000,20181224145400,452500,454000,452500,94
453000,20181224145300,452500,453000,452500,124
452500,20181224145200,452500,453000,453000,112
453000,20181224145100,452500,453000,453000,136
453500,20181224145000,453000,454000,454000,135
453500,20181224144900,453500,454000,454000,93
454000,20181224144800,453500,454000,453500,92
453500,20181224144700,452500,454000,452500,109
453000,20181224144600,452500,453500,453000,143
453500,20181224144500,453000,454000,453500,88
454000,20181224144400,453500,454000,454000,119
453500,20181224144300,453500,454000,454000,116
454000,20181224144200,453500,454000,453500,115
453500,20181224144100,453000,453500,453500,85
453500,20181224144000,453000,453500,453000,80
453000,20181224143900,452500,454000,453000,105
453000,20181224143800,452500,453500,453500,89
453000,20181224143700,452500,453500,453000,110
452500,20181224143600,452500,454000,453500,99
453500,20181224143500,452500,454000,454000,95
454000,20181224143400,453500,454000,454000,100
454000,20181224143300,453500,454000,453500,86
453500,20181224143200,453000,454500,454500,161
454000,20181224143100,453500,454500,453500,68
454000,20181224143000,453000,454000,453000,155
453000,20181224142900,453000,454000,454000,92
454000,20181224142800,453500,454000,454000,107
453500,20181224142700,453000,454500,454000,110
454500,20181224142600,454000,454500,454000,130
454500,20181224142500,454000,454500,454500,58
454500,20181224142400,453500,454500,453500,91
454000,20181224142300,453500,454000,454000,100
454000,20181224142200,453500,454000,454000,143
454500,20181224142100,453500,454500,454000,171
454000,20181224142000,453500,454000,454000,77
454000,20181224141900,453500,454000,454000,75
454000,20181224141800,453500,454000,454000,128
454000,20181224141700,453500,454000,453500,93
454000,20181224141600,453500,454000,453500,93
454000,20181224141500,453500,454000,453500,82
454000,20181224141400,453500,454000,453500,108
454000,20181224141300,453000,454000,453500,61
453000,20181224141200,453000,453500,453500,60
453500,20181224141100,453000,454000,454000,130
454000,20181224141000,452500,454000,453500,98
454000,20181224140900,453000,454000,454000,135
454000,20181224140800,453500,454000,453500,115
453500,20181224140700,452500,454000,453000,126
452000,20181224140600,452000,453000,452500,70
453000,20181224140500,452500,454000,453500,155
453500,20181224140400,453000,454000,453500,276
453500,20181224140300,453000,453500,453000,77
453500,20181224140200,452500,453500,453000,90
452500,20181224140100,452500,453000,453000,96
453000,20181224140000,452000,453000,452500,67
452500,20181224135900,452000,452500,452500,51
452000,20181224135800,451000,452500,451500,119
451500,20181224135700,450500,452500,452500,769
452500,20181224135600,452500,453000,452500,76
453000,20181224135500,452000,453000,452500,99
452500,20181224135400,452500,453000,452500,115
453000,20181224135300,452500,453000,453000,61
453000,20181224135200,452500,453000,452500,77
453000,20181224135100,452500,453000,453000,107
452500,20181224135000,452500,453000,453000,76
453000,20181224134900,452500,453000,453000,58
453000,20181224134800,452500,453000,453000,60
452500,20181224134700,452500,453000,453000,17
453000,20181224134600,452500,453000,452500,60
452500,20181224134500,452500,453000,453000,128
452500,20181224134400,452500,453000,453000,15
452500,20181224134300,452500,453000,453000,58
453000,20181224134200,452500,453000,453000,31
453000,20181224134100,452500,453000,452500,72
452500,20181224134000,452500,453000,452500,29
452500,20181224133900,451500,452500,452000,178
452000,20181224133800,451500,452000,452000,45
452000,20181224133700,451500,452500,452500,157
452500,20181224133600,452500,454000,453500,219
453500,20181224133500,452500,454000,452500,130
453000,20181224133400,452500,453500,453000,52
452500,20181224133300,452500,453000,453000,50
452500,20181224133200,452500,453500,453500,43
453500,20181224133100,452500,453500,452500,63
452000,20181224133000,452000,452500,452000,28
452500,20181224132900,452500,453000,452500,76
452500,20181224132800,452500,453000,453000,54
453000,20181224132700,452500,453000,452500,31
453000,20181224132600,452000,454000,453500,169
453500,20181224132500,453500,454000,453500,38
454000,20181224132400,453000,454000,453500,38
453500,20181224132300,453000,453500,453500,42
453000,20181224132200,453000,453500,453500,36
453500,20181224132100,453000,453500,453000,23
453000,20181224132000,452500,453500,453000,126
453500,20181224131900,453000,454000,454000,49
454000,20181224131800,453000,454000,453500,52
453500,20181224131700,453000,454000,454000,106
454000,20181224131600,453500,454000,453500,48
454000,20181224131500,453500,454000,454000,32
454000,20181224131400,453000,454000,453000,40
453500,20181224131300,453500,454000,454000,155
454000,20181224131200,453500,454000,454000,39
454000,20181224131100,453500,454000,454000,34
453500,20181224131000,453500,454000,454000,22
454000,20181224130900,453500,454000,454000,60
453500,20181224130800,453500,454000,454000,33
454000,20181224130700,453500,454000,453500,34
453500,20181224130600,453000,454000,453500,64
453000,20181224130500,453000,454000,453500,93
453500,20181224130400,453500,454000,454000,58
454000,20181224130300,453500,454000,453500,40
454000,20181224130200,453500,454000,454000,35
453500,20181224130100,453500,454000,454000,42
454000,20181224130000,453500,454000,454000,50
454000,20181224125900,453500,454000,454000,48
453500,20181224125800,453500,454000,453500,59
453500,20181224125700,453000,454000,453500,36
453500,20181224125600,453000,454000,453500,171
453500,20181224125500,453500,454000,454000,58
454000,20181224125400,453500,454500,454500,27
454000,20181224125300,454000,454000,454000,49
454500,20181224125200,454000,454500,454500,17
454500,20181224125100,453500,454500,454500,96
454500,20181224125000,454500,455000,455000,44
455000,20181224124900,454000,455000,454500,39
454500,20181224124800,454000,455000,455000,51
454500,20181224124700,454500,455000,454500,33
454500,20181224124600,454000,455000,454000,66
454500,20181224124500,454000,455000,454500,25
454500,20181224124400,454000,455000,455000,40
454500,20181224124300,454500,455000,454500,50
454500,20181224124200,454000,455000,454500,48
455000,20181224124100,454000,455000,454000,33
454500,20181224124000,454500,455000,455000,71
454500,20181224123900,454500,455000,455000,67
455000,20181224123800,454500,455000,455000,53
455000,20181224123700,454500,455000,455000,54
455000,20181224123600,454500,455000,454500,38
454500,20181224123500,454000,455000,454000,55
454500,20181224123400,453500,454500,454000,27
453500,20181224123300,453500,455000,454500,34
454500,20181224123200,454000,454500,454000,41
454000,20181224123100,453500,455000,455000,45
455000,20181224123000,454000,455000,454000,45
454000,20181224122900,454000,455000,454500,51
454500,20181224122800,454000,455000,454500,126
455000,20181224122700,454500,455000,455000,42
455000,20181224122600,454000,455000,454500,47
454500,20181224122500,454000,455000,454500,26
455000,20181224122400,454000,455000,455000,52
455000,20181224122300,454500,455000,454500,48
455000,20181224122200,454500,455000,454500,30
454500,20181224122100,454500,455000,455000,42
454500,20181224122000,454000,455000,454500,31
454500,20181224121900,454000,455000,454500,30
454500,20181224121800,454500,454500,454500,101
454500,20181224121700,454500,455500,455500,108
455000,20181224121600,455000,455500,455000,52
455000,20181224121500,455000,455500,455500,23
455000,20181224121400,455000,455500,455500,87
455500,20181224121300,455000,455500,455500,54
455500,20181224121200,455000,455500,455500,21
455500,20181224121100,455000,455500,455000,95
455500,20181224121000,455500,455500,455500,60
455500,20181224120900,455000,455500,455000,61
455500,20181224120800,455000,455500,455500,36
455500,20181224120700,455000,455500,455000,124
455000,20181224120600,454500,455000,454500,46
454500,20181224120500,454000,455000,454500,23
454500,20181224120400,454000,455000,455000,59
455000,20181224120300,454000,455000,454500,53
454500,20181224120200,454000,454500,454000,42
454000,20181224120100,454000,454500,454500,45
454500,20181224120000,454500,455000,454500,66
454500,20181224115900,454000,455000,455000,53
455000,20181224115800,454500,455000,454500,34
455000,20181224115700,454500,455000,455000,51
455000,20181224115600,454000,455000,454500,57
455000,20181224115500,454500,455000,454500,39
454000,20181224115400,453000,455000,454500,157
455000,20181224115300,454500,455000,455000,61
455000,20181224115200,454500,455000,455000,36
455000,20181224115100,454500,455000,455000,38
455000,20181224115000,454500,455000,455000,66
455000,20181224114900,454500,455000,455000,47
454500,20181224114800,454500,455000,455000,26
455000,20181224114700,454000,455000,455000,63
455000,20181224114600,453000,455000,453500,46
454000,20181224114500,453000,454500,453000,29
454500,20181224114400,453000,455000,454500,65
455000,20181224114300,454500,455000,455000,77
455000,20181224114200,454500,455000,455000,44
455000,20181224114100,454500,455000,454500,69
454500,20181224114000,454000,454500,454500,58
454000,20181224113900,453500,454500,454000,68
454000,20181224113800,453000,454000,453000,35
453500,20181224113700,453000,453500,453500,44
453500,20181224113600,453000,453500,453000,44
453500,20181224113500,453000,454500,453500,55
453000,20181224113400,453000,453500,453500,53
453000,20181224113300,453000,453500,453500,52
453500,20181224113200,452500,453500,453000,64
453000,20181224113100,453000,453000,453000,41
452500,20181224113000,452500,453000,452500,43
453000,20181224112900,452500,453500,453000,68
453000,20181224112800,452500,453000,453000,165
453000,20181224112700,452500,453000,453000,42
452500,20181224112600,452500,453500,453000,42
453500,20181224112500,452500,453500,453500,78
453500,20181224112400,452500,453500,453000,66
452500,20181224112300,452500,453500,453000,72
453500,20181224112200,453000,453500,453500,42
453500,20181224112100,453000,453500,453500,62
453000,20181224112000,453000,454500,454000,101
454500,20181224111900,453000,454500,453000,155
453500,20181224111800,453500,454500,454000,219
454000,20181224111700,453500,454000,453500,60
453500,20181224111600,453000,454000,453500,76
453500,20181224111500,453500,454000,454000,44
454000,20181224111400,453500,454000,454000,55
453500,20181224111300,453500,454000,454000,71
454000,20181224111200,453500,454000,454000,55
453500,20181224111100,453000,454000,453500,50
453500,20181224111000,453000,454000,453500,62
453000,20181224110900,453000,454000,454000,98
454000,20181224110800,453500,454000,454000,37
454000,20181224110700,453500,454000,453500,60
454000,20181224110600,453500,454000,453500,61
454000,20181224110500,453500,454000,454000,31
454000,20181224110400,453500,454000,454000,74
454000,20181224110300,453500,454500,454500,45
454500,20181224110200,454000,454500,454500,53
454500,20181224110100,454000,454500,454500,41
454500,20181224110000,454000,454500,454000,82
454500,20181224105900,454000,454500,454500,66
454500,20181224105800,453500,454500,454000,64
454000,20181224105700,453500,454000,453500,52
454000,20181224105600,453500,454000,454000,29
454000,20181224105500,453500,454500,454500,84
454000,20181224105400,454000,454500,454500,37
454500,20181224105300,454500,455000,454500,122
454500,20181224105200,454500,455000,455000,71
455000,20181224105100,454000,455000,454500,70
454500,20181224105000,454000,454500,454500,25
454500,20181224104900,454000,454500,454500,42
454000,20181224104800,454000,454500,454000,71
454500,20181224104700,454000,454500,454500,39
454500,20181224104600,454000,454500,454500,64
454500,20181224104500,454000,454500,454500,35
455000,20181224104400,454500,455000,455000,128
455000,20181224104300,454500,455000,455000,33
455000,20181224104200,454500,455000,454500,33
455000,20181224104100,454500,455000,455000,63
455000,20181224104000,454000,455000,454500,47
454500,20181224103900,454000,454500,454000,33
454000,20181224103800,454000,455000,454500,28
454500,20181224103700,454000,454500,454500,46
454500,20181224103600,454000,455000,454500,124
454500,20181224103500,454000,455000,455000,160
455000,20181224103400,454500,455000,455000,43
455000,20181224103300,455000,456000,456000,304
456000,20181224103200,455500,456000,456000,62
456000,20181224103100,455500,456000,455500,29
455500,20181224103000,455500,455500,455500,101
455500,20181224102900,455000,455500,455000,67
455000,20181224102800,455000,455500,455500,99
455500,20181224102700,455000,455500,455500,31
455000,20181224102600,455000,455500,455500,56
455500,20181224102500,455000,455500,455500,61
455000,20181224102400,455000,455500,455000,29
455000,20181224102300,454500,455500,455000,59
454500,20181224102200,454500,455000,455000,53
455000,20181224102100,454500,455000,455000,37
455000,20181224102000,455000,455500,455000,141
455000,20181224101900,454500,455000,455000,46
455000,20181224101800,454000,455000,454500,276
454500,20181224101700,454000,454500,454500,40
454500,20181224101600,454000,454500,454000,35
454500,20181224101500,454000,454500,454500,50
454000,20181224101400,454000,454500,454500,95
454000,20181224101300,453500,454000,454000,22
454000,20181224101200,453500,454000,454000,35
454000,20181224101100,452500,454000,452500,34
452500,20181224101000,452000,452500,452500,37
452000,20181224100900,452000,452500,452500,62
452500,20181224100800,452000,452500,452500,101
452500,20181224100700,452000,452500,452500,107
452000,20181224100600,452000,454000,453000,106
452500,20181224100500,452500,454000,454000,192
454000,20181224100400,453500,454000,453500,105
454000,20181224100300,453500,454000,453500,38
454000,20181224100200,453500,454000,454000,37
454000,20181224100100,453500,454000,454000,75
453500,20181224100000,453500,454000,453500,97
453500,20181224095900,453000,453500,453500,147
453500,20181224095800,453000,453500,453000,26
453500,20181224095700,452000,453500,453500,343
453500,20181224095600,452500,453500,453000,241
453000,20181224095500,452500,453000,452500,52
452500,20181224095400,452500,453000,453000,59
452500,20181224095300,452500,453000,452500,38
453000,20181224095200,451500,453000,452500,101
452500,20181224095100,452000,452500,452500,31
452500,20181224095000,452000,452500,452000,70
452000,20181224094900,451500,452500,452500,46
452000,20181224094800,452000,452000,452000,51
452000,20181224094700,451000,453000,453000,230
453000,20181224094600,450500,453000,452500,420
452500,20181224094500,452500,454000,454000,216
454000,20181224094400,453500,454000,454000,97
454000,20181224094300,453500,454000,454000,127
453500,20181224094200,453500,454500,454500,55
454000,20181224094100,453500,454500,454500,233
454000,20181224094000,453500,454500,454000,584
454000,20181224093900,453500,454000,454000,145
454000,20181224093800,453000,454000,453500,126
453500,20181224093700,453500,454000,454000,75
454000,20181224093600,453500,454000,453500,67
454000,20181224093500,453500,454000,454000,33
454000,20181224093400,453500,454500,454000,84
454000,20181224093300,453500,454500,454000,62
454500,20181224093200,454000,455000,454500,430
454000,20181224093100,452000,454000,452000,593
452000,20181224093000,451500,452000,451500,226
451500,20181224092900,451000,451500,451000,94
450500,20181224092800,450500,451500,451500,180
451500,20181224092700,451000,453500,453500,164
453500,20181224092600,452000,453500,452500,238
452500,20181224092500,452000,452500,452000,307
451500,20181224092400,451500,452000,452000,61
452000,20181224092300,450500,452000,451000,152
451000,20181224092200,449000,451000,449000,75
449500,20181224092100,449000,450500,450000,83
450000,20181224092000,449500,450500,449500,65
449000,20181224091900,449000,450500,450000,140
450000,20181224091800,449500,450000,450000,140
450000,20181224091700,450000,450500,450500,78
450500,20181224091600,450500,452000,452000,757
452000,20181224091500,451500,452000,451500,223
451500,20181224091400,451000,452000,451000,202
451000,20181224091300,449000,451500,449000,363
449000,20181224091200,448000,449000,448500,128
448500,20181224091100,447500,448500,448000,149
447500,20181224091000,447500,448000,447500,20
447500,20181224090900,447500,448000,447500,33
448000,20181224090800,447500,448000,447500,140
447000,20181224090700,445000,447000,445000,108
445000,20181224090600,445000,446000,446000,182
446000,20181224090500,445500,446000,446000,257
446000,20181224090400,446000,448000,448000,77
448000,20181224090300,447000,448500,447000,55
446500,20181224090200,445500,446500,446000,144
446000,20181224090100,445000,447500,447500,208
448000,20181224090000,447000,449000,449000,428
449000,20181221153500,449000,449000,449000,40
449000,20181221153000,449000,449000,449000,8072
450000,20181221151900,449500,450500,450500,80
450000,20181221151800,450000,451000,451000,117
451000,20181221151700,450500,451000,450500,134
450500,20181221151600,450500,451500,451500,205
451500,20181221151500,451000,451500,451500,111
451500,20181221151400,451500,452000,452000,179
451500,20181221151300,451500,452000,452000,173
452000,20181221151200,451000,452000,452000,170
452000,20181221151100,451000,452000,452000,209
452000,20181221151000,450500,452000,451000,222
451500,20181221150900,450500,451500,451000,167
451000,20181221150800,450500,451000,451000,274
451000,20181221150700,450000,451000,450500,188
450500,20181221150600,449500,450500,449500,389
450000,20181221150500,449500,450000,449500,252
450000,20181221150400,449000,450000,450000,377
450000,20181221150300,449000,450000,450000,306
450000,20181221150200,449500,450000,450000,190
449500,20181221150100,448500,450000,449000,166
449000,20181221150000,448500,449500,449000,329
449500,20181221145900,449000,449500,449000,176
449500,20181221145800,448500,449500,449000,243
449000,20181221145700,448500,449000,449000,156
449000,20181221145600,448500,449000,449000,217
449000,20181221145500,448000,449000,448500,218
448500,20181221145400,448000,448500,448500,162
448000,20181221145300,448000,448500,448000,92
448500,20181221145200,448000,448500,448000,137
447500,20181221145100,447500,448000,448000,103
448000,20181221145000,447500,448000,448000,83
447500,20181221144900,447500,448000,448000,93
448000,20181221144800,447000,448000,447500,167
447500,20181221144700,447000,447500,447000,67
447000,20181221144600,447000,447500,447000,111
447500,20181221144500,447000,447500,447500,90
447000,20181221144400,447000,447500,447500,92
447500,20181221144300,447000,447500,447500,124
447500,20181221144200,447000,447500,447000,83
447000,20181221144100,447000,447500,447500,91
447000,20181221144000,447000,447500,447500,84
447000,20181221143900,447000,448000,448000,209
447500,20181221143800,447000,448000,447000,80
447000,20181221143700,447000,448000,447500,148
448000,20181221143600,447500,448000,447500,103
448000,20181221143500,447500,448000,447500,107
448000,20181221143400,447500,448000,448000,85
448000,20181221143300,447000,448000,447500,221
448000,20181221143200,447500,448000,447500,65
447500,20181221143100,447500,448000,448000,95
447500,20181221143000,447000,448000,447500,90
447500,20181221142900,447500,448000,448000,85
448000,20181221142800,447500,448000,448000,77
447500,20181221142700,447000,448000,447500,89
447000,20181221142600,447000,448000,448000,92
448000,20181221142500,447000,448000,447000,213
447500,20181221142400,447000,447500,447000,72
447000,20181221142300,447000,448000,447500,131
447500,20181221142200,447500,448000,447500,141
448000,20181221142100,447000,448000,447000,64
447000,20181221142000,447000,448000,447500,91
447000,20181221141900,447000,448000,447500,53
448000,20181221141800,447000,448000,448000,77
447500,20181221141700,447000,448000,447000,108
447500,20181221141600,447000,447500,447500,69
447500,20181221141500,447000,447500,447500,74
447000,20181221141400,447000,448000,447500,114
447500,20181221141300,447500,448000,448000,126
448000,20181221141200,447500,448000,447500,66
448000,20181221141100,447000,448000,447500,109
447000,20181221141000,447000,448000,448000,80
448000,20181221140900,447500,448000,447500,85
447500,20181221140800,447500,448000,447500,98
447500,20181221140700,447500,448000,448000,68
448000,20181221140600,447500,448500,448500,111
448500,20181221140500,448000,448500,448500,59
448000,20181221140400,447500,448500,447500,73
447000,20181221140300,447000,448500,448500,423
448500,20181221140200,448000,448500,448000,64
448500,20181221140100,448000,448500,448500,61
448000,20181221140000,448000,448500,448500,72
448000,20181221135900,447500,448500,448000,122
448000,20181221135800,447500,448500,448000,94
447500,20181221135700,447500,448000,448000,63
447500,20181221135600,447500,448000,448000,54
447500,20181221135500,447500,448000,448000,97
447500,20181221135400,447500,448000,447500,110
448000,20181221135300,447000,448000,447500,72
447500,20181221135200,446500,447500,447000,53
447000,20181221135100,446500,448000,447500,101
447500,20181221135000,447000,448000,448000,73
448000,20181221134900,447500,448000,447500,66
448000,20181221134800,447500,448000,447500,58
448000,20181221134700,447500,448000,447500,63
447500,20181221134600,447000,448000,447000,87
447000,20181221134500,446500,447500,446500,61
447000,20181221134400,446500,447500,446500,77
446500,20181221134300,446000,447000,446500,72
446500,20181221134200,446500,447500,447500,85
447000,20181221134100,447000,447500,447500,60
447500,20181221134000,447000,448000,448000,35
447500,20181221133900,447000,448000,448000,77
448000,20181221133800,447000,448000,447500,104
447500,20181221133700,447500,448000,448000,66
448000,20181221133600,447000,448000,447000,118
446500,20181221133500,446500,448000,447500,88
448000,20181221133400,447000,448000,447500,67
447500,20181221133300,447000,448000,447500,70
447500,20181221133200,447500,448000,447500,88
447500,20181221133100,447500,448000,447500,23
447500,20181221133000,447500,448000,448000,51
448000,20181221132900,447500,448000,447500,84
448000,20181221132800,447500,448000,448000,60
447500,20181221132700,447500,448000,448000,40
448000,20181221132600,447500,448000,447500,88
448000,20181221132500,447500,448000,448000,48
448000,20181221132400,447500,448000,448000,43
448000,20181221132300,447500,448000,448000,78
448000,20181221132200,447500,448000,447500,47
448000,20181221132100,447500,448000,448000,42
448000,20181221132000,447500,448000,448000,57
447500,20181221131900,447500,448000,448000,107
447500,20181221131800,447500,448000,448000,51
448000,20181221131700,447500,448500,447500,71
447500,20181221131600,447500,448500,448500,116
448000,20181221131500,447500,448500,448000,148
448000,20181221131400,447500,448000,448000,58
447500,20181221131300,447000,448000,447500,57
447500,20181221131200,447000,447500,447500,49
448000,20181221131100,447500,448000,448000,41
448000,20181221131000,447000,448000,448000,78
447500,20181221130900,447500,448000,448000,40
448000,20181221130800,447000,448000,447000,58
447000,20181221130700,446500,448000,447000,246
447000,20181221130600,447000,448000,448000,140
447500,20181221130500,447000,448000,448000,91
447500,20181221130400,447500,448000,448000,38
448000,20181221130300,447500,448000,447500,119
447500,20181221130200,447500,448000,448000,51
447500,20181221130100,447500,448000,448000,90
448000,20181221130000,447500,448500,448500,99
448500,20181221125900,448000,448500,448000,53
448000,20181221125800,447500,449000,449000,182
448500,20181221125700,448500,449000,448500,36
449000,20181221125600,448500,449000,449000,76
449000,20181221125500,448500,449000,449000,94
448500,20181221125400,448500,449000,449000,30
449000,20181221125300,448500,449000,449000,58
449000,20181221125200,448500,449000,449000,63
448500,20181221125100,448500,449000,449000,59
448500,20181221125000,448500,449000,449000,34
449000,20181221124900,448500,449000,449000,31
448500,20181221124800,448500,449000,449000,107
448500,20181221124700,448000,449000,448500,52
448500,20181221124600,447500,448500,447500,69
447500,20181221124500,447500,448000,447500,41
448000,20181221124400,447500,448500,448000,47
448000,20181221124300,447500,448500,448500,55
447500,20181221124200,447500,449000,448500,98
448500,20181221124100,448500,449000,448500,96
448500,20181221124000,448500,449000,449000,41
448500,20181221123900,448000,449000,448000,34
448000,20181221123800,447500,449000,447500,86
448000,20181221123700,447000,449000,449000,102
449500,20181221123600,448500,449500,449000,275
449000,20181221123500,447000,449000,447500,182
447500,20181221123400,447500,448500,448500,38
448000,20181221123300,448000,449000,448500,134
448000,20181221123200,448000,449000,449000,39
449000,20181221123100,448000,449000,448000,70
448000,20181221123000,448000,449000,449000,74
449000,20181221122900,448500,449000,448500,58
448000,20181221122800,448000,449000,448500,49
448000,20181221122700,448000,449000,448500,34
448500,20181221122600,448500,449500,449000,93
449500,20181221122500,448500,449500,449000,37
449000,20181221122400,448500,449500,449500,134
449000,20181221122300,448500,449500,449000,64
449500,20181221122200,448500,449500,449000,35
449000,20181221122100,448500,449500,449000,76
449000,20181221122000,448500,449500,449000,64
448500,20181221121900,448000,449000,448500,54
448000,20181221121800,447500,448500,448000,63
447500,20181221121700,447000,448000,447000,47
447000,20181221121600,447000,448500,448500,65
448000,20181221121500,448000,448500,448500,46
448500,20181221121400,447500,448500,447500,43
447500,20181221121300,447000,448000,447500,49
448000,20181221121200,447500,448500,448500,77
448500,20181221121100,448000,449000,448500,73
448500,20181221121000,447500,449000,448000,78
448500,20181221120900,448000,449500,448500,119
449000,20181221120800,447500,449000,448500,131
448500,20181221120700,448000,449000,449000,70
448500,20181221120600,448000,449000,448500,25
448500,20181221120500,448500,449000,449000,75
448500,20181221120400,448000,449500,449500,142
449000,20181221120300,449000,449500,449500,44
449000,20181221120200,449000,449500,449500,924
449500,20181221120100,449000,450000,450000,133
450000,20181221120000,449500,450000,450000,123
449500,20181221115900,449500,450000,449500,93
449500,20181221115800,448500,449500,449000,1053
449000,20181221115700,448500,449000,448500,87
449000,20181221115600,448000,449000,448000,151
448000,20181221115500,448000,449000,448500,87
448500,20181221115400,447500,448500,448000,58
448000,20181221115300,447500,448000,448000,78
448000,20181221115200,447000,448000,447000,90
447000,20181221115100,447000,447500,447500,61
447000,20181221115000,447000,448500,448500,175
448000,20181221114900,448000,449000,448500,181
449000,20181221114800,448500,449000,448500,76
448500,20181221114700,448500,449000,449000,157
448500,20181221114600,448500,449000,449000,97
449000,20181221114500,448500,449000,448500,155
448500,20181221114400,447500,448500,447500,334
447500,20181221114300,447000,448000,447000,144
447500,20181221114200,446000,447500,446500,62
446000,20181221114100,446000,447000,447000,110
446500,20181221114000,446500,447500,447500,157
447000,20181221113900,447000,447500,447500,117
447000,20181221113800,447000,447500,447000,100
447000,20181221113700,446500,447500,446500,134
447000,20181221113600,446500,447000,447000,63
446500,20181221113500,446500,447000,446500,186
447000,20181221113400,446500,447000,447000,61
446500,20181221113300,446000,447000,446500,303
446500,20181221113200,445500,446500,445500,296
446000,20181221113100,445000,446000,445500,712
445500,20181221113000,445000,445500,445500,112
445000,20181221112900,445000,445500,445000,100
445000,20181221112800,444500,445500,444500,253
444500,20181221112700,444500,445000,444500,72
444500,20181221112600,444000,445000,444500,56
444000,20181221112500,444000,444500,444000,78
443500,20181221112400,443500,445000,445000,158
444500,20181221112300,444500,445000,444500,79
444500,20181221112200,444500,445000,445000,69
445000,20181221112100,444500,445000,445000,101
445000,20181221112000,444500,445000,444500,73
444500,20181221111900,444000,445000,444500,73
444500,20181221111800,444000,445000,445000,78
444000,20181221111700,444000,445000,445000,104
