close,day,high,low,open,volume
78600,20181224153000,78600,78600,78600,2450
78100,20181224151900,78000,78100,78100,37
78100,20181224151800,78000,78100,78100,39
78000,20181224151700,78000,78200,78100,264
78100,20181224151600,78100,78200,78100,315
78100,20181224151500,78100,78300,78100,119
78100,20181224151400,78100,78200,78200,175
78200,20181224151300,78100,78500,78500,105
78200,20181224151200,78100,78500,78100,217
78100,20181224151100,78100,78300,78200,134
78200,20181224151000,78200,78300,78300,97
78200,20181224150900,78200,78400,78300,67
78300,20181224150800,78300,78300,78300,78
78300,20181224150700,78300,78500,78500,95
78500,20181224150600,78500,78800,78700,114
78700,20181224150500,78700,78800,78700,102
78700,20181224150400,78700,78800,78700,63
78700,20181224150300,78700,78800,78700,91
78700,20181224150200,78700,78800,78700,86
78700,20181224150100,78700,78900,78900,480
78900,20181224150000,78800,79000,78900,215
78900,20181224145900,78900,79000,79000,97
79000,20181224145800,78800,79000,78900,86
78900,20181224145700,78900,79000,79000,98
78900,20181224145600,78900,79000,79000,70
79000,20181224145500,78800,79000,78900,71
78900,20181224145400,78800,78900,78900,137
78800,20181224145300,78700,78900,78700,108
78700,20181224145200,78700,79000,78900,93
78800,20181224145100,78800,79000,78900,144
78800,20181224145000,78800,78900,78800,130
78900,20181224144900,78800,78900,78800,70
78900,20181224144800,78800,78900,78900,91
78800,20181224144700,78800,78900,78900,242
79000,20181224144600,78900,79000,79000,126
79000,20181224144500,78800,79000,78800,124
78900,20181224144400,78800,78900,78900,116
78900,20181224144300,78800,78900,78800,70
78900,20181224144200,78800,78900,78900,85
78900,20181224144100,78800,78900,78800,71
78900,20181224144000,78800,79000,79000,145
78900,20181224143900,78800,78900,78900,94
78900,20181224143800,78900,79000,78900,68
78900,20181224143700,78800,79100,78800,62
78900,20181224143600,78900,79100,78900,304
78800,20181224143500,78800,78900,78800,7
78900,20181224143400,78800,78900,78900,90
79000,20181224143300,78900,79100,79100,73
79100,20181224143200,79100,79200,79200,465
79100,20181224143100,78900,79200,78900,418
78900,20181224143000,78900,79000,78900,207
78900,20181224142900,78900,79000,78900,68
78900,20181224142800,78900,79000,79000,852
79000,20181224142700,78800,79000,78900,255
78900,20181224142600,78800,78900,78800,89
78900,20181224142500,78800,78900,78800,59
78800,20181224142400,78800,78900,78800,56
78800,20181224142300,78800,78900,78800,64
78900,20181224142200,78800,78900,78800,146
78800,20181224142100,78800,78900,78900,58
78900,20181224142000,78800,78900,78800,65
78800,20181224141900,78800,78800,78800,4
78900,20181224141800,78800,78900,78800,101
78900,20181224141700,78800,78900,78900,62
78800,20181224141600,78800,78900,78800,63
78900,20181224141500,78800,78900,78800,56
78900,20181224141400,78800,78900,78800,143
78700,20181224141300,78700,79000,78900,310
78900,20181224141200,78900,79000,79000,156
78900,20181224141100,78900,79000,79000,51
79000,20181224141000,78900,79000,78900,67
79000,20181224140900,78800,79000,78800,786
78800,20181224140800,78600,78800,78700,241
78600,20181224140700,78600,78700,78700,108
78700,20181224140600,78600,78700,78600,55
78600,20181224140500,78600,78700,78700,52
78600,20181224140400,78600,78700,78600,194
78600,20181224140300,78500,78600,78600,289
78500,20181224140200,78500,78600,78600,6
78600,20181224140100,78500,78600,78500,104
78500,20181224140000,78500,78700,78600,460
78500,20181224135900,78500,78600,78600,54
78500,20181224135800,78500,78700,78600,270
78600,20181224135700,78600,78700,78600,59
78700,20181224135600,78500,78700,78500,220
78600,20181224135500,78500,78600,78600,66
78500,20181224135400,78500,78600,78600,27
78600,20181224135300,78500,78600,78500,54
78600,20181224135200,78500,78600,78500,155
78600,20181224135100,78500,78600,78600,66
78600,20181224135000,78500,78600,78600,51
78600,20181224134900,78500,78600,78600,102
78600,20181224134800,78500,78600,78600,83
78600,20181224134700,78500,78600,78600,51
78500,20181224134600,78500,78600,78600,9
78600,20181224134500,78500,78600,78600,110
78600,20181224134400,78500,78600,78600,153
78600,20181224134300,78500,78600,78500,127
78600,20181224134200,78500,78600,78600,109
78600,20181224134100,78500,78600,78600,54
78600,20181224134000,78600,78600,78600,9
78500,20181224133900,78500,78600,78600,51
78600,20181224133800,78600,78600,78600,48
78600,20181224133700,78600,78600,78600,3
78600,20181224133600,78500,78600,78600,207
78600,20181224133400,78500,78600,78500,73
78600,20181224133300,78600,78600,78600,11
78600,20181224133200,78600,78600,78600,4
78600,20181224133100,78500,78600,78600,81
78600,20181224133000,78500,78600,78500,2
78600,20181224132900,78500,78600,78600,25
78600,20181224132800,78500,78600,78600,38
78500,20181224132700,78500,78600,78600,85
78600,20181224132600,78500,78600,78500,92
78600,20181224132500,78600,78600,78600,2
78600,20181224132400,78600,78600,78600,48
78600,20181224132300,78600,78600,78600,12
78600,20181224132200,78600,78600,78600,1
78600,20181224132100,78600,78600,78600,4
78600,20181224132000,78500,78600,78500,31
78500,20181224131900,78500,78600,78500,61
78600,20181224131800,78600,78600,78600,3
78600,20181224131700,78500,78600,78500,54
78500,20181224131600,78500,78600,78600,147
78600,20181224131500,78500,78600,78600,207
78600,20181224131400,78500,78600,78500,256
78500,20181224131300,78400,78500,78500,52
78500,20181224131200,78500,78500,78500,6
78500,20181224131100,78500,78500,78500,10
78500,20181224131000,78400,78500,78400,224
78400,20181224130900,78400,78400,78400,47
78400,20181224130800,78400,78400,78400,2
78400,20181224130700,78300,78400,78400,25
78400,20181224130600,78400,78400,78400,5
78400,20181224130500,78400,78400,78400,46
78400,20181224130400,78400,78400,78400,14
78400,20181224130300,78400,78400,78400,2
78400,20181224130200,78400,78400,78400,51
78400,20181224130100,78400,78400,78400,11
78400,20181224130000,78400,78400,78400,3
78400,20181224125900,78400,78400,78400,5
78300,20181224125800,78300,78400,78400,62
78400,20181224125600,78400,78400,78400,3
78400,20181224125500,78400,78400,78400,60
78400,20181224125400,78300,78400,78400,61
78300,20181224125300,78300,78400,78400,10
78400,20181224125200,78400,78400,78400,11
78400,20181224125100,78300,78400,78400,106
78300,20181224125000,78300,78400,78400,37
78400,20181224124900,78400,78400,78400,1
78400,20181224124800,78400,78400,78400,13
78400,20181224124700,78300,78400,78400,88
78400,20181224124500,78300,78400,78400,116
78500,20181224124400,78500,78600,78600,177
78600,20181224124300,78600,78600,78600,4
78600,20181224124200,78600,78600,78600,11
78600,20181224124100,78600,78600,78600,1
78600,20181224124000,78600,78600,78600,70
78600,20181224123900,78500,78600,78500,233
78600,20181224123800,78600,78600,78600,1
78600,20181224123700,78600,78600,78600,50
78600,20181224123600,78600,78600,78600,11
78600,20181224123500,78600,78600,78600,1
