close,day,high,low,open,volume
52000,20181224153000,52000,52000,52000,6739
52000,20181224151900,51900,52000,51900,1114
51900,20181224151800,51800,51900,51800,242
51800,20181224151700,51800,52000,51900,1045
51900,20181224151600,51900,52000,51900,1385
52000,20181224151500,51900,52000,51900,731
51900,20181224151400,51900,52000,52000,370
51900,20181224151300,51800,52000,52000,302
51800,20181224151200,51800,52000,51900,424
51900,20181224151100,51900,52000,51900,309
52000,20181224151000,51800,52000,51900,302
51900,20181224150900,51800,52000,52000,5370
52000,20181224150800,51900,52000,51900,333
51900,20181224150700,51900,52000,51900,530
52000,20181224150600,51900,52000,52000,204
51900,20181224150500,51900,52000,51900,257
51900,20181224150400,51900,52000,52000,330
51900,20181224150300,51900,52000,52000,317
51900,20181224150200,51900,52000,52000,371
52000,20181224150100,51900,52000,51900,300
51900,20181224150000,51900,52100,52100,508
52100,20181224145900,51900,52100,51900,2091
52000,20181224145800,51900,52000,51900,364
52000,20181224145700,51900,52000,51900,773
51900,20181224145600,51900,52000,51900,344
51900,20181224145500,51900,52000,52000,363
51900,20181224145400,51900,52000,51900,383
51900,20181224145300,51900,52000,51900,251
51900,20181224145200,51900,52000,51900,441
51900,20181224145100,51900,52000,51900,286
51900,20181224145000,51900,52000,51900,265
51900,20181224144900,51900,52000,51900,437
51900,20181224144800,51900,52000,51900,2388
51900,20181224144700,51900,52000,51900,370
51900,20181224144600,51900,52000,51900,314
52000,20181224144500,51900,52000,51900,369
51900,20181224144400,51900,52000,51900,388
51900,20181224144300,51900,52000,51900,375
51900,20181224144200,51900,52000,51900,324
51900,20181224144100,51900,52000,52000,364
51900,20181224144000,51900,52000,51900,396
52000,20181224143900,51900,52000,51900,318
51900,20181224143800,51900,52000,51900,875
51900,20181224143700,51900,52000,51900,802
51900,20181224143600,51900,52000,52000,348
51900,20181224143500,51900,52000,51900,333
51900,20181224143400,51900,52000,51900,325
51900,20181224143300,51900,52000,51900,383
51900,20181224143200,51900,52000,52000,281
51900,20181224143100,51900,52000,51900,456
51900,20181224143000,51900,52000,51900,543
51900,20181224142900,51900,52000,51900,264
51900,20181224142800,51900,52000,51900,321
51900,20181224142700,51900,52000,52000,531
51900,20181224142600,51900,52000,51900,421
51900,20181224142500,51900,52000,51900,294
51900,20181224142400,51900,52000,51900,1862
51900,20181224142300,51900,52000,51900,450
51900,20181224142200,51900,52000,51900,263
51900,20181224142100,51900,52000,51900,393
51900,20181224142000,51900,52000,51900,357
52000,20181224141900,51800,52000,51900,1344
52000,20181224141800,51900,52000,52000,362
51900,20181224141700,51900,52000,51900,255
51900,20181224141600,51900,52000,51900,299
51900,20181224141500,51900,52000,51900,218
51900,20181224141400,51900,52000,51900,360
52000,20181224141300,51900,52000,51900,275
51900,20181224141200,51900,52000,52000,278
52000,20181224141100,51900,52000,51900,217
51900,20181224141000,51900,52000,51900,244
51900,20181224140900,51900,52000,51900,290
52000,20181224140800,51900,52000,51900,208
51900,20181224140700,51800,52000,51900,279
51900,20181224140600,51800,52000,51900,266
51900,20181224140500,51900,52000,51900,281
51900,20181224140400,51800,51900,51800,441
51800,20181224140300,51800,51900,51800,158
51800,20181224140200,51800,52000,51900,328
51900,20181224140100,51900,52000,51900,236
51900,20181224140000,51900,52000,51900,249
51900,20181224135900,51900,52000,51900,226
51900,20181224135800,51900,52000,51900,545
51900,20181224135700,51900,52000,51900,447
51900,20181224135600,51800,52000,51900,352
51900,20181224135500,51900,52000,51900,412
51900,20181224135400,51900,51900,51900,334
51900,20181224135300,51900,52000,51900,222
51900,20181224135200,51900,52000,51900,428
51900,20181224135100,51900,52000,51900,147
51900,20181224135000,51900,52200,52100,6495
52100,20181224134900,52100,52200,52100,734
52100,20181224134800,52100,52200,52200,216
52200,20181224134700,52100,52200,52100,618
52200,20181224134600,52100,52200,52200,205
52200,20181224134500,52100,52200,52100,360
52100,20181224134400,52100,52200,52100,657
52200,20181224134300,52100,52200,52100,288
52100,20181224134200,52100,52300,52200,228
52200,20181224134100,52200,52300,52200,257
52300,20181224134000,52200,52300,52200,351
52200,20181224133900,52200,52200,52200,591
52200,20181224133800,52100,52300,52200,565
52200,20181224133700,52100,52300,52300,632
52200,20181224133600,52100,52300,52100,478
52100,20181224133500,52100,52200,52100,659
52100,20181224133400,52100,52200,52100,282
52100,20181224133300,52100,52200,52100,142
52100,20181224133200,52100,52200,52100,702
52200,20181224133100,52100,52200,52200,522
52200,20181224133000,52200,52300,52300,905
52200,20181224132900,52200,52300,52200,307
52300,20181224132800,52200,52300,52200,175
52200,20181224132700,52200,52300,52200,988
52200,20181224132600,52200,52300,52200,307
52200,20181224132500,52200,52300,52200,593
52200,20181224132400,52200,52300,52200,264
52200,20181224132300,52200,52300,52200,168
52300,20181224132200,52200,52300,52300,87
52200,20181224132100,52200,52300,52200,789
52200,20181224132000,52200,52300,52300,287
52200,20181224131900,52200,52300,52200,154
52200,20181224131800,52200,52400,52400,518
52400,20181224131700,52200,52400,52200,116
52200,20181224131600,52200,52400,52400,797
52400,20181224131500,52300,52400,52300,111
52300,20181224131400,52300,52400,52400,195
52300,20181224131300,52300,52400,52300,553
52300,20181224131200,52300,52400,52400,226
52400,20181224131100,52300,52400,52300,195
52300,20181224131000,52300,52400,52400,194
52400,20181224130900,52300,52400,52400,127
52400,20181224130800,52300,52400,52300,339
52400,20181224130700,52300,52400,52300,429
52300,20181224130600,52300,52400,52300,75
52300,20181224130500,52300,52400,52300,253
52300,20181224130400,52300,52400,52300,364
52300,20181224130300,52300,52400,52300,207
52300,20181224130200,52300,52400,52300,157
52300,20181224130100,52300,52400,52300,43
52300,20181224130000,52300,52400,52300,263
52300,20181224125900,52300,52400,52400,167
52400,20181224125800,52300,52400,52400,146
52300,20181224125700,52300,52300,52300,48
52400,20181224125600,52300,52400,52400,166
52400,20181224125500,52300,52400,52300,261
52300,20181224125400,52300,52400,52300,76
52300,20181224125300,52300,52400,52400,172
52300,20181224125200,52300,52400,52300,144
52300,20181224125100,52200,52400,52200,125
52200,20181224125000,52200,52300,52200,132
52300,20181224124900,52300,52400,52300,166
52300,20181224124800,52300,52400,52300,109
52400,20181224124700,52300,52400,52400,178
52300,20181224124600,52300,52400,52300,138
52300,20181224124500,52200,52300,52300,126
52300,20181224124400,52300,52400,52400,103
52400,20181224124300,52300,52400,52400,134
52400,20181224124200,52300,52400,52300,163
52300,20181224124100,52300,52400,52300,120
52300,20181224124000,52200,52400,52400,224
52300,20181224123900,52300,52400,52300,168
52300,20181224123800,52200,52400,52200,126
52300,20181224123700,52300,52400,52300,221
52400,20181224123600,52300,52400,52400,92
52400,20181224123500,52300,52400,52300,32
52300,20181224123400,52300,52400,52400,301
52300,20181224123300,52300,52400,52400,19
52300,20181224123200,52300,52400,52300,488
52300,20181224123100,52300,52400,52300,146
52300,20181224123000,52200,52300,52300,359
52300,20181224122900,52300,52400,52300,124
52400,20181224122800,52300,52400,52300,26
52300,20181224122700,52300,52400,52400,148
52400,20181224122600,52300,52400,52300,188
52300,20181224122500,52300,52400,52300,31
52300,20181224122400,52300,52400,52300,216
52300,20181224122300,52300,52300,52300,58
52300,20181224122200,52300,52400,52300,133
52400,20181224122100,52300,52400,52300,185
52300,20181224122000,52300,52400,52300,76
52300,20181224121900,52300,52400,52300,121
52400,20181224121800,52300,52400,52400,194
52300,20181224121700,52300,52400,52400,107
52400,20181224121600,52300,52400,52300,126
52300,20181224121500,52200,52400,52400,154
52300,20181224121400,52300,52400,52300,81
52300,20181224121300,52200,52300,52300,192
52200,20181224121200,52200,52400,52300,248
52300,20181224121100,52300,52400,52300,98
52300,20181224121000,52300,52400,52300,68
52400,20181224120900,52300,52400,52300,132
52300,20181224120800,52300,52400,52400,163
52400,20181224120700,52300,52400,52400,77
52400,20181224120600,52300,52400,52400,130
52300,20181224120500,52300,52400,52300,262
52300,20181224120400,52300,52300,52300,30
52300,20181224120300,52300,52400,52300,150
52300,20181224120200,52300,52400,52400,274
52400,20181224120100,52300,52400,52300,205
52300,20181224120000,52200,52300,52300,104
52300,20181224115900,52200,52300,52200,233
52200,20181224115800,52200,52400,52300,197
52300,20181224115700,52300,52400,52400,124
52300,20181224115600,52300,52400,52300,456
52400,20181224115500,52300,52400,52300,128
52300,20181224115400,52300,52400,52300,155
52300,20181224115300,52300,52400,52300,245
52300,20181224115200,52300,52400,52400,129
52300,20181224115100,52300,52400,52400,87
52300,20181224115000,52300,52400,52300,270
52300,20181224114900,52300,52500,52400,182
52400,20181224114800,52400,52500,52400,190
52500,20181224114700,52400,52500,52400,196
52500,20181224114600,52400,52500,52400,426
52400,20181224114500,52400,52400,52400,123
52500,20181224114400,52400,52500,52400,99
52500,20181224114300,52400,52500,52400,291
52400,20181224114200,52400,52500,52500,126
52500,20181224114100,52400,52500,52500,233
52500,20181224114000,52400,52500,52500,279
52500,20181224113900,52400,52500,52500,229
52400,20181224113800,52400,52500,52500,138
52500,20181224113700,52400,52500,52400,491
52400,20181224113600,52400,52500,52400,233
52400,20181224113500,52400,52500,52400,458
52500,20181224113400,52400,52500,52500,277
52500,20181224113300,52400,52500,52400,41
52400,20181224113200,52400,52600,52600,192
52500,20181224113100,52400,52600,52400,221
52500,20181224113000,52500,52600,52600,45
52600,20181224112900,52400,52600,52500,212
52500,20181224112800,52500,52600,52500,550
52600,20181224112700,52500,52600,52600,175
52600,20181224112600,52500,52600,52600,20
52600,20181224112500,52500,52600,52600,433
52600,20181224112400,52500,52600,52500,290
52500,20181224112300,52500,52600,52500,137
52600,20181224112200,52500,52600,52600,165
52500,20181224112100,52500,52600,52500,174
52500,20181224112000,52500,52600,52600,172
52600,20181224111900,52500,52700,52700,77
52600,20181224111800,52500,52800,52700,754
52600,20181224111700,52600,52700,52600,63
52600,20181224111600,52600,52800,52800,205
52800,20181224111500,52700,52800,52700,225
52700,20181224111400,52700,52800,52800,184
52700,20181224111300,52700,52800,52700,63
52700,20181224111200,52600,52800,52700,294
52700,20181224111100,52700,52800,52700,231
52700,20181224111000,52700,52800,52800,134
52800,20181224110900,52700,52800,52800,289
52800,20181224110800,52700,52800,52800,130
52700,20181224110700,52700,52800,52800,189
52700,20181224110600,52600,52800,52600,208
52700,20181224110500,52700,52800,52800,130
52800,20181224110400,52700,52800,52700,96
52600,20181224110300,52600,52800,52700,265
52600,20181224110200,52600,52800,52800,80
52700,20181224110100,52600,52700,52600,636
52600,20181224110000,52600,52700,52600,693
52700,20181224105900,52600,52800,52800,202
52700,20181224105800,52600,52800,52800,254
52800,20181224105700,52700,52800,52800,136
52800,20181224105600,52700,52800,52800,332
52800,20181224105500,52600,52800,52700,235
52700,20181224105400,52600,52700,52700,91
52600,20181224105300,52600,52700,52700,371
52600,20181224105200,52600,52700,52700,155
52600,20181224105100,52600,52700,52600,260
52600,20181224105000,52600,52700,52600,108
52700,20181224104900,52600,52700,52700,154
52700,20181224104800,52600,52700,52700,164
52600,20181224104700,52600,52700,52600,209
52600,20181224104600,52600,52700,52600,146
52600,20181224104500,52500,52600,52600,295
52600,20181224104400,52500,52600,52600,74
52500,20181224104300,52500,52600,52600,179
52600,20181224104200,52500,52600,52500,735
52600,20181224104100,52500,52600,52500,125
52500,20181224104000,52500,52600,52500,324
52500,20181224103900,52500,52700,52600,70
52600,20181224103800,52400,52600,52500,256
52500,20181224103700,52500,52700,52700,188
52600,20181224103600,52500,52600,52600,113
52500,20181224103500,52500,52600,52600,34
52600,20181224103400,52500,52700,52500,250
52500,20181224103300,52500,52600,52500,53
52500,20181224103200,52400,52600,52600,656
52500,20181224103100,52500,52600,52600,178
52600,20181224103000,52500,52600,52600,202
52600,20181224102900,52500,52600,52500,122
52500,20181224102800,52500,52500,52500,70
52500,20181224102700,52500,52600,52500,213
52500,20181224102600,52500,52600,52500,174
52400,20181224102500,52400,52600,52500,317
52600,20181224102400,52500,52600,52500,19
52500,20181224102300,52500,52600,52600,170
52600,20181224102200,52500,52600,52600,278
52600,20181224102100,52500,52600,52600,124
52600,20181224102000,52500,52600,52500,168
52600,20181224101900,52500,52600,52500,169
52500,20181224101800,52500,52600,52600,297
52500,20181224101700,52500,52600,52600,81
52600,20181224101600,52500,52600,52500,108
52500,20181224101500,52500,52600,52500,315
52500,20181224101400,52500,52600,52500,201
52600,20181224101300,52500,52600,52500,176
52600,20181224101200,52500,52600,52600,245
52500,20181224101100,52500,52600,52500,56
52500,20181224101000,52500,52600,52600,26
52600,20181224100900,52500,52600,52600,410
52600,20181224100800,52500,52600,52500,88
52700,20181224100700,52600,52700,52600,67
52600,20181224100600,52600,52700,52600,142
52600,20181224100500,52600,52700,52600,524
52600,20181224100400,52600,52700,52700,115
52700,20181224100300,52600,52700,52700,16
52600,20181224100200,52600,52700,52700,137
52700,20181224100100,52600,52700,52700,185
52600,20181224100000,52600,52700,52600,70
52600,20181224095900,52600,52600,52600,104
52700,20181224095800,52600,52700,52600,125
52600,20181224095700,52600,52700,52600,63
52600,20181224095600,52600,52700,52700,131
52600,20181224095500,52600,52700,52600,58
52700,20181224095400,52600,52700,52600,166
52600,20181224095300,52600,52700,52700,116
52600,20181224095200,52600,52700,52600,46
52500,20181224095100,52500,52600,52600,228
52500,20181224095000,52500,52600,52600,338
52600,20181224094900,52600,52700,52700,134
52600,20181224094800,52600,52700,52700,87
52600,20181224094700,52500,52700,52500,113
52500,20181224094600,52500,52700,52700,383
52700,20181224094500,52700,52800,52700,198
52700,20181224094400,52500,52700,52500,159
52500,20181224094300,52500,52600,52500,161
52600,20181224094200,52500,52600,52500,182
52600,20181224094100,52500,52600,52600,208
52600,20181224094000,52500,52600,52600,502
52600,20181224093900,52600,52700,52700,65
52600,20181224093800,52600,52700,52700,157
52800,20181224093700,52800,52800,52800,26
52700,20181224093600,52600,52800,52800,138
52700,20181224093500,52700,52800,52700,211
52700,20181224093400,52700,52700,52700,140
52600,20181224093300,52600,52700,52600,117
52700,20181224093200,52600,52800,52800,117
52800,20181224093100,52700,52800,52700,335
52700,20181224093000,52700,52800,52700,452
52600,20181224092900,52600,52700,52600,177
52700,20181224092800,52600,52700,52700,152
52600,20181224092700,52600,52700,52700,153
52700,20181224092600,52600,52700,52700,147
52700,20181224092500,52600,52800,52800,604
52800,20181224092400,52700,52800,52700,143
52700,20181224092300,52600,52700,52600,243
52500,20181224092200,52500,52600,52500,141
52600,20181224092100,52500,52600,52600,277
52600,20181224092000,52500,52600,52500,418
52500,20181224091900,52400,52700,52600,923
52600,20181224091800,52500,52800,52700,2187
52700,20181224091700,52600,52700,52700,43
52700,20181224091600,52700,52700,52700,321
52600,20181224091500,52600,53000,52900,2088
53000,20181224091400,52900,53000,53000,286
52900,20181224091300,52900,52900,52900,41
52900,20181224091200,52800,52900,52900,130
52900,20181224091100,52800,53000,52900,521
52900,20181224091000,52800,52900,52800,301
52900,20181224090900,52800,52900,52900,287
52900,20181224090800,52700,52900,52700,912
52800,20181224090700,52700,52800,52700,148
52700,20181224090600,52700,52800,52700,125
52700,20181224090500,52600,52700,52600,399
52500,20181224090400,52500,52700,52700,108
52700,20181224090300,52500,52700,52500,251
52600,20181224090200,52600,52800,52700,431
52700,20181224090100,52600,52700,52600,120
52600,20181224090000,52600,52700,52700,1120
