close,day,high,low,open,volume
123000,20181224153000,123000,123000,123000,18036
123500,20181224151900,123000,123500,123500,993
123500,20181224151800,123000,123500,123500,2795
123000,20181224151700,123000,123500,123500,3970
123500,20181224151600,123000,123500,123000,2548
123000,20181224151500,123000,123500,123500,1065
123500,20181224151400,123000,123500,123500,1867
123000,20181224151300,123000,123500,123500,1454
123000,20181224151200,123000,123500,123500,1044
123500,20181224151100,123000,123500,123000,2520
123500,20181224151000,123000,123500,123500,996
123500,20181224150900,123000,123500,123500,891
123500,20181224150800,123000,123500,123500,1179
123500,20181224150700,123000,123500,123000,1199
123500,20181224150600,123000,123500,123500,517
123000,20181224150500,123000,123500,123000,862
123000,20181224150400,123000,123500,123000,998
123500,20181224150300,123000,123500,123500,1204
123500,20181224150200,123000,123500,123000,1076
123500,20181224150100,123000,123500,123000,1022
123000,20181224150000,123000,123500,123000,1656
123000,20181224145900,123000,123500,123000,1335
123500,20181224145800,123000,123500,123000,2167
123500,20181224145700,123000,123500,123500,1316
123000,20181224145600,123000,123500,123000,813
123500,20181224145500,123000,123500,123500,1801
123500,20181224145400,123000,123500,123500,921
123500,20181224145300,123000,123500,123000,1401
123000,20181224145200,123000,123500,123000,868
123500,20181224145100,123000,123500,123500,820
123500,20181224145000,123000,123500,123500,2300
123000,20181224144900,123000,123500,123500,637
123000,20181224144800,123000,123500,123000,1715
123000,20181224144700,123000,123500,123500,1567
123000,20181224144600,123000,123500,123500,687
123500,20181224144500,123000,123500,123000,890
123000,20181224144400,123000,123500,123000,523
123500,20181224144300,123000,123500,123000,576
123000,20181224144200,123000,123500,123000,1074
123500,20181224144100,123000,123500,123500,507
123500,20181224144000,123000,123500,123500,510
123500,20181224143900,123000,123500,123000,1185
123500,20181224143800,123000,123500,123000,364
123000,20181224143700,123000,123500,123000,467
123500,20181224143600,123000,123500,123500,1145
123000,20181224143500,123000,123500,123500,409
123000,20181224143400,123000,123500,123500,465
123500,20181224143300,123000,123500,123500,830
123000,20181224143200,123000,123500,123500,465
123000,20181224143100,123000,123500,123500,1202
