close,day,high,low,open,volume
131000,20181224153000,131000,131000,131000,2844
131000,20181224151900,130500,131000,131000,38
131000,20181224151800,130500,131000,130500,145
130500,20181224151700,130000,131000,130500,404
130500,20181224151600,130000,131000,130000,304
130000,20181224151500,130000,131000,130000,469
130000,20181224151400,130000,131000,130500,543
130500,20181224151300,130000,131000,130000,421
130000,20181224151200,130000,130500,130000,556
130000,20181224151100,130000,131000,130500,314
130500,20181224151000,130500,131000,130500,245
130500,20181224150900,130000,131000,131000,204
130500,20181224150800,130000,131000,131000,129
130500,20181224150700,130500,131000,130500,211
130500,20181224150600,130500,131000,130500,163
131000,20181224150500,130000,131000,130500,208
131000,20181224150400,130000,131000,130500,163
130500,20181224150300,130000,131000,130500,261
131000,20181224150200,130000,131000,131000,119
130500,20181224150100,130000,131000,131000,136
130500,20181224150000,130500,131000,130500,281
130500,20181224145900,130500,131000,130500,244
130500,20181224145800,130500,131000,130500,273
131000,20181224145700,130000,131000,130500,178
130500,20181224145600,130500,131000,131000,246
131000,20181224145500,130000,131500,130500,229
130500,20181224145400,130000,131000,130500,226
130000,20181224145300,130000,131000,130500,280
130500,20181224145200,130000,131000,131000,290
131000,20181224145100,130000,131000,130500,185
130500,20181224145000,130000,131000,131000,285
130500,20181224144900,130500,131000,131000,261
131000,20181224144800,130500,131000,130500,293
130500,20181224144700,130500,131000,131000,200
131000,20181224144600,130500,131000,130500,160
131000,20181224144500,130500,131000,130500,265
130500,20181224144400,130000,131000,131000,237
131000,20181224144300,130000,131000,130500,219
130500,20181224144200,130500,131000,130500,186
130500,20181224144100,130500,131000,131000,258
131000,20181224144000,130000,131000,130000,189
130000,20181224143900,130000,131000,131000,224
131000,20181224143800,130500,131000,130500,178
130500,20181224143700,130500,131000,130500,118
130500,20181224143600,130000,131000,131000,239
131000,20181224143500,130500,131000,130500,214
130500,20181224143400,130000,131000,130500,122
130500,20181224143300,130000,131000,130000,353
130500,20181224143200,130000,131500,131000,325
131000,20181224143100,130000,131000,131000,292
130500,20181224143000,130000,131500,131500,169
131000,20181224142900,130500,131000,130500,187
131000,20181224142800,130000,131000,130000,190
130000,20181224142700,130000,131000,131000,182
131000,20181224142600,130000,131000,130500,278
131000,20181224142500,130000,131000,130500,114
131000,20181224142400,130500,131000,130500,217
131000,20181224142300,130000,131000,130000,219
130000,20181224142200,130000,131000,130500,276
131000,20181224142100,130500,131000,131000,148
131000,20181224142000,130500,131500,130500,154
131000,20181224141900,130500,131000,130500,272
130500,20181224141800,130500,131000,130500,274
130500,20181224141700,130500,131000,131000,198
131500,20181224141600,131000,131500,131500,65
131500,20181224141500,131000,131500,131000,200
131000,20181224141400,130500,131500,130500,261
130500,20181224141300,130500,131000,131000,92
131000,20181224141200,131000,131500,131000,179
131000,20181224141100,131000,131500,131500,109
131000,20181224141000,131000,131500,131000,89
131000,20181224140900,131000,131500,131500,31
131500,20181224140800,131000,132000,131500,235
131000,20181224140700,130500,131500,131000,164
131000,20181224140600,130500,131500,131500,102
131000,20181224140500,131000,131500,131000,179
130500,20181224140400,130500,131000,131000,61
131000,20181224140300,131000,131500,131000,58
131000,20181224140200,131000,131500,131500,67
131000,20181224140100,131000,131500,131000,157
131500,20181224140000,131000,131500,131500,94
131000,20181224135900,131000,132000,131500,156
131500,20181224135800,131000,132000,131000,145
131000,20181224135700,131000,131500,131500,55
131500,20181224135600,131000,131500,131000,158
131500,20181224135500,131000,131500,131000,59
131000,20181224135400,131000,131500,131000,64
131000,20181224135300,131000,131500,131500,145
131500,20181224135200,131000,131500,131000,82
131000,20181224135100,130500,131500,130500,194
131000,20181224135000,130500,131000,130500,84
130500,20181224134900,130500,131500,131500,140
131000,20181224134800,131000,131500,131000,50
131500,20181224134700,130500,131500,131000,104
131000,20181224134600,131000,131500,131000,48
131000,20181224134500,130500,131500,131000,146
130500,20181224134400,130500,131000,130500,89
131000,20181224134300,131000,131500,131000,51
131000,20181224134200,130500,131500,131000,205
131000,20181224134100,131000,132000,131500,232
131000,20181224134000,131000,131500,131000,131
131000,20181224133900,131000,131500,131000,131
131000,20181224133800,131000,131500,131000,189
131000,20181224133700,131000,131500,131500,108
131000,20181224133600,131000,131500,131500,75
131000,20181224133500,130500,131500,130500,154
130500,20181224133400,130500,131000,130500,50
130500,20181224133300,130500,131000,131000,63
131000,20181224133200,130500,131000,130500,70
131000,20181224133100,130500,131000,130500,41
130500,20181224133000,130500,131500,131000,236
131000,20181224132900,131000,131500,131000,113
131000,20181224132800,131000,131500,131500,46
131000,20181224132700,131000,131500,131000,55
131000,20181224132600,131000,131500,131000,65
131000,20181224132500,131000,131500,131000,81
131500,20181224132400,131000,131500,131500,132
131500,20181224132300,131000,131500,131000,73
131000,20181224132200,131000,131500,131500,37
131000,20181224132100,131000,132000,132000,80
131500,20181224132000,131000,131500,131500,52
131500,20181224131900,131000,132000,132000,103
131500,20181224131800,131500,132000,132000,45
131500,20181224131700,131000,132000,131000,137
131000,20181224131600,131000,131500,131500,124
131500,20181224131500,131000,131500,131500,40
131000,20181224131400,131000,132000,132000,307
132000,20181224131300,132000,132500,132500,228
132500,20181224131200,132000,132500,132000,41
132500,20181224131100,131500,132500,131500,682
131500,20181224131000,131500,132000,132000,261
131500,20181224130900,131500,132000,132000,274
131500,20181224130800,131000,132000,131000,755
131500,20181224130700,131000,132000,132000,729
132000,20181224130600,131000,132000,131500,498
131500,20181224130500,130500,131500,131000,455
131500,20181224130400,131000,131500,131000,440
131500,20181224130300,131000,131500,131000,78
131500,20181224130200,131000,131500,131500,101
131000,20181224130100,131000,131500,131000,50
131500,20181224130000,131000,131500,131500,102
131000,20181224125900,130500,131500,131000,141
130500,20181224125800,130500,131500,130500,220
130500,20181224125700,130500,131000,131000,111
130500,20181224125600,130500,131500,131000,81
131000,20181224125500,130500,131500,130500,144
131000,20181224125400,130500,131000,131000,77
131000,20181224125300,130500,131000,130500,40
131000,20181224125200,130500,131500,131000,160
131000,20181224125100,130500,131500,130500,172
130500,20181224125000,130500,131000,131000,116
130500,20181224124900,130500,131000,131000,138
130500,20181224124800,130500,131000,130500,76
131000,20181224124700,130500,131500,131000,87
131500,20181224124600,131000,131500,131500,108
131000,20181224124500,130500,131500,131000,72
131000,20181224124400,130500,131500,131000,144
131000,20181224124300,131000,131500,131000,105
131000,20181224124200,130500,131000,131000,89
131500,20181224124100,131000,131500,131000,83
131000,20181224124000,130500,131500,131500,186
131000,20181224123900,130500,131500,130500,39
