close,day,high,low,open,volume
357500,20181224153000,357500,357500,357500,4270
357500,20181224151900,357000,357500,357500,118
357500,20181224151800,357000,357500,357000,168
357000,20181224151700,356500,358000,357000,253
357000,20181224151600,357000,357500,357000,426
357000,20181224151500,356500,357500,357000,223
357000,20181224151400,356500,357500,357000,248
357000,20181224151300,356500,357500,356500,280
356500,20181224151200,356500,357500,356500,367
356500,20181224151100,356500,357000,357000,265
357000,20181224151000,356500,357000,357000,115
356500,20181224150900,356500,357500,357000,178
357000,20181224150800,356500,357000,356500,177
356500,20181224150700,356500,357500,356500,163
357000,20181224150600,356000,357000,356500,440
356000,20181224150500,356000,357000,356500,124
357000,20181224150400,356500,357500,357500,88
357000,20181224150300,356500,357500,356500,132
356500,20181224150200,356500,357000,356500,214
356500,20181224150100,356500,357000,356500,81
356500,20181224150000,356500,357500,357000,111
357000,20181224145900,356500,357500,357000,573
356500,20181224145800,356500,357000,357000,171
356500,20181224145700,356500,357000,356500,162
356500,20181224145600,356500,357000,357000,243
357000,20181224145500,356500,357000,356500,183
356500,20181224145400,356500,357000,356500,227
356500,20181224145300,356500,357000,356500,235
356500,20181224145200,356500,357000,356500,975
356500,20181224145100,356500,357500,357000,221
357000,20181224145000,357000,358000,357500,593
357500,20181224144900,357500,358000,357500,188
357500,20181224144800,357500,358000,357500,210
357500,20181224144700,357500,358000,357500,155
358000,20181224144600,357500,358000,357500,190
357500,20181224144500,357500,358000,357500,288
357500,20181224144400,357500,358000,358000,174
357500,20181224144300,357500,358000,357500,168
357500,20181224144200,357500,358000,358000,176
357500,20181224144100,357500,358000,357500,155
357500,20181224144000,357500,358000,358000,180
358000,20181224143900,357500,358000,357500,335
357500,20181224143800,357500,358000,358000,358
357500,20181224143700,357500,358000,357500,121
358000,20181224143600,357500,358000,357500,188
357500,20181224143500,357500,358500,358500,4236
358000,20181224143400,358000,358500,358000,264
358000,20181224143300,358000,358500,358000,186
358000,20181224143200,358000,359000,358500,315
359000,20181224143100,358000,359000,358000,424
358000,20181224143000,358000,358500,358000,304
358000,20181224142900,358000,358500,358500,646
359000,20181224142800,358500,359000,358500,218
359000,20181224142700,358000,359000,358500,455
358000,20181224142600,358000,358500,358000,200
358000,20181224142500,358000,358500,358500,205
358000,20181224142400,358000,358500,358500,211
358000,20181224142300,358000,359000,358500,381
358500,20181224142200,358500,359000,359000,171
358500,20181224142100,358500,359000,358500,187
358500,20181224142000,358500,359000,358500,205
358500,20181224141900,358500,359000,359000,145
359000,20181224141800,358500,359000,358500,269
358500,20181224141700,358500,359000,358500,115
358500,20181224141600,358500,359500,359000,398
359500,20181224141500,359000,359500,359500,136
359000,20181224141400,358500,359500,359000,1143
359500,20181224141300,359000,359500,359000,231
359000,20181224141200,358500,359000,358500,815
358500,20181224141100,358500,359000,358500,319
359000,20181224141000,358500,359000,358500,214
358500,20181224140900,358500,359000,358500,299
358500,20181224140800,358500,359000,358500,168
358500,20181224140700,358500,359000,359000,196
358500,20181224140600,358500,359000,358500,176
358500,20181224140500,358500,359000,358500,158
358500,20181224140400,358500,359000,358500,166
358500,20181224140300,358500,359000,358500,222
358500,20181224140200,358500,359000,358500,119
358500,20181224140100,358500,359000,358500,248
359000,20181224140000,358500,359000,359000,215
358500,20181224135900,358500,359000,358500,187
358500,20181224135800,358500,359000,358500,163
358500,20181224135700,358500,359000,358500,120
358500,20181224135600,358500,359000,358500,337
358500,20181224135500,358500,359000,359000,99
359000,20181224135400,358500,359000,359000,184
358500,20181224135300,358500,359000,358500,193
359000,20181224135200,358500,359000,358500,97
358500,20181224135100,358500,359000,359000,168
358500,20181224135000,358500,359000,358500,294
358500,20181224134900,358500,359000,358500,150
358500,20181224134800,358500,359000,358500,110
358500,20181224134700,358500,359000,358500,160
358500,20181224134600,358500,359000,358500,92
358500,20181224134500,358500,359000,358500,193
358500,20181224134400,358500,359000,358500,74
358500,20181224134300,358500,359000,359000,142
358500,20181224134200,358500,359000,359000,84
358500,20181224134100,358500,359000,358500,198
358500,20181224134000,358500,359000,358500,137
358500,20181224133900,358500,359000,359000,104
359000,20181224133800,358500,359000,358500,157
358500,20181224133700,358500,359000,359000,143
359000,20181224133600,358500,359000,358500,110
358500,20181224133500,358500,359000,358500,170
359000,20181224133400,358500,359000,358500,82
358500,20181224133300,358500,359000,358500,154
358500,20181224133200,358500,359000,359000,140
359000,20181224133100,358500,359000,358500,119
359000,20181224133000,358500,359000,358500,113
358500,20181224132900,358500,359000,358500,166
359000,20181224132800,358500,359000,359000,222
359000,20181224132700,358500,359000,358500,366
359000,20181224132600,358500,359000,359000,185
358500,20181224132500,358500,359000,358500,145
358500,20181224132400,358500,359000,358500,300
358500,20181224132300,358500,359000,359000,104
359000,20181224132200,358500,359000,358500,143
358500,20181224132100,358500,359000,359000,125
359000,20181224132000,358500,359000,358500,158
358500,20181224131900,358500,359000,358500,101
358500,20181224131800,358500,359000,359000,113
358500,20181224131700,358500,359000,358500,127
358500,20181224131600,358500,359000,358500,104
358500,20181224131500,358500,359000,358500,127
359000,20181224131400,358500,359000,359000,116
358500,20181224131300,358500,359000,358500,135
359000,20181224131200,358500,359000,358500,94
358500,20181224131100,358500,359000,358500,98
358500,20181224131000,358500,359000,358500,132
359000,20181224130900,358000,359000,358500,223
358500,20181224130800,358000,358500,358000,102
358000,20181224130700,358000,359000,359000,117
359000,20181224130600,358500,359000,358500,122
358500,20181224130500,358500,359000,359000,121
358500,20181224130400,358500,359000,358500,172
359000,20181224130300,358500,359000,358500,332
359000,20181224130200,358500,359000,359000,153
358500,20181224130100,358500,359000,358500,184
358500,20181224130000,358500,359000,358500,87
358500,20181224125900,358500,359000,358500,189
359000,20181224125800,358500,359000,358500,156
359000,20181224125700,358500,359000,358500,95
358500,20181224125600,358500,359500,359000,212
359500,20181224125500,359000,359500,359000,77
359000,20181224125400,359000,359500,359000,122
359500,20181224125300,358500,359500,358500,206
359000,20181224125200,358500,359500,359000,209
359000,20181224125100,358500,359000,358500,265
359000,20181224125000,358500,359000,359000,74
359000,20181224124900,358500,359500,359000,198
359500,20181224124800,359000,359500,359000,157
359500,20181224124700,358500,359500,358500,48
359500,20181224124600,359000,359500,359000,105
359000,20181224124500,358500,359500,358500,202
359000,20181224124400,358500,359500,359000,134
359500,20181224124300,359000,359500,359500,72
359500,20181224124200,359000,359500,359000,212
359000,20181224124100,359000,359500,359500,129
359500,20181224124000,359000,359500,359000,173
359500,20181224123900,359000,359500,359500,213
359500,20181224123800,359000,359500,359000,259
358500,20181224123700,358500,359000,358500,86
358500,20181224123600,358500,359000,358500,96
358500,20181224123500,358500,359000,359000,119
359000,20181224123400,358500,359000,359000,142
359000,20181224123300,358500,359000,359000,170
359000,20181224123200,359000,359500,359000,76
359000,20181224123100,359000,359500,359000,123
359000,20181224123000,359000,359500,359000,252
359000,20181224122900,359000,359500,359000,344
359000,20181224122800,359000,359500,359000,77
359000,20181224122700,359000,359500,359500,209
359500,20181224122600,359000,359500,359500,104
359000,20181224122500,359000,359500,359500,79
359000,20181224122400,359000,359500,359500,143
359000,20181224122300,359000,359500,359000,170
359000,20181224122200,359000,359500,359000,99
359500,20181224122100,359000,359500,359500,165
359000,20181224122000,359000,359500,359000,99
359500,20181224121900,359000,359500,359000,73
359500,20181224121800,359000,359500,359500,172
359000,20181224121700,359000,359500,359000,125
359000,20181224121600,359000,359500,359000,148
359500,20181224121500,359000,359500,359000,153
359000,20181224121400,359000,359500,359500,143
359500,20181224121300,359000,359500,359000,179
359000,20181224121200,359000,359500,359500,61
359000,20181224121100,359000,359500,359500,89
359000,20181224121000,359000,359500,359000,139
359500,20181224120900,359000,359500,359000,116
359000,20181224120800,359000,359500,359000,98
359000,20181224120700,359000,359500,359500,66
359500,20181224120600,359000,359500,359000,139
359500,20181224120500,359000,359500,359000,147
359000,20181224120400,358500,359500,358500,124
359000,20181224120300,358500,359000,358500,81
359000,20181224120200,358500,359000,359000,144
359000,20181224120100,358500,359000,359000,171
359000,20181224120000,358500,359000,358500,92
359000,20181224115900,358500,359500,359500,138
359000,20181224115800,358500,359000,359000,179
359000,20181224115700,359000,359500,359500,277
359000,20181224115600,359000,359500,359500,247
359000,20181224115500,359000,359500,359000,84
359000,20181224115400,359000,359500,359000,183
359500,20181224115300,359000,359500,359000,176
359500,20181224115200,359000,359500,359500,101
359000,20181224115100,359000,359500,359000,68
359000,20181224115000,359000,359500,359500,152
359500,20181224114900,359000,359500,359000,88
359500,20181224114800,359000,359500,359000,131
359000,20181224114700,359000,359500,359500,67
359500,20181224114600,359000,359500,359000,141
359500,20181224114500,359000,359500,359000,95
359500,20181224114400,359000,359500,359500,158
359500,20181224114300,359000,359500,359000,180
359000,20181224114200,359000,359500,359000,104
359500,20181224114100,359000,359500,359000,105
359000,20181224114000,359000,359500,359500,167
359500,20181224113900,358000,359500,358500,226
358500,20181224113800,358500,359500,359000,132
358500,20181224113700,358500,359000,359000,121
359000,20181224113600,358500,359000,359000,114
359000,20181224113500,358500,359000,358500,94
358500,20181224113400,358500,359000,359000,154
359000,20181224113300,358500,359000,359000,117
359500,20181224113200,359000,359500,359500,219
