close,day,high,low,open,volume
33100,20181224153000,33100,33100,33100,71409
33050,20181224151900,33050,33100,33050,1420
33100,20181224151800,33000,33100,33000,3338
33000,20181224151700,33000,33100,33000,5118
33000,20181224151600,33000,33050,33050,3051
33000,20181224151500,33000,33050,33050,4746
33050,20181224151400,33000,33050,33050,5980
33000,20181224151300,32950,33050,33000,5016
32950,20181224151200,32950,33050,33000,2500
33000,20181224151100,33000,33050,33000,4641
33050,20181224151000,33000,33050,33050,7201
33050,20181224150900,33000,33050,33050,2033
33050,20181224150800,33000,33050,33000,2727
33000,20181224150700,33000,33100,33100,3258
33100,20181224150600,33050,33100,33050,1921
33050,20181224150500,33050,33100,33050,2608
33100,20181224150400,33050,33100,33050,2217
33100,20181224150300,33050,33100,33100,1890
33050,20181224150200,33050,33100,33050,2031
33100,20181224150100,33050,33150,33100,3212
33100,20181224150000,33100,33150,33150,2011
33100,20181224145900,33050,33150,33050,8382
33050,20181224145800,33000,33100,33000,4114
33050,20181224145700,33000,33050,33050,2827
33050,20181224145600,33000,33050,33050,2515
33050,20181224145500,33000,33050,33000,1785
33000,20181224145400,33000,33100,33050,6563
33050,20181224145300,33050,33100,33050,2712
33050,20181224145200,33050,33100,33050,2633
33050,20181224145100,33050,33100,33050,2398
33050,20181224145000,33050,33100,33050,2560
33050,20181224144900,33050,33100,33050,2440
33050,20181224144800,33050,33100,33100,1926
33100,20181224144700,33000,33100,33050,4196
33000,20181224144600,33000,33050,33050,2802
33050,20181224144500,33000,33050,33050,2045
33000,20181224144400,33000,33050,33000,4210
33050,20181224144300,33000,33050,33000,1684
33000,20181224144200,33000,33050,33000,2305
33000,20181224144100,33000,33050,33050,2170
33000,20181224144000,33000,33050,33000,3320
33050,20181224143900,33000,33050,33000,2777
33000,20181224143800,33000,33050,33000,3066
33000,20181224143700,33000,33050,33050,3351
33050,20181224143600,32950,33050,33050,11791
33000,20181224143500,33000,33100,33000,5011
33000,20181224143400,33000,33100,33050,3152
33050,20181224143300,33050,33100,33050,2427
33050,20181224143200,33050,33150,33100,5200
33100,20181224143100,33100,33150,33100,1639
33150,20181224143000,33100,33150,33100,2632
33150,20181224142900,33100,33150,33100,1345
33100,20181224142800,33100,33150,33150,1230
33100,20181224142700,33100,33150,33150,2723
33100,20181224142600,33100,33150,33100,1530
33100,20181224142500,33050,33150,33100,4525
33150,20181224142400,33100,33150,33100,2756
33100,20181224142300,33100,33150,33100,3736
33100,20181224142200,33100,33150,33100,1636
33100,20181224142100,33100,33150,33100,1696
33100,20181224142000,33100,33150,33100,2030
33100,20181224141900,33100,33150,33100,980
33150,20181224141800,33100,33150,33150,1628
33100,20181224141700,33100,33150,33150,852
33150,20181224141600,33100,33150,33150,1628
33150,20181224141500,33100,33150,33150,3314
33150,20181224141400,33100,33200,33150,2798
33150,20181224141300,33100,33200,33150,2112
33150,20181224141200,33100,33200,33100,5532
33100,20181224141100,33100,33150,33100,1289
33100,20181224141000,33100,33150,33100,2239
33100,20181224140900,33100,33150,33150,4875
33100,20181224140800,33100,33150,33100,1557
33100,20181224140700,33100,33200,33200,9472
33150,20181224140600,33150,33200,33150,1839
33150,20181224140500,33150,33200,33150,1094
33150,20181224140400,33150,33200,33150,1034
33150,20181224140300,33150,33200,33200,1898
33150,20181224140200,33150,33200,33150,1332
33150,20181224140100,33150,33200,33150,1151
33150,20181224140000,33150,33200,33150,2011
33150,20181224135900,33150,33200,33200,1431
33150,20181224135800,33150,33200,33150,1146
33150,20181224135700,33150,33200,33150,1391
33150,20181224135600,33100,33200,33150,4184
33150,20181224135500,33050,33150,33050,2943
33100,20181224135400,33050,33100,33050,973
33100,20181224135300,33050,33150,33100,3520
33100,20181224135200,33100,33150,33150,1772
33100,20181224135100,33100,33150,33150,898
33100,20181224135000,33100,33200,33150,3127
33150,20181224134900,33150,33200,33150,2580
33150,20181224134800,33150,33200,33200,2099
33200,20181224134700,33150,33200,33150,819
33200,20181224134600,33150,33200,33150,1714
33150,20181224134500,33150,33200,33200,1151
33150,20181224134400,33100,33250,33100,12313
33100,20181224134300,33100,33150,33100,1802
33100,20181224134200,33100,33150,33100,1181
33100,20181224134100,33100,33150,33100,1312
33100,20181224134000,33100,33150,33100,1718
33100,20181224133900,33100,33150,33100,1783
33100,20181224133800,33100,33150,33100,1098
33100,20181224133700,33100,33150,33100,985
33100,20181224133600,33100,33150,33100,1814
33100,20181224133500,33100,33150,33100,729
33100,20181224133400,33100,33150,33150,1238
