close,day,high,low,open,volume
248500,20181224153000,248500,248500,248500,12845
248000,20181224151900,247500,248500,248000,759
248000,20181224151800,247500,249000,248000,1116
248000,20181224151700,248000,248500,248000,1073
248000,20181224151600,248000,248500,248000,948
248000,20181224151500,248000,248500,248000,915
248000,20181224151400,248000,248500,248500,1161
248000,20181224151300,248000,248500,248500,562
248000,20181224151200,248000,248500,248000,595
248000,20181224151100,247500,248500,248000,747
248000,20181224151000,247500,248000,247500,540
248000,20181224150900,247500,248000,247500,1492
247500,20181224150800,247500,248000,247500,479
248000,20181224150700,247500,248000,248000,2560
247500,20181224150600,247500,248000,247500,290
248000,20181224150500,247500,248000,247500,696
248000,20181224150400,247500,248000,247500,1377
247500,20181224150300,247500,248000,247500,414
247500,20181224150200,247500,248000,248000,548
248000,20181224150100,247500,248000,247500,805
247500,20181224150000,247500,248000,248000,538
247500,20181224145900,247500,248000,247500,1081
247500,20181224145800,247500,248000,248000,471
248000,20181224145700,247500,248000,247500,368
247500,20181224145600,247500,248000,247500,777
247500,20181224145500,247000,248000,247000,1966
246500,20181224145400,246500,247500,247500,263
247000,20181224145300,246000,247500,246000,687
246000,20181224145200,246000,247500,247500,700
247500,20181224145100,246500,247500,247000,650
247000,20181224145000,247000,247500,247000,455
247000,20181224144900,247000,247500,247000,419
247000,20181224144800,246500,247500,247000,420
247000,20181224144700,246500,247500,247500,1227
247000,20181224144600,247000,247500,247000,288
247500,20181224144500,247000,248000,247500,2711
247500,20181224144400,247000,248000,247500,936
247000,20181224144300,247000,247500,247000,1018
247000,20181224144200,247000,247500,247000,376
247500,20181224144100,247000,247500,247500,478
247000,20181224144000,247000,247500,247500,271
247000,20181224143900,247000,247500,247500,494
247500,20181224143800,247000,247500,247000,343
247000,20181224143700,247000,247500,247500,457
247500,20181224143600,247000,247500,247500,388
247000,20181224143500,247000,247500,247000,422
247500,20181224143400,247000,247500,247500,485
247000,20181224143300,247000,247500,247000,328
247000,20181224143200,247000,247500,247000,413
247000,20181224143100,246500,247500,246500,1236
246500,20181224143000,246500,247000,247000,525
247000,20181224142900,246500,247000,247000,326
247000,20181224142800,246500,247000,246500,528
246500,20181224142700,246500,247000,247000,400
247000,20181224142600,246500,247000,247000,633
246500,20181224142500,246500,247000,246500,284
246500,20181224142400,246000,247000,246000,2147
246000,20181224142300,246000,246500,246000,444
246500,20181224142200,246000,246500,246000,329
246500,20181224142100,246000,246500,246000,433
246000,20181224142000,246000,246500,246000,430
246000,20181224141900,246000,246500,246000,234
246500,20181224141800,246000,246500,246500,620
246000,20181224141700,246000,246500,246000,195
246000,20181224141600,246000,246500,246500,161
246000,20181224141500,246000,246500,246500,145
246500,20181224141400,246000,246500,246000,373
246000,20181224141300,246000,246500,246000,222
246000,20181224141200,246000,246500,246000,197
246000,20181224141100,246000,246500,246000,138
246000,20181224141000,245500,246500,245500,1372
245500,20181224140900,245500,246000,245500,178
245500,20181224140800,245500,246000,245500,249
245500,20181224140700,245500,246000,245500,131
245500,20181224140600,245500,246000,245500,203
245500,20181224140500,245500,246000,245500,117
245500,20181224140400,245500,246000,246000,130
245500,20181224140300,245500,246000,245500,177
245500,20181224140200,245500,246000,245500,261
245500,20181224140100,245500,246000,245500,148
245500,20181224140000,245500,246000,245500,163
246000,20181224135900,245500,246000,246000,199
245500,20181224135800,245500,246000,246000,149
246000,20181224135700,245500,246000,245500,107
245500,20181224135600,245500,246000,245500,162
245500,20181224135500,245500,246000,246000,160
245500,20181224135400,245500,246000,246000,95
245500,20181224135300,245500,246000,245500,184
246000,20181224135200,245500,246000,245500,363
245500,20181224135100,245500,246000,245500,95
245500,20181224135000,245500,246000,246000,138
245500,20181224134900,245500,246000,245500,125
245500,20181224134800,245500,246000,245500,137
246000,20181224134700,245500,246000,245500,178
245500,20181224134600,245500,246000,245500,230
245500,20181224134500,245500,246000,245500,296
245500,20181224134400,245500,246000,245500,299
245500,20181224134300,245500,246000,245500,102
246000,20181224134200,245500,246000,245500,116
245500,20181224134100,245500,246000,245500,134
246000,20181224134000,245500,246000,245500,92
246000,20181224133900,245500,246000,245500,164
245500,20181224133800,245500,246000,245500,126
246000,20181224133700,245500,246000,245500,117
245500,20181224133600,245500,246000,245500,124
245500,20181224133500,245000,246000,245000,219
245000,20181224133400,245000,245500,245500,146
245000,20181224133300,245000,245500,245000,91
245000,20181224133200,245000,245500,245000,257
245000,20181224133100,245000,245500,245000,215
245500,20181224133000,245000,246000,245500,1579
245500,20181224132900,245500,246000,246000,134
245500,20181224132800,245500,246000,245500,168
245500,20181224132700,245500,246000,245500,67
246000,20181224132600,245500,246000,245500,642
245500,20181224132500,245500,246000,245500,125
246000,20181224132400,245000,246000,245000,844
245000,20181224132300,245000,245500,245000,184
245000,20181224132200,245000,245500,245000,83
245000,20181224132100,245000,245500,245500,130
245000,20181224132000,245000,245500,245000,134
245000,20181224131900,245000,245500,245000,144
245000,20181224131800,245000,245500,245500,202
245000,20181224131700,245000,245500,245000,280
245000,20181224131600,245000,245500,245000,140
245000,20181224131500,245000,245500,245500,160
245500,20181224131400,245000,245500,245500,262
245000,20181224131300,245000,245500,245000,244
245500,20181224131200,245000,245500,245000,135
245000,20181224131100,245000,245500,245000,96
245000,20181224131000,245000,245500,245000,135
245000,20181224130900,245000,245500,245000,80
245000,20181224130800,245000,245500,245000,538
245000,20181224130700,245000,245500,245000,63
245500,20181224130600,245000,245500,245500,94
245000,20181224130500,245000,245500,245000,60
245000,20181224130400,245000,245500,245000,128
245000,20181224130300,245000,245500,245500,95
245000,20181224130200,245000,245500,245500,83
245000,20181224130100,245000,245500,245000,145
245000,20181224130000,245000,245500,245000,108
245000,20181224125900,245000,245500,245000,68
245500,20181224125800,245000,245500,245000,120
245000,20181224125700,245000,245500,245000,141
245500,20181224125600,245000,245500,245000,145
245500,20181224125500,245000,245500,245000,183
245000,20181224125400,245000,245500,245000,147
245000,20181224125300,245000,245500,245000,222
245500,20181224125200,245000,245500,245000,192
245500,20181224125100,245000,245500,245000,115
245000,20181224125000,245000,245500,245000,119
245000,20181224124900,245000,245500,245500,63
245000,20181224124800,245000,245500,245000,66
245000,20181224124700,245000,245500,245000,84
245000,20181224124600,245000,246000,245500,1103
245500,20181224124500,245500,246000,245500,173
245500,20181224124400,245500,246000,246000,331
246000,20181224124300,245500,246000,246000,113
245500,20181224124200,245500,246000,246000,141
245500,20181224124100,245500,246000,245500,343
245500,20181224124000,245500,246000,245500,166
245500,20181224123900,245500,246000,245500,134
245500,20181224123800,245500,246000,245500,132
245500,20181224123700,245500,246000,245500,78
246000,20181224123600,245500,246000,245500,73
245500,20181224123500,245500,246000,245500,32
245500,20181224123400,245500,246000,245500,111
245500,20181224123300,245500,246000,245500,149
