close,day,high,low,open,volume
48750,20181224153000,48750,48750,48750,43827
48750,20181224151900,48700,48850,48800,778
48800,20181224151800,48700,48900,48850,1328
48850,20181224151700,48700,48850,48750,7241
48750,20181224151600,48750,48800,48750,2696
48750,20181224151500,48650,48800,48700,2472
48700,20181224151400,48700,48750,48700,2504
48700,20181224151300,48650,48750,48700,2521
48700,20181224151200,48700,48750,48700,1934
48700,20181224151100,48700,48750,48700,1453
48700,20181224151000,48700,48750,48700,1261
48700,20181224150900,48700,48800,48750,6558
48750,20181224150800,48650,48750,48650,1666
48700,20181224150700,48700,48750,48700,1492
48750,20181224150600,48650,48800,48700,2003
48800,20181224150500,48600,48800,48700,5885
48650,20181224150400,48650,48700,48700,1275
48650,20181224150300,48650,48700,48650,1863
48650,20181224150200,48600,48700,48650,2358
48650,20181224150100,48650,48700,48700,1263
48650,20181224150000,48650,48700,48650,1000
48650,20181224145900,48650,48700,48650,1437
48650,20181224145800,48650,48700,48650,1788
48650,20181224145700,48650,48700,48650,1266
48700,20181224145600,48650,48700,48650,1616
48650,20181224145500,48650,48700,48650,1347
48650,20181224145400,48650,48700,48650,3157
48650,20181224145300,48650,48700,48650,1246
48650,20181224145200,48650,48700,48650,954
48650,20181224145100,48650,48700,48650,1180
48650,20181224145000,48650,48750,48700,2219
48700,20181224144900,48700,48750,48700,1103
48700,20181224144800,48700,48750,48700,1054
48750,20181224144700,48700,48800,48750,1756
48750,20181224144600,48700,48800,48700,1580
48700,20181224144500,48700,48800,48750,1773
48750,20181224144400,48650,48800,48650,1671
48650,20181224144300,48650,48800,48700,2182
48700,20181224144200,48650,48750,48650,1859
48700,20181224144100,48600,48700,48650,1745
48600,20181224144000,48600,48650,48600,1266
48600,20181224143900,48600,48650,48600,1359
48650,20181224143800,48600,48650,48600,1086
48600,20181224143700,48600,48700,48650,814
48650,20181224143600,48600,48750,48650,1794
48650,20181224143500,48600,48650,48600,1015
48600,20181224143400,48600,48650,48600,4029
48600,20181224143300,48600,48700,48650,1731
48650,20181224143200,48650,48700,48650,1344
48650,20181224143100,48600,48700,48700,1890
48650,20181224143000,48650,48700,48650,1211
48650,20181224142900,48650,48700,48700,1220
48700,20181224142800,48700,48750,48750,1185
48700,20181224142700,48600,48700,48600,6734
48600,20181224142600,48600,48650,48600,2088
48600,20181224142500,48600,48650,48600,3168
48600,20181224142400,48600,48700,48650,4884
48650,20181224142300,48650,48700,48650,1334
48700,20181224142200,48650,48700,48650,1134
48650,20181224142100,48650,48700,48650,1091
