datetime,original,predicted
20180504090100,46812.5,47029.848
20180504090200,46850.0,46831.152
20180504090300,46850.0,46868.453
20180504090400,46837.5,46868.453
20180504090500,46875.0,46856.023
20180504090600,46937.5,46893.31
20180504090700,46975.0,46955.41
20180504090800,47037.5,46992.645
20180504090900,47075.0,47054.645
20180504091000,47125.0,47091.816
20180504091100,47112.5,47141.336
20180504091200,47087.5,47128.96
20180504091300,47162.5,47104.2
20180504091400,47237.5,47178.457
20180504091500,47225.0,47252.613
20180504091600,47150.0,47240.266
20180504091700,47062.50000000001,47166.086
20180504091800,47075.0,47079.426
20180504091900,47037.5,47091.816
20180504092000,47025.0,47054.645
20180504092100,47025.0,47042.25
20180504092200,46987.5,47042.25
20180504092300,46987.5,47005.05
20180504092400,46975.0,47005.05
20180504092500,46962.5,46992.645
20180504092600,46975.0,46980.24
20180504092700,46975.0,46992.645
20180504092800,46975.0,46992.645
20180504092900,46962.5,46992.645
20180504093000,46912.5,46980.24
20180504093100,46850.0,46930.582
20180504093200,46850.0,46868.453
20180504093300,46800.00000000001,46868.453
20180504093400,46775.0,46818.71
20180504093500,46775.0,46793.83
20180504093600,46787.49999999999,46793.83
20180504093700,46762.5,46806.27
20180504093800,46775.0,46781.383
20180504093900,46775.0,46793.83
20180504094000,46762.5,46793.83
20180504094100,46787.49999999999,46781.383
20180504094200,46775.0,46806.27
20180504094300,46762.5,46793.83
20180504094400,46737.5,46781.383
20180504094500,46687.5,46756.484
20180504094600,46662.5,46706.66
20180504094700,46675.0,46681.734
20180504094800,46662.5,46694.2
20180504094900,46675.0,46681.734
20180504095000,46675.0,46694.2
20180504095100,46650.0,46694.2
20180504095200,46662.5,46669.273
20180504095300,46662.5,46681.734
20180504095400,46637.5,46681.734
20180504095500,46612.5,46656.8
20180504095600,46625.0,46631.863
20180504095700,46625.0,46644.336
20180504095800,46612.5,46644.336
20180504095900,46612.5,46631.863
20180504100000,46625.0,46631.863
20180504100100,46612.5,46644.336
20180504100200,46612.5,46631.863
20180504100300,46612.5,46631.863
20180504100400,46612.5,46631.863
20180504100500,46625.0,46631.863
20180504100600,46625.0,46644.336
20180504100700,46637.5,46644.336
20180504100800,46675.0,46656.8
20180504100900,46762.5,46694.2
20180504101000,46825.0,46781.383
20180504101100,46812.5,46843.59
20180504101200,46837.5,46831.152
20180504101300,46812.5,46856.023
20180504101400,46787.49999999999,46831.152
20180504101500,46750.0,46806.27
20180504101600,46812.5,46768.934
20180504101700,46862.5,46831.152
20180504101800,46875.0,46880.883
20180504101900,46862.5,46893.31
20180504102000,46875.0,46880.883
20180504102100,46862.5,46893.31
20180504102200,46875.0,46880.883
20180504102300,46862.5,46893.31
20180504102400,46862.5,46880.883
20180504102500,46800.00000000001,46880.883
20180504102600,46800.00000000001,46818.71
20180504102700,46825.0,46818.71
20180504102800,46825.0,46843.59
20180504102900,46825.0,46843.59
20180504103000,46875.0,46843.59
20180504103100,46862.5,46893.31
20180504103200,46887.5,46880.883
20180504103300,46925.0,46905.74
20180504103400,46925.0,46942.996
20180504103500,46912.5,46942.996
20180504103600,46887.5,46930.582
20180504103700,46887.5,46905.74
20180504103800,46862.5,46905.74
20180504103900,46875.0,46880.883
20180504104000,46862.5,46893.31
20180504104100,46862.5,46880.883
20180504104200,46850.0,46880.883
20180504104300,46862.5,46868.453
20180504104400,46887.5,46880.883
20180504104500,46862.5,46905.74
20180504104600,46862.5,46880.883
20180504104700,46862.5,46880.883
20180504104800,46862.5,46880.883
20180504104900,46862.5,46880.883
20180504105000,46862.5,46880.883
20180504105100,46850.0,46880.883
20180504105200,46825.0,46868.453
20180504105300,46812.5,46843.59
20180504105400,46825.0,46831.152
20180504105500,46775.0,46843.59
20180504105600,46750.0,46793.83
20180504105700,46762.5,46768.934
20180504105800,46725.0,46781.383
