datetime,original,predicted
20180504090100,230500.0,229737.55
20180504090200,231000.0,230609.66
20180504090300,230000.0,231107.3
20180504090400,229250.0,230111.48
20180504090500,229250.0,229363.34
20180504090600,229500.0,229363.34
20180504090700,230000.0,229612.83
20180504090800,230000.0,230111.48
20180504090900,229250.0,230111.48
20180504091000,229125.0,229363.34
20180504091100,229125.0,229238.55
20180504091200,229750.0,229238.55
20180504091300,230500.0,229862.22
20180504091400,229750.0,230609.66
20180504091500,229875.0,229862.22
20180504091600,230000.0,229986.88
20180504091700,229000.0,230111.48
20180504091800,228875.0,229113.72
20180504091900,228625.0,228988.86
20180504092000,228625.0,228739.08
20180504092100,228625.0,228739.08
20180504092200,228625.0,228739.08
20180504092300,228625.0,228739.08
20180504092400,228750.0,228739.08
20180504092500,229250.0,228864.0
20180504092600,229375.0,229363.34
20180504092700,229750.0,229488.11
20180504092800,229750.0,229862.22
20180504092900,229750.0,229862.22
20180504093000,229750.0,229862.22
20180504093100,229500.0,229862.22
20180504093200,229000.0,229612.83
20180504093300,228875.0,229113.72
20180504093400,228875.0,228988.86
20180504093500,228875.0,228988.86
20180504093600,229125.0,228988.86
20180504093700,229250.0,229238.55
20180504093800,229250.0,229363.34
20180504093900,229250.0,229363.34
20180504094000,229250.0,229363.34
20180504094100,229375.0,229363.34
20180504094200,229375.0,229488.11
20180504094300,229750.0,229488.11
20180504094400,229875.0,229862.22
20180504094500,230375.0,229986.88
20180504094600,231125.0,230485.16
20180504094700,230375.0,231231.62
20180504094800,230375.0,230485.16
20180504094900,230500.0,230485.16
20180504095000,230625.0,230609.66
20180504095100,230750.0,230734.11
20180504095200,230250.00000000003,230858.53
20180504095300,230250.00000000003,230360.64
20180504095400,230125.0,230360.64
20180504095500,230250.00000000003,230236.08
20180504095600,230000.0,230360.64
20180504095700,230000.0,230111.48
20180504095800,230125.0,230111.48
20180504095900,230000.0,230236.08
20180504100000,230000.0,230111.48
20180504100100,230500.0,230111.48
20180504100200,230750.0,230609.66
20180504100300,230875.0,230858.53
20180504100400,231250.0,230982.92
20180504100500,231250.0,231355.92
20180504100600,231250.0,231355.92
20180504100700,231125.0,231355.92
20180504100800,231625.0,231231.62
20180504100900,231875.0,231728.62
20180504101000,231625.0,231976.9
20180504101100,231375.0,231728.62
20180504101200,231375.0,231480.19
20180504101300,231125.0,231480.19
20180504101400,231000.0,231231.62
20180504101500,230625.0,231107.3
20180504101600,230625.0,230734.11
20180504101700,230875.0,230734.11
20180504101800,230375.0,230982.92
20180504101900,230125.0,230485.16
20180504102000,230125.0,230236.08
20180504102100,229500.0,230236.08
20180504102200,230250.00000000003,229612.83
20180504102300,230250.00000000003,230360.64
