datetime,original,predicted
20180504090100,98350.0,98380.36
20180504090200,98250.0,98355.86
20180504090300,98250.0,98257.99
20180504090400,98125.0,98257.99
20180504090500,97925.0,98135.875
20180504090600,97950.0,97941.02
20180504090700,98125.0,97965.34
20180504090800,98250.0,98135.875
20180504090900,98250.0,98257.99
20180504091000,98225.0,98257.99
20180504091100,98250.0,98233.54
20180504091200,98250.0,98257.99
20180504091300,98300.0,98257.99
20180504091400,98300.0,98306.91
20180504091500,98250.0,98306.91
20180504091600,98050.0,98257.99
20180504091700,98000.0,98062.73
20180504091800,98100.0,98014.01
20180504091900,98175.0,98111.484
20180504092000,98050.0,98184.69
20180504092100,97900.0,98062.73
20180504092200,97850.0,97916.72
20180504092300,97900.0,97868.13
20180504092400,98075.0,97916.72
20180504092500,98100.0,98087.09
20180504092600,98250.0,98111.484
20180504092700,98250.0,98257.99
20180504092800,98200.0,98257.99
20180504092900,98275.0,98209.11
20180504093000,98125.0,98282.445
20180504093100,97900.0,98135.875
20180504093200,97950.0,97916.72
20180504093300,97975.0,97965.34
20180504093400,97925.0,97989.67
20180504093500,97875.0,97941.02
20180504093600,97875.0,97892.42
20180504093700,98050.0,97892.42
20180504093800,98025.0,98062.73
20180504093900,98050.0,98038.36
20180504094000,98075.0,98062.73
20180504094100,98075.0,98087.09
20180504094200,98050.0,98087.09
20180504094300,98050.0,98062.73
20180504094400,98050.0,98062.73
20180504094500,98000.0,98062.73
20180504094600,98075.0,98014.01
20180504094700,98200.0,98087.09
20180504094800,98250.0,98209.11
20180504094900,98350.0,98257.99
20180504095000,98375.0,98355.86
20180504095100,98300.0,98380.36
20180504095200,98050.0,98306.91
20180504095300,97975.0,98062.73
20180504095400,97900.0,97989.67
20180504095500,97825.0,97916.72
20180504095600,97875.0,97843.86
20180504095700,97825.0,97892.42
20180504095800,97850.0,97843.86
20180504095900,97850.0,97868.13
20180504100000,97850.0,97868.13
20180504100100,98025.0,97868.13
20180504100200,98050.0,98038.36
20180504100300,98025.0,98062.73
20180504100400,98025.0,98038.36
20180504100500,97925.0,98038.36
20180504100600,97850.0,97941.02
20180504100700,97850.0,97868.13
20180504100800,97850.0,97868.13
20180504100900,97875.0,97868.13
20180504101000,97850.0,97892.42
20180504101100,97850.0,97868.13
20180504101200,97875.0,97868.13
20180504101300,97850.0,97892.42
20180504101400,97850.0,97868.13
20180504101500,97900.0,97868.13
20180504101600,98050.0,97916.72
20180504101700,98125.0,98062.73
20180504101800,98175.0,98135.875
20180504101900,98150.0,98184.69
20180504102000,98200.0,98160.27
20180504102100,98275.0,98209.11
20180504102200,98225.0,98282.445
20180504102300,98200.0,98233.54
20180504102400,98150.0,98209.11
20180504102500,98100.0,98160.27
20180504102600,97950.0,98111.484
20180504102700,98075.0,97965.34
20180504102800,98150.0,98087.09
20180504102900,98150.0,98160.27
20180504103000,98125.0,98160.27
20180504103100,98050.0,98135.875
20180504103200,97950.0,98062.73
20180504103300,97950.0,97965.34
20180504103400,97950.0,97965.34
20180504103500,97950.0,97965.34
20180504103600,97950.0,97965.34
20180504103700,97950.0,97965.34
20180504103800,97950.0,97965.34
20180504103900,97975.0,97965.34
20180504104000,97950.0,97989.67
20180504104100,97925.0,97965.34
20180504104200,98050.0,97941.02
20180504104300,98050.0,98062.73
20180504104400,98050.0,98062.73
20180504104500,98050.0,98062.73
20180504104600,98050.0,98062.73
20180504104700,98050.0,98062.73
20180504104800,98050.0,98062.73
20180504104900,98050.0,98062.73
20180504105000,98075.0,98062.73
20180504105100,98075.0,98087.09
20180504105200,98050.0,98087.09
20180504105300,98025.0,98062.73
20180504105400,98025.0,98038.36
20180504105500,98025.0,98038.36
20180504105600,97875.0,98038.36
20180504105700,97850.0,97892.42
20180504105800,97850.0,97868.13
20180504105900,97850.0,97868.13
20180504110000,97850.0,97868.13
