datetime,original,predicted
20180504090100,266375.0,267220.03
20180504090200,266375.0,266336.34
20180504090300,266250.0,266336.34
20180504090400,266500.0,266210.16
20180504090500,267500.0,266462.53
20180504090600,268250.0,267472.66
20180504090700,268250.0,268230.6
20180504090800,268000.0,268230.6
20180504090900,268000.0,267977.94
20180504091000,268000.0,267977.94
20180504091100,268000.0,267977.94
20180504091200,268000.0,267977.94
20180504091300,268000.0,267977.94
20180504091400,268250.0,267977.94
20180504091500,268250.0,268230.6
20180504091600,268125.0,268230.6
20180504091700,267375.0,268104.25
20180504091800,267250.0,267346.34
20180504091900,267375.0,267220.03
20180504092100,267500.0,267346.34
20180504092200,267000.0,267472.66
20180504092300,267000.0,266967.5
20180504092400,267500.0,266967.5
20180504092500,267500.0,267472.66
20180504092600,267875.0,267472.66
20180504092700,268000.0,267851.6
20180504092900,268000.0,267977.94
20180504093000,267750.0,267977.94
20180504093100,268000.0,267725.25
20180504093300,267500.0,267977.94
20180504093400,267500.0,267472.66
20180504093500,267500.0,267472.66
20180504093600,267750.0,267472.66
20180504093700,267500.0,267725.25
20180504093800,268000.0,267472.66
20180504093900,267875.0,267977.94
20180504094000,267875.0,267851.6
20180504094100,267750.0,267851.6
20180504094200,268000.0,267725.25
20180504094300,267875.0,267977.94
20180504094400,267500.0,267851.6
20180504094500,267375.0,267472.66
20180504094600,267250.0,267346.34
20180504094700,267125.0,267220.03
20180504094800,267375.0,267093.78
20180504094900,268125.0,267346.34
20180504095000,268125.0,268104.25
20180504095100,268250.0,268104.25
20180504095200,268375.0,268230.6
20180504095300,268625.0,268356.94
20180504095400,268375.0,268609.62
20180504095500,268625.0,268356.94
20180504095600,268625.0,268609.62
20180504095700,268625.0,268609.62
20180504095800,268875.0,268609.62
20180504095900,268750.0,268862.3
20180504100000,268625.0,268735.97
20180504100100,268750.0,268609.62
20180504100200,269000.0,268735.97
20180504100300,269250.0,268988.66
20180504100400,269125.0,269241.34
20180504100500,269375.0,269115.0
20180504100600,269750.0,269367.66
20180504100700,269750.0,269746.62
20180504100800,269750.0,269746.62
20180504100900,269500.0,269746.62
20180504101000,269000.0,269493.97
20180504101100,268625.0,268988.66
20180504101200,268500.0,268609.62
20180504101300,268250.0,268483.28
20180504101400,268125.0,268230.6
20180504101500,268000.0,268104.25
20180504101600,268250.0,267977.94
20180504101700,268250.0,268230.6
20180504101800,268125.0,268230.6
20180504101900,268000.0,268104.25
20180504102000,268000.0,267977.94
20180504102100,268125.0,267977.94
20180504102200,268250.0,268104.25
20180504102300,268250.0,268230.6
20180504102400,268125.0,268230.6
20180504102500,268250.0,268104.25
20180504102600,268250.0,268230.6
20180504102700,268375.0,268230.6
20180504102800,268625.0,268356.94
20180504102900,268750.0,268609.62
20180504103000,268875.0,268735.97
20180504103100,269125.0,268862.3
20180504103200,269000.0,269115.0
20180504103300,269000.0,268988.66
20180504103400,269125.0,268988.66
20180504103500,269125.0,269115.0
20180504103600,268500.0,269115.0
20180504103700,269000.0,268483.28
20180504103800,268625.0,268988.66
20180504103900,268750.0,268609.62
20180504104000,268750.0,268735.97
20180504104100,268875.0,268735.97
20180504104200,268625.0,268862.3
20180504104300,269000.0,268609.62
20180504104400,268875.0,268988.66
20180504104500,268750.0,268862.3
20180504104600,268625.0,268735.97
20180504104700,268500.0,268609.62
20180504104800,268750.0,268483.28
20180504104900,268625.0,268735.97
20180504105000,268500.0,268609.62
20180504105100,268625.0,268483.28
20180504105200,268750.0,268609.62
20180504105300,268750.0,268735.97
20180504105400,268625.0,268735.97
20180504105500,268625.0,268609.62
20180504105600,268500.0,268609.62
20180504105700,268875.0,268483.28
20180504105800,269000.0,268862.3
20180504105900,268750.0,268988.66
20180504110000,268750.0,268735.97
20180504110100,268500.0,268735.97
20180504110200,268750.0,268483.28
20180504110300,268500.0,268735.97
20180504110400,268500.0,268483.28
20180504110500,268750.0,268483.28
20180504110600,268875.0,268735.97
20180504110700,268500.0,268862.3
20180504110800,268500.0,268483.28
20180504110900,268750.0,268483.28
20180504111000,269125.0,268735.97
20180504111100,269125.0,269115.0
20180504111200,269250.0,269115.0
20180504111300,269250.0,269241.34
20180504111400,269250.0,269241.34
20180504111500,269125.0,269241.34
20180504111600,269125.0,269115.0
20180504111700,269250.0,269115.0
20180504111800,269125.0,269241.34
20180504111900,269125.0,269115.0
20180504112000,269375.0,269115.0
20180504112100,269250.0,269367.66
20180504112200,269375.0,269241.34
20180504112300,269250.0,269367.66
20180504112400,268750.0,269241.34
20180504112500,268625.0,268735.97
20180504112600,268875.0,268609.62
20180504112700,268625.0,268862.3
20180504112800,268625.0,268609.62
20180504112900,268750.0,268609.62
20180504113000,268625.0,268735.97
20180504113100,268750.0,268609.62
20180504113200,268875.0,268735.97
20180504113300,268750.0,268862.3
20180504113400,268625.0,268735.97
20180504113500,268750.0,268609.62
20180504113600,268750.0,268735.97
20180504113700,268625.0,268735.97
20180504113800,268750.0,268609.62
20180504113900,268875.0,268735.97
20180504114000,269125.0,268862.3
20180504114100,269125.0,269115.0
20180504114200,269125.0,269115.0
20180504114300,269250.0,269115.0
20180504114400,269250.0,269241.34
20180504114500,269375.0,269241.34
20180504114600,269250.0,269367.66
20180504114700,269375.0,269241.34
20180504114800,269250.0,269367.66
20180504114900,269250.0,269241.34
20180504115000,269375.0,269241.34
20180504115100,269375.0,269367.66
20180504115200,269250.0,269367.66
20180504115300,269125.0,269241.34
