datetime,original,predicted
20180504090100,109750.0,109783.625
20180504090200,109625.0,109659.914
20180504090300,109625.0,109536.28
20180504090400,109625.0,109536.28
20180504090500,109750.0,109536.28
20180504090600,110125.0,109659.914
20180504090700,109875.0,110031.266
20180504090800,109750.0,109783.625
20180504090900,109750.0,109659.914
20180504091000,109625.0,109659.914
20180504091100,109750.0,109536.28
20180504091200,109750.0,109659.914
20180504091300,109375.00000000001,109659.914
20180504091400,109125.0,109289.27
20180504091500,109499.99999999999,109042.59
20180504091600,109625.0,109412.74
20180504091700,109625.0,109536.28
20180504091800,109499.99999999999,109536.28
20180504091900,109499.99999999999,109412.74
20180504092000,109499.99999999999,109412.74
20180504092100,109250.0,109412.74
20180504092200,109375.00000000001,109165.89
20180504092300,109375.00000000001,109289.27
20180504092400,109750.0,109289.27
20180504092500,109875.0,109659.914
20180504092600,109625.0,109783.625
20180504092700,109499.99999999999,109536.28
20180504092800,109750.0,109412.74
20180504092900,109375.00000000001,109659.914
20180504093000,109250.0,109289.27
20180504093100,109375.00000000001,109165.89
20180504093200,109125.0,109289.27
20180504093300,109375.00000000001,109042.59
20180504093400,109250.0,109289.27
20180504093500,109250.0,109165.89
20180504093600,109375.00000000001,109165.89
20180504093700,109625.0,109289.27
20180504093800,109625.0,109536.28
20180504093900,109875.0,109536.28
20180504094000,109750.0,109783.625
20180504094100,109625.0,109659.914
20180504094200,109750.0,109536.28
20180504094300,109750.0,109659.914
20180504094400,109875.0,109659.914
20180504094500,109750.0,109783.625
20180504094600,109375.00000000001,109659.914
20180504094700,109375.00000000001,109289.27
20180504094800,109499.99999999999,109289.27
20180504094900,109250.0,109412.74
20180504095000,109375.00000000001,109165.89
20180504095100,109750.0,109289.27
20180504095200,109750.0,109659.914
20180504095300,109375.00000000001,109659.914
20180504095400,109375.00000000001,109289.27
20180504095500,109250.0,109289.27
20180504095600,109250.0,109165.89
20180504095700,109250.0,109165.89
20180504095800,109250.0,109165.89
20180504095900,109375.00000000001,109165.89
20180504100000,109125.0,109289.27
20180504100100,109125.0,109042.59
20180504100200,108625.0,109042.59
20180504100300,108625.0,108550.24
20180504100400,108625.0,108550.24
20180504100500,108750.0,108550.24
20180504100600,108250.0,108673.21
20180504100700,108125.0,108181.92
20180504100800,108125.0,108059.33
20180504100900,108250.0,108059.33
20180504101000,108125.0,108181.92
20180504101100,108125.0,108059.33
20180504101200,108125.0,108059.33
20180504101300,107875.0,108059.33
20180504101400,107875.0,107814.42
20180504101500,107750.0,107814.42
20180504101600,107750.0,107692.11
20180504101700,107875.0,107692.11
20180504101800,108000.0,107814.42
20180504101900,108125.0,107936.83
20180504102000,108125.0,108059.33
20180504102100,108125.0,108059.33
20180504102200,108125.0,108059.33
20180504102300,108125.0,108059.33
20180504102400,108125.0,108059.33
20180504102500,108125.0,108059.33
20180504102600,108250.0,108059.33
20180504102700,108125.0,108181.92
20180504102800,108125.0,108059.33
20180504102900,108000.0,108059.33
20180504103000,107750.0,107936.83
20180504103100,107625.0,107692.11
20180504103200,107625.0,107569.9
20180504103300,107625.0,107569.9
20180504103400,107625.0,107569.9
20180504103500,107625.0,107569.9
20180504103600,107750.0,107569.9
20180504103700,107625.0,107692.11
20180504103800,107625.0,107569.9
20180504103900,107750.0,107569.9
20180504104000,107625.0,107692.11
20180504104100,107625.0,107569.9
20180504104200,107625.0,107569.9
20180504104300,107750.0,107569.9
20180504104400,107625.0,107692.11
20180504104500,107625.0,107569.9
20180504104600,107750.0,107569.9
20180504104700,107750.0,107692.11
20180504104800,107750.0,107692.11
20180504104900,107625.0,107692.11
20180504105000,107625.0,107569.9
20180504105100,107875.0,107569.9
