datetime,original,predicted
20180504090100,102875.0,102519.61
20180504090200,102625.0,102519.61
20180504090300,102125.0,102288.125
20180504090400,101999.99999999999,101823.85
20180504090500,101875.0,101707.53
20180504090600,101750.0,101591.1
20180504090700,101750.0,101474.57
20180504090800,101999.99999999999,101474.57
20180504090900,101625.0,101707.53
20180504091000,101625.0,101357.93
20180504091100,101750.0,101357.93
20180504091200,101750.0,101474.57
20180504091300,101750.0,101474.57
20180504091400,101625.0,101474.57
20180504091500,101499.99999999999,101357.93
20180504091600,101750.0,101241.195
20180504091700,101750.0,101474.57
20180504091800,101875.0,101474.57
20180504091900,101750.0,101591.1
20180504092000,101250.0,101474.57
20180504092100,100750.0,101007.41
20180504092200,100625.0,100538.62
20180504092300,100750.0,100421.164
20180504092400,100750.0,100538.62
20180504092500,100750.0,100538.62
20180504092600,100750.0,100538.62
20180504092700,100750.0,100538.62
20180504092800,100625.0,100538.62
20180504092900,100750.0,100421.164
20180504093000,100750.0,100538.62
20180504093100,100750.0,100538.62
20180504093200,101000.0,100538.62
20180504093300,101250.0,100773.21
20180504093400,101375.0,101007.41
20180504093500,101375.0,101124.35
20180504093600,101250.0,101124.35
20180504093700,101125.0,101007.41
20180504093800,101125.0,100890.36
20180504093900,101125.0,100890.36
20180504094000,101250.0,100890.36
20180504094100,101125.0,101007.41
20180504094200,101250.0,100890.36
20180504094300,101125.0,101007.41
20180504094400,101125.0,100890.36
20180504094500,101125.0,100890.36
20180504094600,101000.0,100890.36
20180504094700,100875.00000000001,100773.21
20180504094800,100625.0,100655.96
20180504094900,100750.0,100421.164
20180504095000,100750.0,100538.62
20180504095100,100750.0,100538.62
20180504095200,100750.0,100538.62
20180504095300,100875.00000000001,100538.62
20180504095400,100750.0,100655.96
20180504095500,100625.0,100538.62
20180504095600,100750.0,100421.164
20180504095700,100625.0,100538.62
20180504095800,100875.00000000001,100421.164
20180504095900,100750.0,100655.96
20180504100000,100625.0,100538.62
20180504100100,100750.0,100421.164
20180504100200,100750.0,100538.62
20180504100300,100750.0,100538.62
20180504100400,100750.0,100538.62
20180504100500,100875.00000000001,100538.62
20180504100600,100625.0,100655.96
20180504100700,100875.00000000001,100421.164
20180504100800,100625.0,100655.96
20180504100900,100750.0,100421.164
20180504101000,100750.0,100538.62
20180504101100,100750.0,100538.62
20180504101200,100750.0,100538.62
20180504101300,100875.00000000001,100538.62
20180504101400,100625.0,100655.96
20180504101500,100750.0,100421.164
20180504101600,100875.00000000001,100538.62
20180504101700,100750.0,100655.96
20180504101800,100750.0,100538.62
20180504101900,100750.0,100538.62
20180504102000,100625.0,100538.62
20180504102100,100625.0,100421.164
20180504102200,100625.0,100421.164
20180504102300,100875.00000000001,100421.164
20180504102400,100750.0,100655.96
20180504102500,100750.0,100538.62
20180504102600,100750.0,100538.62
20180504102700,100625.0,100538.62
20180504102800,100875.00000000001,100421.164
20180504102900,100625.0,100655.96
20180504103000,100750.0,100421.164
20180504103100,100875.00000000001,100538.62
20180504103200,100750.0,100655.96
20180504103300,100625.0,100538.62
20180504103400,100750.0,100421.164
20180504103500,100750.0,100538.62
20180504103600,100625.0,100538.62
20180504103700,100625.0,100421.164
20180504103800,100625.0,100421.164
20180504103900,100625.0,100421.164
20180504104000,100625.0,100421.164
20180504104100,100750.0,100421.164
20180504104200,100875.00000000001,100538.62
20180504104300,100875.00000000001,100655.96
20180504104400,100875.00000000001,100655.96
20180504104500,100750.0,100655.96
20180504104600,100625.0,100538.62
20180504104700,100875.00000000001,100421.164
20180504104800,100625.0,100655.96
20180504104900,100750.0,100421.164
20180504105000,100875.00000000001,100538.62
20180504105100,100875.00000000001,100655.96
20180504105200,100750.0,100655.96
20180504105300,100875.00000000001,100538.62
20180504105400,100750.0,100655.96
20180504105500,100750.0,100538.62
20180504105600,100875.00000000001,100538.62
20180504105700,100875.00000000001,100655.96
20180504105800,100625.0,100655.96
20180504105900,100750.0,100421.164
20180504110000,100625.0,100538.62
20180504110100,100625.0,100421.164
20180504110200,100625.0,100421.164
20180504110300,100750.0,100421.164
20180504110400,100750.0,100538.62
20180504110500,100750.0,100538.62
20180504110600,100625.0,100538.62
20180504110700,100750.0,100421.164
20180504110800,100875.00000000001,100538.62
20180504110900,100750.0,100655.96
20180504111000,100625.0,100538.62
20180504111100,100875.00000000001,100421.164
20180504111200,100750.0,100655.96
20180504111300,100625.0,100538.62
20180504111400,100750.0,100421.164
20180504111500,100875.00000000001,100538.62
20180504111600,100750.0,100655.96
20180504111700,100750.0,100538.62
20180504111800,100750.0,100538.62
20180504111900,100625.0,100538.62
20180504112000,100750.0,100421.164
20180504112100,100625.0,100538.62
20180504112200,100625.0,100421.164
20180504112300,100625.0,100421.164
20180504112400,100750.0,100421.164
20180504112500,100625.0,100538.62
20180504112600,100750.0,100421.164
20180504112700,100750.0,100538.62
20180504112800,100750.0,100538.62
20180504112900,100625.0,100538.62
20180504113000,100750.0,100421.164
20180504113100,100750.0,100538.62
20180504113200,100875.00000000001,100538.62
20180504113300,100750.0,100655.96
20180504113400,100625.0,100538.62
20180504113500,100625.0,100421.164
20180504113600,100625.0,100421.164
20180504113700,100750.0,100421.164
20180504113800,100750.0,100538.62
20180504113900,100750.0,100538.62
20180504114000,100750.0,100538.62
20180504114100,100750.0,100538.62
20180504114200,100625.0,100538.62
20180504114300,100750.0,100421.164
20180504114400,100750.0,100538.62
20180504114500,100625.0,100538.62
20180504114600,100625.0,100421.164
20180504114700,100750.0,100421.164
20180504114800,100625.0,100538.62
20180504114900,100750.0,100421.164
20180504115000,100750.0,100538.62
20180504115100,100750.0,100538.62
20180504115200,100750.0,100538.62
20180504115300,100750.0,100538.62
20180504115400,100875.00000000001,100538.62
20180504115500,100875.00000000001,100655.96
20180504115600,100875.00000000001,100655.96
20180504115700,100750.0,100655.96
20180504115800,100875.00000000001,100538.62
20180504115900,100750.0,100655.96
20180504120000,100625.0,100538.62
20180504120100,100625.0,100421.164
20180504120200,100625.0,100421.164
20180504120300,100750.0,100421.164
20180504120400,100750.0,100538.62
20180504120500,100875.00000000001,100538.62
20180504120600,100375.00000000001,100655.96
20180504120700,100125.0,100185.96
20180504120800,100125.0,99950.37
20180504120900,100250.0,99950.37
20180504121000,100250.0,100068.21
