datetime,original,predicted
20180504090100,29025.0,29127.537
20180504090200,29087.5,29028.084
20180504090300,29087.5,29090.26
20180504090400,29075.0,29090.26
20180504090500,29075.0,29077.828
20180504090600,29075.0,29077.828
20180504090700,29025.0,29077.828
20180504090800,29025.0,29028.084
20180504090900,28987.5,29028.084
20180504091000,28987.5,28990.752
20180504091100,28975.0,28990.752
20180504091200,29037.5,28978.305
20180504091300,29062.5,29040.523
20180504091400,29037.5,29065.396
20180504091500,29025.0,29040.523
20180504091600,28950.0,29028.084
20180504091700,28825.0,28953.402
20180504091800,28812.5,28828.77
20180504091900,28825.0,28816.295
20180504092000,28812.5,28828.77
20180504092100,28712.5,28816.295
20180504092200,28700.0,28716.438
20180504092300,28737.5,28703.95
20180504092400,28787.5,28741.414
20180504092500,28800.0,28791.342
20180504092600,28850.0,28803.82
20180504092700,28875.0,28853.713
20180504092800,28912.5,28878.646
20180504092900,28900.0,28916.031
20180504093000,28787.5,28903.572
20180504093100,28850.0,28791.342
20180504093200,28787.5,28853.713
20180504093300,28787.5,28791.342
20180504093400,28775.0,28791.342
20180504093500,28775.0,28778.861
20180504093600,28775.0,28778.861
20180504093700,28825.0,28778.861
20180504093800,28787.5,28828.77
20180504093900,28775.0,28791.342
20180504094000,28825.0,28778.861
20180504094100,28862.5,28828.77
20180504094200,28887.5,28866.18
20180504094300,28825.0,28891.11
20180504094400,28850.0,28828.77
20180504094500,28825.0,28853.713
20180504094600,28837.5,28828.77
20180504094700,28825.0,28841.24
20180504094800,28850.0,28828.77
20180504094900,28850.0,28853.713
20180504095000,28825.0,28853.713
20180504095100,28862.5,28828.77
20180504095200,28862.5,28866.18
20180504095300,28875.0,28866.18
20180504095400,28900.0,28878.646
20180504095500,28887.5,28903.572
20180504095600,28900.0,28891.11
20180504095700,28875.0,28903.572
20180504095800,28862.5,28878.646
20180504095900,28862.5,28866.18
20180504100000,28875.0,28866.18
20180504100100,28875.0,28878.646
20180504100200,28862.5,28878.646
20180504100300,28887.5,28866.18
20180504100400,28912.5,28891.11
20180504100500,28925.0,28916.031
20180504100600,28937.5,28928.49
20180504100700,28912.5,28940.95
20180504100800,28925.0,28916.031
20180504100900,28925.0,28928.49
20180504101000,28912.5,28928.49
20180504101100,28912.5,28916.031
20180504101200,28912.5,28916.031
20180504101300,28912.5,28916.031
20180504101400,28925.0,28916.031
20180504101500,28925.0,28928.49
20180504101600,28925.0,28928.49
20180504101700,28925.0,28928.49
20180504101800,28900.0,28928.49
20180504101900,28925.0,28903.572
20180504102000,28925.0,28928.49
20180504102100,28887.5,28928.49
20180504102200,28837.5,28891.11
20180504102300,28900.0,28841.24
20180504102400,28875.0,28903.572
20180504102500,28875.0,28878.646
20180504102600,28875.0,28878.646
20180504102700,28887.5,28878.646
20180504102800,28900.0,28891.11
20180504102900,28862.5,28903.572
20180504103000,28800.0,28866.18
20180504103100,28812.5,28803.82
20180504103200,28925.0,28816.295
20180504103300,28975.0,28928.49
20180504103400,28925.0,28978.305
20180504103500,28912.5,28928.49
20180504103600,28987.5,28916.031
20180504103700,29025.0,28990.752
20180504103800,29037.5,29028.084
20180504103900,29012.5,29040.523
20180504104000,29037.5,29015.643
20180504104100,29012.5,29040.523
20180504104200,29012.5,29015.643
20180504104300,29025.0,29015.643
20180504104400,29025.0,29028.084
20180504104500,29025.0,29028.084
20180504104600,29037.5,29028.084
20180504104700,29050.0,29040.523
20180504104800,29012.5,29052.96
20180504104900,29025.0,29015.643
20180504105000,29000.0,29028.084
20180504105100,29025.0,29003.2
20180504105200,29025.0,29028.084
20180504105300,29025.0,29028.084
20180504105400,29025.0,29028.084
20180504105500,29000.0,29028.084
20180504105600,29025.0,29003.2
20180504105700,29012.5,29028.084
20180504105800,29012.5,29015.643
20180504105900,29025.0,29015.643
20180504110000,29025.0,29028.084
20180504110100,29025.0,29028.084
20180504110200,29000.0,29028.084
20180504110300,29025.0,29003.2
20180504110400,29012.5,29028.084
20180504110500,29037.5,29015.643
20180504110600,29012.5,29040.523
20180504110700,29025.0,29015.643
20180504110800,29025.0,29028.084
20180504110900,29025.0,29028.084
20180504111000,29000.0,29028.084
20180504111100,28962.5,29003.2
20180504111200,28975.0,28965.854
20180504111300,28950.0,28978.305
20180504111400,28925.0,28953.402
20180504111500,28912.5,28928.49
20180504111600,28912.5,28916.031
20180504111700,28912.5,28916.031
20180504111800,28937.5,28916.031
20180504111900,28950.0,28940.95
20180504112000,28975.0,28953.402
20180504112100,28975.0,28978.305
20180504112200,29012.5,28978.305
20180504112300,29025.0,29015.643
20180504112400,29012.5,29028.084
20180504112500,29012.5,29015.643
20180504112600,28975.0,29015.643
20180504112700,28875.0,28978.305
20180504112800,28875.0,28878.646
20180504112900,28875.0,28878.646
20180504113000,28850.0,28878.646
20180504113100,28900.0,28853.713
20180504113200,28925.0,28903.572
20180504113300,28962.5,28928.49
20180504113400,28962.5,28965.854
20180504113500,28975.0,28965.854
20180504113600,28975.0,28978.305
20180504113700,28987.5,28978.305
20180504113800,28987.5,28990.752
20180504113900,28975.0,28990.752
20180504114000,28975.0,28978.305
20180504114100,28962.5,28978.305
20180504114200,28962.5,28965.854
20180504114300,28937.5,28965.854
20180504114400,28912.5,28940.95
20180504114500,28912.5,28916.031
20180504114600,28925.0,28916.031
20180504114700,28925.0,28928.49
20180504114800,28912.5,28928.49
20180504114900,28925.0,28916.031
20180504115000,28912.5,28928.49
20180504115100,28912.5,28916.031
20180504115200,28912.5,28916.031
20180504115300,28900.0,28916.031
20180504115400,28950.0,28903.572
20180504115500,28962.5,28953.402
20180504115600,28987.5,28965.854
20180504115700,28962.5,28990.752
20180504115800,28975.0,28965.854
20180504115900,28975.0,28978.305
20180504120000,28975.0,28978.305
20180504120100,28962.5,28978.305
20180504120200,28975.0,28965.854
20180504120300,28962.5,28978.305
20180504120400,28962.5,28965.854
20180504120500,28975.0,28965.854
20180504120600,28962.5,28978.305
20180504120700,28962.5,28965.854
20180504120800,28975.0,28965.854
20180504120900,28975.0,28978.305
20180504121000,28975.0,28978.305
20180504121100,28962.5,28978.305
20180504121200,28962.5,28965.854
20180504121300,28975.0,28965.854
20180504121400,28975.0,28978.305
20180504121500,28937.5,28978.305
20180504121600,28912.5,28940.95
20180504121700,28937.5,28916.031
20180504121800,28975.0,28940.95
20180504121900,28975.0,28978.305
20180504122000,28975.0,28978.305
20180504122100,28962.5,28978.305
20180504122200,28975.0,28965.854
20180504122300,28975.0,28978.305
20180504122400,28975.0,28978.305
20180504122500,28975.0,28978.305
20180504122600,28975.0,28978.305
20180504122700,28962.5,28978.305
20180504122800,28962.5,28965.854
20180504122900,28950.0,28965.854
20180504123000,28975.0,28953.402
20180504123100,28962.5,28978.305
20180504123200,28950.0,28965.854
20180504123300,28962.5,28953.402
20180504123400,28962.5,28965.854
20180504123500,28975.0,28965.854
20180504123600,28962.5,28978.305
20180504123700,28962.5,28965.854
20180504123800,28975.0,28965.854
20180504123900,28975.0,28978.305
20180504124000,28975.0,28978.305
20180504124100,28975.0,28978.305
20180504124200,28975.0,28978.305
20180504124300,28975.0,28978.305
20180504124400,29000.0,28978.305
20180504124500,29012.5,29003.2
20180504124600,29012.5,29015.643
20180504124700,28975.0,29015.643
20180504124800,28975.0,28978.305
20180504124900,28975.0,28978.305
20180504125000,28962.5,28978.305
20180504125100,28975.0,28965.854
20180504125200,28987.5,28978.305
20180504125300,28975.0,28990.752
20180504125400,29025.0,28978.305
20180504125500,29000.0,29028.084
20180504125600,29000.0,29003.2
20180504125700,29025.0,29003.2
20180504125800,29000.0,29028.084
20180504125900,28987.5,29003.2
20180504130000,28925.0,28990.752
20180504130100,28912.5,28928.49
20180504130200,28912.5,28916.031
20180504130300,28912.5,28916.031
20180504130400,28937.5,28916.031
20180504130500,28962.5,28940.95
20180504130600,29000.0,28965.854
20180504130700,28962.5,29003.2
20180504130800,28962.5,28965.854
20180504130900,28975.0,28965.854
20180504131000,28962.5,28978.305
20180504131100,28987.5,28965.854
20180504131200,28962.5,28990.752
20180504131300,28962.5,28965.854
20180504131400,28975.0,28965.854
20180504131500,29037.5,28978.305
20180504131600,29025.0,29040.523
20180504131700,29000.0,29028.084
20180504131800,29012.5,29003.2
20180504131900,29012.5,29015.643
20180504132000,29012.5,29015.643
20180504132100,29000.0,29015.643
20180504132200,29000.0,29003.2
20180504132300,29012.5,29003.2
20180504132400,29037.5,29015.643
20180504132500,29012.5,29040.523
20180504132600,29012.5,29015.643
20180504132700,29025.0,29015.643
20180504132800,29012.5,29028.084
20180504132900,29025.0,29015.643
20180504133000,29025.0,29028.084
20180504133100,29025.0,29028.084
20180504133200,29037.5,29028.084
20180504133300,29025.0,29040.523
20180504133400,29012.5,29028.084
20180504133500,29012.5,29015.643
20180504133600,29025.0,29015.643
20180504133700,29025.0,29028.084
20180504133800,29025.0,29028.084
20180504133900,29025.0,29028.084
20180504134000,29012.5,29028.084
20180504134100,29037.5,29015.643
20180504134200,29025.0,29040.523
20180504134300,29025.0,29028.084
20180504134400,29012.5,29028.084
20180504134500,29025.0,29015.643
20180504134600,29012.5,29028.084
20180504134700,29025.0,29015.643
20180504134800,29037.5,29028.084
20180504134900,29025.0,29040.523
20180504135000,29012.5,29028.084
20180504135100,29037.5,29015.643
20180504135200,29012.5,29040.523
20180504135300,29012.5,29015.643
20180504135400,29012.5,29015.643
20180504135500,29037.5,29015.643
20180504135600,29012.5,29040.523
20180504135700,29025.0,29015.643
20180504135800,29037.5,29028.084
20180504135900,29025.0,29040.523
20180504140000,29037.5,29028.084
20180504140100,29025.0,29040.523
20180504140200,29025.0,29028.084
20180504140300,28975.0,29028.084
20180504140400,28937.5,28978.305
20180504140500,28925.0,28940.95
20180504140600,28912.5,28928.49
20180504140700,28912.5,28916.031
20180504140800,28925.0,28916.031
20180504140900,28912.5,28928.49
20180504141000,28912.5,28916.031
20180504141100,28925.0,28916.031
20180504141200,28925.0,28928.49
20180504141300,28912.5,28928.49
20180504141400,28912.5,28916.031
20180504141500,28937.5,28916.031
20180504141600,28925.0,28940.95
20180504141700,28912.5,28928.49
20180504141800,28912.5,28916.031
20180504141900,28925.0,28916.031
20180504142000,28925.0,28928.49
20180504142100,28925.0,28928.49
20180504142200,28925.0,28928.49
20180504142300,28925.0,28928.49
20180504142400,28925.0,28928.49
20180504142500,28912.5,28928.49
20180504142600,28937.5,28916.031
20180504142700,28912.5,28940.95
20180504142800,28937.5,28916.031
20180504142900,28950.0,28940.95
20180504143000,28975.0,28953.402
20180504143100,28975.0,28978.305
20180504143200,28962.5,28978.305
20180504143300,28975.0,28965.854
20180504143400,28975.0,28978.305
20180504143500,28987.5,28978.305
20180504143600,29012.5,28990.752
20180504143700,29025.0,29015.643
20180504143800,29025.0,29028.084
20180504143900,29025.0,29028.084
20180504144000,29012.5,29028.084
20180504144100,29012.5,29015.643
20180504144200,29025.0,29015.643
20180504144300,29037.5,29028.084
20180504144400,28975.0,29040.523
20180504144500,28975.0,28978.305
20180504144600,28975.0,28978.305
20180504144700,28975.0,28978.305
20180504144800,28987.5,28978.305
20180504144900,29000.0,28990.752
20180504145000,28962.5,29003.2
20180504145100,28912.5,28965.854
20180504145200,28962.5,28916.031
20180504145300,28962.5,28965.854
20180504145400,28962.5,28965.854
20180504145500,28925.0,28965.854
20180504145600,28912.5,28928.49
20180504145700,28912.5,28916.031
20180504145800,28937.5,28916.031
20180504145900,28937.5,28940.95
20180504150000,28925.0,28940.95
20180504150100,28937.5,28928.49
20180504150200,28950.0,28940.95
20180504150300,28937.5,28953.402
20180504150400,28925.0,28940.95
20180504150500,28925.0,28928.49
20180504150600,28962.5,28928.49
20180504150700,28962.5,28965.854
20180504150800,28987.5,28965.854
20180504150900,28987.5,28990.752
20180504151000,28987.5,28990.752
20180504151100,28975.0,28990.752
20180504151200,28975.0,28978.305
20180504151300,28962.5,28978.305
20180504151400,28975.0,28965.854
20180504151500,28987.5,28978.305
20180504151600,28987.5,28990.752
20180504151700,28987.5,28990.752
20180504151800,29037.5,28990.752
20180504151900,29037.5,29040.523
20180504153000,29050.0,29040.523
20180504153500,29050.0,29052.96
20180508090000,29375.000000000004,29052.96
20180508090100,29475.0,29375.49
20180508090200,29487.5,29474.375
20180508090300,29562.5,29486.723
20180508090400,29550.0,29560.75
20180508090500,29487.5,29548.418
20180508090600,29462.5,29486.723
20180508090700,29487.5,29462.023
20180508090800,29562.5,29486.723
20180508090900,29562.5,29560.75
20180508091000,29575.0,29560.75
20180508091100,29587.5,29573.076
20180508091200,29575.0,29585.4
20180508091300,29537.5,29573.076
20180508091400,29462.5,29536.086
20180508091500,29387.5,29462.023
20180508091600,29275.0,29387.861
20180508091700,29324.999999999996,29276.432
20180508091800,29324.999999999996,29325.982
20180508091900,29287.5,29325.982
20180508092000,29324.999999999996,29288.822
20180508092100,29337.500000000004,29325.982
20180508092200,29375.000000000004,29338.361
20180508092300,29375.000000000004,29375.49
20180508092400,29387.5,29375.49
20180508092500,29375.000000000004,29387.861
20180508092600,29362.500000000004,29375.49
20180508092700,29387.5,29363.117
20180508092800,29375.000000000004,29387.861
