datetime,original,predicted
20180504090100,62075.0,62082.53
20180504090200,62100.0,61989.062
20180504090300,62150.0,62012.45
20180504090400,62425.0,62059.184
20180504090500,62625.0,62315.41
20180504090600,62500.0,62500.883
20180504090800,62600.0,62385.05
20180504090900,62750.0,62477.74
20180504091000,62925.0,62616.418
20180504091100,62850.0,62777.684
20180504091200,62625.0,62708.645
20180504091300,62650.0,62500.883
20180504091400,62850.0,62524.016
20180504091500,62850.0,62708.645
20180504091600,62750.0,62708.645
20180504091700,62650.0,62616.418
20180504091800,62650.0,62524.016
20180504091900,62625.0,62524.016
20180504092000,62575.0,62500.883
20180504092100,62500.0,62454.582
20180504092200,62475.0,62385.05
20180504092300,62475.0,62361.848
20180504092400,62475.0,62361.848
20180504092500,62575.0,62361.848
20180504092600,62575.0,62454.582
20180504092700,62650.0,62454.582
20180504092800,62500.0,62524.016
20180504092900,62550.0,62385.05
20180504093000,62525.0,62431.418
20180504093100,62525.0,62408.24
20180504093200,62500.0,62408.24
20180504093300,62575.0,62385.05
20180504093400,62550.0,62454.582
20180504093500,62600.0,62431.418
20180504093600,62750.0,62477.74
20180504093700,62750.0,62616.418
20180504093800,62675.0,62616.418
20180504093900,62650.0,62547.133
20180504094000,62600.0,62524.016
20180504094100,62575.0,62477.74
20180504094200,62550.0,62454.582
20180504094300,62550.0,62431.418
20180504094400,62650.0,62431.418
20180504094500,62500.0,62524.016
20180504094600,62475.0,62385.05
20180504094700,62425.0,62361.848
20180504094800,62400.0,62315.41
20180504094900,62425.0,62292.176
20180504095000,62450.0,62315.41
20180504095100,62450.0,62338.637
20180504095200,62425.0,62338.637
20180504095300,62400.0,62315.41
20180504095400,62425.0,62292.176
20180504095500,62425.0,62315.41
20180504095600,62350.0,62315.41
20180504095700,62375.0,62245.668
20180504095800,62375.0,62268.93
20180504095900,62350.0,62268.93
20180504100000,62300.0,62245.668
20180504100100,62350.0,62199.113
20180504100200,62425.0,62245.668
20180504100300,62425.0,62315.41
20180504100400,62450.0,62315.41
20180504100500,62425.0,62338.637
20180504100600,62450.0,62315.41
20180504100700,62425.0,62338.637
20180504100800,62400.0,62315.41
20180504100900,62425.0,62292.176
20180504101000,62425.0,62315.41
20180504101100,62400.0,62315.41
20180504101200,62450.0,62292.176
20180504101300,62425.0,62338.637
20180504101400,62425.0,62315.41
20180504101500,62450.0,62315.41
20180504101600,62400.0,62338.637
20180504101700,62450.0,62292.176
20180504101800,62450.0,62338.637
20180504101900,62400.0,62338.637
20180504102000,62450.0,62292.176
20180504102100,62425.0,62338.637
20180504102200,62400.0,62315.41
20180504102300,62425.0,62292.176
20180504102400,62425.0,62315.41
20180504102500,62425.0,62315.41
20180504102600,62425.0,62315.41
20180504102700,62450.0,62315.41
20180504102800,62450.0,62338.637
20180504102900,62475.0,62338.637
20180504103000,62450.0,62361.848
20180504103100,62425.0,62338.637
20180504103200,62400.0,62315.41
20180504103300,62325.0,62292.176
20180504103400,62350.0,62222.395
20180504103500,62275.0,62245.668
20180504103600,62225.0,62175.824
20180504103700,62275.0,62129.2
20180504103800,62250.0,62175.824
20180504103900,62250.0,62152.52
20180504104000,62225.0,62152.52
20180504104100,62275.0,62129.2
20180504104200,62300.0,62175.824
20180504104300,62350.0,62199.113
20180504104400,62350.0,62245.668
20180504104500,62300.0,62245.668
20180504104600,62350.0,62199.113
20180504104700,62325.0,62245.668
20180504104800,62375.0,62222.395
20180504104900,62425.0,62268.93
20180504105000,62450.0,62315.41
20180504105100,62475.0,62338.637
20180504105200,62425.0,62361.848
20180504105300,62425.0,62315.41
20180504105400,62425.0,62315.41
20180504105500,62425.0,62315.41
20180504105600,62425.0,62315.41
20180504105700,62350.0,62315.41
20180504105800,62350.0,62245.668
20180504105900,62325.0,62245.668
20180504110000,62300.0,62222.395
20180504110100,62275.0,62199.113
20180504110200,62275.0,62175.824
20180504110300,62275.0,62175.824
20180504110400,62300.0,62175.824
20180504110500,62275.0,62199.113
20180504110600,62275.0,62175.824
20180504110700,62275.0,62175.824
20180504110800,62250.0,62175.824
20180504110900,62225.0,62152.52
20180504111000,62250.0,62129.2
20180504111100,62225.0,62152.52
20180504111200,62225.0,62129.2
20180504111300,62200.0,62129.2
20180504111400,62225.0,62105.87
20180504111500,62250.0,62129.2
20180504111600,62250.0,62152.52
20180504111700,62200.0,62152.52
20180504111800,62225.0,62105.87
20180504111900,62225.0,62129.2
20180504112000,62275.0,62129.2
20180504112100,62275.0,62175.824
20180504112200,62275.0,62175.824
20180504112300,62225.0,62175.824
20180504112400,62225.0,62129.2
20180504112500,62225.0,62129.2
20180504112600,62275.0,62129.2
20180504112700,62225.0,62175.824
20180504112800,62225.0,62129.2
20180504112900,62250.0,62129.2
20180504113000,62225.0,62152.52
20180504113100,62250.0,62129.2
20180504113200,62250.0,62152.52
20180504113300,62250.0,62152.52
20180504113400,62250.0,62152.52
20180504113500,62275.0,62152.52
20180504113600,62225.0,62175.824
20180504113700,62250.0,62129.2
20180504113800,62250.0,62152.52
20180504113900,62225.0,62152.52
20180504114000,62250.0,62129.2
20180504114100,62275.0,62152.52
20180504114200,62250.0,62175.824
20180504114300,62200.0,62152.52
20180504114400,62250.0,62105.87
20180504114500,62275.0,62152.52
20180504114600,62250.0,62175.824
20180504114700,62275.0,62152.52
20180504114800,62275.0,62175.824
20180504114900,62225.0,62175.824
20180504115000,62250.0,62129.2
