datetime,original,predicted
20180504090100,405500.0,405764.06
20180504090200,406875.0,405639.28
20180504090300,407625.0,407010.94
20180504090400,408000.0,407758.16
20180504090500,409750.0,408131.5
20180504090600,412250.0,409871.44
20180504090700,412875.0,412349.94
20180504090800,413250.0,412968.22
20180504090900,415500.0,413338.88
20180504091000,420250.0,415558.6
20180504091100,422625.0,420218.38
20180504091200,422500.0,422534.03
20180504091300,423500.0,422412.38
20180504091400,425250.0,423384.6
20180504091500,427000.0,425081.56
20180504091600,428000.0,426772.78
20180504091700,427000.0,427736.53
20180504091800,426875.0,426772.78
20180504091900,426125.0,426652.2
20180504092000,424250.0,425927.9
20180504092100,423875.0,424112.56
20180504092200,423500.0,423748.72
20180504092300,423000.0,423384.6
20180504092400,422750.0,422898.72
20180504092500,423375.0,422655.62
20180504092600,423875.0,423263.2
20180504092700,423875.0,423748.72
20180504092800,423750.0,423748.72
20180504092900,422875.0,423627.38
20180504093000,422750.0,422777.2
20180504093100,422625.0,422655.62
20180504093200,422000.0,422534.03
20180504093300,421750.0,421925.62
20180504093400,421750.0,421682.06
20180504093500,421500.0,421682.06
20180504093600,421375.0,421438.38
20180504093700,421875.0,421316.5
20180504093800,423125.0,421803.84
20180504093900,423250.0,423020.22
20180504094000,422750.0,423141.72
20180504094100,422875.0,422655.62
20180504094200,423250.0,422777.2
20180504094300,422875.0,423141.72
20180504094400,422875.0,422777.2
20180504094500,422375.0,422777.2
20180504094600,422125.0,422290.72
20180504094700,422250.0,422047.3
20180504094800,421625.0,422169.03
20180504094900,421625.0,421560.22
20180504095000,421625.0,421560.22
20180504095100,421250.0,421560.22
20180504095200,421125.0,421194.6
20180504095300,420375.0,421072.66
20180504095400,420625.0,420340.53
20180504095500,420750.0,420584.66
20180504095600,420750.0,420706.72
20180504095700,420375.0,420706.72
20180504095800,420250.0,420340.53
20180504095900,420375.0,420218.38
20180504100000,420375.0,420340.53
20180504100100,420875.0,420340.53
20180504100200,421250.0,420828.72
20180504100300,421375.0,421194.6
