datetime,original,predicted
20180504090100,342250.0,341317.6
20180504090200,341625.0,342200.9
20180504090300,341500.0,341569.94
20180504090400,341625.0,341443.75
20180504090500,342625.0,341569.94
20180504090600,343625.0,342579.56
20180504090700,343000.0,343589.7
20180504090800,342375.0,342958.3
20180504090900,341500.0,342327.1
20180504091000,341375.0,341443.75
20180504091100,341375.0,341317.6
20180504091200,341750.0,341317.6
20180504091300,341875.0,341696.1
20180504091400,342250.0,341822.28
20180504091500,342750.0,342200.9
20180504091600,342750.0,342705.8
20180504091700,343250.0,342705.8
20180504091800,343750.0,343210.84
20180504091900,343375.0,343715.97
20180504092000,343000.0,343337.1
20180504092100,342625.0,342958.3
20180504092200,342750.0,342579.56
20180504092300,342375.0,342705.8
20180504092400,341875.0,342327.1
20180504092500,341750.0,341822.28
20180504092600,341875.0,341696.1
20180504092700,341750.0,341822.28
20180504092800,342125.0,341696.1
20180504092900,342375.0,342074.7
20180504093000,342250.0,342327.1
20180504093100,342375.0,342200.9
20180504093200,342250.0,342327.1
20180504093300,342375.0,342200.9
20180504093400,342000.0,342327.1
20180504093500,341875.0,341948.47
20180504093600,342125.0,341822.28
20180504093700,342250.0,342074.7
20180504093800,342500.0,342200.9
20180504093900,342875.0,342453.34
20180504094000,342875.0,342832.06
20180504094100,342750.0,342832.06
20180504094200,342875.0,342705.8
20180504094300,342875.0,342832.06
20180504094400,342625.0,342832.06
20180504094500,342750.0,342579.56
20180504094600,342375.0,342705.8
20180504094700,342125.0,342327.1
20180504094800,342375.0,342074.7
20180504094900,342250.0,342327.1
20180504095000,342250.0,342200.9
20180504095100,342250.0,342200.9
20180504095200,342250.0,342200.9
20180504095300,342125.0,342200.9
20180504095400,341750.0,342074.7
20180504095500,341750.0,341696.1
20180504095600,341625.0,341696.1
20180504095700,342000.0,341569.94
20180504095800,342125.0,341948.47
20180504095900,342125.0,342074.7
20180504100000,342125.0,342074.7
20180504100100,342125.0,342074.7
20180504100200,342250.0,342074.7
20180504100300,342125.0,342200.9
20180504100400,342250.0,342074.7
20180504100500,342125.0,342200.9
20180504100600,342125.0,342074.7
20180504100700,342125.0,342074.7
20180504100800,342125.0,342074.7
20180504100900,342000.0,342074.7
20180504101000,342250.0,341948.47
20180504101100,342125.0,342200.9
20180504101200,342250.0,342074.7
20180504101300,342125.0,342200.9
20180504101400,342125.0,342074.7
20180504101500,342125.0,342074.7
20180504101600,342125.0,342074.7
20180504101700,342250.0,342074.7
20180504101800,342125.0,342200.9
20180504101900,342250.0,342074.7
20180504102000,342250.0,342200.9
20180504102100,342250.0,342200.9
20180504102200,342125.0,342200.9
20180504102300,342250.0,342074.7
20180504102400,342250.0,342200.9
20180504102500,342125.0,342200.9
20180504102600,342125.0,342074.7
20180504102700,342125.0,342074.7
20180504102800,342125.0,342074.7
20180504102900,342125.0,342074.7
20180504103000,342125.0,342074.7
20180504103100,342125.0,342074.7
20180504103200,342250.0,342074.7
20180504103300,342125.0,342200.9
