datetime,original,predicted
20180504090100,36787.5,36900.973
20180504090200,36712.5,36710.93
20180504090300,36725.0,36639.47
20180504090400,36800.0,36651.387
20180504090500,36962.5,36722.83
20180504090600,37050.0,36877.26
20180504090700,37000.0,36960.207
20180504090800,36950.0,36912.83
20180504090900,36887.5,36865.4
20180504091000,36837.5,36806.047
20180504091100,36825.0,36758.51
20180504091200,36812.5,36746.62
20180504091300,36812.5,36734.727
20180504091400,36875.0,36734.727
20180504091500,36912.5,36794.164
20180504091600,36962.5,36829.793
20180504091700,37000.0,36877.26
20180504091800,37062.5,36912.83
20180504091900,37087.5,36972.047
20180504092000,37125.0,36995.715
20180504092100,37125.0,37031.195
20180504092200,37075.0,37031.195
20180504092300,37037.5,36983.887
20180504092400,37000.0,36948.367
20180504092500,36975.0,36912.83
20180504092600,36962.5,36889.12
20180504092700,36950.0,36877.26
20180504092800,36925.0,36865.4
20180504092900,36850.0,36841.668
20180504093000,36825.0,36770.4
20180504093100,36812.5,36746.62
20180504093200,36825.0,36734.727
20180504093300,36862.5,36746.62
20180504093400,36912.5,36782.285
20180504093500,36975.0,36829.793
20180504093600,37037.5,36889.12
20180504093700,37087.5,36948.367
20180504093800,37112.5,36995.715
20180504093900,37075.0,37019.37
20180504094000,37050.0,36983.887
20180504094100,37087.5,36960.207
20180504094200,37075.0,36995.715
20180504094300,37037.5,36983.887
20180504094400,37025.0,36948.367
20180504094500,37012.5,36936.527
20180504094600,37037.5,36924.68
20180504094700,37012.5,36948.367
20180504094800,37012.5,36924.68
20180504094900,37012.5,36924.68
20180504095000,37000.0,36924.68
20180504095100,37025.0,36912.83
20180504095200,37025.0,36936.527
20180504095300,37025.0,36936.527
20180504095400,37000.0,36936.527
20180504095500,37025.0,36912.83
20180504095600,37012.5,36936.527
20180504095700,37025.0,36924.68
20180504095800,37050.0,36936.527
20180504095900,37037.5,36960.207
20180504100000,37025.0,36948.367
20180504100100,37037.5,36936.527
20180504100200,37037.5,36948.367
20180504100300,37012.5,36948.367
20180504100400,37000.0,36924.68
20180504100500,37025.0,36912.83
20180504100600,37012.5,36936.527
20180504100700,37012.5,36924.68
20180504100800,37012.5,36924.68
20180504100900,37025.0,36924.68
20180504101000,37012.5,36936.527
20180504101100,37025.0,36924.68
20180504101200,37037.5,36936.527
20180504101300,37025.0,36948.367
20180504101400,37012.5,36936.527
20180504101500,37025.0,36924.68
20180504101600,37025.0,36936.527
20180504101700,37037.5,36936.527
20180504101800,37062.5,36948.367
20180504101900,37100.0,36972.047
20180504102000,37112.5,37007.547
20180504102100,37112.5,37019.37
20180504102200,37100.0,37019.37
20180504102300,37075.0,37007.547
20180504102400,37087.5,36983.887
20180504102500,37075.0,36995.715
20180504102600,37062.5,36983.887
20180504102700,37075.0,36972.047
20180504102800,37062.5,36983.887
20180504102900,37050.0,36972.047
20180504103000,37037.5,36960.207
20180504103100,37012.5,36948.367
20180504103200,37025.0,36924.68
20180504103300,37025.0,36936.527
20180504103400,37012.5,36936.527
20180504103500,37012.5,36924.68
20180504103600,37012.5,36924.68
20180504103700,37012.5,36924.68
20180504103800,37037.5,36924.68
20180504103900,37062.5,36948.367
20180504104000,37050.0,36972.047
20180504104100,37062.5,36960.207
20180504104200,37112.5,36972.047
20180504104300,37137.5,37019.37
20180504104400,37137.5,37043.02
20180504104500,37112.5,37043.02
20180504104600,37125.0,37019.37
20180504104700,37137.5,37031.195
20180504104800,37125.0,37043.02
20180504104900,37125.0,37031.195
20180504105000,37137.5,37031.195
20180504105100,37137.5,37043.02
20180504105200,37137.5,37043.02
20180504105300,37175.0,37043.02
20180504105400,37175.0,37078.457
20180504105500,37150.0,37078.457
20180504105600,37150.0,37054.836
20180504105700,37150.0,37054.836
20180504105800,37150.0,37054.836
20180504105900,37162.5,37054.836
20180504110000,37187.5,37066.65
20180504110100,37187.5,37090.27
20180504110200,37187.5,37090.27
20180504110300,37200.0,37090.27
20180504110400,37200.0,37102.07
20180504110500,37187.5,37102.07
20180504110600,37162.5,37090.27
20180504110700,37162.5,37066.65
20180504110800,37175.0,37066.65
20180504110900,37187.5,37078.457
20180504111000,37175.0,37090.27
20180504111100,37175.0,37078.457
20180504111200,37175.0,37078.457
20180504111300,37175.0,37078.457
20180504111400,37175.0,37078.457
20180504111500,37175.0,37078.457
20180504111600,37175.0,37078.457
20180504111700,37212.5,37078.457
20180504111800,37275.0,37113.875
20180504111900,37312.5,37172.844
20180504112000,37287.5,37208.188
20180504112100,37262.5,37184.625
20180504112200,37225.0,37161.055
20180504112300,37237.5,37125.676
20180504112400,37212.5,37137.473
20180504112500,37187.5,37113.875
20180504112600,37187.5,37090.27
20180504112700,37162.5,37090.27
20180504112800,37162.5,37066.65
20180504112900,37187.5,37066.65
20180504113000,37175.0,37090.27
20180504113100,37150.0,37078.457
20180504113200,37125.0,37054.836
20180504113300,37087.5,37031.195
20180504113400,37087.5,36995.715
20180504113500,37112.5,36995.715
20180504113600,37137.5,37019.37
20180504113700,37162.5,37043.02
20180504113800,37175.0,37066.65
20180504113900,37175.0,37078.457
20180504114000,37162.5,37078.457
20180504114100,37175.0,37066.65
20180504114200,37137.5,37078.457
20180504114300,37150.0,37043.02
20180504114400,37112.5,37054.836
20180504114500,37112.5,37019.37
20180504114600,37087.5,37019.37
20180504114700,37112.5,36995.715
20180504114800,37125.0,37019.37
20180504114900,37112.5,37031.195
20180504115000,37100.0,37019.37
20180504115100,37075.0,37007.547
20180504115200,37062.5,36983.887
20180504115300,37075.0,36972.047
20180504115400,37062.5,36983.887
20180504115500,37062.5,36972.047
20180504115600,37075.0,36972.047
20180504115700,37075.0,36983.887
20180504115800,37100.0,36983.887
20180504115900,37137.5,37007.547
20180504120000,37100.0,37043.02
20180504120100,37062.5,37007.547
20180504120200,37062.5,36972.047
20180504120300,37087.5,36972.047
20180504120400,37050.0,36995.715
20180504120500,37025.0,36960.207
20180504120600,37025.0,36936.527
20180504120700,37025.0,36936.527
20180504120800,37000.0,36936.527
20180504120900,36962.5,36912.83
20180504121000,36962.5,36877.26
20180504121100,36962.5,36877.26
20180504121200,36912.5,36877.26
20180504121300,36950.0,36829.793
20180504121400,36962.5,36865.4
20180504121500,36962.5,36877.26
20180504121600,36950.0,36877.26
20180504121700,37012.5,36865.4
20180504121800,37000.0,36924.68
20180504121900,36975.0,36912.83
20180504122000,37025.0,36889.12
20180504122100,37087.5,36936.527
20180504122200,37075.0,36995.715
20180504122300,37050.0,36983.887
20180504122400,37075.0,36960.207
20180504122500,37037.5,36983.887
20180504122600,37000.0,36948.367
20180504122700,36975.0,36912.83
20180504122800,36962.5,36889.12
20180504122900,36975.0,36877.26
20180504123000,36962.5,36889.12
20180504123100,36975.0,36877.26
20180504123200,36987.5,36889.12
20180504123300,36975.0,36900.973
20180504123400,36975.0,36889.12
20180504123500,36975.0,36889.12
20180504123600,36987.5,36889.12
20180504123700,36987.5,36900.973
20180504123800,36962.5,36900.973
20180504123900,36987.5,36877.26
20180504124000,36962.5,36900.973
20180504124100,36987.5,36877.26
20180504124200,37012.5,36900.973
20180504124300,37025.0,36924.68
20180504124400,37012.5,36936.527
20180504124500,37000.0,36924.68
20180504124600,37012.5,36912.83
20180504124700,37037.5,36924.68
20180504124800,37087.5,36948.367
20180504124900,37050.0,36995.715
20180504125000,37012.5,36960.207
20180504125100,37025.0,36924.68
20180504125200,37025.0,36936.527
20180504125300,37025.0,36936.527
20180504125400,37012.5,36936.527
20180504125500,37025.0,36924.68
20180504125600,37050.0,36936.527
20180504125700,37062.5,36960.207
20180504125800,37087.5,36972.047
20180504125900,37100.0,36995.715
20180504130000,37100.0,37007.547
20180504130100,37087.5,37007.547
20180504130200,37075.0,36995.715
20180504130300,37075.0,36983.887
20180504130400,37062.5,36983.887
20180504130500,37087.5,36972.047
20180504130600,37087.5,36995.715
20180504130700,37075.0,36995.715
20180504130800,37062.5,36983.887
20180504130900,37062.5,36972.047
20180504131000,37087.5,36972.047
20180504131100,37087.5,36995.715
20180504131200,37075.0,36995.715
20180504131300,37075.0,36983.887
20180504131400,37087.5,36983.887
20180504131500,37100.0,36995.715
20180504131600,37112.5,37007.547
20180504131700,37125.0,37019.37
20180504131800,37100.0,37031.195
20180504131900,37075.0,37007.547
20180504132000,37062.5,36983.887
20180504132100,37087.5,36972.047
20180504132200,37087.5,36995.715
20180504132300,37062.5,36995.715
20180504132400,37075.0,36972.047
20180504132500,37075.0,36983.887
20180504132600,37112.5,36983.887
20180504132700,37100.0,37019.37
20180504132800,37087.5,37007.547
20180504132900,37062.5,36995.715
20180504133000,37062.5,36972.047
20180504133100,37075.0,36972.047
20180504133200,37062.5,36983.887
20180504133300,37062.5,36972.047
20180504133400,37075.0,36972.047
20180504133500,37075.0,36983.887
20180504133600,37075.0,36983.887
20180504133700,37062.5,36983.887
20180504133800,37075.0,36972.047
20180504133900,37087.5,36983.887
20180504134000,37125.0,36995.715
20180504134100,37112.5,37031.195
20180504134200,37150.0,37019.37
20180504134300,37175.0,37054.836
20180504134400,37187.5,37078.457
20180504134500,37212.5,37090.27
20180504134600,37187.5,37113.875
20180504134700,37200.0,37090.27
20180504134800,37212.5,37102.07
20180504134900,37187.5,37113.875
20180504135000,37225.0,37090.27
20180504135100,37237.5,37125.676
20180504135200,37262.5,37137.473
20180504135300,37275.0,37161.055
20180504135400,37262.5,37172.844
20180504135500,37262.5,37161.055
20180504135600,37262.5,37161.055
20180504135700,37262.5,37161.055
20180504135800,37250.0,37161.055
20180504135900,37237.5,37149.266
20180504140000,37225.0,37137.473
20180504140100,37237.5,37125.676
20180504140200,37250.0,37137.473
20180504140300,37262.5,37149.266
20180504140400,37262.5,37161.055
20180504140500,37275.0,37161.055
20180504140600,37275.0,37172.844
20180504140700,37287.5,37172.844
20180504140800,37275.0,37184.625
20180504140900,37237.5,37172.844
20180504141000,37225.0,37137.473
20180504141100,37262.5,37125.676
20180504141200,37275.0,37161.055
20180504141300,37287.5,37172.844
20180504141400,37262.5,37184.625
20180504141500,37262.5,37161.055
20180504141600,37212.5,37161.055
20180504141700,37187.5,37113.875
20180504141800,37200.0,37090.27
20180504141900,37237.5,37102.07
20180504142000,37250.0,37137.473
20180504142100,37262.5,37149.266
20180504142200,37275.0,37161.055
20180504142300,37250.0,37172.844
20180504142400,37200.0,37149.266
20180504142500,37237.5,37102.07
20180504142600,37275.0,37137.473
20180504142700,37250.0,37172.844
20180504142800,37287.5,37149.266
20180504142900,37312.5,37184.625
20180504143000,37312.5,37208.188
20180504143100,37375.0,37208.188
20180504143200,37387.5,37267.03
20180504143300,37387.5,37278.79
20180504143400,37412.5,37278.79
20180504143500,37425.0,37302.3
20180504143600,37462.5,37314.05
20180504143700,37450.0,37349.285
20180504143800,37462.5,37337.543
20180504143900,37587.5,37349.285
20180504144000,37675.0,37466.53
20180504144100,37662.5,37548.418
20180504144200,37637.5,37536.727
20180504144300,37600.0,37513.34
20180504144400,37587.5,37478.234
20180504144500,37525.0,37466.53
20180504144600,37525.0,37407.95
20180504144700,37562.5,37407.95
20180504144800,37562.5,37443.105
20180504144900,37537.5,37443.105
20180504145000,37500.0,37419.67
20180504145100,37437.5,37384.492
20180504145200,37462.5,37325.8
20180504145300,37462.5,37349.285
20180504145400,37487.5,37349.285
20180504145500,37475.0,37372.76
20180504145600,37475.0,37361.027
20180504145700,37475.0,37361.027
20180504145800,37500.0,37361.027
20180504145900,37550.0,37384.492
20180504150000,37537.5,37431.39
20180504150100,37550.0,37419.67
20180504150200,37550.0,37431.39
20180504150300,37537.5,37431.39
20180504150400,37525.0,37419.67
20180504150500,37500.0,37407.95
20180504150600,37475.0,37384.492
20180504150700,37437.5,37361.027
20180504150800,37462.5,37325.8
20180504150900,37437.5,37349.285
20180504151000,37450.0,37325.8
20180504151100,37437.5,37337.543
20180504151200,37412.5,37325.8
20180504151300,37425.0,37302.3
20180504151400,37437.5,37314.05
20180504151500,37450.0,37325.8
20180504151600,37412.5,37337.543
20180504151700,37412.5,37302.3
20180504151800,37437.5,37302.3
20180504151900,37462.5,37325.8
20180504153000,37350.0,37349.285
20180504153500,37350.0,37243.5
20180508090000,37100.0,37243.5
20180508090100,37062.5,37007.547
20180508090200,36950.0,36972.047
20180508090300,36887.5,36865.4
20180508090400,36875.0,36806.047
20180508090500,36837.5,36794.164
20180508090600,36825.0,36758.51
20180508090700,36937.5,36746.62
20180508090800,36987.5,36853.535
20180508090900,36937.5,36900.973
20180508091000,36962.5,36853.535
20180508091100,36962.5,36877.26
20180508091200,36962.5,36877.26
20180508091300,36975.0,36877.26
20180508091400,37050.0,36889.12
20180508091500,37100.0,36960.207
20180508091600,37100.0,37007.547
20180508091700,37050.0,37007.547
20180508091800,37062.5,36960.207
20180508091900,37112.5,36972.047
20180508092000,37137.5,37019.37
20180508092100,37137.5,37043.02
20180508092200,37150.0,37043.02
20180508092300,37187.5,37054.836
20180508092400,37187.5,37090.27
20180508092500,37187.5,37090.27
20180508092600,37150.0,37090.27
20180508092700,37137.5,37054.836
20180508092800,37125.0,37043.02
20180508092900,37112.5,37031.195
20180508093000,37087.5,37019.37
20180508093100,37012.5,36995.715
20180508093200,37012.5,36924.68
20180508093300,37012.5,36924.68
20180508093400,36962.5,36924.68
20180508093500,36962.5,36877.26
20180508093600,36962.5,36877.26
20180508093700,36925.0,36877.26
20180508093800,36925.0,36841.668
20180508093900,36912.5,36841.668
20180508094000,36875.0,36829.793
20180508094100,36887.5,36794.164
20180508094200,36925.0,36806.047
20180508094300,36925.0,36841.668
20180508094400,36925.0,36841.668
20180508094500,36925.0,36841.668
20180508094600,36962.5,36841.668
20180508094700,36962.5,36877.26
20180508094800,36975.0,36877.26
20180508094900,36950.0,36889.12
20180508095000,36912.5,36865.4
20180508095100,36900.0,36829.793
20180508095200,36875.0,36817.92
20180508095300,36887.5,36794.164
20180508095400,36875.0,36806.047
20180508095500,36875.0,36794.164
20180508095600,36887.5,36794.164
20180508095700,36875.0,36806.047
20180508095800,36887.5,36794.164
20180508095900,36900.0,36806.047
20180508100000,36912.5,36817.92
20180508100100,36912.5,36829.793
20180508100200,36912.5,36829.793
20180508100300,36912.5,36829.793
20180508100400,36912.5,36829.793
20180508100500,36912.5,36829.793
20180508100600,36875.0,36829.793
20180508100700,36862.5,36794.164
20180508100800,36887.5,36782.285
20180508100900,36875.0,36806.047
20180508101000,36862.5,36794.164
20180508101100,36887.5,36782.285
20180508101200,36862.5,36806.047
20180508101300,36900.0,36782.285
20180508101400,36925.0,36817.92
20180508101500,36912.5,36841.668
20180508101600,36887.5,36829.793
20180508101700,36875.0,36806.047
20180508101800,36875.0,36794.164
20180508101900,36887.5,36794.164
20180508102000,36875.0,36806.047
20180508102100,36875.0,36794.164
20180508102200,36862.5,36794.164
20180508102300,36875.0,36782.285
20180508102400,36875.0,36794.164
20180508102500,36862.5,36794.164
20180508102600,36862.5,36782.285
