datetime,original,predicted
20180504090100,296625.0,297132.2
20180504090200,296500.0,296033.25
20180504090300,296875.0,295911.0
20180504090400,296750.0,296277.66
20180504090500,296750.0,296155.47
20180504090600,297625.0,296155.47
20180504090700,298125.0,297010.2
20180504090800,297500.0,297498.0
20180504090900,297000.0,296888.2
20180504091000,297375.0,296399.8
20180504091100,297750.0,296766.1
20180504091200,298750.0,297132.2
20180504091300,299250.0,298107.1
20180504091400,299250.0,298593.8
20180504091500,299375.0,298593.8
20180504091600,299250.0,298715.4
20180504091700,298750.0,298593.8
20180504091800,298250.0,298107.1
20180504091900,298250.0,297619.9
20180504092000,298000.0,297619.9
20180504092100,297875.0,297376.1
20180504092200,297750.0,297254.16
20180504092300,297500.0,297132.2
20180504092400,297500.0,296888.2
20180504092500,297750.0,296888.2
20180504092600,298375.0,297132.2
20180504092700,298375.0,297741.75
20180504092800,298500.0,297741.75
20180504092900,298625.0,297863.56
20180504093000,298750.0,297985.34
20180504093100,298750.0,298107.1
20180504093200,298875.0,298107.1
20180504093300,298875.0,298228.8
20180504093400,299125.0,298228.8
20180504093500,300250.0,298472.16
20180504093600,300750.0,299565.6
20180504093700,300125.0,300050.66
20180504093800,300250.0,299444.25
20180504093900,300375.0,299565.6
20180504094000,300625.0,299686.94
20180504094100,301000.0,299929.44
20180504094200,300375.0,300292.97
20180504094300,300375.0,299686.94
20180504094400,300250.0,299686.94
20180504094500,300250.0,299565.6
20180504094600,300250.0,299565.6
20180504094700,300125.0,299565.6
20180504094800,300375.0,299444.25
20180504094900,300000.0,299686.94
20180504095000,299750.0,299322.88
20180504095100,299625.0,299080.0
20180504095200,299375.0,298958.47
20180504095300,299250.0,298715.4
20180504095400,299375.0,298593.8
20180504095500,299250.0,298715.4
20180504095600,299375.0,298593.8
20180504095700,299250.0,298715.4
20180504095800,299250.0,298593.8
20180504095900,299125.0,298593.8
20180504100000,299250.0,298472.16
20180504100100,299250.0,298593.8
20180504100200,299125.0,298593.8
20180504100300,299375.0,298472.16
20180504100400,299125.0,298715.4
20180504100500,299250.0,298472.16
20180504100600,299125.0,298593.8
20180504100700,299250.0,298472.16
20180504100800,299250.0,298593.8
20180504100900,299250.0,298593.8
20180504101000,299125.0,298593.8
20180504101100,299250.0,298472.16
20180504101200,299375.0,298593.8
20180504101300,299250.0,298715.4
20180504101400,299125.0,298593.8
20180504101500,299250.0,298472.16
20180504101600,299125.0,298593.8
20180504101700,299250.0,298472.16
20180504101800,299125.0,298593.8
20180504101900,299250.0,298472.16
20180504102000,299250.0,298593.8
20180504102100,299375.0,298593.8
20180504102200,299250.0,298715.4
20180504102300,299375.0,298593.8
20180504102400,299250.0,298715.4
20180504102500,299250.0,298593.8
20180504102600,299125.0,298593.8
20180504102700,299125.0,298472.16
20180504102800,299250.0,298472.16
20180504102900,299375.0,298593.8
20180504103000,299250.0,298715.4
20180504103100,299250.0,298593.8
20180504103200,299250.0,298593.8
20180504103300,299250.0,298593.8
20180504103400,299250.0,298593.8
20180504103500,299125.0,298593.8
20180504103600,299125.0,298472.16
20180504103700,299125.0,298472.16
20180504103800,299500.0,298472.16
20180504103900,299375.0,298836.97
20180504104000,299500.0,298715.4
20180504104100,299750.0,298836.97
20180504104200,299875.0,299080.0
20180504104300,299875.0,299201.44
20180504104400,299875.0,299201.44
20180504104500,299625.0,299201.44
20180504104600,299250.0,298958.47
20180504104700,299625.0,298593.8
20180504104800,299875.0,298958.47
20180504104900,299625.0,299201.44
20180504105000,299250.0,298958.47
20180504105100,298875.0,298593.8
20180504105200,298750.0,298228.8
20180504105300,298625.0,298107.1
20180504105400,298750.0,297985.34
20180504105500,298750.0,298107.1
20180504105600,298750.0,298107.1
20180504105700,298875.0,298107.1
20180504105800,298750.0,298228.8
20180504105900,298875.0,298107.1
20180504110000,298750.0,298228.8
20180504110100,298625.0,298107.1
20180504110200,298750.0,297985.34
20180504110300,298625.0,298107.1
20180504110400,298875.0,297985.34
20180504110500,298750.0,298228.8
20180504110600,298625.0,298107.1
20180504110700,298750.0,297985.34
20180504110800,298875.0,298107.1
20180504110900,298750.0,298228.8
20180504111000,298625.0,298107.1
20180504111100,298625.0,297985.34
20180504111200,298625.0,297985.34
20180504111300,298750.0,297985.34
20180504111400,298875.0,298107.1
20180504111500,298750.0,298228.8
20180504111600,298625.0,298107.1
20180504111700,298750.0,297985.34
20180504111800,298625.0,298107.1
20180504111900,298625.0,297985.34
20180504112000,298625.0,297985.34
20180504112100,298750.0,297985.34
20180504112200,298750.0,298107.1
20180504112300,298750.0,298107.1
20180504112400,298750.0,298107.1
20180504112500,298750.0,298107.1
20180504112600,298875.0,298107.1
20180504112700,298750.0,298228.8
20180504112800,298875.0,298107.1
20180504112900,298625.0,298228.8
20180504113000,298625.0,297985.34
20180504113100,298750.0,297985.34
20180504113200,298750.0,298107.1
20180504113300,298625.0,298107.1
20180504113400,298625.0,297985.34
20180504113500,298750.0,297985.34
20180504113600,298625.0,298107.1
20180504113700,298750.0,297985.34
20180504113800,298625.0,298107.1
20180504113900,298750.0,297985.34
20180504114000,298625.0,298107.1
20180504114100,298750.0,297985.34
20180504114200,298625.0,298107.1
20180504114300,298625.0,297985.34
20180504114400,298625.0,297985.34
20180504114500,298625.0,297985.34
20180504114600,298875.0,297985.34
20180504114700,298750.0,298228.8
20180504114800,298625.0,298107.1
20180504114900,298750.0,297985.34
20180504115000,298875.0,298107.1
20180504115100,298875.0,298228.8
20180504115200,298750.0,298228.8
20180504115300,298625.0,298107.1
20180504115400,298750.0,297985.34
20180504115500,298625.0,298107.1
20180504115600,298625.0,297985.34
20180504115700,298625.0,297985.34
20180504115800,298875.0,297985.34
20180504115900,299375.0,298228.8
20180504120000,299250.0,298715.4
20180504120100,299000.0,298593.8
20180504120200,298875.0,298350.53
20180504120300,298750.0,298228.8
20180504120400,298875.0,298107.1
20180504120500,298875.0,298228.8
