datetime,original,predicted
20180504090100,347500.0,347053.44
20180504090200,348375.0,347175.66
20180504090300,350000.0,348030.75
20180504090400,350000.0,349616.94
20180504090500,349125.0,349616.94
20180504090600,348750.0,348763.12
20180504090700,348125.0,348397.0
20180504090800,347750.0,347786.5
20180504090900,347125.0,347420.03
20180504091000,346125.0,346809.0
20180504091100,345375.0,345830.62
20180504091200,345000.0,345096.3
20180504091300,345250.0,344728.97
20180504091400,345250.0,344973.84
20180504091500,344000.0,344973.84
20180504091600,343375.0,343748.84
20180504091700,342625.0,343135.88
20180504091800,342125.0,342399.88
20180504091900,341625.0,341908.97
20180504092000,341250.0,341417.9
20180504092100,340750.0,341049.47
20180504092200,341500.0,340558.06
20180504092300,341875.0,341295.1
20180504092400,341875.0,341663.47
20180504092500,341375.0,341663.47
20180504092600,341750.0,341172.3
20180504092700,342375.0,341540.72
20180504092800,342000.0,342154.44
20180504092900,341750.0,341786.22
20180504093000,341250.0,341540.72
20180504093100,340750.0,341049.47
20180504093200,340750.0,340558.06
20180504093300,340500.0,340558.06
20180504093400,340500.0,340312.28
20180504093500,340625.0,340312.28
20180504093600,340500.0,340435.2
20180504093700,340375.0,340312.28
20180504093800,340125.0,340189.38
20180504093900,340000.0,339943.53
20180504094000,339375.0,339820.62
20180504094100,338875.0,339205.75
20180504094200,338875.0,338713.7
20180504094300,339875.0,338713.7
20180504094400,339875.0,339697.66
20180504094500,339875.0,339697.66
20180504094600,339750.0,339697.66
20180504094700,339875.0,339574.72
20180504094800,340375.0,339697.66
20180504094900,340000.0,340189.38
20180504095000,340000.0,339820.62
20180504095100,340500.0,339820.62
20180504095200,340875.0,340312.28
20180504095300,340875.0,340680.94
20180504095400,341000.0,340680.94
20180504095500,341375.0,340803.78
20180504095600,341250.0,341172.3
20180504095700,341250.0,341049.47
20180504095800,341250.0,341049.47
20180504095900,341500.0,341049.47
20180504100000,341875.0,341295.1
20180504100100,342125.0,341663.47
20180504100200,342375.0,341908.97
20180504100300,342875.0,342154.44
20180504100400,343125.0,342645.25
20180504100500,343250.0,342890.56
20180504100600,342750.0,343013.25
20180504100700,343125.0,342522.56
20180504100800,343625.0,342890.56
20180504100900,344125.0,343381.1
20180504101000,344250.0,343871.4
20180504101100,344125.0,343993.97
20180504101200,344125.0,343871.4
20180504101300,344125.0,343871.4
20180504101400,344375.0,343871.4
20180504101500,345125.0,344116.5
20180504101600,345375.0,344851.44
20180504101700,345500.0,345096.3
20180504101800,346000.0,345218.72
20180504101900,346625.0,345708.25
20180504102000,347000.0,346319.9
20180504102100,347125.0,346686.72
20180504102200,347500.0,346809.0
20180504102300,347750.0,347175.66
20180504102400,347875.0,347420.03
20180504102500,348000.0,347542.2
20180504102600,348500.0,347664.34
20180504102700,348375.0,348152.8
20180504102800,347875.0,348030.75
20180504102900,347875.0,347542.2
20180504103000,348375.0,347542.2
20180504103100,348875.0,348030.75
20180504103200,348625.0,348519.0
20180504103300,348875.0,348274.9
20180504103400,349000.0,348519.0
20180504103500,349125.0,348641.06
20180504103600,349250.0,348763.12
20180504103700,349125.0,348885.12
20180504103800,349375.0,348763.12
20180504103900,349500.0,349007.12
20180504104000,349750.0,349129.12
20180504104100,349750.0,349373.06
20180504104200,349625.0,349373.06
20180504104300,349875.0,349251.1
20180504104400,349875.0,349495.0
20180504104500,349625.0,349495.0
20180504104600,349625.0,349251.1
20180504104700,349875.0,349251.1
20180504104800,350000.0,349495.0
20180504104900,350250.0,349616.94
20180504105000,350250.0,349860.75
20180504105100,350250.0,349860.75
20180504105200,350000.0,349860.75
20180504105300,349750.0,349616.94
20180504105400,349875.0,349373.06
20180504105500,349625.0,349495.0
20180504105600,349750.0,349251.1
20180504105700,350000.0,349373.06
20180504105800,350125.0,349616.94
20180504105900,350250.0,349738.84
20180504110000,350125.0,349860.75
20180504110100,350250.0,349738.84
20180504110200,350000.0,349860.75
20180504110300,349750.0,349616.94
20180504110400,349125.0,349373.06
20180504110500,348875.0,348763.12
20180504110600,348875.0,348519.0
20180504110700,348750.0,348519.0
20180504110800,348625.0,348397.0
20180504110900,348750.0,348274.9
20180504111000,348500.0,348397.0
20180504111100,348125.0,348152.8
20180504111200,347500.0,347786.5
20180504111300,347000.0,347175.66
20180504111400,346750.0,346686.72
20180504111500,346625.0,346442.22
20180504111600,346750.0,346319.9
20180504111700,346750.0,346442.22
20180504111800,346750.0,346442.22
20180504111900,346875.0,346442.22
20180504112000,346875.0,346564.47
20180504112100,347250.0,346564.47
20180504112200,347375.0,346931.25
20180504112300,347250.0,347053.44
20180504112400,347375.0,346931.25
20180504112500,347375.0,347053.44
20180504112600,347250.0,347053.44
20180504112700,347125.0,346931.25
20180504112800,347375.0,346809.0
20180504112900,347250.0,347053.44
20180504113000,347125.0,346931.25
20180504113100,347250.0,346809.0
20180504113200,347250.0,346931.25
20180504113300,347125.0,346931.25
20180504113400,347250.0,346809.0
20180504113500,347250.0,346931.25
20180504113600,347000.0,346931.25
20180504113700,346625.0,346686.72
20180504113800,346750.0,346319.9
20180504113900,346500.0,346442.22
20180504114000,345875.0,346197.62
20180504114100,345875.0,345585.9
20180504114200,345750.0,345585.9
20180504114300,345875.0,345463.53
20180504114400,345750.0,345585.9
20180504114500,345750.0,345463.53
20180504114600,345750.0,345463.53
20180504114700,346125.0,345463.53
20180504114800,346375.0,345830.62
20180504114900,346250.0,346075.28
20180504115000,346375.0,345952.94
20180504115100,346500.0,346075.28
20180504115200,346875.0,346197.62
20180504115300,346750.0,346564.47
20180504115400,346625.0,346442.22
20180504115500,346750.0,346319.9
20180504115600,346750.0,346442.22
20180504115700,346625.0,346442.22
20180504115800,346750.0,346319.9
20180504115900,346500.0,346442.22
20180504120000,346500.0,346197.62
20180504120100,346250.0,346197.62
20180504120200,346375.0,345952.94
20180504120300,346375.0,346075.28
20180504120400,346125.0,346075.28
20180504120500,346375.0,345830.62
20180504120600,346250.0,346075.28
20180504120700,346125.0,345952.94
20180504120800,346125.0,345830.62
20180504120900,346250.0,345830.62
20180504121000,346500.0,345952.94
20180504121100,346125.0,346197.62
20180504121200,346625.0,345830.62
20180504121300,346625.0,346319.9
20180504121400,346750.0,346319.9
20180504121500,346875.0,346442.22
20180504121600,346750.0,346564.47
20180504121700,346875.0,346442.22
20180504121800,346750.0,346564.47
20180504121900,346875.0,346442.22
20180504122000,346750.0,346564.47
20180504122100,346625.0,346442.22
20180504122200,346875.0,346319.9
20180504122300,346750.0,346564.47
20180504122400,346750.0,346442.22
20180504122500,346750.0,346442.22
20180504122600,346875.0,346442.22
20180504122700,346625.0,346564.47
20180504122800,346750.0,346319.9
20180504122900,347000.0,346442.22
20180504123000,347250.0,346686.72
20180504123100,347375.0,346931.25
20180504123200,347375.0,347053.44
20180504123300,347125.0,347053.44
20180504123400,347250.0,346809.0
20180504123500,347250.0,346931.25
20180504123600,347250.0,346931.25
20180504123700,347250.0,346931.25
20180504123800,346875.0,346931.25
20180504123900,347000.0,346564.47
20180504124000,347125.0,346686.72
20180504124100,347250.0,346809.0
20180504124200,347250.0,346931.25
20180504124300,347250.0,346931.25
20180504124400,347125.0,346931.25
20180504124500,347250.0,346809.0
20180504124600,347250.0,346931.25
20180504124700,347125.0,346931.25
20180504124800,347250.0,346809.0
20180504124900,347250.0,346931.25
20180504125000,347250.0,346931.25
20180504125100,347750.0,346931.25
20180504125200,347750.0,347420.03
20180504125300,347250.0,347420.03
20180504125400,347250.0,346931.25
20180504125500,347500.0,346931.25
20180504125600,347875.0,347175.66
20180504125700,347625.0,347542.2
20180504125800,347625.0,347297.84
20180504125900,347625.0,347297.84
20180504130000,347750.0,347297.84
20180504130100,347875.0,347420.03
20180504130200,347750.0,347542.2
20180504130300,347875.0,347420.03
20180504130400,347875.0,347542.2
20180504130500,348125.0,347542.2
20180504130600,348000.0,347786.5
20180504130700,347750.0,347664.34
20180504130800,347625.0,347420.03
20180504130900,347875.0,347297.84
20180504131000,347875.0,347542.2
20180504131100,348125.0,347542.2
20180504131200,348250.0,347786.5
20180504131300,348125.0,347908.62
20180504131400,348375.0,347786.5
20180504131500,348250.0,348030.75
20180504131600,348125.0,347908.62
20180504131700,348250.0,347786.5
20180504131800,348250.0,347908.62
20180504131900,348125.0,347908.62
20180504132000,348250.0,347786.5
20180504132100,348625.0,347908.62
20180504132200,348375.0,348274.9
20180504132300,348125.0,348030.75
20180504132400,348500.0,347786.5
20180504132500,348250.0,348152.8
20180504132600,348125.0,347908.62
20180504132700,348000.0,347786.5
20180504132800,347625.0,347664.34
20180504132900,347625.0,347297.84
20180504133000,347750.0,347297.84
20180504133100,347750.0,347420.03
20180504133200,347625.0,347420.03
20180504133300,347750.0,347297.84
20180504133400,347625.0,347420.03
20180504133500,347375.0,347297.84
20180504133600,347375.0,347053.44
20180504133700,347250.0,347053.44
20180504133800,347125.0,346931.25
20180504133900,347125.0,346809.0
20180504134000,347375.0,346809.0
20180504134100,347375.0,347053.44
20180504134200,347625.0,347053.44
20180504134300,347375.0,347297.84
20180504134400,347125.0,347053.44
20180504134500,347250.0,346809.0
20180504134600,346750.0,346931.25
20180504134700,346750.0,346442.22
20180504134800,346875.0,346442.22
20180504134900,346875.0,346564.47
20180504135000,346625.0,346564.47
20180504135100,346625.0,346319.9
20180504135200,346875.0,346319.9
20180504135300,346500.0,346564.47
20180504135400,346500.0,346197.62
20180504135500,346250.0,346197.62
20180504135600,346125.0,345952.94
20180504135700,346125.0,345830.62
20180504135800,345875.0,345830.62
20180504135900,345625.0,345585.9
20180504140000,345875.0,345341.12
20180504140100,345250.0,345585.9
20180504140200,344750.0,344973.84
20180504140300,345000.0,344484.03
20180504140400,345250.0,344728.97
20180504140500,345750.0,344973.84
20180504140600,346500.0,345463.53
20180504140700,346500.0,346197.62
20180504140800,346875.0,346197.62
20180504140900,347125.0,346564.47
20180504141000,347250.0,346809.0
20180504141100,347500.0,346931.25
20180504141200,347875.0,347175.66
20180504141300,347750.0,347542.2
20180504141400,347750.0,347420.03
20180504141500,347750.0,347420.03
20180504141600,347750.0,347420.03
20180504141700,347750.0,347420.03
20180504141800,347625.0,347420.03
20180504141900,347750.0,347297.84
20180504142000,347875.0,347420.03
20180504142100,347750.0,347542.2
20180504142200,347625.0,347420.03
20180504142300,347875.0,347297.84
20180504142400,348000.0,347542.2
20180504142500,348250.0,347664.34
20180504142600,348250.0,347908.62
20180504142700,348375.0,347908.62
20180504142800,348375.0,348030.75
20180504142900,348375.0,348030.75
20180504143000,348250.0,348030.75
20180504143100,348250.0,347908.62
20180504143200,348250.0,347908.62
20180504143300,348375.0,347908.62
20180504143400,348250.0,348030.75
20180504143500,348375.0,347908.62
20180504143600,348250.0,348030.75
20180504143700,348250.0,347908.62
20180504143800,348250.0,347908.62
20180504143900,348250.0,347908.62
20180504144000,348375.0,347908.62
20180504144100,348375.0,348030.75
20180504144200,348375.0,348030.75
20180504144300,348250.0,348030.75
20180504144400,348500.0,347908.62
20180504144500,348750.0,348152.8
20180504144600,348875.0,348397.0
20180504144700,348625.0,348519.0
20180504144800,348875.0,348274.9
20180504144900,349125.0,348519.0
20180504145000,349375.0,348763.12
20180504145100,349125.0,349007.12
20180504145200,349250.0,348763.12
20180504145300,349375.0,348885.12
20180504145400,349375.0,349007.12
20180504145500,349500.0,349007.12
20180504145600,349375.0,349129.12
20180504145700,349500.0,349007.12
20180504145800,349750.0,349129.12
20180504145900,349750.0,349373.06
20180504150000,349750.0,349373.06
20180504150100,349625.0,349373.06
20180504150200,349750.0,349251.1
20180504150300,349875.0,349373.06
20180504150400,349875.0,349495.0
20180504150500,349750.0,349495.0
20180504150600,349875.0,349373.06
20180504150700,349750.0,349495.0
20180504150800,349875.0,349373.06
20180504150900,349625.0,349495.0
20180504151000,349875.0,349251.1
20180504151100,349750.0,349495.0
20180504151200,349875.0,349373.06
20180504151300,349875.0,349495.0
20180504151400,349750.0,349495.0
20180504151500,349750.0,349373.06
20180504151600,349625.0,349373.06
20180504151700,349625.0,349251.1
20180504151800,350125.0,349251.1
20180504151900,350625.0,349738.84
20180504153000,350000.0,350226.38
20180504153500,350000.0,349616.94
20180508090000,351000.0,349616.94
20180508090100,350125.0,350591.84
20180508090200,349625.0,349738.84
20180508090300,349000.0,349251.1
20180508090400,347250.0,348641.06
20180508090500,344125.0,346931.25
20180508090600,344125.0,343871.4
20180508090700,344500.0,343871.4
20180508090800,344250.0,344238.97
20180508090900,343250.0,343993.97
20180508091000,343250.0,343013.25
20180508091100,343000.0,343013.25
20180508091200,343500.0,342767.9
20180508091300,345125.0,343258.47
20180508091400,345625.0,344851.44
20180508091500,344250.0,345341.12
20180508091600,343625.0,343993.97
20180508091700,343625.0,343381.1
20180508091800,343000.0,343381.1
20180508091900,343625.0,342767.9
20180508092000,343750.0,343381.1
20180508092100,343500.0,343503.7
20180508092200,344250.0,343258.47
20180508092300,344750.0,343993.97
20180508092400,344875.0,344484.03
20180508092500,343625.0,344606.47
20180508092600,343250.0,343381.1
20180508092700,343375.0,343013.25
20180508092800,343875.0,343135.88
20180508092900,344375.0,343626.28
20180508093000,345000.0,344116.5
20180508093100,345000.0,344728.97
20180508093200,344875.0,344728.97
20180508093300,345500.0,344606.47
20180508093400,345875.0,345218.72
20180508093500,345625.0,345585.9
20180508093600,345500.0,345341.12
20180508093700,345875.0,345218.72
20180508093800,345875.0,345585.9
20180508093900,345500.0,345585.9
20180508094000,345250.0,345218.72
20180508094100,345125.0,344973.84
20180508094200,345375.0,344851.44
20180508094300,345750.0,345096.3
20180508094400,345750.0,345463.53
20180508094500,345375.0,345463.53
20180508094600,345250.0,345096.3
20180508094700,345250.0,344973.84
20180508094800,345500.0,344973.84
20180508094900,346000.0,345218.72
20180508095000,345750.0,345708.25
20180508095100,345625.0,345463.53
20180508095200,345625.0,345341.12
20180508095300,346000.0,345341.12
20180508095400,346250.0,345708.25
20180508095500,346250.0,345952.94
20180508095600,346125.0,345952.94
20180508095700,346125.0,345830.62
20180508095800,347125.0,345830.62
20180508095900,347125.0,346809.0
20180508100000,346750.0,346809.0
20180508100100,346875.0,346442.22
20180508100200,346750.0,346564.47
20180508100300,347000.0,346442.22
20180508100400,347375.0,346686.72
20180508100500,347375.0,347053.44
20180508100600,347375.0,347053.44
20180508100700,347250.0,347053.44
20180508100800,347375.0,346931.25
20180508100900,347375.0,347053.44
20180508101000,347125.0,347053.44
20180508101100,347250.0,346809.0
20180508101200,347125.0,346931.25
20180508101300,346625.0,346809.0
20180508101400,347000.0,346319.9
20180508101500,347125.0,346686.72
20180508101600,347250.0,346809.0
20180508101700,347250.0,346931.25
20180508101800,347750.0,346931.25
20180508101900,347750.0,347420.03
20180508102000,347750.0,347420.03
20180508102100,347875.0,347420.03
20180508102200,347750.0,347542.2
20180508102300,347750.0,347420.03
20180508102400,347875.0,347420.03
20180508102500,347875.0,347542.2
20180508102600,347875.0,347542.2
20180508102700,347750.0,347542.2
20180508102800,347750.0,347420.03
20180508102900,347625.0,347420.03
20180508103000,347875.0,347297.84
20180508103100,347875.0,347542.2
20180508103200,347750.0,347542.2
20180508103300,347875.0,347420.03
20180508103400,348125.0,347542.2
20180508103500,348375.0,347786.5
20180508103600,348250.0,348030.75
20180508103700,348375.0,347908.62
20180508103800,348375.0,348030.75
20180508103900,348125.0,348030.75
