datetime,original,predicted
20180504090100,111875.0,111708.125
20180504090200,112125.0,112079.33
20180504090300,112250.0,112326.84
20180504090400,111875.0,112450.6
20180504090500,112125.0,112079.33
20180504090600,112000.0,112326.84
20180504090700,111875.0,112203.08
20180504090800,112125.0,112079.33
20180504090900,111750.0,112326.84
20180504091000,111875.0,111955.586
20180504091100,111750.0,112079.33
20180504091200,111750.0,111955.586
20180504091300,111750.0,111955.586
20180504091400,111875.0,111955.586
20180504091500,112125.0,112079.33
20180504091600,112875.0,112326.84
20180504091700,113000.0,113069.48
20180504091800,112875.0,113193.26
20180504091900,113000.0,113069.48
20180504092000,113125.0,113193.26
20180504092100,113000.0,113317.055
20180504092200,113125.0,113193.26
20180504092300,113250.0,113317.055
20180504092400,113125.0,113440.84
20180504092500,112875.0,113317.055
20180504092600,112750.0,113069.48
20180504092700,112875.0,112945.695
20180504092800,112875.0,113069.48
20180504092900,112750.0,113069.48
20180504093000,112750.0,112945.695
20180504093100,112625.0,112945.695
20180504093200,112750.0,112821.914
20180504093300,112750.0,112945.695
20180504093400,112750.0,112945.695
20180504093500,113625.0,112945.695
20180504093600,114750.0,113812.22
20180504093700,115125.0,114926.32
20180504093800,115500.0,115297.65
20180504093900,115750.0,115668.945
20180504094000,115250.0,115916.45
20180504094100,115125.0,115421.42
20180504094200,115125.0,115297.65
20180504094300,114750.0,115297.65
20180504094400,114875.0,114926.32
20180504094500,114875.0,115050.1
20180504094600,114500.0,115050.1
20180504094700,114375.0,114678.75
20180504094800,114250.0,114554.97
20180504094900,114500.0,114431.18
20180504095000,114875.0,114678.75
20180504095100,114875.0,115050.1
20180504095200,115250.0,115050.1
20180504095300,115250.0,115421.42
20180504095400,115250.0,115421.42
20180504095500,115000.0,115421.42
20180504095600,114750.0,115173.875
20180504095700,114750.0,114926.32
20180504095800,114750.0,114926.32
20180504095900,114750.0,114926.32
20180504100000,114625.0,114926.32
20180504100100,114875.0,114802.54
20180504100200,114750.0,115050.1
20180504100300,114875.0,114926.32
20180504100400,114875.0,115050.1
20180504100500,114625.0,115050.1
20180504100600,114875.0,114802.54
20180504100700,114875.0,115050.1
20180504100800,114875.0,115050.1
20180504100900,114750.0,115050.1
20180504101000,115125.0,114926.32
20180504101100,115375.0,115297.65
