datetime,original,predicted
20180504090100,58700.0,58973.195
20180504090200,58475.0,58647.836
20180504090300,58425.0,58422.62
20180504090400,58400.0,58372.58
20180504090500,58700.0,58347.56
20180504090600,59125.0,58647.836
20180504090700,59150.0,59073.312
20180504090800,59200.0,59098.344
20180504090900,59300.0,59148.406
20180504091000,59225.0,59248.53
20180504091100,59175.0,59173.438
20180504091200,59125.0,59123.375
20180504091300,59225.0,59073.312
20180504091400,59350.0,59173.438
20180504091500,59500.0,59298.598
20180504091600,59625.0,59448.797
20180504091700,59650.0,59573.977
20180504091800,59725.0,59599.01
20180504091900,59750.0,59674.117
20180504092000,59675.0,59699.16
20180504092100,59450.0,59624.047
20180504092200,59425.0,59398.73
20180504092300,59400.0,59373.695
20180504092400,59350.0,59348.664
20180504092500,59275.0,59298.598
20180504092600,59100.0,59223.496
20180504092700,59150.0,59048.28
20180504092800,59225.0,59098.344
20180504092900,59150.0,59173.438
20180504093000,59200.0,59098.344
20180504093100,59175.0,59148.406
20180504093200,59125.0,59123.375
20180504093300,59100.0,59073.312
20180504093400,59050.0,59048.28
20180504093500,59050.0,58998.223
20180504093600,59150.0,58998.223
20180504093700,59200.0,59098.344
20180504093800,59300.0,59148.406
20180504093900,59400.0,59248.53
20180504094000,59275.0,59348.664
20180504094100,59250.0,59223.496
20180504094200,59250.0,59198.47
20180504094300,59275.0,59198.47
20180504094400,59200.0,59223.496
20180504094500,59150.0,59148.406
20180504094600,59175.0,59098.344
20180504094700,59175.0,59123.375
20180504094800,59175.0,59123.375
20180504094900,59175.0,59123.375
20180504095000,59175.0,59123.375
20180504095100,59150.0,59123.375
20180504095200,59125.0,59098.344
20180504095300,59100.0,59073.312
20180504095400,59125.0,59048.28
20180504095500,59150.0,59073.312
20180504095600,59250.0,59098.344
20180504095700,59250.0,59198.47
20180504095800,59200.0,59198.47
20180504095900,59100.0,59148.406
20180504100000,59075.0,59048.28
20180504100100,59050.0,59023.25
20180504100200,59100.0,58998.223
20180504100300,59100.0,59048.28
20180504100400,59050.0,59048.28
20180504100500,59150.0,58998.223
20180504100600,59125.0,59098.344
20180504100700,59125.0,59073.312
20180504100800,59100.0,59073.312
20180504100900,59050.0,59048.28
20180504101000,59075.0,58998.223
20180504101100,59175.0,59023.25
20180504101200,59175.0,59123.375
20180504101300,59150.0,59123.375
20180504101400,59150.0,59098.344
20180504101500,59200.0,59098.344
20180504101600,59275.0,59148.406
20180504101700,59300.0,59223.496
20180504101800,59300.0,59248.53
20180504101900,59325.0,59248.53
20180504102000,59250.0,59273.562
20180504102100,59225.0,59198.47
20180504102200,59250.0,59173.438
20180504102300,59275.0,59198.47
20180504102400,59200.0,59223.496
20180504102500,59275.0,59148.406
20180504102600,59325.0,59223.496
20180504102700,59300.0,59273.562
20180504102800,59250.0,59248.53
20180504102900,59250.0,59198.47
20180504103000,59400.0,59198.47
20180504103100,59450.0,59348.664
20180504103200,59425.0,59398.73
20180504103300,59500.0,59373.695
20180504103400,59675.0,59448.797
20180504103500,59800.0,59624.047
20180504103600,59750.0,59749.234
20180504103700,59750.0,59699.16
20180504103800,59750.0,59699.16
20180504103900,59825.0,59699.16
20180504104000,60025.0,59774.27
20180504104100,60075.0,59974.58
20180504104200,60150.0,60024.656
20180504104300,60200.0,60099.777
20180504104400,60300.0,60149.86
20180504104500,60350.0,60250.023
20180504104600,60375.0,60300.11
20180504104700,60425.0,60325.15
20180504104800,60475.0,60375.234
20180504104900,60600.0,60425.32
20180504105000,60650.0,60550.53
20180504105100,60600.0,60600.617
20180504105200,60600.0,60550.53
20180504105300,60650.0,60550.53
20180504105400,60725.0,60600.617
20180504105500,60750.0,60675.754
20180504105600,60700.0,60700.797
20180504105700,60600.0,60650.71
20180504105800,60575.0,60550.53
20180504105900,60675.0,60525.492
20180504110000,60750.0,60625.664
20180504110100,60575.0,60700.797
20180504110200,60600.0,60525.492
20180504110300,60675.0,60550.53
20180504110400,60600.0,60625.664
20180504110500,60550.0,60550.53
20180504110600,60475.0,60500.45
20180504110700,60475.0,60425.32
20180504110800,60524.99999999999,60425.32
20180504110900,60450.0,60475.406
20180504111000,60475.0,60400.273
20180504111100,60500.0,60425.32
20180504111200,60450.0,60450.363
20180504111300,60475.0,60400.273
20180504111400,60524.99999999999,60425.32
20180504111500,60524.99999999999,60475.406
20180504111600,60550.0,60475.406
20180504111700,60500.0,60500.45
20180504111800,60450.0,60450.363
20180504111900,60550.0,60400.273
20180504112000,60550.0,60500.45
20180504112100,60600.0,60500.45
20180504112200,60450.0,60550.53
20180504112300,60225.0,60400.273
20180504112400,60125.0,60174.9
20180504112500,60250.0,60074.742
20180504112600,60375.0,60199.94
20180504112700,60225.0,60325.15
20180504112800,60225.0,60174.9
20180504112900,60325.0,60174.9
20180504113000,60350.0,60275.066
20180504113100,60325.0,60300.11
20180504113200,60250.0,60275.066
20180504113300,60225.0,60199.94
20180504113400,60175.0,60174.9
20180504113500,60200.0,60124.82
20180504113600,60225.0,60149.86
20180504113700,60150.0,60174.9
20180504113800,60250.0,60099.777
20180504113900,60250.0,60199.94
20180504114000,60250.0,60199.94
20180504114100,60250.0,60199.94
20180504114200,60250.0,60199.94
20180504114300,60250.0,60199.94
20180504114400,60275.0,60199.94
20180504114500,60250.0,60224.98
20180504114600,60100.0,60199.94
20180504114700,60050.0,60049.7
20180504114800,60100.0,59999.617
20180504114900,60175.0,60049.7
20180504115000,60225.0,60124.82
20180504115100,60250.0,60174.9
20180504115200,60250.0,60199.94
20180504115300,60275.0,60199.94
20180504115400,60275.0,60224.98
20180504115500,60250.0,60224.98
20180504115600,60250.0,60199.94
20180504115700,60225.0,60199.94
20180504115800,60150.0,60174.9
20180504115900,60100.0,60099.777
20180504120000,60025.0,60049.7
20180504120100,60000.0,59974.58
20180504120200,60050.0,59949.54
20180504120300,60125.0,59999.617
20180504120400,60150.0,60074.742
20180504120500,60175.0,60099.777
20180504120600,60175.0,60124.82
20180504120700,60150.0,60124.82
20180504120800,60175.0,60099.777
20180504120900,60250.0,60124.82
20180504121000,60225.0,60199.94
20180504121100,60250.0,60174.9
20180504121200,60300.0,60199.94
20180504121300,60375.0,60250.023
20180504121400,60450.0,60325.15
20180504121500,60450.0,60400.273
20180504121600,60375.0,60400.273
20180504121700,60325.0,60325.15
20180504121800,60275.0,60275.066
20180504121900,60250.0,60224.98
20180504122000,60250.0,60199.94
20180504122100,60350.0,60199.94
20180504122200,60375.0,60300.11
20180504122300,60350.0,60325.15
20180504122400,60375.0,60300.11
20180504122500,60350.0,60325.15
20180504122600,60350.0,60300.11
20180504122700,60350.0,60300.11
20180504122800,60350.0,60300.11
20180504122900,60400.0,60300.11
20180504123000,60350.0,60350.19
20180504123100,60375.0,60300.11
20180504123200,60375.0,60325.15
20180504123300,60400.0,60325.15
20180504123400,60475.0,60350.19
20180504123500,60500.0,60425.32
20180504123600,60575.0,60450.363
20180504123700,60524.99999999999,60525.492
20180504123800,60450.0,60475.406
20180504123900,60475.0,60400.273
20180504124000,60524.99999999999,60425.32
20180504124100,60550.0,60475.406
20180504124200,60575.0,60500.45
20180504124300,60575.0,60525.492
20180504124400,60575.0,60525.492
20180504124500,60625.0,60525.492
20180504124600,60675.0,60575.574
20180504124700,60650.0,60625.664
20180504124800,60600.0,60600.617
20180504124900,60600.0,60550.53
20180504125000,60675.0,60550.53
20180504125100,60650.0,60625.664
20180504125200,60675.0,60600.617
20180504125300,60625.0,60625.664
20180504125400,60725.0,60575.574
20180504125500,60725.0,60675.754
20180504125600,60750.0,60675.754
20180504125700,60775.0,60700.797
20180504125800,60750.0,60725.84
20180504125900,60750.0,60700.797
20180504130000,60750.0,60700.797
20180504130100,60750.0,60700.797
20180504130200,60825.0,60700.797
20180504130300,60850.0,60775.926
20180504130400,60850.0,60800.973
20180504130500,60850.0,60800.973
20180504130600,60850.0,60800.973
20180504130700,60825.0,60800.973
20180504130800,60875.0,60775.926
20180504130900,60950.0,60826.02
20180504131000,60975.0,60901.15
20180504131100,61075.0,60926.195
20180504131200,61100.0,61026.38
20180504131300,61100.0,61051.42
20180504131400,61050.0,61051.42
20180504131500,61075.0,61001.33
20180504131600,61000.0,61026.38
20180504131700,60975.0,60951.242
20180504131800,61000.0,60926.195
20180504131900,61025.0,60951.242
20180504132000,61075.0,60976.29
20180504132100,61050.0,61026.38
20180504132200,61100.0,61001.33
20180504132300,61150.0,61051.42
20180504132400,61175.0,61101.51
20180504132500,61200.0,61126.555
20180504132600,61350.0,61151.6
20180504132700,61375.0,61301.875
20180504132800,61525.0,61326.918
20180504132900,61675.0,61477.19
20180504133000,61725.0,61627.465
20180504133100,61800.0,61677.55
20180504133200,61800.0,61752.688
20180504133300,61875.0,61752.688
20180504133400,61750.0,61827.824
20180504133500,61725.0,61702.598
20180504133600,61700.0,61677.55
20180504133700,61725.0,61652.508
20180504133800,61800.0,61677.55
20180504133900,61825.0,61752.688
20180504134000,61925.0,61777.734
20180504134100,61950.0,61877.91
20180504134200,61875.0,61902.953
20180504134300,61775.0,61827.824
20180504134400,61775.0,61727.64
20180504134500,61775.0,61727.64
20180504134600,61750.0,61727.64
20180504134700,61675.0,61702.598
20180504134800,61725.0,61627.465
20180504134900,61775.0,61677.55
20180504135000,61775.0,61727.64
20180504135100,61750.0,61727.64
20180504135200,61800.0,61702.598
20180504135300,61800.0,61752.688
20180504135400,61800.0,61752.688
20180504135500,61850.0,61752.688
20180504135600,61875.0,61802.78
20180504135700,61875.0,61827.824
20180504135800,61900.0,61827.824
20180504135900,61850.0,61852.867
20180504140000,61850.0,61802.78
20180504140100,61825.0,61802.78
20180504140200,61875.0,61777.734
20180504140300,61925.0,61827.824
20180504140400,61925.0,61877.91
20180504140500,61975.0,61877.91
20180504140600,61925.0,61927.996
20180504140700,61975.0,61877.91
20180504140800,61950.0,61927.996
20180504140900,61975.0,61902.953
20180504141000,61950.0,61927.996
20180504141100,61975.0,61902.953
20180504141200,62000.0,61927.996
20180504141300,62075.0,61953.047
20180504141400,62050.0,62028.17
20180504141500,62125.0,62003.13
20180504141600,62150.0,62078.26
20180504141700,62175.0,62103.3
20180504141800,62175.0,62128.344
20180504141900,62225.0,62128.344
20180504142000,62200.0,62178.434
20180504142100,62250.0,62153.39
20180504142200,62325.0,62203.473
20180504142300,62325.0,62278.598
20180504142400,62400.0,62278.598
20180504142500,62475.0,62353.723
20180504142600,62450.0,62428.844
20180504142700,62450.0,62403.805
20180504142800,62475.0,62403.805
20180504142900,62400.0,62428.844
20180504143000,62375.0,62353.723
20180504143100,62400.0,62328.684
20180504143200,62400.0,62353.723
20180504143300,62400.0,62353.723
20180504143400,62400.0,62353.723
20180504143500,62400.0,62353.723
20180504143600,62375.0,62353.723
20180504143700,62425.0,62328.684
20180504143800,62400.0,62378.76
20180504143900,62450.0,62353.723
20180504144000,62375.0,62403.805
20180504144100,62325.0,62328.684
20180504144200,62275.0,62278.598
20180504144300,62250.0,62228.516
20180504144400,62225.0,62203.473
20180504144500,62225.0,62178.434
20180504144600,62250.0,62178.434
20180504144700,62325.0,62203.473
20180504144800,62300.0,62278.598
20180504144900,62325.0,62253.555
20180504145000,62275.0,62278.598
20180504145100,62225.0,62228.516
20180504145200,62200.0,62178.434
20180504145300,62250.0,62153.39
20180504145400,62325.0,62203.473
20180504145500,62325.0,62278.598
20180504145600,62275.0,62278.598
20180504145700,62300.0,62228.516
20180504145800,62250.0,62253.555
20180504145900,62200.0,62203.473
20180504150000,62200.0,62153.39
20180504150100,62150.0,62153.39
20180504150200,62100.0,62103.3
20180504150300,62050.0,62053.215
20180504150400,61950.0,62003.13
20180504150500,61900.0,61902.953
20180504150600,61925.0,61852.867
20180504150700,61925.0,61877.91
20180504150800,61850.0,61877.91
20180504150900,61800.0,61802.78
20180504151000,61725.0,61752.688
20180504151100,61700.0,61677.55
20180504151200,61775.0,61652.508
20180504151300,61700.0,61727.64
20180504151400,61650.0,61652.508
20180504151500,61575.0,61602.42
20180504151600,61600.0,61527.28
20180504151700,61600.0,61552.33
20180504151800,61600.0,61552.33
20180504151900,61575.0,61552.33
20180504153000,61600.0,61527.28
20180504153500,61600.0,61552.33
20180508090000,60300.0,61552.33
20180508090100,60700.0,60250.023
20180508090200,60850.0,60650.71
20180508090300,60300.0,60800.973
20180508090400,60150.0,60250.023
20180508090500,60524.99999999999,60099.777
20180508090600,60775.0,60475.406
20180508090700,61075.0,60725.84
20180508090800,61225.0,61026.38
20180508090900,61375.0,61176.65
20180508091000,61400.0,61326.918
20180508091100,61350.0,61351.965
20180508091200,61400.0,61301.875
20180508091300,61375.0,61351.965
20180508091400,61300.0,61326.918
20180508091500,61300.0,61251.785
20180508091600,61175.0,61251.785
20180508091700,61100.0,61126.555
20180508091800,61075.0,61051.42
20180508091900,61000.0,61026.38
20180508092000,60950.0,60951.242
20180508092100,60825.0,60901.15
20180508092200,60900.0,60775.926
20180508092300,60925.0,60851.066
20180508092400,60925.0,60876.11
20180508092500,61150.0,60876.11
20180508092600,61300.0,61101.51
20180508092700,61425.0,61251.785
20180508092800,61475.0,61377.01
20180508092900,61525.0,61427.1
20180508093000,61825.0,61477.19
20180508093100,61900.0,61777.734
20180508093200,62050.0,61852.867
20180508093300,62250.0,62003.13
20180508093400,62200.0,62203.473
20180508093500,62300.0,62153.39
