datetime,original,predicted
20180504090100,62000.0,62572.234
20180504090200,61900.0,62049.305
20180504090300,62375.0,61949.64
20180504090400,62175.0,62422.87
20180504090500,62025.0,62223.668
20180504090600,62275.0,62074.22
20180504090700,62350.0,62323.28
20180504090800,62400.0,62397.973
20180504090900,62500.0,62447.77
20180504091000,62450.0,62547.344
20180504091100,62500.0,62497.56
20180504091200,62425.0,62547.344
20180504091300,62450.0,62472.664
20180504091400,62500.0,62497.56
20180504091500,62474.99999999999,62547.344
20180504091600,62200.0,62522.45
20180504091700,62050.0,62248.574
20180504091800,62125.0,62099.13
20180504091900,62250.0,62173.85
20180504092000,62350.0,62298.38
20180504092100,62275.0,62397.973
20180504092200,62300.0,62323.28
20180504092300,62250.0,62348.18
20180504092400,62250.0,62298.38
20180504092500,62275.0,62298.38
20180504092600,62275.0,62323.28
20180504092700,62275.0,62323.28
20180504092800,62250.0,62323.28
20180504092900,62300.0,62298.38
20180504093000,62250.0,62348.18
20180504093100,62250.0,62298.38
20180504093200,62275.0,62298.38
20180504093300,62275.0,62323.28
20180504093400,62300.0,62323.28
20180504093500,62275.0,62348.18
20180504093600,62300.0,62323.28
20180504093700,62250.0,62348.18
20180504093800,62250.0,62298.38
20180504093900,62050.0,62298.38
20180504094000,62050.0,62099.13
20180504094100,62050.0,62099.13
20180504094200,62075.0,62099.13
20180504094300,62100.0,62124.04
20180504094400,62225.0,62148.945
20180504094500,62175.0,62273.477
20180504094600,62175.0,62223.668
20180504094700,62200.0,62223.668
20180504094800,62175.0,62248.574
20180504094900,62225.0,62223.668
20180504095000,62275.0,62273.477
20180504095100,62275.0,62323.28
20180504095200,62275.0,62323.28
20180504095300,62275.0,62323.28
20180504095400,62175.0,62323.28
20180504095500,62150.00000000001,62223.668
20180504095600,62150.00000000001,62198.76
20180504095700,62175.0,62198.76
20180504095800,62150.00000000001,62223.668
20180504095900,62150.00000000001,62198.76
20180504100000,62150.00000000001,62198.76
20180504100100,62150.00000000001,62198.76
20180504100200,62150.00000000001,62198.76
20180504100300,62150.00000000001,62198.76
20180504100400,62125.0,62198.76
20180504100500,62150.00000000001,62173.85
20180504100600,62150.00000000001,62198.76
20180504100700,62150.00000000001,62198.76
20180504100800,62225.0,62198.76
20180504100900,62250.0,62273.477
20180504101000,62325.0,62298.38
20180504101100,62350.0,62373.082
20180504101200,62250.0,62397.973
20180504101300,62275.0,62298.38
20180504101400,62275.0,62323.28
20180504101500,62250.0,62323.28
20180504101600,62275.0,62298.38
20180504101700,62275.0,62323.28
20180504101800,62275.0,62323.28
20180504101900,62250.0,62323.28
20180504102000,62275.0,62298.38
20180504102100,62300.0,62323.28
20180504102200,62375.0,62348.18
20180504102300,62450.0,62422.87
20180504102400,62450.0,62497.56
20180504102500,62474.99999999999,62497.56
20180504102600,62474.99999999999,62522.45
20180504102700,62474.99999999999,62522.45
20180504102800,62525.0,62522.45
20180504102900,62575.0,62572.234
20180504103000,62550.0,62622.01
20180504103100,62575.0,62597.12
20180504103200,62550.0,62622.01
20180504103300,62550.0,62597.12
20180504103400,62550.0,62597.12
20180504103500,62550.0,62597.12
20180504103600,62550.0,62597.12
20180504103700,62575.0,62597.12
20180504103800,62600.00000000001,62622.01
20180504103900,62675.0,62646.9
20180504104000,62675.0,62721.555
20180504104100,62675.0,62721.555
20180504104200,62725.0,62721.555
20180504104300,62625.0,62771.32
20180504104400,62474.99999999999,62671.785
20180504104500,62525.0,62522.45
20180504104600,62550.0,62572.234
20180504104700,62550.0,62597.12
20180504104800,62550.0,62597.12
20180504104900,62550.0,62597.12
20180504105000,62550.0,62597.12
20180504105100,62550.0,62597.12
20180504105200,62550.0,62597.12
20180504105300,62575.0,62597.12
20180504105400,62550.0,62622.01
20180504105500,62500.0,62597.12
20180504105600,62375.0,62547.344
20180504105700,62350.0,62422.87
20180504105800,62350.0,62397.973
20180504105900,62325.0,62397.973
20180504110000,62350.0,62373.082
20180504110100,62350.0,62397.973
20180504110200,62325.0,62397.973
20180504110300,62350.0,62373.082
20180504110400,62325.0,62397.973
20180504110500,62375.0,62373.082
20180504110600,62325.0,62422.87
20180504110700,62275.0,62373.082
20180504110800,62250.0,62323.28
20180504110900,62250.0,62298.38
20180504111000,62250.0,62298.38
20180504111100,62275.0,62298.38
20180504111200,62275.0,62323.28
20180504111300,62250.0,62323.28
20180504111400,62275.0,62298.38
20180504111500,62225.0,62323.28
20180504111600,62225.0,62273.477
20180504111700,62250.0,62273.477
20180504111800,62275.0,62298.38
20180504111900,62250.0,62323.28
20180504112000,62275.0,62298.38
20180504112100,62250.0,62323.28
20180504112200,62225.0,62298.38
20180504112300,62200.0,62273.477
20180504112400,62225.0,62248.574
