datetime,original,predicted
20180504090100,61125.0,61296.96
20180504090200,61125.0,61098.96
20180504090300,61150.0,61098.96
20180504090400,61225.0,61123.73
20180504090500,61400.0,61197.996
20180504090600,61550.0,61371.133
20180504090700,61375.0,61519.35
20180504090800,61300.0,61346.414
20180504090900,61250.0,61272.227
20180504091000,61225.0,61222.746
20180504091100,61250.0,61197.996
20180504091200,61200.0,61222.746
20180504091300,61200.0,61173.246
20180504091400,61200.0,61173.246
20180504091500,61200.0,61173.246
20180504091600,61175.0,61173.246
20180504091700,61150.0,61148.49
20180504091800,61150.0,61123.73
20180504091900,61150.0,61123.73
20180504092000,61050.0,61123.73
20180504092100,60950.0,61024.64
20180504092200,60950.0,60925.49
20180504092300,60975.0,60925.49
20180504092400,61050.0,60950.28
20180504092500,61050.0,61024.64
20180504092600,61050.0,61024.64
20180504092700,61075.0,61024.64
20180504092800,61075.0,61049.418
20180504092900,61050.0,61049.418
20180504093000,61050.0,61024.64
20180504093100,61075.0,61024.64
20180504093200,61050.0,61049.418
20180504093300,61050.0,61024.64
20180504093400,60950.0,61024.64
20180504093500,60950.0,60925.49
20180504093600,60900.0,60925.49
20180504093700,60925.0,60875.887
20180504093800,60900.0,60900.688
20180504093900,60950.0,60875.887
20180504094000,60925.0,60925.49
20180504094100,60900.0,60900.688
20180504094200,60950.0,60875.887
20180504094300,60900.0,60925.49
20180504094400,60925.0,60875.887
20180504094500,60950.0,60900.688
20180504094600,60925.0,60925.49
20180504094700,60925.0,60900.688
20180504094800,60900.0,60900.688
20180504094900,60900.0,60875.887
20180504095000,60900.0,60875.887
20180504095100,60950.0,60875.887
20180504095200,60850.0,60925.49
20180504095300,60825.0,60826.27
20180504095400,60650.0,60801.457
20180504095500,60675.0,60627.65
20180504095600,60725.0,60652.49
20180504095700,60750.0,60702.156
20180504095800,60725.0,60726.992
20180504095900,60700.0,60702.156
20180504100000,60800.0,60677.324
20180504100100,60825.0,60776.637
20180504100200,60825.0,60801.457
20180504100300,60825.0,60801.457
20180504100400,60850.0,60801.457
20180504100500,60850.0,60826.27
20180504100600,60825.0,60826.27
20180504100700,60825.0,60801.457
20180504100800,60825.0,60801.457
20180504100900,60800.0,60801.457
20180504101000,60800.0,60776.637
20180504101100,60825.0,60776.637
20180504101200,60825.0,60801.457
20180504101300,60800.0,60801.457
20180504101400,60800.0,60776.637
20180504101500,60850.0,60776.637
20180504101600,60875.0,60826.27
20180504101700,60850.0,60851.082
20180504101800,60850.0,60826.27
20180504101900,60775.0,60826.27
20180504102000,60750.0,60751.816
20180504102100,60775.0,60726.992
20180504102200,60750.0,60751.816
20180504102300,60700.0,60726.992
20180504102400,60700.0,60677.324
20180504102500,60725.0,60677.324
20180504102600,60750.0,60702.156
20180504102700,60750.0,60726.992
20180504102800,60725.0,60726.992
20180504102900,60675.0,60702.156
20180504103000,60625.0,60652.49
20180504103100,60650.0,60602.81
20180504103200,60625.0,60627.65
20180504103300,60650.0,60602.81
20180504103400,60625.0,60627.65
20180504103500,60650.0,60602.81
20180504103600,60625.0,60627.65
20180504103700,60625.0,60602.81
20180504103800,60625.0,60602.81
20180504103900,60650.0,60602.81
20180504104000,60650.0,60627.65
20180504104100,60625.0,60627.65
20180504104200,60650.0,60602.81
20180504104300,60650.0,60627.65
20180504104400,60675.0,60627.65
20180504104500,60675.0,60652.49
20180504104600,60700.0,60652.49
20180504104700,60700.0,60677.324
20180504104800,60700.0,60677.324
20180504104900,60675.0,60677.324
20180504105000,60725.0,60652.49
20180504105100,60625.0,60702.156
20180504105200,60625.0,60602.81
20180504105300,60675.0,60602.81
20180504105400,60625.0,60652.49
20180504105500,60625.0,60602.81
20180504105600,60675.0,60602.81
20180504105700,60675.0,60652.49
20180504105800,60625.0,60652.49
20180504105900,60650.0,60602.81
20180504110000,60650.0,60627.65
20180504110100,60625.0,60627.65
20180504110200,60575.0,60602.81
20180504110300,60550.0,60553.11
20180504110400,60550.0,60528.258
20180504110500,60524.99999999999,60528.258
20180504110600,60500.0,60503.402
20180504110700,60550.0,60478.543
20180504110800,60625.0,60528.258
20180504110900,60575.0,60602.81
20180504111000,60524.99999999999,60553.11
20180504111100,60550.0,60503.402
20180504111200,60524.99999999999,60528.258
20180504111300,60550.0,60503.402
20180504111400,60524.99999999999,60528.258
20180504111500,60500.0,60503.402
20180504111600,60524.99999999999,60478.543
20180504111700,60524.99999999999,60503.402
20180504111800,60550.0,60503.402
20180504111900,60550.0,60528.258
20180504112000,60524.99999999999,60528.258
20180504112100,60550.0,60503.402
20180504112200,60550.0,60528.258
20180504112300,60550.0,60528.258
20180504112400,60550.0,60528.258
20180504112500,60524.99999999999,60528.258
20180504112600,60524.99999999999,60503.402
20180504112700,60550.0,60503.402
20180504112800,60550.0,60528.258
20180504112900,60524.99999999999,60528.258
20180504113000,60550.0,60503.402
20180504113100,60550.0,60528.258
20180504113200,60550.0,60528.258
20180504113300,60524.99999999999,60528.258
20180504113400,60524.99999999999,60503.402
20180504113500,60475.0,60503.402
20180504113600,60450.0,60453.676
20180504113700,60425.0,60428.812
20180504113800,60425.0,60403.94
20180504113900,60425.0,60403.94
20180504114000,60450.0,60403.94
20180504114100,60450.0,60428.812
20180504114200,60400.0,60428.812
20180504114300,60325.0,60379.066
20180504114400,60375.0,60304.434
20180504114500,60425.0,60354.19
20180504114600,60400.0,60403.94
20180504114700,60425.0,60379.066
20180504114800,60425.0,60403.94
20180504114900,60425.0,60403.94
20180504115000,60425.0,60403.94
20180504115100,60475.0,60403.94
20180504115200,60600.0,60453.676
20180504115300,60650.0,60577.96
20180504115400,60600.0,60627.65
20180504115500,60625.0,60577.96
20180504115600,60650.0,60602.81
20180504115700,60600.0,60627.65
20180504115800,60550.0,60577.96
20180504115900,60524.99999999999,60528.258
20180504120000,60575.0,60503.402
20180504120100,60625.0,60553.11
20180504120200,60625.0,60602.81
20180504120300,60625.0,60602.81
20180504120400,60625.0,60602.81
20180504120500,60625.0,60602.81
20180504120600,60625.0,60602.81
20180504120700,60650.0,60602.81
20180504120800,60625.0,60627.65
20180504120900,60625.0,60602.81
20180504121000,60625.0,60602.81
20180504121100,60575.0,60602.81
20180504121200,60600.0,60553.11
20180504121300,60625.0,60577.96
20180504121400,60650.0,60602.81
20180504121500,60650.0,60627.65
20180504121600,60650.0,60627.65
20180504121700,60650.0,60627.65
20180504121800,60625.0,60627.65
20180504121900,60625.0,60602.81
20180504122000,60625.0,60602.81
20180504122100,60625.0,60602.81
20180504122200,60625.0,60602.81
20180504122300,60625.0,60602.81
20180504122400,60675.0,60602.81
20180504122500,60625.0,60652.49
20180504122600,60625.0,60602.81
20180504122700,60650.0,60602.81
20180504122800,60625.0,60627.65
20180504122900,60625.0,60602.81
20180504123000,60625.0,60602.81
20180504123100,60650.0,60602.81
20180504123200,60650.0,60627.65
20180504123300,60600.0,60627.65
20180504123400,60650.0,60577.96
20180504123500,60650.0,60627.65
20180504123600,60650.0,60627.65
20180504123700,60650.0,60627.65
20180504123800,60650.0,60627.65
20180504123900,60650.0,60627.65
20180504124000,60625.0,60627.65
20180504124100,60625.0,60602.81
20180504124200,60625.0,60602.81
20180504124300,60600.0,60602.81
20180504124400,60625.0,60577.96
20180504124500,60650.0,60602.81
20180504124600,60625.0,60627.65
20180504124700,60625.0,60602.81
20180504124800,60675.0,60602.81
20180504124900,60625.0,60652.49
20180504125000,60550.0,60602.81
20180504125100,60550.0,60528.258
20180504125200,60524.99999999999,60528.258
20180504125300,60524.99999999999,60503.402
20180504125400,60524.99999999999,60503.402
20180504125500,60550.0,60503.402
20180504125600,60524.99999999999,60528.258
20180504125700,60575.0,60503.402
20180504125800,60625.0,60553.11
20180504125900,60650.0,60602.81
20180504130000,60650.0,60627.65
20180504130100,60650.0,60627.65
20180504130200,60625.0,60627.65
20180504130300,60675.0,60602.81
20180504130400,60725.0,60652.49
20180504130500,60750.0,60702.156
20180504130600,60725.0,60726.992
20180504130700,60725.0,60702.156
20180504130800,60650.0,60702.156
20180504130900,60600.0,60627.65
20180504131000,60650.0,60577.96
20180504131100,60625.0,60627.65
20180504131200,60625.0,60602.81
20180504131300,60625.0,60602.81
20180504131400,60625.0,60602.81
20180504131500,60625.0,60602.81
20180504131600,60625.0,60602.81
20180504131700,60650.0,60602.81
20180504131800,60675.0,60627.65
20180504131900,60625.0,60652.49
20180504132000,60625.0,60602.81
20180504132100,60625.0,60602.81
20180504132200,60650.0,60602.81
20180504132300,60600.0,60627.65
20180504132400,60625.0,60577.96
20180504132500,60625.0,60602.81
20180504132600,60650.0,60602.81
20180504132700,60650.0,60627.65
20180504132800,60650.0,60627.65
20180504132900,60625.0,60627.65
20180504133000,60625.0,60602.81
20180504133100,60650.0,60602.81
20180504133200,60625.0,60627.65
20180504133300,60625.0,60602.81
20180504133400,60625.0,60602.81
20180504133500,60650.0,60602.81
20180504133600,60650.0,60627.65
20180504133700,60650.0,60627.65
20180504133800,60650.0,60627.65
20180504133900,60650.0,60627.65
20180504134000,60650.0,60627.65
20180504134100,60650.0,60627.65
20180504134200,60650.0,60627.65
20180504134300,60650.0,60627.65
20180504134400,60625.0,60627.65
20180504134500,60625.0,60602.81
20180504134600,60625.0,60602.81
20180504134700,60600.0,60602.81
20180504134800,60575.0,60577.96
20180504134900,60524.99999999999,60553.11
20180504135000,60524.99999999999,60503.402
20180504135100,60500.0,60503.402
20180504135200,60550.0,60478.543
20180504135300,60550.0,60528.258
20180504135400,60550.0,60528.258
20180504135500,60524.99999999999,60528.258
20180504135600,60550.0,60503.402
20180504135700,60575.0,60528.258
20180504135800,60524.99999999999,60553.11
20180504135900,60475.0,60503.402
20180504140000,60450.0,60453.676
20180504140100,60450.0,60428.812
20180504140200,60425.0,60428.812
20180504140300,60425.0,60403.94
20180504140400,60450.0,60403.94
20180504140500,60450.0,60428.812
20180504140600,60500.0,60428.812
20180504140700,60475.0,60478.543
20180504140800,60425.0,60453.676
20180504140900,60450.0,60403.94
20180504141000,60450.0,60428.812
20180504141100,60550.0,60428.812
20180504141200,60625.0,60528.258
20180504141300,60700.0,60602.81
20180504141400,60725.0,60677.324
20180504141500,60675.0,60702.156
20180504141600,60625.0,60652.49
20180504141700,60650.0,60602.81
20180504141800,60650.0,60627.65
20180504141900,60625.0,60627.65
20180504142000,60650.0,60602.81
20180504142100,60675.0,60627.65
20180504142200,60675.0,60652.49
20180504142300,60650.0,60652.49
20180504142400,60675.0,60627.65
20180504142500,60625.0,60652.49
20180504142600,60650.0,60602.81
20180504142700,60625.0,60627.65
20180504142800,60625.0,60602.81
20180504142900,60575.0,60602.81
20180504143000,60524.99999999999,60553.11
20180504143100,60524.99999999999,60503.402
20180504143200,60524.99999999999,60503.402
20180504143300,60524.99999999999,60503.402
20180504143400,60550.0,60503.402
20180504143500,60524.99999999999,60528.258
20180504143600,60475.0,60503.402
20180504143700,60450.0,60453.676
20180504143800,60500.0,60428.812
20180504143900,60575.0,60478.543
20180504144000,60550.0,60553.11
20180504144100,60524.99999999999,60528.258
20180504144200,60600.0,60503.402
20180504144300,60650.0,60577.96
20180504144400,60625.0,60627.65
20180504144500,60650.0,60602.81
20180504144600,60625.0,60627.65
20180504144700,60625.0,60602.81
20180504144800,60625.0,60602.81
20180504144900,60625.0,60602.81
20180504145000,60650.0,60602.81
20180504145100,60575.0,60627.65
20180504145200,60500.0,60553.11
20180504145300,60425.0,60478.543
20180504145400,60425.0,60403.94
20180504145500,60425.0,60403.94
20180504145600,60425.0,60403.94
20180504145700,60425.0,60403.94
20180504145800,60450.0,60403.94
20180504145900,60425.0,60428.812
20180504150000,60425.0,60403.94
20180504150100,60450.0,60403.94
20180504150200,60475.0,60428.812
20180504150300,60450.0,60453.676
20180504150400,60475.0,60428.812
20180504150500,60450.0,60453.676
20180504150600,60450.0,60428.812
20180504150700,60450.0,60428.812
20180504150800,60475.0,60428.812
20180504150900,60475.0,60453.676
20180504151000,60425.0,60453.676
20180504151100,60425.0,60403.94
20180504151200,60375.0,60403.94
20180504151300,60350.0,60354.19
20180504151400,60350.0,60329.312
20180504151500,60375.0,60329.312
20180504151600,60325.0,60354.19
20180504151700,60350.0,60304.434
20180504151800,60400.0,60329.312
20180504151900,60450.0,60379.066
20180504153000,60500.0,60428.812
20180504153500,60500.0,60478.543
20180508090000,60524.99999999999,60478.543
20180508090100,60425.0,60503.402
20180508090200,60350.0,60403.94
20180508090300,60075.0,60329.312
20180508090400,60050.0,60055.457
20180508090500,60225.0,60030.547
20180508090600,60150.0,60204.87
20180508090700,60175.0,60130.176
20180508090800,60150.0,60155.08
20180508090900,60175.0,60130.176
20180508091000,60175.0,60155.08
20180508091100,60250.0,60155.08
20180508091200,60400.0,60229.766
20180508091300,60500.0,60379.066
20180508091400,60450.0,60478.543
20180508091500,60425.0,60428.812
20180508091600,60375.0,60403.94
20180508091700,60350.0,60354.19
20180508091800,60250.0,60329.312
20180508091900,60225.0,60229.766
20180508092000,60225.0,60204.87
20180508092100,60325.0,60204.87
20180508092200,60350.0,60304.434
20180508092300,60350.0,60329.312
20180508092400,60325.0,60329.312
20180508092500,60325.0,60304.434
20180508092600,60250.0,60304.434
