datetime,original,predicted
20180504090100,383125.0,379658.38
20180504090200,381250.0,382378.4
20180504090300,380375.0,380523.84
20180504090400,380125.0,379658.38
20180504090500,381625.0,379411.06
20180504090600,381625.0,380894.78
20180504090700,380250.0,380894.78
20180504090800,378625.0,379534.7
20180504090900,376250.0,377927.16
20180504091000,373125.0,375577.28
20180504091100,372000.0,372484.66
20180504091200,372000.0,371371.06
20180504091300,371250.0,371371.06
20180504091400,369375.0,370628.6
20180504091500,368000.0,368772.16
20180504091600,367125.0,367410.56
20180504091700,364750.0,366543.94
20180504091800,363500.0,364191.25
20180504091900,366500.0,362952.7
20180504092000,367750.0,365924.9
20180504092100,368750.00000000006,367162.94
20180504092200,369250.0,368153.28
20180504092300,369500.0,368648.4
20180504092400,369625.0,368895.94
20180504092500,368375.0,369019.72
20180504092600,366375.0,367781.94
20180504092700,364500.0,365801.06
20180504092800,363250.0,363943.56
20180504092900,365625.0,362704.94
20180504093000,366750.0,365058.1
20180504093100,366000.0,366172.5
20180504093200,365375.0,365429.6
20180504093300,365625.0,364810.44
20180504093400,366500.0,365058.1
20180504093500,367500.0,365924.9
20180504093600,368500.0,366915.34
20180504093700,369125.0,367905.72
20180504093800,369625.0,368524.62
20180504093900,369625.0,369019.72
20180504094000,369625.0,369019.72
20180504094100,370125.0,369019.72
20180504094200,371625.0,369514.78
20180504094300,371375.0,370999.8
20180504094400,370375.0,370752.34
20180504094500,370750.0,369762.3
20180504094600,371125.0,370133.6
20180504094700,371875.0,370504.8
20180504094800,373375.0,371247.3
20180504094900,374125.0,372732.1
20180504095000,373750.0,373474.38
20180504095100,373125.0,373103.25
20180504095200,372375.0,372484.66
20180504095300,372875.0,371742.25
20180504095400,373500.0,372237.16
20180504095500,373375.0,372855.78
20180504095600,373000.0,372732.1
20180504095700,372750.0,372360.9
20180504095800,372500.0,372113.47
20180504095900,371875.0,371865.97
20180504100000,372375.0,371247.3
20180504100100,373500.0,371742.25
20180504100200,373375.0,372855.78
20180504100300,373625.0,372732.1
20180504100400,373625.0,372979.53
20180504100500,373875.0,372979.53
20180504100600,374375.0,373226.94
20180504100700,374250.0,373721.8
20180504100800,374250.0,373598.1
20180504100900,374000.0,373598.1
20180504101000,374875.0,373350.66
20180504101100,376750.0,374216.62
20180504101200,376750.0,376072.03
20180504101300,375750.0,376072.03
20180504101400,375125.0,375082.5
20180504101500,375750.0,374464.03
20180504101600,375875.0,375082.5
20180504101700,376750.0,375206.22
20180504101800,377250.0,376072.03
20180504101900,376875.0,376566.75
20180504102000,377250.0,376195.72
20180504102100,377750.0,376566.75
20180504102200,377125.00000000006,377061.47
20180504102300,376499.99999999994,376443.06
20180504102400,376000.0,375824.7
20180504102500,375625.0,375329.9
20180504102600,375000.0,374958.8
20180504102700,375000.0,374340.34
20180504102800,375125.0,374340.34
20180504102900,375125.0,374464.03
20180504103000,375375.0,374464.03
20180504103100,375375.0,374711.4
20180504103200,374500.0,374711.4
20180504103300,373750.0,373845.5
20180504103400,373750.0,373103.25
20180504103500,373500.0,373103.25
20180504103600,372750.0,372855.78
20180504103700,371875.0,372113.47
20180504103800,371125.0,371247.3
20180504103900,371250.0,370504.8
20180504104000,371125.0,370628.6
20180504104100,370625.0,370504.8
20180504104200,370125.0,370009.8
20180504104300,369375.0,369514.78
20180504104400,369750.0,368772.16
20180504104500,370125.0,369143.47
20180504104600,370750.0,369514.78
20180504104700,370500.0,370133.6
20180504104800,370125.0,369886.06
20180504104900,370125.0,369514.78
20180504105000,370125.0,369514.78
20180504105100,369250.0,369514.78
20180504105200,368625.0,368648.4
20180504105300,367875.0,368029.47
20180504105400,366625.0,367286.75
20180504105500,366375.0,366048.7
20180504105600,367625.0,365801.06
20180504105700,368375.0,367039.16
20180504105800,368625.0,367781.94
20180504105900,368875.0,368029.47
20180504110000,369125.0,368277.06
20180504110100,369375.0,368524.62
20180504110200,369250.0,368772.16
20180504110300,369125.0,368648.4
20180504110400,369125.0,368524.62
20180504110500,369500.0,368524.62
20180504110600,369625.0,368895.94
20180504110700,369250.0,369019.72
20180504110800,369250.0,368648.4
20180504110900,369125.0,368648.4
20180504111000,369125.0,368524.62
20180504111100,369125.0,368524.62
20180504111200,368500.0,368524.62
20180504111300,368500.0,367905.72
20180504111400,368000.0,367905.72
20180504111500,368375.0,367410.56
20180504111600,368500.0,367781.94
20180504111700,369250.0,367905.72
20180504111800,369375.0,368648.4
20180504111900,369250.0,368772.16
20180504112000,369000.0,368648.4
20180504112100,368500.0,368400.84
20180504112200,368000.0,367905.72
20180504112300,368124.99999999994,367410.56
20180504112400,368500.0,367534.34
20180504112500,368500.0,367905.72
20180504112600,368375.0,367905.72
20180504112700,368375.0,367781.94
20180504112800,368124.99999999994,367781.94
20180504112900,367875.0,367534.34
20180504113000,367625.0,367286.75
20180504113100,367625.0,367039.16
20180504113200,367625.0,367039.16
20180504113300,367375.0,367039.16
20180504113400,367125.0,366791.53
20180504113500,367250.0,366543.94
20180504113600,366875.0,366667.75
20180504113700,366875.0,366296.34
20180504113800,366750.0,366296.34
20180504113900,366500.0,366172.5
20180504114000,367750.0,365924.9
20180504114100,368500.0,367162.94
20180504114200,368875.0,367905.72
20180504114300,369125.0,368277.06
20180504114400,369250.0,368524.62
20180504114500,369000.0,368648.4
20180504114600,368625.0,368400.84
20180504114700,368375.0,368029.47
20180504114800,368250.0,367781.94
20180504114900,368250.0,367658.12
20180504115000,368124.99999999994,367658.12
20180504115100,367875.0,367534.34
20180504115200,367000.0,367286.75
20180504115300,367000.0,366420.12
20180504115400,367000.0,366420.12
20180504115500,366750.0,366420.12
20180504115600,366750.0,366172.5
20180504115700,366875.0,366172.5
20180504115800,367250.0,366296.34
20180504115900,367000.0,366667.75
20180504120000,366875.0,366420.12
20180504120100,366125.0,366296.34
20180504120200,365750.0,365553.4
20180504120300,365625.0,365181.94
20180504120400,365625.0,365058.1
20180504120500,365750.0,365058.1
