datetime,original,predicted
20180504090100,358000.0,357978.25
20180504090200,356250.0,358101.8
20180504090300,355000.0,356370.34
20180504090400,354125.0,355132.12
20180504090500,356500.0,354264.66
20180504090600,358375.0,356617.88
20180504090700,357875.0,358472.53
20180504090800,357875.0,357978.25
20180504090900,358125.0,357978.25
20180504091000,358875.0,358225.4
20180504091100,359250.0,358966.6
20180504091200,359125.0,359337.0
20180504091300,360375.00000000006,359213.53
20180504091400,360375.00000000006,360447.44
20180504091500,360125.0,360447.44
20180504091600,359500.0,360200.75
20180504091700,358750.0,359583.84
20180504091800,359000.0,358843.1
20180504091900,359875.0,359090.06
20180504092000,359875.0,359954.06
20180504092100,359375.0,359954.06
20180504092200,359625.0,359460.44
20180504092300,359250.0,359707.25
20180504092400,359250.0,359337.0
20180504092500,359750.0,359337.0
20180504092600,361125.0,359830.66
20180504092700,361750.0,361187.06
20180504092800,361000.0,361802.97
20180504092900,360500.0,361063.8
20180504093000,360000.0,360570.75
20180504093100,359500.0,360077.44
20180504093200,359750.0,359583.84
20180504093300,359750.0,359830.66
20180504093400,359625.0,359830.66
20180504093500,359625.0,359707.25
20180504093600,360750.0,359707.25
20180504093700,362125.0,360817.3
20180504093800,363000.0,362172.3
20180504093900,363374.99999999994,363033.56
20180504094000,363000.0,363402.44
20180504094100,362000.0,363033.56
20180504094200,361750.0,362049.22
20180504094300,362125.0,361802.97
20180504094400,362125.0,362172.3
20180504094500,361750.0,362172.3
20180504094600,362250.0,361802.97
20180504094700,362250.0,362295.4
20180504094800,362374.99999999994,362295.4
20180504094900,362250.0,362418.5
20180504095000,362500.0,362295.4
20180504095100,362875.0,362541.56
20180504095200,362374.99999999994,362910.6
20180504095300,362374.99999999994,362418.5
20180504095400,362374.99999999994,362418.5
20180504095500,362250.0,362418.5
20180504095600,362125.0,362295.4
20180504095700,362250.0,362172.3
20180504095800,362250.0,362295.4
20180504095900,362125.0,362295.4
20180504100000,362125.0,362172.3
20180504100100,362250.0,362172.3
20180504100200,362250.0,362295.4
20180504100300,362374.99999999994,362295.4
20180504100400,362374.99999999994,362418.5
20180504100500,362374.99999999994,362418.5
20180504100600,362250.0,362418.5
20180504100700,362125.0,362295.4
20180504100800,362250.0,362172.3
20180504100900,362125.0,362295.4
20180504101000,362125.0,362172.3
20180504101100,362250.0,362172.3
20180504101200,362374.99999999994,362295.4
20180504101300,362125.0,362418.5
20180504101400,362250.0,362172.3
20180504101500,362125.0,362295.4
20180504101600,362625.0,362172.3
20180504101700,363250.0,362664.6
20180504101800,362875.0,363279.53
20180504101900,362625.0,362910.6
20180504102000,362875.0,362664.6
20180504102100,363374.99999999994,362910.6
20180504102200,363374.99999999994,363402.44
20180504102300,363750.0,363402.44
20180504102400,363374.99999999994,363771.2
20180504102500,363750.0,363402.44
20180504102600,363625.0,363771.2
20180504102700,364000.0,363648.28
20180504102800,364374.99999999994,364016.9
20180504102900,364750.0,364385.34
20180504103000,364750.0,364753.62
20180504103100,364625.0,364753.62
20180504103200,364750.0,364630.9
20180504103300,365125.0,364753.62
20180504103400,365625.0,365121.78
20180504103500,365875.0,365612.34
20180504103600,366125.0,365857.53
20180504103700,366375.0,366102.62
20180504103800,366250.0,366347.66
20180504103900,366375.0,366225.16
20180504104000,365750.0,366347.66
20180504104100,365500.0,365734.97
20180504104200,365500.0,365489.72
20180504104300,365625.0,365489.72
20180504104400,365875.0,365612.34
20180504104500,365875.0,365857.53
20180504104600,365750.0,365857.53
20180504104700,365750.0,365734.97
20180504104800,365875.0,365734.97
20180504104900,366250.0,365857.53
20180504105000,366625.0,366225.16
20180504105100,366750.0,366592.6
20180504105200,366875.0,366715.06
20180504105300,366875.0,366837.47
20180504105400,366875.0,366837.47
20180504105500,366500.0,366837.47
20180504105600,366500.0,366470.12
20180504105700,367500.0,366470.12
20180504105800,367750.0,367449.3
20180504105900,367750.0,367693.9
20180504110000,367625.0,367693.9
20180504110100,367375.0,367571.62
20180504110200,366875.0,367326.97
20180504110300,366750.0,366837.47
20180504110400,366750.0,366715.06
20180504110500,366750.0,366715.06
20180504110600,366625.0,366715.06
20180504110700,366750.0,366592.6
