datetime,original,predicted
20180504090100,59275.0,59604.477
20180504090200,59250.0,59354.29
20180504090300,59175.0,59331.387
20180504090400,58975.0,59262.547
20180504090500,59100.0,59072.266
20180504090600,59200.0,59192.703
20180504090700,59150.0,59285.52
20180504090800,59175.0,59239.55
20180504090900,59150.0,59262.547
20180504091000,59150.0,59239.55
20180504091100,59125.0,59239.55
20180504091200,59200.0,59216.527
20180504091300,59275.0,59285.52
20180504091400,59250.0,59354.29
20180504091500,59250.0,59331.387
20180504091600,59125.0,59331.387
20180504091700,59100.0,59216.527
20180504091800,59025.0,59192.703
20180504091900,59000.0,59120.484
20180504092000,58900.0,59096.383
20180504092100,58875.0,58999.85
20180504092200,58850.0,58975.684
20180504092300,58875.0,58951.508
20180504092400,58900.0,58975.684
20180504092500,58850.0,58999.85
20180504092600,58950.0,58951.508
20180504092700,58950.0,59048.14
20180504092800,58925.0,59048.14
20180504092900,59000.0,59024.004
20180504093000,58950.0,59096.383
20180504093100,58875.0,59048.14
20180504093200,58850.0,58975.684
20180504093300,58850.0,58951.508
20180504093400,58775.0,58951.508
20180504093500,58775.0,58875.84
20180504093600,58775.0,58875.84
20180504093700,58750.0,58875.84
20180504093800,58750.0,58850.523
20180504093900,58750.0,58850.523
20180504094000,58750.0,58850.523
20180504094100,58750.0,58850.523
20180504094200,58725.0,58850.523
20180504094300,58725.0,58825.21
20180504094400,58700.0,58825.21
20180504094500,58725.0,58799.9
20180504094600,58725.0,58825.21
20180504094700,58725.0,58825.21
20180504094800,58750.0,58825.21
20180504094900,58875.0,58850.523
20180504095000,58950.0,58975.684
20180504095100,58925.0,59048.14
20180504095200,58850.0,59024.004
20180504095300,58875.0,58951.508
20180504095400,58775.0,58975.684
20180504095500,58725.0,58875.84
20180504095600,58750.0,58825.21
20180504095700,58775.0,58850.523
20180504095800,58725.0,58875.84
20180504095900,58750.0,58825.21
20180504100000,58750.0,58850.523
20180504100100,58750.0,58850.523
20180504100200,58725.0,58850.523
20180504100300,58775.0,58825.21
20180504100400,58775.0,58875.84
20180504100500,58775.0,58875.84
20180504100600,58725.0,58875.84
