datetime,original,predicted
20180504090100,237625.00000000003,237732.11
20180504090200,237625.00000000003,237381.42
20180504090300,237875.0,237381.42
20180504090400,237875.0,237615.3
20180504090500,237625.00000000003,237615.3
20180504090600,238250.0,237381.42
20180504090700,238625.0,237965.5
20180504090800,238749.99999999997,238314.94
20180504090900,238749.99999999997,238431.27
20180504091000,238375.0,238431.27
20180504091100,238250.0,238082.06
20180504091200,238749.99999999997,237965.5
20180504091300,239000.0,238431.27
20180504091400,238875.0,238663.61
20180504091500,239125.0,238547.47
20180504091600,239249.99999999997,238779.67
20180504091700,238749.99999999997,238895.64
20180504091800,238625.0,238431.27
20180504091900,238749.99999999997,238314.94
20180504092000,238625.0,238431.27
20180504092100,238625.0,238314.94
20180504092200,238625.0,238314.94
20180504092300,238749.99999999997,238314.94
20180504092400,238625.0,238431.27
20180504092500,238625.0,238314.94
20180504092600,238749.99999999997,238314.94
20180504092700,238749.99999999997,238431.27
20180504092800,238875.0,238431.27
20180504092900,238749.99999999997,238547.47
20180504093000,238749.99999999997,238431.27
20180504093100,238875.0,238431.27
20180504093200,238500.0,238547.47
20180504093300,238250.0,238198.55
20180504093400,238375.0,237965.5
20180504093500,238250.0,238082.06
20180504093600,238125.00000000003,237965.5
20180504093700,238250.0,237848.84
20180504093800,238000.0,237965.5
20180504093900,237750.0,237732.11
20180504094000,237875.0,237498.39
20180504094100,237750.0,237615.3
20180504094200,237750.0,237498.39
20180504094300,237875.0,237498.39
20180504094400,237125.00000000003,237615.3
20180504094500,236375.0,236912.66
20180504094600,236124.99999999997,236207.08
20180504094700,236124.99999999997,235971.23
20180504094800,236124.99999999997,235971.23
20180504094900,236124.99999999997,235971.23
20180504095000,236000.0,235971.23
20180504095100,235625.0,235853.2
20180504095200,235625.0,235498.6
20180504095300,235750.0,235498.6
20180504095400,235625.0,235616.88
20180504095500,235750.0,235498.6
20180504095600,235625.0,235616.88
20180504095700,235875.0,235498.6
20180504095800,235750.0,235735.08
20180504095900,235750.0,235616.88
20180504100000,235625.0,235616.88
20180504100100,235875.0,235498.6
20180504100200,236375.0,235735.08
20180504100300,236250.0,236207.08
20180504100400,236250.0,236089.19
20180504100500,236250.0,236089.19
20180504100600,236250.0,236089.19
20180504100700,236124.99999999997,236089.19
20180504100800,236124.99999999997,235971.23
20180504100900,235750.0,235971.23
20180504101000,235625.0,235616.88
20180504101100,235750.0,235498.6
20180504101200,235625.0,235616.88
20180504101300,235625.0,235498.6
20180504101400,235625.0,235498.6
20180504101500,235750.0,235498.6
20180504101600,235750.0,235616.88
20180504101700,235625.0,235616.88
20180504101800,235750.0,235498.6
20180504101900,235625.0,235616.88
20180504102000,236000.0,235498.6
20180504102100,236250.0,235853.2
20180504102200,236250.0,236089.19
20180504102300,236250.0,236089.19
20180504102400,236124.99999999997,236089.19
20180504102500,236124.99999999997,235971.23
20180504102600,236250.0,235971.23
20180504102700,236250.0,236089.19
20180504102800,236124.99999999997,236089.19
20180504102900,236124.99999999997,235971.23
20180504103000,235875.0,235971.23
20180504103100,235875.0,235735.08
20180504103200,235750.0,235735.08
20180504103300,235750.0,235616.88
20180504103400,235750.0,235616.88
20180504103500,235750.0,235616.88
20180504103600,235625.0,235616.88
20180504103700,235625.0,235498.6
20180504103800,235625.0,235498.6
20180504103900,235875.0,235498.6
20180504104000,235750.0,235735.08
20180504104100,236250.0,235616.88
20180504104200,235875.0,236089.19
20180504104300,236000.0,235735.08
20180504104400,236375.0,235853.2
20180504104500,236000.0,236207.08
20180504104600,236000.0,235853.2
20180504104700,236000.0,235853.2
20180504104800,236124.99999999997,235853.2
20180504104900,236250.0,235971.23
20180504105000,236500.0,236089.19
20180504105100,236750.0,236324.88
20180504105200,236750.0,236560.22
20180504105300,236624.99999999997,236560.22
20180504105400,236750.0,236442.6
20180504105500,236250.0,236560.22
20180504105600,236250.0,236089.19
20180504105700,236250.0,236089.19
20180504105800,236250.0,236089.19
20180504105900,236375.0,236089.19
20180504110000,236000.0,236207.08
20180504110100,236250.0,235853.2
20180504110200,236124.99999999997,236089.19
20180504110300,236250.0,235971.23
20180504110400,236250.0,236089.19
20180504110500,236250.0,236089.19
20180504110600,236124.99999999997,236089.19
20180504110700,236124.99999999997,235971.23
20180504110800,236250.0,235971.23
20180504110900,236124.99999999997,236089.19
20180504111000,235875.0,235971.23
20180504111100,235750.0,235735.08
20180504111200,235625.0,235616.88
20180504111300,235875.0,235498.6
20180504111400,236124.99999999997,235735.08
20180504111500,236124.99999999997,235971.23
20180504111600,236375.0,235971.23
20180504111700,236124.99999999997,236207.08
20180504111800,236375.0,235971.23
20180504111900,236250.0,236207.08
20180504112000,236124.99999999997,236089.19
20180504112100,236124.99999999997,235971.23
20180504112200,236124.99999999997,235971.23
20180504112300,236250.0,235971.23
20180504112400,236250.0,236089.19
20180504112500,236500.0,236089.19
20180504112600,236375.0,236324.88
20180504112700,236500.0,236207.08
20180504112800,236375.0,236324.88
20180504112900,236375.0,236207.08
20180504113000,236750.0,236207.08
20180504113100,236750.0,236560.22
20180504113200,236875.0,236560.22
20180504113300,236750.0,236677.8
20180504113400,236750.0,236560.22
20180504113500,236624.99999999997,236560.22
20180504113600,236624.99999999997,236442.6
20180504113700,236375.0,236442.6
20180504113800,236124.99999999997,236207.08
20180504113900,236250.0,235971.23
20180504114000,236124.99999999997,236089.19
20180504114100,236124.99999999997,235971.23
20180504114200,236124.99999999997,235971.23
20180504114300,236124.99999999997,235971.23
20180504114400,236375.0,235971.23
20180504114500,236250.0,236207.08
20180504114600,236250.0,236089.19
20180504114700,236250.0,236089.19
20180504114800,236124.99999999997,236089.19
20180504114900,236124.99999999997,235971.23
20180504115000,236250.0,235971.23
20180504115100,236250.0,236089.19
20180504115200,236250.0,236089.19
20180504115300,236250.0,236089.19
20180504115400,236124.99999999997,236089.19
20180504115500,236250.0,235971.23
20180504115600,236124.99999999997,236089.19
20180504115700,236000.0,235971.23
20180504115800,235750.0,235853.2
20180504115900,235625.0,235616.88
20180504120000,235875.0,235498.6
20180504120100,235625.0,235735.08
20180504120200,235625.0,235498.6
20180504120300,235625.0,235498.6
20180504120400,235875.0,235498.6
20180504120500,235625.0,235735.08
20180504120600,235625.0,235498.6
20180504120700,235750.0,235498.6
20180504120800,235750.0,235616.88
20180504120900,235750.0,235616.88
20180504121000,235750.0,235616.88
20180504121100,235625.0,235616.88
20180504121200,235750.0,235498.6
20180504121300,235625.0,235616.88
20180504121400,235750.0,235498.6
20180504121500,235750.0,235616.88
20180504121600,235625.0,235616.88
20180504121700,235625.0,235498.6
20180504121800,235625.0,235498.6
20180504121900,235625.0,235498.6
20180504122000,235625.0,235498.6
20180504122100,235875.0,235498.6
20180504122200,235375.0,235735.08
20180504122300,235500.00000000003,235261.81
20180504122400,235250.0,235380.23
20180504122500,235250.0,235143.3
20180504122600,235125.0,235143.3
20180504122700,235375.0,235024.7
20180504122800,235250.0,235261.81
20180504122900,235250.0,235143.3
20180504123000,235125.0,235143.3
20180504123100,235250.0,235024.7
20180504123200,235125.0,235143.3
20180504123300,235125.0,235024.7
20180504123400,235250.0,235024.7
20180504123500,235250.0,235143.3
20180504123600,235125.0,235143.3
20180504123700,235375.0,235024.7
20180504123800,235125.0,235261.81
20180504123900,235125.0,235024.7
20180504124000,235375.0,235024.7
20180504124100,235125.0,235261.81
20180504124200,235250.0,235024.7
20180504124300,235125.0,235143.3
20180504124400,235250.0,235024.7
20180504124500,235125.0,235143.3
20180504124600,235250.0,235024.7
20180504124700,235125.0,235143.3
20180504124800,235250.0,235024.7
20180504124900,235250.0,235143.3
20180504125000,235125.0,235143.3
20180504125100,235125.0,235024.7
20180504125200,235250.0,235024.7
20180504125300,235125.0,235143.3
20180504125400,235250.0,235024.7
20180504125500,235125.0,235143.3
20180504125600,234625.0,235024.7
20180504125700,234625.0,234549.55
20180504125800,234750.0,234549.55
20180504125900,234750.0,234668.45
20180504130000,234750.0,234668.45
20180504130100,235000.00000000003,234668.45
20180504130200,235000.00000000003,234906.03
20180504130300,235250.0,234906.03
20180504130400,235250.0,235143.3
20180504130500,235250.0,235143.3
20180504130600,235250.0,235143.3
20180504130700,235125.0,235143.3
20180504130800,235250.0,235024.7
20180504130900,235125.0,235143.3
20180504131000,235375.0,235024.7
20180504131100,235250.0,235261.81
20180504131200,235250.0,235143.3
20180504131300,235250.0,235143.3
20180504131400,235375.0,235143.3
20180504131500,235125.0,235261.81
20180504131600,235125.0,235024.7
20180504131700,235250.0,235024.7
20180504131800,235000.00000000003,235143.3
20180504131900,234625.0,234906.03
20180504132000,234875.0,234549.55
20180504132100,235125.0,234787.3
20180504132200,235250.0,235024.7
20180504132300,235375.0,235143.3
20180504132400,235125.0,235261.81
20180504132500,235250.0,235024.7
20180504132600,235250.0,235143.3
20180504132700,235125.0,235143.3
20180504132800,235500.00000000003,235024.7
20180504132900,235625.0,235380.23
20180504133000,235500.00000000003,235498.6
20180504133100,235750.0,235380.23
20180504133200,235750.0,235616.88
20180504133300,235625.0,235616.88
20180504133400,235625.0,235498.6
20180504133500,235750.0,235498.6
20180504133600,235875.0,235616.88
20180504133700,235625.0,235735.08
20180504133800,235750.0,235498.6
20180504133900,235625.0,235616.88
20180504134000,235625.0,235498.6
20180504134100,235625.0,235498.6
20180504134200,235750.0,235498.6
20180504134300,235750.0,235616.88
20180504134400,235750.0,235616.88
20180504134500,235750.0,235616.88
20180504134600,235750.0,235616.88
20180504134700,235750.0,235616.88
20180504134800,235625.0,235616.88
20180504134900,235625.0,235498.6
20180504135000,235625.0,235498.6
20180504135100,235625.0,235498.6
20180504135200,235625.0,235498.6
20180504135300,235625.0,235498.6
20180504135400,235625.0,235498.6
20180504135500,235750.0,235498.6
20180504135600,235625.0,235616.88
20180504135700,235625.0,235498.6
20180504135800,235750.0,235498.6
20180504135900,235750.0,235616.88
20180504140000,235625.0,235616.88
20180504140100,235500.00000000003,235498.6
20180504140200,235625.0,235380.23
20180504140300,235500.00000000003,235498.6
20180504140400,235500.00000000003,235380.23
20180504140500,235750.0,235380.23
20180504140600,235625.0,235616.88
20180504140700,235625.0,235498.6
20180504140800,235750.0,235498.6
20180504140900,235625.0,235616.88
20180504141000,235625.0,235498.6
20180504141100,235625.0,235498.6
20180504141200,235625.0,235498.6
20180504141300,235750.0,235498.6
20180504141400,235625.0,235616.88
20180504141500,235750.0,235498.6
20180504141600,235625.0,235616.88
20180504141700,235750.0,235498.6
20180504141800,235625.0,235616.88
20180504141900,235625.0,235498.6
20180504142000,235750.0,235498.6
20180504142100,235625.0,235616.88
20180504142200,235375.0,235498.6
20180504142300,235625.0,235261.81
20180504142400,235875.0,235498.6
20180504142500,235625.0,235735.08
20180504142600,235625.0,235498.6
20180504142700,235750.0,235498.6
20180504142800,235750.0,235616.88
20180504142900,235875.0,235616.88
20180504143000,235625.0,235735.08
20180504143100,235625.0,235498.6
20180504143200,235500.00000000003,235498.6
20180504143300,235250.0,235380.23
20180504143400,235500.00000000003,235143.3
20180504143500,235750.0,235380.23
20180504143600,235375.0,235616.88
20180504143700,235250.0,235261.81
20180504143800,235250.0,235143.3
20180504143900,235250.0,235143.3
20180504144000,235500.00000000003,235143.3
20180504144100,235625.0,235380.23
20180504144200,235625.0,235498.6
20180504144300,235750.0,235498.6
20180504144400,235375.0,235616.88
20180504144500,235125.0,235261.81
20180504144600,235125.0,235024.7
20180504144700,235125.0,235024.7
20180504144800,235125.0,235024.7
20180504144900,235125.0,235024.7
20180504145000,235125.0,235024.7
20180504145100,235125.0,235024.7
20180504145200,235125.0,235024.7
20180504145300,235125.0,235024.7
20180504145400,234875.0,235024.7
20180504145500,234750.0,234787.3
20180504145600,234625.0,234668.45
20180504145700,234750.0,234549.55
20180504145800,234750.0,234668.45
20180504145900,234750.0,234668.45
20180504150000,234750.0,234668.45
20180504150100,234750.0,234668.45
20180504150200,234750.0,234668.45
20180504150300,234875.0,234668.45
20180504150400,234750.0,234787.3
20180504150500,234750.0,234668.45
20180504150600,234875.0,234668.45
20180504150700,234875.0,234787.3
20180504150800,235375.0,234787.3
20180504150900,235000.00000000003,235261.81
20180504151000,234625.0,234906.03
20180504151100,234375.0,234549.55
20180504151200,234500.00000000003,234311.53
20180504151300,234750.0,234430.6
20180504151400,234625.0,234668.45
20180504151500,234625.0,234549.55
20180504151600,234875.0,234549.55
20180504151700,234875.0,234787.3
20180504151800,235125.0,234787.3
20180504151900,235375.0,235024.7
20180504153000,235000.00000000003,235261.81
20180504153500,235000.00000000003,234906.03
20180508090000,236624.99999999997,234906.03
20180508090100,236624.99999999997,236442.6
20180508090200,236750.0,236442.6
20180508090300,236750.0,236560.22
20180508090400,236875.0,236560.22
20180508090500,237750.0,236677.8
20180508090600,237500.0,237498.39
20180508090700,238749.99999999997,237264.36
20180508090800,239125.0,238431.27
20180508090900,239000.0,238779.67
20180508091000,238875.0,238663.61
20180508091100,239249.99999999997,238547.47
20180508091200,239125.0,238895.64
20180508091300,238875.0,238779.67
20180508091400,238749.99999999997,238547.47
20180508091500,238749.99999999997,238431.27
20180508091600,238250.0,238431.27
20180508091700,238250.0,237965.5
20180508091800,238250.0,237965.5
20180508091900,238375.0,237965.5
20180508092000,238375.0,238082.06
20180508092100,238125.00000000003,238082.06
20180508092200,238375.0,237848.84
20180508092300,238250.0,238082.06
20180508092400,238250.0,237965.5
20180508092500,238125.00000000003,237965.5
20180508092600,238250.0,237848.84
20180508092700,238375.0,237965.5
20180508092800,238250.0,238082.06
20180508092900,238250.0,237965.5
20180508093000,238250.0,237965.5
20180508093100,238250.0,237965.5
20180508093200,238375.0,237965.5
20180508093300,238125.00000000003,238082.06
20180508093400,238250.0,237848.84
20180508093500,238375.0,237965.5
20180508093600,238250.0,238082.06
20180508093700,238375.0,237965.5
20180508093800,238250.0,238082.06
20180508093900,238250.0,237965.5
20180508094000,237875.0,237965.5
20180508094100,237250.0,237615.3
20180508094200,237375.0,237029.98
20180508094300,237000.0,237147.2
20180508094400,236624.99999999997,236795.27
20180508094500,236624.99999999997,236442.6
20180508094600,236624.99999999997,236442.6
20180508094700,236624.99999999997,236442.6
20180508094800,236750.0,236442.6
20180508094900,236624.99999999997,236560.22
20180508095000,236375.0,236442.6
20180508095100,236124.99999999997,236207.08
20180508095200,236250.0,235971.23
20180508095300,236250.0,236089.19
20180508095400,236250.0,236089.19
20180508095500,236250.0,236089.19
20180508095600,236375.0,236089.19
20180508095700,236250.0,236207.08
20180508095800,236124.99999999997,236089.19
20180508095900,236250.0,235971.23
20180508100000,236250.0,236089.19
20180508100100,236250.0,236089.19
20180508100200,236250.0,236089.19
20180508100300,236250.0,236089.19
20180508100400,236250.0,236089.19
20180508100500,236124.99999999997,236089.19
20180508100600,236250.0,235971.23
20180508100700,236124.99999999997,236089.19
20180508100800,236500.0,235971.23
20180508100900,236750.0,236324.88
20180508101000,236624.99999999997,236560.22
20180508101100,236500.0,236442.6
20180508101200,236250.0,236324.88
20180508101300,236124.99999999997,236089.19
20180508101400,236124.99999999997,235971.23
20180508101500,236124.99999999997,235971.23
20180508101600,236124.99999999997,235971.23
20180508101700,236124.99999999997,235971.23
20180508101800,236250.0,235971.23
20180508101900,236250.0,236089.19
20180508102000,236124.99999999997,236089.19
20180508102100,236124.99999999997,235971.23
20180508102200,236250.0,235971.23
20180508102300,236250.0,236089.19
20180508102400,236375.0,236089.19
20180508102500,236250.0,236207.08
20180508102600,236250.0,236089.19
20180508102700,236250.0,236089.19
20180508102800,236250.0,236089.19
20180508102900,236375.0,236089.19
20180508103000,236375.0,236207.08
20180508103100,236124.99999999997,236207.08
20180508103200,236124.99999999997,235971.23
20180508103300,236124.99999999997,235971.23
20180508103400,236624.99999999997,235971.23
20180508103500,236624.99999999997,236442.6
20180508103600,236750.0,236442.6
20180508103700,236375.0,236560.22
20180508103800,236124.99999999997,236207.08
20180508103900,236250.0,235971.23
20180508104000,236000.0,236089.19
20180508104100,236124.99999999997,235853.2
20180508104200,236250.0,235971.23
20180508104300,236124.99999999997,236089.19
20180508104400,235750.0,235971.23
20180508104500,235750.0,235616.88
20180508104600,236250.0,235616.88
20180508104700,236250.0,236089.19
20180508104800,236124.99999999997,236089.19
20180508104900,236250.0,235971.23
20180508105000,236250.0,236089.19
20180508105100,236124.99999999997,236089.19
20180508105200,236250.0,235971.23
20180508105300,236375.0,236089.19
20180508105400,236124.99999999997,236207.08
20180508105500,236124.99999999997,235971.23
20180508105600,236000.0,235971.23
20180508105700,236124.99999999997,235853.2
20180508105800,236124.99999999997,235971.23
20180508105900,236124.99999999997,235971.23
20180508110000,236000.0,235971.23
20180508110100,236250.0,235853.2
20180508110200,236124.99999999997,236089.19
20180508110300,236250.0,235971.23
20180508110400,235875.0,236089.19
20180508110500,235625.0,235735.08
20180508110600,235625.0,235498.6
20180508110700,235625.0,235498.6
20180508110800,235625.0,235498.6
20180508110900,235625.0,235498.6
20180508111000,235750.0,235498.6
20180508111100,235625.0,235616.88
20180508111200,235750.0,235498.6
