datetime,original,predicted
20180504090100,1340500.0,1345187.4
20180504090200,1344500.0,1342426.4
20180504090300,1345750.0,1346441.0
20180504090400,1346000.0,1347693.8
20180504090500,1351000.0,1347944.1
20180504090600,1355750.0,1352945.1
20180504090700,1356500.0,1357682.2
20180504090800,1355000.0,1358428.9
20180504090900,1350750.0,1356935.2
20180504091000,1349000.0,1352695.5
20180504091100,1344000.0,1350946.5
20180504091200,1341250.0,1345939.6
20180504091300,1343000.0,1343179.9
20180504091400,1345750.0,1344936.6
20180504091500,1343750.0,1347693.8
20180504091600,1340500.0,1345689.0
20180504091700,1337000.0,1342426.4
20180504091800,1335000.0,1338906.5
20180504091900,1329500.0,1336892.2
20180504092000,1327750.0,1331342.8
20180504092100,1326500.0,1329573.8
20180504092200,1326500.0,1328309.5
20180504092300,1327250.0,1328309.5
20180504092400,1326500.0,1329068.1
20180504092500,1323000.0,1328309.5
20180504092600,1325000.0,1324765.5
20180504092700,1328250.0,1326791.4
20180504092800,1328000.0,1330079.4
20180504092900,1328250.0,1329826.6
20180504093000,1322500.0,1330079.4
20180504093100,1319500.0,1324258.9
20180504093200,1321000.0,1321216.2
20180504093300,1320750.0,1322737.9
20180504093400,1321500.0,1322484.4
20180504093500,1322000.0,1323245.0
20180504093600,1320750.0,1323752.0
20180504093700,1320500.0,1322484.4
20180504093800,1319500.0,1322230.9
20180504093900,1318000.0,1321216.2
20180504094000,1315000.0,1319693.5
20180504094100,1313500.0,1316645.4
20180504094200,1312000.0,1315119.9
20180504094300,1309750.0,1313593.6
20180504094400,1309250.0,1311302.6
20180504094500,1308500.0,1310793.2
20180504094600,1308750.0,1310029.1
20180504094700,1309750.0,1310283.9
20180504094800,1310000.0,1311302.6
20180504094900,1309250.0,1311557.2
20180504095000,1309500.0,1310793.2
20180504095100,1309250.0,1311048.0
20180504095200,1308750.0,1310793.2
20180504095300,1308000.0,1310283.9
20180504095400,1307500.0,1309519.6
20180504095500,1307250.0,1309009.9
20180504095600,1307500.0,1308755.1
20180504095700,1307500.0,1309009.9
20180504095800,1307000.0,1309009.9
20180504095900,1307500.0,1308500.1
20180504100000,1306500.0,1309009.9
20180504100100,1306500.0,1307990.2
20180504100200,1306750.0,1307990.2
20180504100300,1308500.0,1308245.2
20180504100400,1309500.0,1310029.1
20180504100500,1309250.0,1311048.0
20180504100600,1309250.0,1310793.2
20180504100700,1308250.0,1310793.2
20180504100800,1308500.0,1309774.2
20180504100900,1307750.0,1310029.1
20180504101000,1308500.0,1309264.8
20180504101100,1309000.0,1310029.1
20180504101200,1308750.0,1310538.6
20180504101300,1308000.0,1310283.9
20180504101400,1308250.0,1309519.6
20180504101500,1308500.0,1309774.2
20180504101600,1310750.0,1310029.1
20180504101700,1312000.0,1312321.1
20180504101800,1312250.0,1313593.6
20180504101900,1313000.0,1313848.0
20180504102000,1314000.0,1314611.2
20180504102100,1316500.0,1315628.4
20180504102200,1320000.0,1318169.8
20180504102300,1323250.0,1321723.5
20180504102400,1321500.0,1325018.9
20180504102500,1320750.0,1323245.0
20180504102600,1320750.0,1322484.4
20180504102700,1320750.0,1322484.4
20180504102800,1321000.0,1322484.4
20180504102900,1320750.0,1322737.9
20180504103000,1320500.0,1322484.4
20180504103100,1320500.0,1322230.9
20180504103200,1321250.0,1322230.9
20180504103300,1322500.0,1322991.5
20180504103400,1323500.0,1324258.9
20180504103500,1324000.0,1325272.1
20180504103600,1322000.0,1325778.8
20180504103700,1321750.0,1323752.0
20180504103800,1322750.0,1323498.5
20180504103900,1325250.0,1324512.1
20180504104000,1324750.0,1327044.5
20180504104100,1326000.0,1326538.1
20180504104200,1327250.0,1327803.5
20180504104300,1327500.0,1329068.1
20180504104400,1329250.0,1329321.0
20180504104500,1330250.0,1331090.1
20180504104600,1330500.0,1332100.4
20180504104700,1332500.0,1332352.9
20180504104800,1333000.0,1334371.6
20180504104900,1332750.0,1334875.9
20180504105000,1333250.0,1334623.8
20180504105100,1334250.0,1335128.1
20180504105200,1333250.0,1336136.4
20180504105300,1333500.0,1335128.1
20180504105400,1333500.0,1335380.2
20180504105500,1330750.0,1335380.2
20180504105600,1329250.0,1332605.2
20180504105700,1329750.0,1331090.1
20180504105800,1329750.0,1331595.2
20180504105900,1328750.0,1331595.2
20180504110000,1328500.0,1330584.9
20180504110100,1328250.0,1330332.1
20180504110200,1328500.0,1330079.4
20180504110300,1328250.0,1330332.1
20180504110400,1328250.0,1330079.4
20180504110500,1328250.0,1330079.4
20180504110600,1327500.0,1330079.4
20180504110700,1327250.0,1329321.0
20180504110800,1325750.0,1329068.1
20180504110900,1322750.0,1327550.5
20180504111000,1322250.0,1324512.1
20180504111100,1322500.0,1324005.4
20180504111200,1321750.0,1324258.9
20180504111300,1321500.0,1323498.5
20180504111400,1321750.0,1323245.0
20180504111500,1321250.0,1323498.5
20180504111600,1321250.0,1322991.5
20180504111700,1320250.0,1322991.5
20180504111800,1322000.0,1321977.1
20180504111900,1322500.0,1323752.0
20180504112000,1321750.0,1324258.9
20180504112100,1321750.0,1323498.5
20180504112200,1322750.0,1323498.5
20180504112300,1322750.0,1324512.1
20180504112400,1321750.0,1324512.1
20180504112500,1320250.0,1323498.5
20180504112600,1321000.0,1321977.1
20180504112700,1320000.0,1322737.9
20180504112800,1319500.0,1321723.5
20180504112900,1319500.0,1321216.2
20180504113000,1318250.0,1321216.2
20180504113100,1317000.0,1319947.4
20180504113200,1315250.0,1318677.8
20180504113300,1313250.0,1316899.5
20180504113400,1313750.0,1314865.6
20180504113500,1315250.0,1315374.1
20180504113600,1315000.0,1316899.5
20180504113700,1316250.0,1316645.4
20180504113800,1316500.0,1317915.8
20180504113900,1316500.0,1318169.8
20180504114000,1316500.0,1318169.8
20180504114100,1316250.0,1318169.8
20180504114200,1316250.0,1317915.8
20180504114300,1316250.0,1317915.8
20180504114400,1316750.0,1317915.8
20180504114500,1316250.0,1318423.8
20180504114600,1316000.0,1317915.8
20180504114700,1316500.0,1317661.8
20180504114800,1315750.0,1318169.8
20180504114900,1315750.0,1317407.8
20180504115000,1318250.0,1317407.8
20180504115100,1319250.0,1319947.4
20180504115200,1319000.0,1320962.5
20180504115300,1318500.0,1320708.6
20180504115400,1318500.0,1320201.1
20180504115500,1318250.0,1320201.1
20180504115600,1318500.0,1319947.4
20180504115700,1319000.0,1320201.1
20180504115800,1319500.0,1320708.6
20180504115900,1319500.0,1321216.2
20180504120000,1319500.0,1321216.2
20180504120100,1319250.0,1321216.2
20180504120200,1319500.0,1320962.5
