datetime,original,predicted
20180504090100,182500.0,183993.31
20180504090200,182000.0,183445.31
20180504090300,182500.0,183008.88
20180504090400,182250.0,183445.31
20180504090500,181749.99999999997,183226.88
20180504090600,181375.0,182791.33
20180504090700,181500.00000000003,182465.78
20180504090800,181749.99999999997,182574.17
20180504090900,182125.0,182791.33
20180504091000,182000.0,183117.83
20180504091100,182125.0,183008.88
20180504091200,181375.0,183117.83
20180504091300,181500.00000000003,182465.78
20180504091400,181749.99999999997,182574.17
20180504091500,181500.00000000003,182791.33
20180504091600,181500.00000000003,182574.17
20180504091700,181375.0,182574.17
20180504091800,181250.0,182465.78
20180504091900,181125.0,182357.5
20180504092000,180875.0,182249.31
20180504092100,181000.0,182033.28
20180504092200,181375.0,182141.23
20180504092300,181250.0,182465.78
20180504092400,181375.0,182357.5
20180504092500,181375.0,182465.78
20180504092600,181500.00000000003,182465.78
20180504092700,181749.99999999997,182574.17
20180504092800,181875.0,182791.33
20180504092900,181749.99999999997,182900.05
20180504093000,181375.0,182791.33
20180504093100,181375.0,182465.78
20180504093200,181375.0,182465.78
20180504093300,181375.0,182465.78
20180504093400,181375.0,182465.78
20180504093500,181375.0,182465.78
20180504093600,181375.0,182465.78
20180504093700,181125.0,182465.78
20180504093800,181250.0,182249.31
20180504093900,181375.0,182357.5
20180504094000,181375.0,182465.78
20180504094100,181375.0,182465.78
20180504094200,181375.0,182465.78
20180504094300,181375.0,182465.78
20180504094400,181125.0,182465.78
20180504094500,180875.0,182249.31
20180504094600,180625.0,182033.28
20180504094700,180250.0,181817.7
20180504094800,180250.0,181495.14
20180504094900,180250.0,181495.14
20180504095000,180250.0,181495.14
20180504095100,180125.00000000003,181495.14
20180504095200,180125.00000000003,181387.84
20180504095300,180374.99999999997,181387.84
20180504095400,180250.0,181602.53
20180504095500,180374.99999999997,181495.14
20180504095600,180250.0,181602.53
20180504095700,180750.0,181495.14
20180504095800,181000.0,181925.42
20180504095900,181250.0,182141.23
20180504100000,181125.0,182357.5
20180504100100,181000.0,182249.31
20180504100200,180750.0,182141.23
20180504100300,180750.0,181925.42
20180504100400,180875.0,181925.42
20180504100500,181125.0,182033.28
20180504100600,181125.0,182249.31
20180504100700,181125.0,182249.31
20180504100800,181375.0,182249.31
20180504100900,181250.0,182465.78
20180504101000,181250.0,182357.5
20180504101100,181250.0,182357.5
20180504101200,181125.0,182357.5
20180504101300,181250.0,182249.31
20180504101400,181125.0,182357.5
20180504101500,181125.0,182249.31
20180504101600,181125.0,182249.31
20180504101700,181375.0,182249.31
20180504101800,181125.0,182465.78
20180504101900,181125.0,182249.31
20180504102000,181375.0,182249.31
20180504102100,181250.0,182465.78
20180504102200,181250.0,182357.5
20180504102300,181375.0,182357.5
20180504102400,181625.0,182465.78
20180504102500,181749.99999999997,182682.69
20180504102600,181625.0,182791.33
20180504102700,181625.0,182682.69
20180504102800,181875.0,182682.69
20180504102900,181749.99999999997,182900.05
20180504103000,181749.99999999997,182791.33
20180504103100,181749.99999999997,182791.33
20180504103200,181749.99999999997,182791.33
20180504103300,181625.0,182791.33
20180504103400,181749.99999999997,182682.69
20180504103500,181749.99999999997,182791.33
20180504103600,181749.99999999997,182791.33
20180504103700,181749.99999999997,182791.33
20180504103800,181749.99999999997,182791.33
20180504103900,181875.0,182791.33
20180504104000,181875.0,182900.05
20180504104100,181749.99999999997,182900.05
20180504104200,181749.99999999997,182791.33
20180504104300,181625.0,182791.33
20180504104400,181749.99999999997,182682.69
20180504104500,181749.99999999997,182791.33
20180504104600,181625.0,182791.33
20180504104700,181625.0,182682.69
20180504104800,181625.0,182682.69
20180504104900,181749.99999999997,182682.69
20180504105000,181749.99999999997,182791.33
20180504105100,181875.0,182791.33
20180504105200,181749.99999999997,182900.05
20180504105300,181375.0,182791.33
20180504105400,181250.0,182465.78
20180504105500,181250.0,182357.5
20180504105600,181250.0,182357.5
20180504105700,181125.0,182357.5
20180504105800,180875.0,182249.31
20180504105900,180750.0,182033.28
20180504110000,180750.0,181925.42
20180504110100,180750.0,181925.42
20180504110200,180750.0,181925.42
20180504110300,180750.0,181925.42
20180504110400,180750.0,181925.42
20180504110500,180750.0,181925.42
20180504110600,180750.0,181925.42
20180504110700,180750.0,181925.42
20180504110800,180750.0,181925.42
20180504110900,180750.0,181925.42
20180504111000,180750.0,181925.42
20180504111100,180750.0,181925.42
20180504111200,180625.0,181925.42
20180504111300,180625.0,181817.7
20180504111400,180625.0,181817.7
20180504111500,180625.0,181817.7
20180504111600,180750.0,181817.7
20180504111700,180750.0,181925.42
20180504111800,180875.0,181925.42
20180504111900,180625.0,182033.28
20180504112000,180750.0,181817.7
20180504112100,180625.0,181925.42
20180504112200,180750.0,181817.7
20180504112300,180625.0,181925.42
20180504112400,180875.0,181817.7
20180504112500,180875.0,182033.28
20180504112600,180750.0,182033.28
20180504112700,180625.0,181925.42
20180504112800,180625.0,181817.7
20180504112900,180750.0,181817.7
20180504113000,180625.0,181925.42
20180504113100,180750.0,181817.7
20180504113200,180750.0,181925.42
20180504113300,180750.0,181925.42
20180504113400,180625.0,181925.42
20180504113500,180625.0,181817.7
20180504113600,180750.0,181817.7
20180504113700,180750.0,181925.42
20180504113800,180750.0,181925.42
20180504113900,180625.0,181925.42
20180504114000,180750.0,181817.7
20180504114100,180750.0,181925.42
20180504114200,180875.0,181925.42
20180504114300,181375.0,182033.28
20180504114400,181375.0,182465.78
20180504114500,181250.0,182465.78
20180504114600,181500.00000000003,182357.5
20180504114700,181749.99999999997,182574.17
20180504114800,181749.99999999997,182791.33
20180504114900,181749.99999999997,182791.33
20180504115000,181875.0,182791.33
20180504115100,181749.99999999997,182900.05
20180504115200,181625.0,182791.33
20180504115300,181625.0,182682.69
20180504115400,181749.99999999997,182682.69
20180504115500,181625.0,182791.33
20180504115600,181875.0,182682.69
20180504115700,181749.99999999997,182900.05
20180504115800,181749.99999999997,182791.33
20180504115900,182125.0,182791.33
20180504120000,182375.0,183117.83
20180504120100,182250.0,183336.05
20180504120200,182250.0,183226.88
20180504120300,182250.0,183226.88
20180504120400,182250.0,183226.88
20180504120500,182250.0,183226.88
20180504120600,182375.0,183226.88
20180504120700,181875.0,183336.05
20180504120800,181625.0,182900.05
20180504120900,181749.99999999997,182682.69
20180504121000,181625.0,182791.33
20180504121100,181749.99999999997,182682.69
20180504121200,181749.99999999997,182791.33
20180504121300,181875.0,182791.33
20180504121400,181875.0,182900.05
20180504121500,181749.99999999997,182900.05
20180504121600,181625.0,182791.33
20180504121700,181875.0,182682.69
20180504121800,181749.99999999997,182900.05
20180504121900,181749.99999999997,182791.33
20180504122000,181749.99999999997,182791.33
20180504122100,181749.99999999997,182791.33
20180504122200,181749.99999999997,182791.33
20180504122300,181625.0,182791.33
20180504122400,181749.99999999997,182682.69
20180504122500,181875.0,182791.33
20180504122600,181749.99999999997,182900.05
20180504122700,181749.99999999997,182791.33
20180504122800,181875.0,182791.33
20180504122900,181625.0,182900.05
20180504123000,181625.0,182682.69
20180504123100,181625.0,182682.69
20180504123200,181749.99999999997,182682.69
20180504123300,181625.0,182791.33
20180504123400,181749.99999999997,182682.69
20180504123500,181749.99999999997,182791.33
20180504123600,181875.0,182791.33
20180504123700,181625.0,182900.05
20180504123800,181749.99999999997,182682.69
20180504123900,181749.99999999997,182791.33
20180504124000,181875.0,182791.33
20180504124100,181749.99999999997,182900.05
20180504124200,181875.0,182791.33
20180504124300,181875.0,182900.05
20180504124400,181875.0,182900.05
20180504124500,181749.99999999997,182900.05
20180504124600,181749.99999999997,182791.33
20180504124700,182125.0,182791.33
20180504124800,182375.0,183117.83
20180504124900,182125.0,183336.05
