datetime,original,predicted
20180504090100,53450.0,53185.016
20180504090200,53150.0,53250.492
20180504090300,53225.0,52987.387
20180504090400,53125.0,53053.457
20180504090500,52550.0,52965.316
20180504090600,52200.0,52451.855
20180504090700,52550.0,52133.906
20180504090800,52575.0,52451.855
20180504090900,52600.0,52474.414
20180504091000,52550.0,52496.95
20180504091100,52500.0,52451.855
20180504091200,52350.0,52406.684
20180504091300,52200.0,52270.664
20180504091400,52300.0,52133.906
20180504091500,52600.0,52225.16
20180504091600,52875.0,52496.95
20180504091700,52825.0,52743.453
20180504091800,52850.0,52698.824
20180504091900,53050.0,52721.152
20180504092000,53150.0,52898.984
20180504092100,53225.0,52987.387
20180504092200,53200.0,53053.457
20180504092300,53100.0,53031.453
20180504092400,53025.0,52943.227
20180504092500,52900.0,52876.83
20180504092600,52800.0,52765.74
20180504092700,52825.0,52676.48
20180504092800,52925.0,52698.824
20180504092900,52975.0,52787.996
20180504093000,52975.0,52832.453
20180504093100,52950.0,52832.453
20180504093200,52975.0,52810.24
20180504093300,52975.0,52832.453
20180504093400,52925.0,52832.453
20180504093500,52800.0,52787.996
20180504093600,52800.0,52676.48
20180504093700,52775.0,52676.48
20180504093800,52725.0,52654.11
20180504093900,52625.0,52609.312
20180504094000,52600.0,52519.465
20180504094100,52450.0,52496.95
20180504094200,52350.0,52361.426
20180504094300,52500.0,52270.664
20180504094400,52650.0,52406.684
20180504094500,52650.0,52541.957
20180504094600,52600.0,52541.957
20180504094700,52575.0,52496.95
20180504094800,52575.0,52474.414
20180504094900,52575.0,52474.414
20180504095000,52675.0,52474.414
20180504095100,52675.0,52564.43
20180504095200,52775.0,52564.43
20180504095300,52800.0,52654.11
20180504095400,52800.0,52676.48
20180504095500,52800.0,52676.48
20180504095600,52775.0,52676.48
20180504095700,52700.0,52654.11
20180504095800,52675.0,52586.883
20180504095900,52625.0,52564.43
20180504100000,52575.0,52519.465
20180504100100,52525.0,52474.414
20180504100200,52475.0,52429.28
20180504100300,52450.0,52384.066
20180504100400,52400.0,52361.426
20180504100500,52375.0,52316.082
20180504100600,52425.0,52293.383
20180504100700,52500.0,52338.766
20180504100800,52575.0,52406.684
20180504100900,52550.0,52474.414
20180504101000,52625.0,52451.855
20180504101100,52650.0,52519.465
20180504101200,52675.0,52541.957
20180504101300,52625.0,52564.43
20180504101400,52575.0,52519.465
20180504101500,52600.0,52474.414
20180504101600,52600.0,52496.95
20180504101700,52600.0,52496.95
20180504101800,52525.0,52496.95
20180504101900,52475.0,52429.28
20180504102000,52500.0,52384.066
20180504102100,52500.0,52406.684
20180504102200,52475.0,52406.684
20180504102300,52475.0,52384.066
20180504102400,52450.0,52384.066
20180504102500,52475.0,52361.426
20180504102600,52400.0,52384.066
20180504102700,52375.0,52316.082
20180504102800,52375.0,52293.383
20180504102900,52425.0,52293.383
20180504103000,52450.0,52338.766
20180504103100,52425.0,52361.426
20180504103200,52350.0,52338.766
20180504103300,52350.0,52270.664
