datetime,original,predicted
20180504090100,33412.5,33591.31
20180504090200,33362.5,33431.793
20180504090300,33412.5,33382.51
20180504090400,33362.5,33431.793
20180504090500,33500.0,33382.51
20180504090600,33612.5,33517.81
20180504090700,33637.5,33627.977
20180504090800,33600.0,33652.395
20180504090900,33550.0,33615.76
20180504091000,33587.5,33566.832
20180504091100,33625.0,33603.54
20180504091200,33625.0,33640.188
20180504091300,33675.0,33640.188
20180504091400,33737.5,33688.97
20180504091500,33737.5,33749.8
20180504091600,33625.0,33749.8
20180504091700,33512.5,33640.188
20180504091800,33550.0,33530.074
20180504091900,33637.5,33566.832
20180504092000,33575.0,33652.395
20180504092100,33550.0,33591.31
20180504092200,33575.0,33566.832
20180504092300,33575.0,33591.31
20180504092400,33550.0,33591.31
20180504092500,33512.5,33566.832
20180504092600,33462.5,33530.074
20180504092700,33412.5,33480.98
20180504092800,33375.0,33431.793
20180504092900,33425.0,33394.84
20180504093000,33412.5,33444.098
20180504093100,33437.5,33431.793
20180504093200,33487.5,33456.4
20180504093300,33512.5,33505.54
20180504093400,33562.5,33530.074
20180504093500,33575.0,33579.074
20180504093600,33562.5,33591.31
20180504093700,33550.0,33579.074
20180504093800,33625.0,33566.832
20180504093900,33625.0,33640.188
20180504094000,33637.5,33640.188
20180504094100,33662.5,33652.395
20180504094200,33637.5,33676.78
20180504094300,33637.5,33652.395
20180504094400,33625.0,33652.395
20180504094500,33575.0,33640.188
20180504094600,33475.0,33591.31
20180504094700,33475.0,33493.26
20180504094800,33487.5,33493.26
20180504094900,33512.5,33505.54
20180504095000,33512.5,33530.074
20180504095100,33525.0,33530.074
20180504095200,33525.0,33542.336
20180504095300,33550.0,33542.336
20180504095400,33487.5,33566.832
20180504095500,33412.5,33505.54
20180504095600,33437.5,33431.793
20180504095700,33475.0,33456.4
20180504095800,33487.5,33493.26
20180504095900,33475.0,33505.54
20180504100000,33462.5,33493.26
20180504100100,33475.0,33480.98
20180504100200,33487.5,33493.26
20180504100300,33462.5,33505.54
20180504100400,33475.0,33480.98
20180504100500,33487.5,33493.26
20180504100600,33462.5,33505.54
20180504100700,33487.5,33480.98
20180504100800,33475.0,33505.54
20180504100900,33475.0,33493.26
20180504101000,33475.0,33493.26
