datetime,original,predicted
20180504090100,80325.0,80397.17
20180504090200,80250.0,80173.88
20180504090300,79999.99999999999,80106.57
20180504090400,79950.0,79881.13
20180504090500,80100.00000000001,79835.85
20180504090600,80400.0,79971.51
20180504090700,80375.0,80241.05
20180504090800,80300.0,80218.67
20180504090900,80225.0,80151.46
20180504091000,80300.0,80084.1
20180504091100,80250.0,80151.46
20180504091200,80175.0,80106.57
20180504091300,80150.0,80039.11
20180504091400,80100.00000000001,80016.586
20180504091500,80075.0,79971.51
20180504091600,80050.00000000001,79948.94
20180504091700,80025.0,79926.35
20180504091800,80075.0,79903.75
20180504091900,80075.0,79948.94
20180504092000,80025.0,79948.94
20180504092100,79950.0,79903.75
20180504092200,79975.0,79835.85
20180504092300,79950.0,79858.49
20180504092400,79975.0,79835.85
20180504092500,79975.0,79858.49
20180504092600,79850.0,79858.49
20180504092700,79825.0,79745.09
20180504092800,79850.0,79722.36
20180504092900,79800.0,79745.09
20180504093000,79750.0,79699.62
20180504093100,79700.0,79654.08
20180504093200,79750.0,79608.47
20180504093300,79775.0,79654.08
20180504093400,79775.0,79676.86
20180504093500,79775.0,79676.86
20180504093600,79725.0,79676.86
20180504093700,79725.0,79631.28
20180504093800,79750.0,79631.28
20180504093900,79700.0,79654.08
20180504094000,79650.0,79608.47
20180504094100,79625.0,79562.805
20180504094200,79650.0,79539.945
20180504094300,79675.0,79562.805
20180504094400,79625.0,79585.65
20180504094500,79625.0,79539.945
20180504094600,79700.0,79539.945
20180504094700,79650.0,79608.47
20180504094800,79650.0,79562.805
20180504094900,79725.0,79562.805
20180504095000,79700.0,79631.28
20180504095100,79625.0,79608.47
20180504095200,79625.0,79539.945
20180504095300,79625.0,79539.945
20180504095400,79550.0,79539.945
20180504095500,79525.0,79471.28
20180504095600,79575.0,79448.36
20180504095700,79575.0,79494.19
20180504095800,79700.0,79494.19
20180504095900,79625.0,79608.47
20180504100000,79525.0,79539.945
20180504100100,79550.0,79448.36
20180504100200,79575.0,79471.28
20180504100300,79575.0,79494.19
20180504100400,79600.0,79494.19
20180504100500,79525.0,79517.07
20180504100600,79525.0,79448.36
20180504100700,79525.0,79448.36
20180504100800,79550.0,79448.36
