datetime,original,predicted
20180504090100,45462.5,45466.477
20180504090200,45387.5,45466.477
20180504090300,45400.0,45394.074
20180504090400,45387.5,45406.156
20180504090500,45437.5,45394.074
20180504090600,45512.5,45442.363
20180504090700,45562.5,45514.633
20180504090800,45587.5,45562.71
20180504090900,45600.0,45586.71
20180504091000,45575.0,45598.707
20180504091100,45600.0,45574.715
20180504091200,45675.0,45598.707
20180504091300,45762.5,45670.56
20180504091400,45725.0,45754.13
20180504091500,45675.0,45718.348
20180504091600,45612.5,45670.56
20180504091700,45562.5,45610.695
20180504091800,45587.5,45562.71
20180504091900,45550.0,45586.71
20180504092000,45487.5,45550.7
20180504092100,45475.0,45490.566
20180504092200,45475.0,45478.523
20180504092300,45462.5,45478.523
20180504092400,45437.5,45466.477
20180504092500,45462.5,45442.363
20180504092600,45475.0,45466.477
20180504092700,45512.5,45478.523
20180504092800,45562.5,45514.633
20180504092900,45562.5,45562.71
20180504093000,45550.0,45562.71
20180504093100,45537.5,45550.7
20180504093200,45537.5,45538.684
20180504093300,45550.0,45538.684
20180504093400,45525.0,45550.7
20180504093500,45537.5,45526.66
20180504093600,45537.5,45538.684
20180504093700,45537.5,45538.684
20180504093800,45525.0,45538.684
20180504093900,45537.5,45526.66
20180504094000,45562.5,45538.684
20180504094100,45562.5,45562.71
20180504094200,45525.0,45562.71
20180504094300,45525.0,45526.66
20180504094400,45525.0,45526.66
20180504094500,45525.0,45526.66
20180504094600,45537.5,45526.66
20180504094700,45525.0,45538.684
20180504094800,45612.5,45526.66
20180504094900,45700.0,45610.695
20180504095000,45675.0,45694.465
20180504095100,45712.5,45670.56
20180504095200,45700.0,45706.41
20180504095300,45687.5,45694.465
20180504095400,45637.5,45682.516
20180504095500,45587.5,45634.656
20180504095600,45562.5,45586.71
20180504095700,45562.5,45562.71
20180504095800,45587.5,45562.71
20180504095900,45562.5,45586.71
20180504100000,45587.5,45562.71
20180504100100,45575.0,45586.71
20180504100200,45587.5,45574.715
20180504100300,45600.0,45586.71
20180504100400,45612.5,45598.707
20180504100500,45637.5,45610.695
20180504100600,45650.0,45634.656
20180504100700,45700.0,45646.63
20180504100800,45737.5,45694.465
20180504100900,45762.5,45730.28
20180504101000,45762.5,45754.13
20180504101100,45787.5,45754.13
20180504101200,45787.5,45777.96
20180504101300,45787.5,45777.96
20180504101400,45775.0,45777.96
20180504101500,45875.0,45766.05
20180504101600,45937.5,45861.176
20180504101700,45900.0,45920.44
20180504101800,45837.5,45884.9
20180504101900,45800.0,45825.547
20180504102000,45775.0,45789.863
20180504102100,45775.0,45766.05
20180504102200,45800.0,45766.05
20180504102300,45825.0,45789.863
20180504102400,45825.0,45813.656
20180504102500,45800.0,45813.656
20180504102600,45775.0,45789.863
20180504102700,45762.5,45766.05
20180504102800,45775.0,45754.13
20180504102900,45750.0,45766.05
20180504103000,45737.5,45742.21
20180504103100,45712.5,45730.28
20180504103200,45675.0,45706.41
20180504103300,45650.0,45670.56
20180504103400,45637.5,45646.63
20180504103500,45600.0,45634.656
20180504103600,45562.5,45598.707
20180504103700,45550.0,45562.71
20180504103800,45650.0,45550.7
20180504103900,45712.5,45646.63
20180504104000,45712.5,45706.41
20180504104100,45700.0,45706.41
20180504104200,45650.0,45694.465
20180504104300,45675.0,45646.63
20180504104400,45675.0,45670.56
20180504104500,45712.5,45670.56
20180504104600,45750.0,45706.41
20180504104700,45725.0,45742.21
20180504104800,45725.0,45718.348
20180504104900,45737.5,45718.348
20180504105000,45762.5,45730.28
20180504105100,45787.5,45754.13
20180504105200,45775.0,45777.96
20180504105300,45787.5,45766.05
20180504105400,45750.0,45777.96
20180504105500,45712.5,45742.21
20180504105600,45650.0,45706.41
20180504105700,45650.0,45646.63
20180504105800,45662.5,45646.63
20180504105900,45675.0,45658.598
20180504110000,45662.5,45670.56
20180504110100,45675.0,45658.598
20180504110200,45675.0,45670.56
20180504110300,45675.0,45670.56
20180504110400,45675.0,45670.56
20180504110500,45637.5,45670.56
20180504110600,45625.0,45634.656
20180504110700,45687.5,45622.68
20180504110800,45700.0,45682.516
20180504110900,45687.5,45694.465
20180504111000,45687.5,45682.516
20180504111100,45700.0,45682.516
20180504111200,45725.0,45694.465
20180504111300,45750.0,45718.348
20180504111400,45787.5,45742.21
20180504111500,45762.5,45777.96
20180504111600,45787.5,45754.13
20180504111700,45762.5,45777.96
20180504111800,45787.5,45754.13
20180504111900,45775.0,45777.96
20180504112000,45712.5,45766.05
20180504112100,45687.5,45706.41
20180504112200,45737.5,45682.516
20180504112300,45737.5,45730.28
20180504112400,45725.0,45730.28
20180504112500,45725.0,45718.348
20180504112600,45725.0,45718.348
20180504112700,45637.5,45718.348
20180504112800,45612.5,45634.656
20180504112900,45625.0,45610.695
20180504113000,45625.0,45622.68
20180504113100,45625.0,45622.68
20180504113200,45637.5,45622.68
20180504113300,45612.5,45634.656
20180504113400,45637.5,45610.695
20180504113500,45662.5,45634.656
20180504113600,45725.0,45658.598
20180504113700,45762.5,45718.348
20180504113800,45775.0,45754.13
20180504113900,45762.5,45766.05
20180504114000,45762.5,45754.13
20180504114100,45775.0,45754.13
20180504114200,45775.0,45766.05
20180504114300,45750.0,45766.05
20180504114400,45737.5,45742.21
20180504114500,45737.5,45730.28
20180504114600,45712.5,45730.28
20180504114700,45762.5,45706.41
20180504114800,45812.5,45754.13
20180504114900,45812.5,45801.766
20180504115000,45812.5,45801.766
20180504115100,45837.5,45801.766
20180504115200,45812.5,45825.547
20180504115300,45825.0,45801.766
20180504115400,45812.5,45813.656
20180504115500,45800.0,45801.766
20180504115600,45825.0,45789.863
20180504115700,45800.0,45813.656
20180504115800,45762.5,45789.863
20180504115900,45762.5,45754.13
20180504120000,45750.0,45754.13
20180504120100,45712.5,45742.21
20180504120200,45725.0,45706.41
20180504120300,45725.0,45718.348
20180504120400,45737.5,45718.348
20180504120500,45750.0,45730.28
20180504120600,45775.0,45742.21
20180504120700,45762.5,45766.05
20180504120800,45775.0,45754.13
20180504120900,45775.0,45766.05
20180504121000,45787.5,45766.05
20180504121100,45775.0,45777.96
20180504121200,45775.0,45766.05
20180504121300,45787.5,45766.05
20180504121400,45812.5,45777.96
20180504121500,45800.0,45801.766
20180504121600,45775.0,45789.863
20180504121700,45775.0,45766.05
20180504121800,45787.5,45766.05
20180504121900,45775.0,45777.96
20180504122000,45787.5,45766.05
20180504122100,45787.5,45777.96
20180504122200,45762.5,45777.96
20180504122300,45762.5,45754.13
20180504122400,45787.5,45754.13
20180504122500,45787.5,45777.96
20180504122600,45787.5,45777.96
20180504122700,45762.5,45777.96
20180504122800,45775.0,45754.13
20180504122900,45762.5,45766.05
20180504123000,45825.0,45754.13
20180504123100,45850.0,45813.656
20180504123200,45875.0,45837.426
20180504123300,45875.0,45861.176
20180504123400,45875.0,45861.176
20180504123500,45887.5,45861.176
20180504123600,45887.5,45873.04
20180504123700,45937.5,45873.04
20180504123800,45937.5,45920.44
20180504123900,45937.5,45920.44
20180504124000,45937.5,45920.44
20180504124100,45937.5,45920.44
20180504124200,45925.0,45920.44
20180504124300,45925.0,45908.598
20180504124400,45925.0,45908.598
20180504124500,45937.5,45908.598
20180504124600,45937.5,45920.44
20180504124700,45925.0,45920.44
20180504124800,45925.0,45908.598
20180504124900,45962.5,45908.598
20180504125000,45962.5,45944.11
20180504125100,45975.0,45944.11
