datetime,original,predicted
20180504090100,400750.0,400465.06
20180504090200,398500.0,398841.8
20180504090300,397375.0,396877.16
20180504090400,399500.0,395888.06
20180504090500,400125.0,397752.56
20180504090600,399875.0,398297.88
20180504090700,399625.0,398079.9
20180504090800,398625.0,397861.72
20180504090900,397750.0,396986.78
20180504091000,397625.0,396218.28
20180504091100,397875.00000000006,396108.25
20180504091200,398125.0,396328.2
20180504091300,398625.0,396547.97
20180504091400,398750.0,396986.78
20180504091500,398500.0,397096.34
20180504091600,397500.0,396877.16
20180504091700,397125.0,395998.22
20180504091800,396750.0,395667.7
20180504091900,396625.0,395336.62
20180504092000,396499.99999999994,395226.2
20180504092100,395750.0,395115.7
20180504092200,395000.0,394451.47
20180504092300,394250.0,393785.34
20180504092400,394500.0,393117.25
20180504092500,395000.0,393340.12
20180504092600,394500.0,393785.34
20180504092700,394250.0,393340.12
20180504092800,394125.0,393117.25
20180504092900,393125.0,393005.7
20180504093000,391750.0,392111.4
20180504093100,391250.0,390876.16
20180504093200,391875.00000000006,390425.38
20180504093300,392000.0,390988.72
20180504093400,392000.0,391101.22
20180504093500,391625.0,391101.22
20180504093600,391875.00000000006,390763.53
20180504093700,392000.0,390988.72
20180504093800,391500.0,391101.22
20180504093900,391250.0,390650.9
20180504094000,391000.0,390425.38
20180504094100,390375.0,390199.7
20180504094200,390375.0,389634.47
20180504094300,390499.99999999994,389634.47
20180504094400,390125.0,389747.6
20180504094500,390499.99999999994,389408.0
20180504094600,390625.0,389747.6
20180504094700,390375.0,389860.72
20180504094800,390499.99999999994,389634.47
20180504094900,391000.0,389747.6
20180504095000,391125.0,390199.7
20180504095100,391125.0,390312.56
20180504095200,389500.0,390312.56
20180504095300,388125.0,388841.0
20180504095400,388125.0,387588.9
20180504095500,387875.0,387588.9
20180504095600,388250.0,387360.62
20180504095700,388375.0,387703.0
20180504095800,388250.0,387817.03
20180504095900,389500.0,387703.0
20180504100000,390625.0,388841.0
20180504100100,391375.0,389860.72
20180504100200,390875.0,390538.2
20180504100300,391125.0,390086.75
20180504100400,391625.0,390312.56
20180504100500,391750.0,390763.53
20180504100600,391875.00000000006,390876.16
20180504100700,391875.00000000006,390988.72
20180504100800,392000.0,390988.72
20180504100900,390875.0,391101.22
20180504101000,390125.0,390086.75
20180504101100,390125.0,389408.0
20180504101200,390125.0,389408.0
20180504101300,390125.0,389408.0
20180504101400,390125.0,389408.0
20180504101500,390625.0,389408.0
20180504101600,391250.0,389860.72
20180504101700,391250.0,390425.38
20180504101800,391375.0,390425.38
20180504101900,391250.0,390538.2
20180504102000,391375.0,390425.38
20180504102100,391375.0,390538.2
20180504102200,391250.0,390538.2
20180504102300,391375.0,390425.38
20180504102400,391125.0,390538.2
20180504102500,391125.0,390312.56
20180504102600,391125.0,390312.56
20180504102700,391125.0,390312.56
20180504102800,390750.0,390312.56
20180504102900,390625.0,389973.78
20180504103000,390750.0,389860.72
20180504103100,390625.0,389973.78
20180504103200,390625.0,389860.72
20180504103300,390875.0,389860.72
20180504103400,390750.0,390086.75
20180504103500,390499.99999999994,389973.78
20180504103600,390375.0,389747.6
20180504103700,390499.99999999994,389634.47
20180504103800,391000.0,389747.6
20180504103900,391375.0,390199.7
20180504104000,391125.0,390538.2
20180504104100,391000.0,390312.56
20180504104200,390625.0,390199.7
20180504104300,390875.0,389860.72
20180504104400,390875.0,390086.75
20180504104500,391250.0,390086.75
20180504104600,390750.0,390425.38
20180504104700,390125.0,389973.78
20180504104800,390250.0,389408.0
20180504104900,389875.0,389521.28
20180504105000,389625.0,389181.34
20180504105100,389375.0,388954.53
20180504105200,389250.0,388727.44
