datetime,original,predicted
20180504090100,120125.0,119886.93
20180504090200,121125.0,120142.5
20180504090300,121125.0,121163.44
20180504090400,121125.0,121163.44
20180504090500,122375.00000000001,121163.44
20180504090600,123624.99999999999,122435.96
20180504090700,123250.0,123703.39
20180504090800,124124.99999999999,123323.76
20180504090900,125125.00000000001,124208.68
20180504091000,125000.0,125216.04
20180504091100,125249.99999999999,125090.37
20180504091200,125375.0,125341.625
20180504091300,125625.0,125467.15
20180504091400,126000.0,125717.95
20180504091500,126000.0,126093.58
20180504091600,125249.99999999999,126093.58
20180504091700,124750.0,125341.625
20180504091800,124625.00000000001,124838.805
20180504091900,125000.0,124712.92
20180504092000,125125.00000000001,125090.37
20180504092100,125125.00000000001,125216.04
20180504092200,125125.00000000001,125216.04
20180504092300,125125.00000000001,125216.04
20180504092400,125125.00000000001,125216.04
20180504092500,125249.99999999999,125216.04
20180504092600,125000.0,125341.625
20180504092700,125125.00000000001,125090.37
20180504092800,125375.0,125216.04
20180504092900,125500.0,125467.15
20180504093000,125749.99999999999,125592.59
20180504093100,125749.99999999999,125843.24
20180504093200,126125.0,125843.24
20180504093300,126374.99999999999,126218.625
20180504093400,126374.99999999999,126468.47
20180504093500,126374.99999999999,126468.47
20180504093600,126250.00000000001,126468.47
20180504093700,126125.0,126343.59
20180504093800,126250.00000000001,126218.625
20180504093900,126374.99999999999,126343.59
20180504094000,126125.0,126468.47
20180504094100,125875.0,126218.625
20180504094200,125749.99999999999,125968.45
20180504094300,125875.0,125843.24
20180504094400,125875.0,125968.45
20180504094500,125625.0,125968.45
20180504094600,125749.99999999999,125717.95
20180504094700,125625.0,125843.24
20180504094800,125375.0,125717.95
20180504094900,125375.0,125467.15
20180504095000,125249.99999999999,125467.15
20180504095100,125375.0,125341.625
20180504095200,125375.0,125467.15
20180504095300,125625.0,125467.15
20180504095400,125875.0,125717.95
20180504095500,125625.0,125968.45
20180504095600,125625.0,125717.95
20180504095700,125875.0,125717.95
20180504095800,125875.0,125968.45
20180504095900,125749.99999999999,125968.45
20180504100000,125749.99999999999,125843.24
20180504100100,125749.99999999999,125843.24
20180504100200,125749.99999999999,125843.24
20180504100300,125875.0,125843.24
20180504100400,125625.0,125968.45
20180504100500,125749.99999999999,125717.95
20180504100600,125375.0,125843.24
20180504100700,125625.0,125467.15
20180504100800,125500.0,125717.95
20180504100900,125500.0,125592.59
20180504101000,125625.0,125592.59
20180504101100,125875.0,125717.95
20180504101200,125875.0,125968.45
20180504101300,125875.0,125968.45
20180504101400,125875.0,125968.45
20180504101500,125749.99999999999,125968.45
20180504101600,125875.0,125843.24
20180504101700,125875.0,125968.45
20180504101800,125875.0,125968.45
20180504101900,125749.99999999999,125968.45
20180504102000,125875.0,125843.24
20180504102100,125875.0,125968.45
20180504102200,125625.0,125968.45
20180504102300,125375.0,125717.95
20180504102400,125249.99999999999,125467.15
20180504102500,125375.0,125341.625
20180504102600,125249.99999999999,125467.15
20180504102700,125249.99999999999,125341.625
20180504102800,125125.00000000001,125341.625
20180504102900,125375.0,125216.04
20180504103000,125125.00000000001,125467.15
20180504103100,125375.0,125216.04
20180504103200,125249.99999999999,125467.15
20180504103300,125249.99999999999,125341.625
20180504103400,125000.0,125341.625
20180504103500,125249.99999999999,125090.37
20180504103600,125375.0,125341.625
20180504103700,125249.99999999999,125467.15
20180504103800,125125.00000000001,125341.625
20180504103900,125375.0,125216.04
20180504104000,125125.00000000001,125467.15
20180504104100,124875.0,125216.04
20180504104200,124875.0,124964.625
20180504104300,124875.0,124964.625
20180504104400,125000.0,124964.625
20180504104500,124875.0,125090.37
20180504104600,124875.0,124964.625
20180504104700,124875.0,124964.625
20180504104800,124750.0,124964.625
20180504104900,124875.0,124838.805
20180504105000,124875.0,124964.625
20180504105100,124875.0,124964.625
20180504105200,124875.0,124964.625
20180504105300,124875.0,124964.625
20180504105400,124750.0,124964.625
20180504105500,124750.0,124838.805
20180504105600,124875.0,124838.805
20180504105700,124875.0,124964.625
20180504105800,124875.0,124964.625
20180504105900,124875.0,124964.625
20180504110000,124875.0,124964.625
20180504110100,124875.0,124964.625
20180504110200,124750.0,124964.625
20180504110300,124875.0,124838.805
20180504110400,124875.0,124964.625
20180504110500,124875.0,124964.625
20180504110600,124875.0,124964.625
20180504110700,124750.0,124964.625
20180504110800,124875.0,124838.805
20180504110900,124750.0,124964.625
20180504111000,124750.0,124838.805
20180504111100,124750.0,124838.805
20180504111200,124750.0,124838.805
20180504111300,124750.0,124838.805
20180504111400,124875.0,124838.805
20180504111500,124875.0,124964.625
20180504111600,124875.0,124964.625
20180504111700,124750.0,124964.625
20180504111800,124875.0,124838.805
20180504111900,124750.0,124964.625
20180504112000,124875.0,124838.805
20180504112100,124875.0,124964.625
20180504112200,124875.0,124964.625
20180504112300,125125.00000000001,124964.625
20180504112400,125125.00000000001,125216.04
20180504112500,125375.0,125216.04
20180504112600,125375.0,125467.15
20180504112700,125249.99999999999,125467.15
20180504112800,125375.0,125341.625
20180504112900,125249.99999999999,125467.15
20180504113000,125249.99999999999,125341.625
20180504113100,125249.99999999999,125341.625
20180504113200,125249.99999999999,125341.625
20180504113300,125249.99999999999,125341.625
20180504113400,125249.99999999999,125341.625
20180504113500,125249.99999999999,125341.625
20180504113600,125375.0,125341.625
20180504113700,125125.00000000001,125467.15
20180504113800,124875.0,125216.04
20180504113900,124875.0,124964.625
20180504114000,124750.0,124964.625
20180504114100,124875.0,124838.805
20180504114200,124750.0,124964.625
20180504114300,124875.0,124838.805
20180504114400,124875.0,124964.625
20180504114500,125000.0,124964.625
20180504114600,124750.0,125090.37
20180504114700,124875.0,124838.805
20180504114800,124875.0,124964.625
20180504114900,124375.0,124964.625
20180504115000,124375.0,124460.93
20180504115100,124375.0,124460.93
20180504115200,124500.0,124460.93
20180504115300,124375.0,124586.96
20180504115400,124375.0,124460.93
20180504115500,124375.0,124460.93
20180504115600,124375.0,124460.93
20180504115700,124500.0,124460.93
20180504115800,124750.0,124586.96
20180504115900,124875.0,124838.805
20180504120000,124750.0,124964.625
20180504120100,124750.0,124838.805
20180504120200,124750.0,124838.805
20180504120300,124750.0,124838.805
20180504120400,124875.0,124838.805
20180504120500,124875.0,124964.625
20180504120600,124750.0,124964.625
20180504120700,124875.0,124838.805
20180504120800,124750.0,124964.625
20180504120900,124875.0,124838.805
20180504121000,124875.0,124964.625
20180504121100,124750.0,124964.625
20180504121200,124375.0,124838.805
20180504121300,124375.0,124460.93
20180504121400,124124.99999999999,124460.93
20180504121500,124250.0,124208.68
20180504121600,124500.0,124334.836
20180504121700,124875.0,124586.96
20180504121800,124875.0,124964.625
20180504121900,124625.00000000001,124964.625
20180504122000,124375.0,124712.92
20180504122100,124375.0,124460.93
20180504122200,124625.00000000001,124460.93
20180504122300,124875.0,124712.92
20180504122400,124750.0,124964.625
20180504122500,124750.0,124838.805
20180504122600,124875.0,124838.805
20180504122700,124750.0,124964.625
20180504122800,124750.0,124838.805
20180504122900,124750.0,124838.805
20180504123000,124875.0,124838.805
20180504123100,124750.0,124964.625
20180504123200,124875.0,124838.805
20180504123300,124750.0,124964.625
20180504123400,124124.99999999999,124838.805
20180504123500,124124.99999999999,124208.68
20180504123600,124250.0,124208.68
20180504123700,124375.0,124334.836
20180504123800,124375.0,124460.93
20180504123900,124124.99999999999,124460.93
20180504124000,124375.0,124208.68
20180504124100,124375.0,124460.93
20180504124200,124375.0,124460.93
20180504124300,124375.0,124460.93
20180504124400,124250.0,124460.93
20180504124500,124375.0,124334.836
20180504124600,124250.0,124460.93
20180504124700,124500.0,124334.836
20180504124800,124750.0,124586.96
20180504124900,124875.0,124838.805
20180504125000,124875.0,124964.625
20180504125100,124875.0,124964.625
20180504125200,124875.0,124964.625
20180504125300,124875.0,124964.625
20180504125400,124875.0,124964.625
20180504125500,124875.0,124964.625
20180504125600,124625.00000000001,124964.625
20180504125700,124500.0,124712.92
20180504125800,124625.00000000001,124586.96
20180504125900,124875.0,124712.92
20180504130000,124875.0,124964.625
20180504130100,124875.0,124964.625
20180504130200,124750.0,124964.625
20180504130300,124875.0,124838.805
20180504130400,124875.0,124964.625
20180504130500,124875.0,124964.625
20180504130600,124875.0,124964.625
20180504130700,124875.0,124964.625
20180504130800,124875.0,124964.625
20180504130900,124875.0,124964.625
20180504131000,124875.0,124964.625
20180504131100,124875.0,124964.625
20180504131200,124875.0,124964.625
20180504131300,124750.0,124964.625
20180504131400,124750.0,124838.805
20180504131500,124875.0,124838.805
20180504131600,124875.0,124964.625
20180504131700,124875.0,124964.625
20180504131800,124875.0,124964.625
20180504131900,124750.0,124964.625
20180504132000,124750.0,124838.805
20180504132100,124875.0,124838.805
