datetime,original,predicted
20180504090100,434750.0,434902.44
20180504090200,437375.0,434902.44
20180504090300,437375.0,437410.9
20180504090400,436750.0,437410.9
20180504090500,438500.0,436816.5
20180504090600,439250.0,438476.16
20180504090700,439375.0,439182.9
20180504090800,440249.99999999994,439300.5
20180504090900,440125.0,440121.03
20180504091000,440500.0,440004.06
20180504091100,441000.0,440354.78
20180504091200,441125.0,440821.3
20180504091300,441125.0,440937.72
20180504091400,441375.0,440937.72
20180504091500,442250.0,441170.38
20180504091600,442875.0,441982.1
20180504091700,443500.00000000006,442559.44
20180504091800,444750.0,443134.75
20180504091900,445749.99999999994,444279.1
20180504092000,445749.99999999994,445188.56
20180504092100,445500.0,445188.56
20180504092200,445250.0,444961.7
20180504092300,445374.99999999994,444734.5
20180504092400,445749.99999999994,444848.16
20180504092500,446499.99999999994,445188.56
20180504092600,446750.0,445867.0
20180504092700,447750.0,446092.47
20180504092800,447625.0,446990.8
20180504092900,447250.0,446878.88
20180504093000,447750.0,446542.34
20180504093100,448375.0,446990.8
20180504093200,448375.0,447549.44
20180504093300,447375.0,447549.44
20180504093400,447625.0,446654.6
20180504093500,447750.0,446878.88
20180504093600,448250.00000000006,446990.8
20180504093700,448125.0,447437.9
20180504093800,447875.00000000006,447326.25
20180504093900,447750.0,447102.72
20180504094000,447500.0,446990.8
20180504094100,447000.0,446766.78
20180504094200,447250.0,446317.6
20180504094300,447375.0,446542.34
20180504094400,447375.0,446654.6
20180504094500,447125.0,446654.6
20180504094600,447000.0,446430.03
20180504094700,446625.0,446317.6
20180504094800,447000.0,445979.75
20180504094900,447375.0,446317.6
20180504095000,447250.0,446654.6
20180504095100,447875.00000000006,446542.34
20180504095200,448500.0,447102.72
20180504095300,448875.0,447660.9
20180504095400,448250.00000000006,447994.72
20180504095500,448250.00000000006,447437.9
20180504095600,448000.0,447437.9
20180504095700,448375.0,447214.53
20180504095800,448250.00000000006,447549.44
20180504095900,448500.0,447437.9
20180504100000,448625.00000000006,447660.9
20180504100100,449250.0,447772.25
20180504100200,449250.0,448327.78
20180504100300,449375.00000000006,448327.78
20180504100400,449125.0,448438.62
20180504100500,448750.0,448216.88
20180504100600,448750.0,447883.53
20180504100700,448750.0,447883.53
20180504100800,448750.0,447883.53
20180504100900,448875.0,447883.53
20180504101000,449125.0,447994.72
20180504101100,449125.0,448216.88
20180504101200,449375.00000000006,448216.88
20180504101300,449250.0,448438.62
20180504101400,449375.00000000006,448327.78
20180504101500,449000.00000000006,448438.62
20180504101600,448625.00000000006,448105.88
20180504101700,448875.0,447772.25
20180504101800,448750.0,447994.72
20180504101900,449125.0,447883.53
20180504102000,449250.0,448216.88
20180504102100,449375.00000000006,448327.78
20180504102200,449375.00000000006,448438.62
20180504102300,449125.0,448438.62
20180504102400,449000.00000000006,448216.88
20180504102500,448875.0,448105.88
20180504102600,448500.0,447994.72
20180504102700,448125.0,447660.9
20180504102800,447375.0,447326.25
20180504102900,446874.99999999994,446654.6
20180504103000,447000.0,446205.03
