datetime,original,predicted
20180504090100,239750.0,238970.31
20180504090200,241250.0,239080.39
20180504090300,241000.0,240391.14
20180504090400,240250.0,240174.0
20180504090500,240750.0,239519.39
20180504090600,241375.0,239956.31
20180504090700,241750.0,240499.53
20180504090800,241750.0,240823.88
20180504090900,241875.0,240823.88
20180504091000,242125.0,240931.73
20180504091100,242375.0,241147.03
20180504091200,242250.0,241361.81
20180504091300,242500.0,241254.5
20180504091400,242500.0,241469.0
20180504091500,242750.0,241469.0
20180504091600,242875.0,241682.98
20180504091700,242250.0,241789.77
20180504091800,241625.0,241254.5
20180504091900,241625.0,240715.89
20180504092000,241500.0,240715.89
20180504092100,241500.0,240607.77
20180504092200,241500.0,240607.77
20180504092300,241625.0,240607.77
20180504092400,241625.0,240715.89
20180504092500,241375.0,240715.89
20180504092600,241750.0,240499.53
20180504092700,241750.0,240823.88
20180504092800,241875.0,240823.88
20180504092900,241875.0,240931.73
20180504093000,241875.0,240931.73
20180504093100,241750.0,240931.73
20180504093200,241625.0,240823.88
20180504093300,241750.0,240715.89
20180504093400,241625.0,240823.88
20180504093500,241625.0,240715.89
20180504093600,241750.0,240715.89
20180504093700,241750.0,240823.88
20180504093800,241750.0,240823.88
20180504093900,241750.0,240823.88
20180504094000,241625.0,240823.88
20180504094100,242250.0,240715.89
20180504094200,243750.0,241254.5
20180504094300,243875.0,242533.56
20180504094400,243875.0,242639.28
20180504094500,243625.0,242639.28
20180504094600,243625.0,242427.7
20180504094700,243625.0,242427.7
20180504094800,243750.0,242427.7
20180504094900,243750.0,242533.56
20180504095000,243625.0,242533.56
20180504095100,243750.0,242427.7
20180504095200,243750.0,242533.56
20180504095300,243125.0,242533.56
20180504095400,242625.0,242002.95
20180504095500,242750.0,241576.05
20180504095600,242750.0,241682.98
20180504095700,242875.0,241682.98
20180504095800,243250.0,241789.77
20180504095900,243250.0,242109.36
20180504100000,243250.0,242109.36
20180504100100,243250.0,242109.36
20180504100200,243250.0,242109.36
20180504100300,243250.0,242109.36
20180504100400,243125.0,242109.36
20180504100500,242750.0,242002.95
20180504100600,242750.0,241682.98
20180504100700,242750.0,241682.98
20180504100800,242875.0,241682.98
20180504100900,242625.0,241789.77
20180504101000,242750.0,241576.05
20180504101100,242750.0,241682.98
20180504101200,242625.0,241682.98
20180504101300,242750.0,241576.05
20180504101400,242750.0,241682.98
20180504101500,243125.0,241682.98
20180504101600,243125.0,242002.95
20180504101700,243250.0,242002.95
20180504101800,243125.0,242109.36
20180504101900,243125.0,242002.95
20180504102000,243125.0,242002.95
20180504102100,243250.0,242002.95
20180504102200,243375.0,242109.36
20180504102300,243375.0,242215.61
20180504102400,243375.0,242215.61
20180504102500,243375.0,242215.61
20180504102600,243375.0,242215.61
20180504102700,243375.0,242215.61
20180504102800,243250.0,242215.61
20180504102900,242875.0,242109.36
20180504103000,242750.0,241789.77
20180504103100,242625.0,241682.98
20180504103200,242875.0,241576.05
20180504103300,242875.0,241789.77
20180504103400,242750.0,241789.77
20180504103500,242750.0,241682.98
20180504103600,242625.0,241682.98
20180504103700,242750.0,241576.05
20180504103800,242875.0,241682.98
20180504103900,243125.0,241789.77
20180504104000,243375.0,242002.95
20180504104100,243375.0,242215.61
20180504104200,243375.0,242215.61
20180504104300,243250.0,242215.61
20180504104400,243375.0,242109.36
20180504104500,243125.0,242215.61
20180504104600,243125.0,242002.95
20180504104700,243250.0,242002.95
20180504104800,243250.0,242109.36
20180504104900,243375.0,242109.36
20180504105000,243500.0,242215.61
20180504105100,243875.0,242321.72
20180504105200,243875.0,242639.28
20180504105300,243750.0,242639.28
20180504105400,243750.0,242533.56
20180504105500,243500.0,242533.56
20180504105600,243250.0,242321.72
20180504105700,243250.0,242109.36
20180504105800,243250.0,242109.36
20180504105900,243375.0,242109.36
20180504110000,243125.0,242215.61
20180504110100,243125.0,242002.95
20180504110200,243250.0,242002.95
20180504110300,243000.0,242109.36
20180504110400,242250.0,241896.42
20180504110500,242375.0,241254.5
20180504110600,242250.0,241361.81
20180504110700,242125.0,241254.5
20180504110800,242250.0,241147.03
20180504110900,242125.0,241254.5
20180504111000,242125.0,241147.03
20180504111100,242125.0,241147.03
20180504111200,242125.0,241147.03
20180504111300,242125.0,241147.03
20180504111400,242250.0,241147.03
20180504111500,242125.0,241254.5
20180504111600,242375.0,241147.03
20180504111700,242250.0,241361.81
20180504111800,242250.0,241254.5
20180504111900,242250.0,241254.5
20180504112000,242250.0,241254.5
20180504112100,242250.0,241254.5
20180504112200,242250.0,241254.5
20180504112300,242250.0,241254.5
20180504112400,242375.0,241254.5
20180504112500,242250.0,241361.81
20180504112600,242250.0,241254.5
20180504112700,242250.0,241254.5
20180504112800,242000.0,241254.5
20180504112900,241625.0,241039.45
20180504113000,241625.0,240715.89
20180504113100,241625.0,240715.89
20180504113200,241875.0,240715.89
20180504113300,241750.0,240931.73
20180504113400,241625.0,240823.88
20180504113500,241750.0,240715.89
20180504113600,241750.0,240823.88
20180504113700,241750.0,240823.88
20180504113800,241625.0,240823.88
20180504113900,241750.0,240715.89
20180504114000,241750.0,240823.88
20180504114100,242250.0,240823.88
20180504114200,242125.0,241254.5
20180504114300,242375.0,241147.03
20180504114400,242375.0,241361.81
20180504114500,242375.0,241361.81
20180504114600,242250.0,241361.81
20180504114700,242250.0,241254.5
20180504114800,242250.0,241254.5
20180504114900,242250.0,241254.5
20180504115000,242250.0,241254.5
20180504115100,242500.0,241254.5
20180504115200,243250.0,241469.0
20180504115300,243250.0,242109.36
20180504115400,243375.0,242109.36
20180504115500,243250.0,242215.61
20180504115600,243250.0,242109.36
20180504115700,243125.0,242109.36
20180504115800,243375.0,242002.95
20180504115900,243375.0,242215.61
20180504120000,243375.0,242215.61
20180504120100,243250.0,242215.61
20180504120200,243250.0,242109.36
20180504120300,243250.0,242109.36
20180504120400,243250.0,242109.36
20180504120500,243125.0,242109.36
20180504120600,243250.0,242002.95
20180504120700,243250.0,242109.36
20180504120800,243375.0,242109.36
20180504120900,243125.0,242215.61
20180504121000,243250.0,242002.95
20180504121100,243250.0,242109.36
20180504121200,243250.0,242109.36
20180504121300,243375.0,242109.36
20180504121400,243875.0,242215.61
20180504121500,243875.0,242639.28
20180504121600,243750.0,242639.28
20180504121700,243750.0,242533.56
20180504121800,243750.0,242533.56
20180504121900,243750.0,242533.56
20180504122000,243625.0,242533.56
20180504122100,243750.0,242427.7
20180504122200,244250.0,242533.56
20180504122300,244250.0,242955.61
20180504122400,244125.0,242955.61
20180504122500,244375.0,242850.3
20180504122600,244375.0,243060.78
20180504122700,244375.0,243060.78
20180504122800,244250.0,243060.78
20180504122900,244250.0,242955.61
20180504123000,244250.0,242955.61
20180504123100,244250.0,242955.61
20180504123200,244250.0,242955.61
20180504123300,244250.0,242955.61
20180504123400,244250.0,242955.61
20180504123500,244250.0,242955.61
20180504123600,244125.0,242955.61
20180504123700,244125.0,242850.3
20180504123800,244250.0,242850.3
20180504123900,244125.0,242955.61
20180504124000,244250.0,242850.3
20180504124100,244375.0,242955.61
20180504124200,244250.0,243060.78
20180504124300,244375.0,242955.61
20180504124400,244375.0,243060.78
20180504124500,244375.0,243060.78
20180504124600,244250.0,243060.78
20180504124700,244250.0,242955.61
20180504124800,244250.0,242955.61
20180504124900,244375.0,242955.61
20180504125000,244250.0,243060.78
20180504125100,244250.0,242955.61
20180504125200,243750.0,242955.61
20180504125300,243125.0,242533.56
