datetime,original,predicted
20180504090100,61350.0,61784.004
20180504090200,61125.0,61400.527
20180504090300,61800.0,61170.348
20180504090400,62499.99999999999,61860.668
20180504090500,62675.0,62575.62
20180504090600,62575.0,62754.164
20180504090700,62950.0,62652.15
20180504090800,62825.0,63034.54
20180504090900,62675.0,62907.12
20180504091000,62625.0,62754.164
20180504091100,62925.0,62703.156
20180504091200,63050.0,63009.062
20180504091300,63225.0,63136.438
20180504091400,63425.0,63314.668
20180504091500,63550.0,63518.227
20180504091600,63350.0,63645.375
20180504091700,63000.0,63441.91
20180504091800,62825.0,63085.492
20180504091900,62850.0,62907.12
20180504092000,62925.0,62932.613
20180504092100,62775.0,63009.062
20180504092200,62499.99999999999,62856.15
20180504092300,62600.00000000001,62575.62
20180504092400,62575.0,62677.656
20180504092500,62450.0,62652.15
20180504092600,62450.0,62524.594
20180504092700,62400.0,62524.594
20180504092800,62400.0,62473.555
20180504092900,62525.0,62473.555
20180504093000,62775.0,62601.133
20180504093100,62725.0,62856.15
20180504093200,62775.0,62805.156
20180504093300,62800.0,62856.15
20180504093400,62525.0,62881.637
20180504093500,62350.0,62601.133
20180504093600,62425.0,62422.516
20180504093700,62475.0,62499.08
20180504093800,62425.0,62550.105
20180504093900,62475.0,62499.08
20180504094000,62625.0,62550.105
20180504094100,62625.0,62703.156
20180504094200,62475.0,62703.156
20180504094300,62325.0,62550.105
20180504094400,62250.0,62396.992
20180504094500,62300.0,62320.414
20180504094600,62325.0,62371.47
20180504094700,62400.0,62396.992
20180504094800,62450.0,62473.555
20180504094900,62375.0,62524.594
20180504095000,62350.0,62448.04
20180504095100,62475.0,62422.516
20180504095200,62425.0,62550.105
20180504095300,62225.0,62499.08
20180504095400,62000.0,62294.883
20180504095500,62025.0,62065.05
20180504095600,61925.0,62090.594
20180504095700,61925.0,61988.418
20180504095800,62025.0,61988.418
20180504095900,62100.0,62090.594
20180504100000,62150.0,62167.215
20180504100100,62125.0,62218.29
20180504100200,62050.0,62192.746
20180504100300,61850.0,62116.137
20180504100400,61724.99999999999,61911.766
20180504100500,61775.0,61784.004
20180504100600,61825.00000000001,61835.113
20180504100700,62000.0,61886.22
20180504100800,62125.0,62065.05
20180504100900,62175.0,62192.746
20180504101000,62125.0,62243.824
20180504101100,62025.0,62192.746
20180504101200,62025.0,62090.594
20180504101300,61975.0,62090.594
20180504101400,61950.0,62039.51
20180504101500,62075.0,62013.965
20180504101600,62125.0,62141.676
20180504101700,62150.0,62192.746
20180504101800,62275.0,62218.29
20180504101900,62425.0,62345.94
20180504102000,62450.0,62499.08
20180504102100,62475.0,62524.594
20180504102200,62499.99999999999,62550.105
20180504102300,62450.0,62575.62
20180504102400,62550.0,62524.594
20180504102500,62675.0,62626.64
20180504102600,62575.0,62754.164
20180504102700,62575.0,62652.15
20180504102800,62575.0,62652.15
20180504102900,62475.0,62652.15
20180504103000,62625.0,62550.105
20180504103100,62875.0,62703.156
20180504103200,63000.0,62958.098
20180504103300,62925.0,63085.492
20180504103400,63050.0,63009.062
20180504103500,63100.0,63136.438
20180504103600,63125.0,63187.37
20180504103700,63300.0,63212.836
20180504103800,63525.0,63391.023
20180504103900,63425.0,63619.95
20180504104000,63200.0,63518.227
20180504104100,63300.0,63289.21
20180504104200,63375.00000000001,63391.023
20180504104300,63350.0,63467.35
20180504104400,63200.0,63441.91
20180504104500,63200.0,63289.21
20180504104600,63225.0,63289.21
20180504104700,63125.0,63314.668
20180504104800,63000.0,63212.836
20180504104900,63000.0,63085.492
20180504105000,63325.0,63085.492
20180504105100,63600.0,63416.465
20180504105200,63775.0,63696.21
20180504105300,64225.0,63874.074
20180504105400,64300.0,64330.81
20180504105500,64250.0,64406.844
20180504105600,64450.0,64356.16
20180504105700,64250.0,64558.82
20180504105800,64200.0,64356.16
20180504105900,64275.0,64305.46
20180504110000,64625.0,64381.504
20180504110100,64824.99999999999,64735.984
20180504110200,64900.0,64938.258
20180504110300,65100.0,65014.05
20180504110400,64975.0,65216.02
20180504110500,65000.0,65089.82
20180504110600,65225.0,65115.066
20180504110700,65225.0,65342.137
20180504110800,64800.0,65342.137
20180504110900,64800.0,64912.99
20180504111000,64900.0,64912.99
20180504111100,64750.0,65014.05
20180504111200,64600.0,64862.43
20180504111300,64675.0,64710.684
20180504111400,64675.0,64786.57
20180504111500,64475.0,64786.57
20180504111600,64300.0,64584.14
20180504111700,64275.0,64406.844
20180504111800,64275.0,64381.504
20180504111900,64049.99999999999,64381.504
20180504112000,63925.0,64153.297
20180504112100,64000.0,64026.42
20180504112200,64325.0,64102.56
20180504112300,64375.0,64432.18
20180504112400,64400.0,64482.844
20180504112500,64175.0,64508.176
20180504112600,64175.0,64280.11
20180504112700,64300.0,64280.11
20180504112800,64375.0,64406.844
20180504112900,64550.0,64482.844
20180504113000,64675.0,64660.074
20180504113100,64750.0,64786.57
20180504113200,64900.0,64862.43
20180504113300,64900.0,65014.05
20180504113400,64824.99999999999,65014.05
20180504113500,64900.0,64938.258
20180504113600,65075.0,65014.05
20180504113700,65125.0,65190.79
20180504113800,65000.0,65241.254
20180504113900,64800.0,65115.066
20180504114000,64724.99999999999,64912.99
20180504114100,64824.99999999999,64837.15
20180504114200,64750.0,64938.258
20180504114300,64700.0,64862.43
20180504114400,64600.0,64811.86
20180504114500,64275.0,64710.684
20180504114600,64250.0,64381.504
20180504114700,64300.0,64356.16
20180504114800,64325.0,64406.844
20180504114900,64425.0,64432.18
20180504115000,64575.0,64533.5
20180504115100,64675.0,64685.383
20180504115200,64650.0,64786.57
20180504115300,64650.0,64761.277
20180504115400,64600.0,64761.277
20180504115500,64375.0,64710.684
20180504115600,64200.0,64482.844
20180504115700,64100.0,64305.46
20180504115800,64049.99999999999,64204.03
20180504115900,64175.0,64153.297
20180504120000,64325.0,64280.11
20180504120100,64250.0,64432.18
20180504120200,64175.0,64356.16
20180504120300,64200.0,64280.11
20180504120400,64225.0,64305.46
20180504120500,64175.0,64330.81
20180504120600,64125.0,64280.11
20180504120700,64049.99999999999,64229.4
20180504120800,64025.0,64153.297
20180504120900,64125.0,64127.934
20180504121000,64175.0,64229.4
20180504121100,64175.0,64280.11
20180504121200,64225.0,64280.11
20180504121300,64275.0,64330.81
20180504121400,64250.0,64381.504
20180504121500,64225.0,64356.16
20180504121600,64175.0,64330.81
20180504121700,64125.0,64280.11
20180504121800,64125.0,64229.4
20180504121900,64025.0,64229.4
20180504122000,63750.0,64127.934
20180504122100,63775.0,63848.676
20180504122200,63949.99999999999,63874.074
20180504122300,63949.99999999999,64051.805
20180504122400,63850.0,64051.805
