datetime,original,predicted
20180504090100,262375.0,262242.62
20180504090200,262250.0,262242.62
20180504090300,262875.0,262114.34
20180504090400,263500.0,262755.8
20180504090500,263500.0,263397.2
20180504090600,263250.0,263397.2
20180504090700,263250.0,263140.62
20180504090800,262500.0,263140.62
20180504090900,261875.0,262370.94
20180504091000,260750.00000000003,261729.47
20180504091100,259624.99999999997,260574.86
20180504091200,258874.99999999997,259420.4
20180504091300,259375.0,258650.95
20180504091400,260375.0,259163.89
20180504091500,260250.0,260190.0
20180504091600,259749.99999999997,260061.72
20180504091700,259250.0,259548.66
20180504091800,258500.0,259035.64
20180504091900,258125.00000000003,258266.3
20180504092000,258749.99999999997,257881.69
20180504092100,259375.0,258522.72
20180504092200,259250.0,259163.89
20180504092300,259500.0,259035.64
20180504092400,259500.0,259292.14
20180504092500,259500.0,259292.14
20180504092600,259624.99999999997,259292.14
20180504092700,259624.99999999997,259420.4
20180504092800,259875.00000000003,259420.4
20180504092900,259624.99999999997,259676.9
20180504093000,259000.00000000003,259420.4
20180504093100,258500.0,258779.17
20180504093200,258250.0,258266.3
20180504093300,258500.0,258009.89
20180504093400,258749.99999999997,258266.3
20180504093500,258749.99999999997,258522.72
20180504093600,258625.0,258522.72
20180504093700,258749.99999999997,258394.52
20180504093800,258749.99999999997,258522.72
20180504093900,258500.0,258522.72
20180504094000,258250.0,258266.3
20180504094100,257750.0,258009.89
20180504094200,257625.0,257497.17
20180504094300,257625.0,257369.02
20180504094400,257625.0,257369.02
20180504094500,257500.0,257369.02
20180504094600,257125.00000000003,257240.88
20180504094700,256875.0,256856.45
20180504094800,256875.0,256600.25
20180504094900,257625.0,256600.25
20180504095000,258250.0,257369.02
20180504095100,258500.0,258009.89
20180504095200,258375.0,258266.3
20180504095300,258125.00000000003,258138.1
20180504095400,258125.00000000003,257881.69
20180504095500,258250.0,257881.69
20180504095600,258625.0,258009.89
20180504095700,259125.0,258394.52
20180504095800,259375.0,258907.4
20180504095900,259500.0,259163.89
20180504100000,259375.0,259292.14
20180504100100,259749.99999999997,259163.89
20180504100200,259749.99999999997,259548.66
20180504100300,259624.99999999997,259548.66
20180504100400,259749.99999999997,259420.4
