datetime,original,predicted
20180504090100,89150.0,89414.87
20180504090200,89075.0,89216.33
20180504090300,89050.00000000001,89141.766
20180504090400,89200.0,89116.91
20180504090500,89524.99999999999,89265.99
20180504090600,89775.0,89588.26
20180504090700,89875.0,89835.445
20180504090800,89750.0,89934.13
20180504090900,89550.0,89810.75
20180504091000,89500.0,89613.016
20180504091100,89400.0,89563.516
20180504091200,89450.0,89464.445
20180504091300,89850.0,89513.99
20180504091400,89900.0,89909.48
20180504091500,89875.0,89958.79
20180504091600,89650.0,89934.13
20180504091700,89250.0,89711.94
20180504091800,89175.0,89315.65
20180504091900,89200.0,89241.164
20180504092000,89150.0,89265.99
20180504092100,89150.0,89216.33
20180504092200,89250.0,89216.33
20180504092300,89200.0,89315.65
20180504092400,89200.0,89265.99
20180504092500,89225.0,89265.99
20180504092600,89300.0,89290.83
20180504092700,89250.0,89365.266
20180504092800,89250.0,89315.65
20180504092900,89250.0,89315.65
20180504093000,89150.0,89315.65
20180504093100,89150.0,89216.33
20180504093200,89200.0,89216.33
20180504093300,89150.0,89265.99
20180504093400,89150.0,89216.33
20180504093500,89150.0,89216.33
20180504093600,89150.0,89216.33
20180504093700,89125.0,89216.33
20180504093800,89150.0,89191.48
20180504093900,89175.0,89216.33
20180504094100,89150.0,89241.164
20180504094200,89150.0,89216.33
20180504094300,89150.0,89216.33
20180504094400,89150.0,89216.33
20180504094500,89125.0,89216.33
20180504094600,89025.0,89191.48
20180504094700,89025.0,89092.03
20180504094800,89025.0,89092.03
20180504094900,89025.0,89092.03
20180504095000,89075.0,89092.03
20180504095100,89000.0,89141.766
20180504095200,88850.0,89067.164
20180504095300,88800.0,88917.78
20180504095400,88725.0,88867.945
20180504095500,88750.0,88793.13
20180504095600,88725.0,88818.08
20180504095700,88725.0,88793.13
20180504095800,88775.0,88793.13
20180504095900,88750.0,88843.01
20180504100000,88750.0,88818.08
20180504100100,88875.0,88818.08
20180504100200,88900.0,88942.69
20180504100300,88825.0,88967.6
20180504100400,88925.0,88892.87
20180504100500,88925.0,88992.5
20180504100600,88925.0,88992.5
20180504100700,88925.0,88992.5
20180504100800,89100.0,88992.5
20180504100900,89150.0,89166.63
20180504101000,89225.0,89216.33
20180504101100,89225.0,89290.83
20180504101200,89175.0,89290.83
20180504101300,89150.0,89241.164
20180504101400,89150.0,89216.33
20180504101500,89150.0,89216.33
20180504101600,89150.0,89216.33
20180504101700,89250.0,89216.33
20180504101800,89225.0,89315.65
20180504101900,89225.0,89290.83
20180504102000,89275.0,89290.83
20180504102100,89275.0,89340.46
20180504102200,89275.0,89340.46
20180504102300,89250.0,89340.46
20180504102400,89275.0,89315.65
20180504102500,89225.0,89340.46
20180504102600,89225.0,89290.83
20180504102700,89150.0,89290.83
20180504102800,89200.0,89216.33
20180504102900,89125.0,89265.99
20180504103000,89250.0,89191.48
20180504103100,89200.0,89315.65
20180504103200,89050.00000000001,89265.99
20180504103300,89075.0,89116.91
20180504103400,89125.0,89141.766
20180504103500,89200.0,89191.48
20180504103600,89150.0,89265.99
20180504103700,89125.0,89216.33
