datetime,original,predicted
20180504090100,263750.0,263525.75
20180504090200,264250.0,263525.75
20180504090300,264875.0,263991.0
20180504090400,265375.0,264570.84
20180504090500,266500.0,265033.34
20180504090600,267500.0,266069.47
20180504090700,267875.0,266985.12
20180504090800,267875.0,267327.2
20180504090900,267875.0,267327.2
20180504091000,267000.0,267327.2
20180504091100,266375.0,266527.94
20180504091200,267000.0,265954.66
20180504091300,266750.0,266527.94
20180504091400,266750.0,266298.84
20180504091500,266875.0,266298.84
20180504091600,266500.0,266413.44
20180504091700,265625.0,266069.47
20180504091800,265750.0,265264.12
20180504091900,265875.0,265379.4
20180504092000,266000.0,265494.62
20180504092100,265500.0,265609.75
20180504092200,265125.0,265148.78
20180504092300,265625.0,264802.25
20180504092400,266125.0,265264.12
20180504092500,266250.0,265724.78
20180504092600,267250.0,265839.75
20180504092700,267500.0,266756.7
20180504092800,267500.0,266985.12
20180504092900,267125.0,266985.12
20180504093000,267375.0,266642.38
20180504093100,267250.0,266870.94
20180504093200,267375.0,266756.7
20180504093300,267375.0,266870.94
20180504093400,267375.0,266870.94
20180504093500,267000.0,266870.94
20180504093600,267250.0,266527.94
20180504093700,267125.0,266756.7
20180504093800,266875.0,266642.38
20180504093900,267125.0,266413.44
20180504094000,267125.0,266642.38
20180504094100,266750.0,266642.38
20180504094200,266750.0,266298.84
20180504094300,266750.0,266298.84
20180504094400,266875.0,266298.84
20180504094500,266750.0,266413.44
20180504094600,266750.0,266298.84
20180504094700,266875.0,266298.84
20180504094800,266750.0,266413.44
20180504094900,267000.0,266298.84
20180504095000,266500.0,266527.94
20180504095100,266750.0,266069.47
20180504095200,266875.0,266298.84
20180504095300,266875.0,266413.44
20180504095400,266625.0,266413.44
20180504095500,266750.0,266184.2
20180504095600,266750.0,266298.84
20180504095700,267125.0,266298.84
20180504095800,267375.0,266642.38
20180504095900,267875.0,266870.94
20180504100000,268375.0,267327.2
20180504100100,268500.0,267782.16
20180504100200,268125.0,267895.72
20180504100300,268500.0,267554.84
20180504100400,268500.0,267895.72
20180504100500,268375.0,267895.72
20180504100600,268500.0,267782.16
20180504100700,268250.0,267895.72
20180504100800,268875.0,267668.53
20180504100900,268750.0,268235.84
20180504101000,268250.0,268122.53
20180504101100,268250.0,267668.53
20180504101200,268125.0,267668.53
20180504101300,268000.0,267554.84
20180504101400,268125.0,267441.06
20180504101500,268125.0,267554.84
20180504101600,268500.0,267554.84
20180504101700,268875.0,267895.72
20180504101800,268625.0,268235.84
20180504101900,268750.0,268009.16
20180504102000,268750.0,268122.53
20180504102100,269250.0,268122.53
20180504102200,269125.0,268575.25
20180504102300,269000.0,268462.2
20180504102400,268750.0,268349.06
20180504102500,268875.0,268122.53
20180504102600,269000.0,268235.84
20180504102700,269125.0,268349.06
20180504102800,269875.0,268462.2
20180504102900,269750.0,269139.28
20180504103000,269750.0,269026.66
20180504103100,270000.0,269026.66
20180504103200,270000.0,269251.84
20180504103300,269875.0,269251.84
20180504103400,269625.0,269139.28
20180504103500,269625.0,268913.9
20180504103600,269625.0,268913.9
20180504103700,269750.0,268913.9
20180504103800,269625.0,269026.66
20180504103900,269875.0,268913.9
20180504104000,269750.0,269139.28
20180504104100,269875.0,269026.66
20180504104200,269875.0,269139.28
20180504104300,269875.0,269139.28
20180504104400,269875.0,269139.28
20180504104500,270250.0,269139.28
20180504104600,269875.0,269476.72
20180504104700,269750.0,269139.28
20180504104800,269500.0,269026.66
20180504104900,269375.0,268801.1
20180504105000,269375.0,268688.22
20180504105100,269250.0,268688.22
20180504105200,269125.0,268575.25
20180504105300,269125.0,268462.2
20180504105400,269375.0,268462.2
20180504105500,269250.0,268688.22
20180504105600,269250.0,268575.25
20180504105700,268750.0,268575.25
20180504105800,269000.0,268122.53
20180504105900,269375.0,268349.06
20180504110000,269250.0,268688.22
20180504110100,269125.0,268575.25
20180504110200,269250.0,268462.2
20180504110300,269375.0,268575.25
20180504110400,269500.0,268688.22
20180504110500,269250.0,268801.1
20180504110600,269250.0,268575.25
20180504110700,268875.0,268575.25
20180504110800,268750.0,268235.84
20180504110900,268625.0,268122.53
20180504111000,268625.0,268009.16
20180504111100,269000.0,268009.16
20180504111200,269250.0,268349.06
20180504111300,269250.0,268575.25
20180504111400,269250.0,268575.25
20180504111500,269250.0,268575.25
20180504111600,269250.0,268575.25
20180504111700,269375.0,268575.25
20180504111800,269375.0,268688.22
20180504111900,269500.0,268688.22
20180504112000,269750.0,268801.1
20180504112100,269375.0,269026.66
20180504112200,269250.0,268688.22
20180504112300,269125.0,268575.25
20180504112400,269000.0,268462.2
20180504112500,268875.0,268349.06
20180504112600,269000.0,268235.84
20180504112700,268750.0,268349.06
20180504112800,268750.0,268122.53
20180504112900,268750.0,268122.53
20180504113000,268625.0,268122.53
20180504113100,268750.0,268009.16
20180504113200,268500.0,268122.53
20180504113300,268375.0,267895.72
20180504113400,268000.0,267782.16
20180504113500,267750.0,267441.06
20180504113600,267750.0,267213.25
20180504113700,267750.0,267213.25
20180504113800,268125.0,267213.25
20180504113900,268250.0,267554.84
20180504114000,268375.0,267668.53
20180504114100,268375.0,267782.16
20180504114200,268375.0,267782.16
20180504114300,268500.0,267782.16
20180504114400,268625.0,267895.72
20180504114500,268375.0,268009.16
20180504114600,268375.0,267782.16
20180504114700,268500.0,267782.16
20180504114800,268625.0,267895.72
20180504114900,268625.0,268009.16
20180504115000,268875.0,268009.16
20180504115100,269125.0,268235.84
20180504115200,269250.0,268462.2
20180504115300,269250.0,268575.25
20180504115400,269375.0,268575.25
20180504115500,269250.0,268688.22
20180504115600,269375.0,268575.25
20180504115700,269250.0,268688.22
20180504115800,269375.0,268575.25
20180504115900,269375.0,268688.22
20180504120000,269375.0,268688.22
20180504120100,268875.0,268688.22
20180504120200,268875.0,268235.84
20180504120300,268875.0,268235.84
20180504120400,269375.0,268235.84
20180504120500,269375.0,268688.22
20180504120600,269375.0,268688.22
20180504120700,269250.0,268688.22
20180504120800,269375.0,268575.25
20180504120900,269500.0,268688.22
20180504121000,269125.0,268801.1
20180504121100,268625.0,268462.2
20180504121200,268875.0,268009.16
20180504121300,269125.0,268235.84
20180504121400,269250.0,268462.2
20180504121500,269500.0,268575.25
20180504121600,269750.0,268801.1
20180504121700,269875.0,269026.66
20180504121800,269625.0,269139.28
20180504121900,269500.0,268913.9
20180504122000,269375.0,268801.1
20180504122100,269625.0,268688.22
20180504122200,269625.0,268913.9
20180504122300,269625.0,268913.9
20180504122400,269500.0,268913.9
20180504122500,269875.0,268801.1
20180504122600,269375.0,269139.28
20180504122700,269250.0,268688.22
20180504122800,269250.0,268575.25
20180504122900,269125.0,268575.25
20180504123000,268875.0,268462.2
20180504123100,268875.0,268235.84
20180504123200,269000.0,268235.84
20180504123300,269000.0,268349.06
20180504123400,269125.0,268349.06
20180504123500,268875.0,268462.2
20180504123600,269125.0,268235.84
20180504123700,269250.0,268462.2
20180504123800,269250.0,268575.25
20180504123900,269250.0,268575.25
20180504124000,269250.0,268575.25
20180504124100,269250.0,268575.25
20180504124200,269125.0,268575.25
20180504124300,269250.0,268462.2
20180504124400,269000.0,268575.25
20180504124500,268625.0,268349.06
20180504124600,268875.0,268009.16
20180504124700,268750.0,268235.84
20180504124800,268875.0,268122.53
20180504124900,268625.0,268235.84
20180504125000,268875.0,268009.16
20180504125100,268750.0,268235.84
20180504125200,268750.0,268122.53
20180504125300,268625.0,268122.53
20180504125400,268625.0,268009.16
20180504125500,268750.0,268009.16
20180504125600,268750.0,268122.53
20180504125700,268875.0,268122.53
20180504125800,268625.0,268235.84
20180504125900,268250.0,268009.16
20180504130000,268125.0,267668.53
20180504130100,268000.0,267554.84
20180504130200,268000.0,267441.06
20180504130300,268250.0,267441.06
20180504130400,268375.0,267668.53
20180504130500,268375.0,267782.16
20180504130600,268250.0,267782.16
20180504130700,268375.0,267668.53
20180504130800,268375.0,267782.16
20180504130900,268500.0,267782.16
20180504131000,268750.0,267895.72
20180504131100,268750.0,268122.53
20180504131200,268625.0,268122.53
20180504131300,268500.0,268009.16
20180504131400,268375.0,267895.72
20180504131500,268250.0,267782.16
20180504131600,268000.0,267668.53
20180504131700,267500.0,267441.06
20180504131800,267375.0,266985.12
20180504131900,267250.0,266870.94
20180504132000,267000.0,266756.7
20180504132100,266625.0,266527.94
20180504132200,266750.0,266184.2
20180504132300,267000.0,266298.84
20180504132400,266875.0,266527.94
20180504132500,266875.0,266413.44
20180504132600,266875.0,266413.44
20180504132700,266875.0,266413.44
20180504132800,267000.0,266413.44
20180504132900,266875.0,266527.94
20180504133000,267250.0,266413.44
20180504133100,267500.0,266756.7
20180504133200,267375.0,266985.12
20180504133300,266875.0,266870.94
20180504133400,266750.0,266413.44
20180504133500,266750.0,266298.84
20180504133600,266875.0,266298.84
20180504133700,267375.0,266413.44
20180504133800,267500.0,266870.94
20180504133900,267375.0,266985.12
20180504134000,266875.0,266870.94
20180504134100,267375.0,266413.44
20180504134200,267250.0,266870.94
20180504134300,266750.0,266756.7
20180504134400,266875.0,266298.84
20180504134500,266750.0,266413.44
20180504134600,266875.0,266298.84
20180504134700,266750.0,266413.44
20180504134800,267125.0,266298.84
20180504134900,267500.0,266642.38
20180504135000,267000.0,266985.12
20180504135100,267000.0,266527.94
20180504135200,267000.0,266527.94
20180504135300,266875.0,266527.94
20180504135400,266875.0,266413.44
20180504135500,267125.0,266413.44
20180504135600,267250.0,266642.38
20180504135700,267375.0,266756.7
20180504135800,267250.0,266870.94
20180504135900,267000.0,266756.7
20180504140000,266750.0,266527.94
20180504140100,266875.0,266298.84
20180504140200,266875.0,266413.44
20180504140300,266750.0,266413.44
20180504140400,267125.0,266298.84
20180504140500,267250.0,266642.38
20180504140600,267250.0,266756.7
20180504140700,267375.0,266756.7
20180504140800,267250.0,266870.94
20180504140900,267500.0,266756.7
20180504141000,267375.0,266985.12
20180504141100,267125.0,266870.94
20180504141200,267250.0,266642.38
20180504141300,267125.0,266756.7
20180504141400,267125.0,266642.38
20180504141500,267125.0,266642.38
20180504141600,267375.0,266642.38
20180504141700,267250.0,266870.94
20180504141800,267375.0,266756.7
20180504141900,267125.0,266870.94
20180504142000,267250.0,266642.38
20180504142100,267250.0,266756.7
20180504142200,267250.0,266756.7
