datetime,original,predicted
20180504090100,456375.0,457586.06
20180504090200,456375.0,456693.7
20180504090300,456375.0,456693.7
20180504090400,455750.0,456693.7
20180504090500,455999.99999999994,456055.97
20180504090600,456750.0,456311.1
20180504090700,456750.0,457076.2
20180504090800,455500.0,457076.2
20180504090900,454000.0,455800.8
20180504091000,452000.0,454269.12
20180504091100,450375.0,452225.1
20180504091200,450125.0,450563.1
20180504091300,450750.0,450307.34
20180504091400,451750.0,450946.72
20180504091500,452000.0,451969.44
20180504091600,451375.0,452225.1
20180504091700,450125.0,451585.97
20180504091800,450250.00000000006,450307.34
20180504091900,450375.0,450435.25
20180504092000,451000.0,450563.1
20180504092100,450500.0,451202.4
20180504092200,450500.0,450690.97
20180504092300,450250.00000000006,450690.97
20180504092400,450375.0,450435.25
20180504092500,450375.0,450563.1
20180504092600,450750.0,450563.1
20180504092700,450875.00000000006,450946.72
20180504092800,450875.00000000006,451074.6
20180504092900,450625.0,451074.6
20180504093000,451000.0,450818.88
20180504093100,451000.0,451202.4
20180504093200,451125.0,451202.4
20180504093300,450875.00000000006,451330.28
20180504093400,450750.0,451074.6
20180504093500,450750.0,450946.72
20180504093600,451500.0,450946.72
20180504093700,452000.0,451713.78
20180504093800,452000.0,452225.1
20180504093900,451625.0,452225.1
20180504094000,451375.0,451841.62
20180504094100,451875.0,451585.97
20180504094200,452250.0,452097.28
20180504094300,452375.0,452480.66
20180504094400,452625.0,452608.47
20180504094500,452125.0,452864.03
20180504094600,452375.0,452352.88
20180504094700,452375.0,452608.47
20180504094800,452750.0,452608.47
20180504094900,452875.0,452991.8
20180504095000,452750.0,453119.56
20180504095100,452875.0,452991.8
20180504095200,452625.0,453119.56
20180504095300,452875.0,452864.03
20180504095400,453375.0,453119.56
20180504095500,453375.0,453630.56
20180504095600,453375.0,453630.56
20180504095700,454125.0,453630.56
20180504095800,454500.0,454396.84
20180504095900,454750.0,454779.84
20180504100000,454750.0,455035.16
20180504100100,454375.00000000006,455035.16
20180504100200,454750.0,454652.2
20180504100300,455375.0,455035.16
20180504100400,456500.0,455673.25
20180504100500,455999.99999999994,456821.22
20180504100600,455875.0,456311.1
20180504100700,455750.0,456183.53
20180504100800,455875.0,456055.97
20180504100900,455875.0,456183.53
20180504101000,455875.0,456183.53
20180504101100,455999.99999999994,456183.53
20180504101200,457125.0,456311.1
20180504101300,457500.0,457458.62
20180504101400,457375.0,457840.94
20180504101500,458375.0,457713.47
20180504101600,459500.0,458732.56
20180504101700,459375.0,459878.06
20180504101800,458375.0,459750.84
20180504101900,458500.00000000006,458732.56
20180504102000,458625.0,458859.88
20180504102100,459375.0,458987.22
20180504102200,459750.0,459750.84
20180504102300,459000.0,460132.47
20180504102400,458750.0,459369.1
20180504102500,459375.0,459114.5
20180504102600,459500.0,459750.84
20180504102700,459375.0,459878.06
20180504102800,459500.0,459750.84
20180504102900,459125.00000000006,459878.06
20180504103000,459250.0,459496.34
20180504103100,459375.0,459623.6
20180504103200,459375.0,459750.84
20180504103300,459375.0,459750.84
20180504103400,459125.00000000006,459750.84
20180504103500,458750.0,459496.34
20180504103600,458750.0,459114.5
20180504103700,458875.0,459114.5
20180504103800,459000.0,459241.8
20180504103900,458875.0,459369.1
20180504104000,458750.0,459241.8
20180504104100,458875.0,459114.5
20180504104200,458750.0,459241.8
20180504104300,458875.0,459114.5
20180504104400,458500.00000000006,459241.8
20180504104500,458250.0,458859.88
20180504104600,458250.0,458605.22
20180504104700,458375.0,458605.22
20180504104800,458500.00000000006,458732.56
20180504104900,458375.0,458859.88
20180504105000,458375.0,458732.56
20180504105100,458875.0,458732.56
20180504105200,458750.0,459241.8
20180504105300,458625.0,459114.5
20180504105400,458375.0,458987.22
20180504105500,458250.0,458732.56
20180504105600,458000.0,458605.22
20180504105700,457125.0,458350.47
20180504105800,456875.0,457458.62
20180504105900,456875.0,457203.66
20180504110000,457750.0,457203.66
20180504110100,458250.0,458095.75
20180504110200,458250.0,458605.22
20180504110300,458625.0,458605.22
20180504110400,458750.0,458987.22
20180504110500,458625.0,459114.5
20180504110600,458250.0,458987.22
20180504110700,458000.0,458605.22
20180504110800,457750.0,458350.47
20180504110900,457750.0,458095.75
20180504111000,457750.0,458095.75
20180504111100,457875.00000000006,458095.75
20180504111200,457750.0,458223.12
20180504111300,457750.0,458095.75
20180504111400,457750.0,458095.75
20180504111500,457750.0,458095.75
20180504111600,457625.0,458095.75
20180504111700,457750.0,457968.34
20180504111800,457875.00000000006,458095.75
20180504111900,457750.0,458223.12
20180504112000,457750.0,458095.75
20180504112100,457625.0,458095.75
20180504112200,457875.00000000006,457968.34
20180504112300,457750.0,458223.12
20180504112400,457750.0,458095.75
20180504112500,457875.00000000006,458095.75
20180504112600,457750.0,458223.12
20180504112700,457000.0,458095.75
20180504112800,456750.0,457331.16
20180504112900,456875.0,457076.2
20180504113000,456375.0,457203.66
20180504113100,456250.0,456693.7
20180504113200,456125.0,456566.2
20180504113300,455750.0,456438.66
20180504113400,455250.0,456055.97
20180504113500,455500.0,455545.62
20180504113600,455999.99999999994,455800.8
20180504113700,455999.99999999994,456311.1
20180504113800,455750.0,456311.1
20180504113900,455625.0,456055.97
20180504114000,455999.99999999994,455928.4
20180504114100,456125.0,456311.1
20180504114200,455375.0,456438.66
20180504114300,455625.0,455673.25
20180504114400,455999.99999999994,455928.4
20180504114500,455999.99999999994,456311.1
20180504114600,455999.99999999994,456311.1
20180504114700,455875.0,456311.1
20180504114800,455999.99999999994,456183.53
20180504114900,455625.0,456311.1
20180504115000,455125.0,455928.4
20180504115100,455375.0,455418.03
20180504115200,455250.0,455673.25
20180504115300,455125.0,455545.62
20180504115400,455125.0,455418.03
20180504115500,454625.0,455418.03
20180504115600,454625.0,454907.5
20180504115700,454750.0,454907.5
20180504115800,455375.0,455035.16
20180504115900,455250.0,455673.25
20180504120000,455000.00000000006,455545.62
20180504120100,454625.0,455290.4
20180504120200,454875.0,454907.5
20180504120300,454625.0,455162.75
20180504120400,454625.0,454907.5
20180504120500,454750.0,454907.5
20180504120600,454625.0,455035.16
20180504120700,454750.0,454907.5
20180504120800,454500.0,455035.16
20180504120900,454625.0,454779.84
20180504121000,454750.0,454907.5
20180504121100,454625.0,455035.16
20180504121200,454750.0,454907.5
20180504121300,454375.00000000006,455035.16
20180504121400,453500.0,454652.2
20180504121500,453124.99999999994,453758.28
20180504121600,453250.0,453375.1
20180504121700,453124.99999999994,453502.8
20180504121800,453124.99999999994,453375.1
20180504121900,453124.99999999994,453375.1
20180504122000,453124.99999999994,453375.1
20180504122100,453250.0,453375.1
20180504122200,453250.0,453502.8
20180504122300,453250.0,453502.8
20180504122400,453250.0,453502.8
20180504122500,453375.0,453502.8
20180504122600,453124.99999999994,453630.56
20180504122700,453250.0,453375.1
20180504122800,452875.0,453502.8
20180504122900,452875.0,453119.56
20180504123000,452875.0,453119.56
20180504123100,453250.0,453119.56
20180504123200,453250.0,453502.8
20180504123300,453500.0,453502.8
20180504123400,453750.00000000006,453758.28
20180504123500,453625.0,454013.75
20180504123600,453750.00000000006,453886.03
20180504123700,453750.00000000006,454013.75
20180504123800,453750.00000000006,454013.75
20180504123900,453750.00000000006,454013.75
20180504124000,453750.00000000006,454013.75
20180504124100,453625.0,454013.75
20180504124200,453625.0,453886.03
20180504124300,453625.0,453886.03
20180504124400,453625.0,453886.03
20180504124500,453124.99999999994,453886.03
20180504124600,453250.0,453375.1
20180504124700,453250.0,453502.8
20180504124800,453250.0,453502.8
20180504124900,453250.0,453502.8
20180504125000,453124.99999999994,453502.8
20180504125100,453625.0,453375.1
20180504125200,453875.0,453886.03
20180504125300,453500.0,454141.44
20180504125400,453250.0,453758.28
20180504125500,453250.0,453502.8
20180504125600,453250.0,453502.8
20180504125700,453250.0,453502.8
20180504125800,453250.0,453502.8
20180504125900,453124.99999999994,453502.8
20180504130000,453375.0,453375.1
20180504130100,453124.99999999994,453630.56
20180504130200,453250.0,453375.1
20180504130300,453375.0,453502.8
20180504130400,453250.0,453630.56
20180504130500,453124.99999999994,453502.8
20180504130600,453250.0,453375.1
20180504130700,453375.0,453502.8
20180504130800,453124.99999999994,453630.56
20180504130900,453250.0,453375.1
20180504131000,453124.99999999994,453502.8
20180504131100,453124.99999999994,453375.1
20180504131200,453250.0,453375.1
20180504131300,453124.99999999994,453502.8
20180504131400,453000.0,453375.1
20180504131500,452375.0,453247.3
20180504131600,452250.0,452608.47
20180504131700,452000.0,452480.66
20180504131800,451750.0,452225.1
20180504131900,451625.0,451969.44
20180504132000,451750.0,451841.62
20180504132100,451375.0,451969.44
20180504132200,451250.0,451585.97
20180504132300,451250.0,451458.16
20180504132400,451375.0,451458.16
20180504132500,451250.0,451585.97
20180504132600,450875.00000000006,451458.16
20180504132700,450750.0,451074.6
20180504132800,450750.0,450946.72
20180504132900,451125.0,450946.72
20180504133000,451250.0,451330.28
20180504133100,451125.0,451458.16
20180504133200,451125.0,451330.28
20180504133300,451125.0,451330.28
20180504133400,451000.0,451330.28
20180504133500,450875.00000000006,451202.4
20180504133600,450750.0,451074.6
20180504133700,450875.00000000006,450946.72
20180504133800,450750.0,451074.6
20180504133900,450750.0,450946.72
20180504134000,450625.0,450946.72
20180504134100,450625.0,450818.88
