datetime,original,predicted
20180504090100,336750.0,337807.8
20180504090200,336125.0,336664.22
20180504090300,335499.99999999994,336030.28
20180504090400,335000.0,335397.4
20180504090500,334500.0,334891.9
20180504090600,334625.0,334387.16
20180504090700,335000.0,334513.28
20180504090800,335250.0,334891.9
20180504090900,335125.0,335144.56
20180504091000,335250.0,335018.22
20180504091100,335874.99999999994,335144.56
20180504091200,336125.0,335777.0
20180504091300,336250.00000000006,336030.28
20180504091400,336375.0,336157.0
20180504091500,336125.0,336283.75
20180504091600,336000.0,336030.28
20180504091700,335625.0,335903.62
20180504091800,335750.0,335523.9
20180504091900,336000.0,335650.44
20180504092000,335625.0,335903.62
20180504092100,335625.0,335523.9
20180504092200,335250.0,335523.9
20180504092300,335250.0,335144.56
20180504092400,335000.0,335144.56
20180504092500,334625.0,334891.9
20180504092600,335250.0,334513.28
20180504092700,336250.00000000006,335144.56
20180504092800,336750.0,336157.0
20180504092900,336375.0,336664.22
20180504093000,336375.0,336283.75
20180504093100,336000.0,336283.75
20180504093200,336000.0,335903.62
20180504093300,336500.0,335903.62
20180504093400,336500.0,336410.53
20180504093500,336250.00000000006,336410.53
20180504093600,336875.0,336157.0
20180504093700,337750.0,336791.12
20180504093800,338500.0,337680.56
20180504093900,338750.0,338444.38
20180504094000,338875.0,338699.25
20180504094100,339125.0,338826.7
20180504094200,339125.0,339081.75
20180504094300,338875.0,339081.75
20180504094400,338750.0,338826.7
20180504094500,338750.0,338699.25
20180504094600,338500.0,338699.25
20180504094700,338000.0,338444.38
20180504094800,338125.0,337935.06
20180504094900,338125.0,338062.34
20180504095000,338250.0,338062.34
20180504095100,338125.0,338189.66
20180504095200,337875.0,338062.34
20180504095300,337750.0,337807.8
20180504095400,337500.0,337680.56
20180504095500,336875.0,337426.28
20180504095600,337125.0,336791.12
20180504095700,337125.0,337045.06
20180504095800,338250.0,337045.06
20180504095900,338000.0,338189.66
20180504100000,337750.0,337935.06
20180504100100,337875.0,337680.56
20180504100200,337750.0,337807.8
20180504100300,338250.0,337680.56
20180504100400,338625.0,338189.66
20180504100500,339375.0,338571.78
20180504100600,339125.0,339336.9
20180504100700,339125.0,339081.75
20180504100800,339250.0,339081.75
20180504100900,339250.0,339209.3
20180504101000,339375.0,339209.3
20180504101100,339625.0,339336.9
20180504101200,339625.0,339592.2
20180504101300,339250.0,339592.2
20180504101400,339250.0,339209.3
20180504101500,339500.0,339209.3
20180504101600,340124.99999999994,339464.53
20180504101700,340250.0,340103.06
20180504101800,340000.0,340230.84
20180504101900,340124.99999999994,339975.28
20180504102000,340750.0,340103.06
20180504102100,340750.0,340742.22
20180504102200,341125.0,340742.22
20180504102300,341000.0,341126.0
20180504102400,340875.00000000006,340998.06
20180504102500,340750.0,340870.1
20180504102600,340625.0,340742.22
20180504102700,340875.00000000006,340614.34
20180504102800,341375.0,340870.1
20180504102900,341250.00000000006,341381.94
20180504103000,341625.0,341253.94
20180504103100,341625.0,341637.97
20180504103200,341875.0,341637.97
20180504103300,342125.0,341894.06
20180504103400,341875.0,342150.22
20180504103500,341625.0,341894.06
20180504103600,341625.0,341637.97
20180504103700,341125.0,341637.97
20180504103800,341500.0,341126.0
20180504103900,341750.0,341509.94
20180504104000,342125.0,341765.97
20180504104100,342375.0,342150.22
20180504104200,342500.0,342406.47
20180504104300,342750.0,342534.6
20180504104400,342875.0,342790.94
20180504104500,342500.0,342919.1
20180504104600,342500.0,342534.6
20180504104700,343125.0,342534.6
20180504104800,343500.0,343175.5
20180504104900,343625.0,343560.16
20180504105000,343625.0,343688.44
20180504105100,343750.0,343688.44
20180504105200,343750.0,343816.7
20180504105300,343750.0,343816.7
20180504105400,343750.0,343816.7
20180504105500,343625.0,343816.7
20180504105600,343750.0,343688.44
20180504105700,343125.0,343816.7
20180504105800,343250.0,343175.5
20180504105900,343375.0,343303.72
20180504110000,343250.0,343431.94
20180504110100,343125.0,343303.72
20180504110200,343125.0,343175.5
20180504110300,343375.0,343175.5
20180504110400,343375.0,343431.94
20180504110500,343250.0,343431.94
20180504110600,343000.0,343303.72
20180504110700,343000.0,343047.28
20180504110800,342750.0,343047.28
20180504110900,342875.0,342790.94
20180504111000,343125.0,342919.1
20180504111100,343375.0,343175.5
20180504111200,342875.0,343431.94
20180504111300,342500.0,342919.1
20180504111400,342750.0,342534.6
20180504111500,342875.0,342790.94
20180504111600,342625.0,342919.1
20180504111700,342750.0,342662.75
20180504111800,342875.0,342790.94
20180504111900,342875.0,342919.1
20180504112000,342750.0,342919.1
20180504112100,342625.0,342790.94
20180504112200,342375.0,342662.75
20180504112300,342250.0,342406.47
20180504112400,342375.0,342278.34
20180504112500,342250.0,342406.47
20180504112600,342375.0,342278.34
20180504112700,342125.0,342406.47
20180504112800,342375.0,342150.22
20180504112900,342250.0,342406.47
20180504113000,342000.0,342278.34
20180504113100,342500.0,342022.12
