datetime,original,predicted
20180504090200,46850.0,46915.01385718583
20180504090300,46850.0,46847.42958843707
20180504090400,46837.5,46863.97879570722
20180504090500,46875.0,46857.11570233106
20180504090600,46937.5,46872.188219428055
20180504090700,46975.0,46923.0139479041
20180504090800,47037.5,46971.09562903642
20180504090900,47075.0,47021.815879642956
20180504091000,47125.0,47069.79046016931
20180504091100,47112.5,47113.5740533471
20180504091200,47087.5,47128.669288754456
20180504091300,47162.5,47109.53127592801
20180504091400,47237.5,47139.53567296266
20180504091500,47225.0,47213.29661756753
20180504091600,47150.0,47239.27879184484
20180504091700,47062.50000000001,47192.92424321174
20180504091800,47075.0,47112.311564385884
20180504091900,47037.5,47080.76502680778
20180504092000,47025.0,47065.746600925915
20180504092100,47025.0,47042.44302362203
20180504092200,46987.5,47036.95114254951
20180504092300,46987.5,47016.425690054886
20180504092400,46975.0,46999.93976950645
20180504092500,46962.5,46993.09452623128
20180504092600,46975.0,46980.74874728917
20180504092700,46975.0,46982.09778219461
20180504092800,46975.0,46987.596695125096
20180504092900,46962.5,46987.596695125096
20180504093000,46912.5,46980.74874728917
20180504093100,46850.0,46947.84722477197
20180504093200,46850.0,46891.54043346643
20180504093300,46800.00000000001,46863.97879570722
20180504093400,46775.0,46836.51884943246
20180504093500,46775.0,46800.7012695074
20180504093600,46787.49999999999,46789.65422064065
20180504093700,46762.5,46796.52596861123
20180504093800,46775.0,46788.30626755952
20180504093900,46775.0,46784.1293439269
20180504094000,46762.5,46789.65422064065
20180504094100,46787.49999999999,46782.78247267007
20180504094200,46775.0,46791.00217372178
20180504094300,46762.5,46795.1780155301
20180504094400,46737.5,46782.78247267007
20180504094500,46687.5,46763.50652724504
20180504094600,46662.5,46724.936245381825
20180504094700,46675.0,46689.03590589761
20180504094800,46662.5,46684.846000373356
20180504094900,46675.0,46683.498047292225
20180504095000,46675.0,46684.846000373356
20180504095100,46650.0,46690.38277715444
20180504095200,46662.5,46676.61277651786
20180504095300,46662.5,46672.421789169304
20180504095400,46637.5,46677.95964777469
20180504095500,46612.5,46664.186942577355
20180504095600,46625.0,46639.328242838375
20180504095700,46625.0,46635.13292819261
20180504095800,46612.5,46640.675655007355
20180504095900,46612.5,46633.78497511148
20180504100000,46625.0,46628.24170738458
20180504100100,46612.5,46635.13292819261
20180504100200,46612.5,46633.78497511148
20180504100300,46612.5,46628.24170738458
20180504100400,46612.5,46628.24170738458
20180504100500,46625.0,46628.24170738458
20180504100600,46625.0,46635.13292819261
20180504100700,46637.5,46640.675655007355
20180504100800,46675.0,46647.56525307893
20180504100900,46762.5,46673.76757860183
20180504101000,46825.0,46738.54884058236
20180504101100,46812.5,46811.613090336316
20180504101200,46837.5,46832.35058039426
20180504101300,46812.5,46840.56433141231
20180504101400,46787.49999999999,46837.8689661622
20180504101500,46750.0,46813.09302598237
20180504101600,46812.5,46781.432896852486
20180504101700,46862.5,46799.21971112489
20180504101800,46875.0,46854.293763637535
20180504101900,46862.5,46883.215795457356
20180504102000,46875.0,46881.867842376225
20180504102100,46862.5,46883.215795457356
20180504102200,46875.0,46881.867842376225
20180504102300,46862.5,46883.215795457356
20180504102400,46862.5,46881.867842376225
20180504102500,46800.00000000001,46876.355947554104
20180504102600,46800.00000000001,46842.035612463944
20180504102700,46825.0,46814.442060887806
20180504102800,46825.0,46828.17798405885
20180504102900,46825.0,46839.21691924333
20180504103000,46875.0,46839.21691924333
20180504103100,46862.5,46866.672538220875
20180504103200,46887.5,46881.867842376225
20180504103300,46925.0,46890.07564336061
20180504103400,46925.0,46921.66815847158
20180504103500,46912.5,46938.1886973977
20180504103600,46887.5,46931.334799528115
20180504103700,46887.5,46912.116731703274
20180504103800,46862.5,46901.098351180546
20180504103900,46875.0,46887.379737198346
20180504104000,46862.5,46883.215795457356
20180504104100,46862.5,46881.867842376225
20180504104200,46850.0,46876.355947554104
20180504104300,46862.5,46869.49393600225
20180504104400,46887.5,46870.84134817123
20180504104500,46862.5,46890.07564336061
20180504104600,46862.5,46887.379737198346
20180504104700,46862.5,46876.355947554104
20180504104800,46862.5,46876.355947554104
20180504104900,46862.5,46876.355947554104
20180504105000,46862.5,46876.355947554104
20180504105100,46850.0,46876.355947554104
20180504105200,46825.0,46869.49393600225
20180504105300,46812.5,46850.250986218445
20180504105400,46825.0,46832.35058039426
20180504105500,46775.0,46833.69799256324
20180504105600,46750.0,46811.74453198909
20180504105700,46762.5,46775.90747922658
20180504105800,46725.0,46771.728932857506
20180504105900,46700.0,46756.630451977246
20180504110000,46675.0,46726.28473937511
20180504110100,46675.0,46701.45470798015
20180504110200,46662.5,46690.38277715444
20180504110300,46662.5,46683.498047292225
20180504110400,46675.0,46677.95964777469
20180504110500,46662.5,46684.846000373356
20180504110600,46662.5,46683.498047292225
20180504110700,46675.0,46677.95964777469
20180504110800,46662.5,46684.846000373356
20180504110900,46650.0,46683.498047292225
20180504111000,46712.5,46671.074377000325
20180504111100,46750.0,46699.959626793854
20180504111200,46762.5,46748.26740920543
20180504111300,46775.0,46771.728932857506
20180504111400,46750.0,46784.1293439269
20180504111500,46725.0,46775.90747922658
20180504111600,46712.5,46751.102329790585
20180504111700,46725.0,46733.16460102796
20180504111800,46712.5,46734.51201319694
20180504111900,46725.0,46733.16460102796
20180504112000,46725.0,46734.51201319694
20180504112100,46712.5,46740.04338085651
20180504112200,46700.0,46733.16460102796
20180504112300,46650.0,46720.75283080339
