datetime,original,predicted
20180504090200,1344500.0,1342986.0591590405
20180504090300,1345750.0,1343900.0278413296
20180504090400,1346000.0,1346416.8065488338
20180504090500,1351000.0,1347126.2682676315
20180504090600,1355750.0,1349958.219498396
20180504090700,1356500.0,1354826.1236846447
20180504090800,1355000.0,1357404.245853424
20180504090900,1350750.0,1356933.859705925
20180504091000,1349000.0,1353943.3300197124
20180504091100,1344000.0,1351048.3097732067
20180504091200,1341250.0,1347529.2139947414
20180504091300,1343000.0,1343738.7460172176
20180504091400,1345750.0,1343428.2037317753
20180504091500,1343750.0,1345728.28155756
20180504091600,1340500.0,1345902.591317892
20180504091700,1337000.0,1343215.6729400158
20180504091800,1335000.0,1339815.496623516
20180504091900,1329500.0,1337114.6875321865
20180504092000,1327750.0,1333192.1858787537
20180504092100,1326500.0,1329699.5486021042
20180504092200,1326500.0,1328208.4394693375
20180504092300,1327250.0,1327631.1264634132
20180504092400,1326500.0,1328041.1182045937
20180504092500,1323000.0,1327977.5602817535
20180504092600,1325000.0,1325717.2564864159
20180504092700,1328250.0,1325193.4069097042
20180504092800,1328000.0,1327894.7336673737
20180504092900,1328250.0,1329259.1583430767
20180504093000,1322500.0,1329280.3251445293
20180504093100,1319500.0,1326252.3221671581
20180504093200,1321000.0,1321952.6143074036
20180504093300,1320750.0,1321385.453313589
20180504093400,1321500.0,1321942.7498877048
20180504093500,1322000.0,1322237.6183867455
20180504093600,1320750.0,1322858.3290874958
20180504093700,1320500.0,1322405.4860770702
20180504093800,1319500.0,1321690.3012692928
20180504093900,1318000.0,1321027.1131694317
20180504094000,1315000.0,1319742.8117394447
20180504094100,1313500.0,1317404.6854376793
20180504094200,1312000.0,1315192.26577878
20180504094300,1309750.0,1313674.3530333042
20180504094400,1309250.0,1311744.5504367352
20180504094500,1308500.0,1310425.9967505932
20180504094600,1308750.0,1309782.3074162006
20180504094700,1309750.0,1309571.2721049786
20180504094800,1310000.0,1310236.0132038593
20180504094900,1309250.0,1310837.45521307
20180504095000,1309500.0,1310542.0402884483
20180504095100,1309250.0,1310331.0337364674
20180504095200,1308750.0,1310309.924453497
20180504095300,1308000.0,1309919.5177555084
20180504095400,1307500.0,1309275.7996618748
20180504095500,1307250.0,1308653.1045734882
20180504095600,1307500.0,1308283.6921215057
20180504095700,1307500.0,1308304.743885994
20180504095800,1307000.0,1308420.9024608135
20180504095900,1307500.0,1308146.4242637157
20180504100000,1306500.0,1308188.6428296566
20180504100100,1306500.0,1307872.0035851002
20180504100200,1306750.0,1307407.4555635452
20180504100300,1308500.0,1307544.694662094
20180504100400,1309500.0,1308621.3256120682
20180504100500,1309250.0,1309982.7593266964
20180504100600,1309250.0,1310309.924453497
20180504100700,1308250.0,1310193.8809156418
20180504100800,1308500.0,1309645.154595375
20180504100900,1307750.0,1309317.9607093334
20180504101000,1308500.0,1309022.4882662296
20180504101100,1309000.0,1309085.816115141
20180504101200,1308750.0,1309708.4536850452
20180504101300,1308000.0,1309803.4454584122
20180504101400,1308250.0,1309275.7996618748
20180504101500,1308500.0,1309064.7068321705
20180504101600,1310750.0,1309317.9607093334
20180504101700,1312000.0,1310668.5521900654
20180504101800,1312250.0,1312398.5930979252
20180504101900,1313000.0,1313115.6472563744
20180504102000,1314000.0,1313642.8904235363
20180504102100,1316500.0,1314538.9996170998
20180504102200,1320000.0,1316372.9476630688
20180504102300,1323250.0,1319448.7772583961
20180504102400,1321500.0,1322848.3208715916
20180504102500,1320750.0,1323394.1137492657
20180504102600,1320750.0,1322174.1467416286
20180504102700,1320750.0,1321827.080219984
20180504102800,1321000.0,1321827.080219984
20180504102900,1320750.0,1321963.9166891575
20180504103000,1320500.0,1321942.7498877048
20180504103100,1320500.0,1321690.3012692928
20180504103200,1321250.0,1321574.602842331
20180504103300,1322500.0,1321985.0834906101
20180504103400,1323500.0,1323016.2748396397
20180504103500,1324000.0,1324141.6527032852
20180504103600,1322000.0,1324877.6016831398
20180504103700,1321750.0,1324014.5943760872
20180504103800,1322750.0,1322952.7744352818
20180504103900,1325250.0,1323384.3931257725
20180504104000,1324750.0,1325214.5449519157
20180504104100,1326000.0,1326096.7346727848
20180504104200,1327250.0,1326549.2325723171
20180504104300,1327500.0,1327810.1527392864
20180504104400,1329250.0,1328524.1584181786
20180504104500,1330250.0,1329595.929056406
20180504104600,1330500.0,1330949.9428868294
20180504104700,1332500.0,1331547.9337871075
20180504104800,1333000.0,1332755.304247141
20180504104900,1332750.0,1333950.4807889462
20180504105000,1333250.0,1334044.4947481155
20180504105100,1334250.0,1334202.1241486073
20180504105200,1333250.0,1334978.3073067665
20180504105300,1333500.0,1334893.4387862682
20180504105400,1333500.0,1334569.0345466137
20180504105500,1330750.0,1334684.2440664768
20180504105600,1329250.0,1333183.2417547703
20180504105700,1329750.0,1331095.8672761917
20180504105800,1329750.0,1330676.8451333046
20180504105900,1328750.0,1330907.5230062008
20180504110000,1328500.0,1330361.2987399101
20180504110100,1328250.0,1329763.1928026676
20180504110200,1328500.0,1329511.146813631
20180504110300,1328250.0,1329532.3423743248
20180504110400,1328250.0,1329511.146813631
20180504110500,1328250.0,1329395.707219839
20180504110600,1327500.0,1329395.707219839
20180504110700,1327250.0,1328985.9167933464
20180504110800,1325750.0,1328502.9628574848
20180504110900,1322750.0,1327567.5685405731
20180504111000,1322250.0,1325233.92868042
20180504111100,1322500.0,1323573.3413398266
20180504111200,1321750.0,1323478.8672327995
20180504111300,1321500.0,1323184.1137707233
20180504111400,1321750.0,1322700.3258168697
20180504111500,1321250.0,1322721.4638590813
20180504111600,1321250.0,1322563.4893476963
20180504111700,1320250.0,1322332.1500122547
20180504111800,1322000.0,1321784.804135561
20180504111900,1322500.0,1322279.9519896507
20180504112000,1321750.0,1323363.2263243198
20180504112100,1321750.0,1323184.1137707233
20180504112200,1322750.0,1322837.1622860432
